symbol,date,open,high,low,close,volume
PNBHOUSING,2025-07-24,1065.0,1065.5,1040.0,1050.2,1337877
PNBHOUSING,2025-07-25,1053.0,1053.0,993.3,1010.4,2312927
PNBHOUSING,2025-07-28,1010.0,1031.3,996.0,1013.5,1429676
PNBHOUSING,2025-07-29,1014.5,1015.5,989.0,1006.3,786810
PNBHOUSING,2025-07-30,1014.7,1014.7,984.4,986.8,892753
PNBHOUSING,2025-07-31,984.4,996.1,970.5,986.2,835617
PNBHOUSING,2025-08-01,883.1,883.1,803.15,808.45,32931969
PNBHOUSING,2025-08-04,820.0,823.95,771.65,778.5,10893261
PNBHOUSING,2025-08-05,785.0,794.0,765.1,767.8,5652778
PNBHOUSING,2025-08-06,772.2,785.7,766.5,774.8,4817454
PNBHOUSING,2025-08-07,770.05,771.9,754.0,758.7,3869902
PNBHOUSING,2025-08-08,765.7,782.95,761.25,770.75,3559039
PNBHOUSING,2025-08-11,774.65,780.0,766.25,773.6,1790243
PNBHOUSING,2025-08-12,774.0,777.4,765.0,767.15,1700330
PNBHOUSING,2025-08-13,769.0,775.5,767.45,773.05,1124423
PNBHOUSING,2025-08-14,776.0,777.4,765.55,767.0,1163422
PNBHOUSING,2025-08-18,777.0,789.0,770.45,786.2,3014348
PNBHOUSING,2025-08-19,788.4,824.7,783.65,817.7,10253695
PNBHOUSING,2025-08-20,817.7,819.95,803.1,808.45,2732430
PNBHOUSING,2025-08-21,811.8,816.3,802.95,804.25,1609672
PNBHOUSING,2025-08-22,804.85,806.65,794.8,799.75,1548980
PNBHOUSING,2025-08-25,803.95,806.5,794.0,799.85,1990188
PNBHOUSING,2025-08-26,802.25,802.25,781.05,782.9,1906485
PNBHOUSING,2025-08-28,785.0,785.0,765.2,767.05,2816692
PNBHOUSING,2025-08-29,770.1,774.5,750.3,753.6,1227892
PNBHOUSING,2025-09-01,760.0,763.5,751.05,761.25,1609137
PNBHOUSING,2025-09-02,769.7,793.0,760.1,785.45,3181014
PNBHOUSING,2025-09-03,790.0,795.8,785.0,791.85,1318507
PNBHOUSING,2025-09-04,795.0,797.5,778.1,782.6,970724
PNBHOUSING,2025-09-05,783.95,794.0,776.95,791.7,1512725
PNBHOUSING,2025-09-08,795.0,812.0,792.85,799.85,2561729
PNBHOUSING,2025-09-09,803.0,810.0,799.2,800.4,1103494
PNBHOUSING,2025-09-10,805.0,817.7,802.75,808.8,2144266
PNBHOUSING,2025-09-11,814.8,815.0,805.85,812.35,1086642
PNBHOUSING,2025-09-12,812.0,835.9,811.0,830.15,2390934
PNBHOUSING,2025-09-15,834.4,843.2,826.35,835.3,1245197
PNBHOUSING,2025-09-16,835.2,838.75,829.1,830.95,799555
PNBHOUSING,2025-09-17,836.95,843.35,828.75,840.6,1333162
PNBHOUSING,2025-09-18,848.0,866.95,843.2,861.3,2039806
PNBHOUSING,2025-09-19,861.95,878.2,856.55,869.45,3896120
PNBHOUSING,2025-09-22,869.6,875.0,854.55,859.05,908615
PNBHOUSING,2025-09-23,859.05,896.85,859.05,891.75,3932351
PNBHOUSING,2025-09-24,885.0,897.8,880.0,889.9,2192211
PNBHOUSING,2025-09-25,882.0,915.5,872.3,907.75,4642991
PNBHOUSING,2025-09-26,905.8,908.7,860.0,864.1,1466783
PNBHOUSING,2025-09-29,866.9,880.0,855.0,870.05,1507691
PNBHOUSING,2025-09-30,870.05,877.2,859.0,863.6,985624
PNBHOUSING,2025-10-01,863.95,893.0,859.75,882.3,1924688
PNBHOUSING,2025-10-03,887.0,896.0,878.6,888.05,737158
PNBHOUSING,2025-10-06,890.0,904.7,888.0,895.05,1115599
PNBHOUSING,2025-10-07,896.7,898.2,879.5,890.0,972976
PNBHOUSING,2025-10-08,892.0,905.7,872.1,876.25,1298611
PNBHOUSING,2025-10-09,878.0,881.95,869.9,876.1,822722
PNBHOUSING,2025-10-10,877.0,878.0,851.0,853.6,1230300
PNBHOUSING,2025-10-13,851.2,859.2,843.1,853.25,1022640
PNBHOUSING,2025-10-14,851.0,856.35,834.2,843.1,1180695
PNBHOUSING,2025-10-15,843.1,856.6,842.3,848.85,820260
PNBHOUSING,2025-10-16,853.2,853.55,838.4,843.4,781721
PNBHOUSING,2025-10-17,844.25,846.85,833.3,838.85,803567
PNBHOUSING,2025-10-20,840.0,878.95,838.1,869.15,1726051
PNBHOUSING,2025-10-21,873.5,879.0,870.15,875.6,152233
PNBHOUSING,2025-10-23,879.6,892.0,871.0,883.6,1060148
PNBHOUSING,2025-10-24,885.9,912.15,885.15,907.3,2293847
PNBHOUSING,2025-10-27,915.0,933.0,911.3,927.6,1914701
PNBHOUSING,2025-10-28,927.6,937.0,885.9,933.5,3907522
PNBHOUSING,2025-10-29,933.0,946.0,926.6,938.45,1248219
PNBHOUSING,2025-10-30,935.0,946.0,924.0,934.55,1249508
PNBHOUSING,2025-10-31,933.0,936.0,921.95,928.7,867887
PNBHOUSING,2025-11-03,929.0,952.75,926.55,937.9,1041911
PNBHOUSING,2025-11-04,940.0,946.95,927.5,931.65,640906
PNBHOUSING,2025-11-06,930.0,931.3,903.55,908.55,858553
PNBHOUSING,2025-11-07,900.5,907.85,885.4,896.15,1391793
PNBHOUSING,2025-11-10,896.95,911.5,894.15,898.95,1404326
PNBHOUSING,2025-11-11,895.0,901.8,882.35,898.5,698596
PNBHOUSING,2025-11-12,900.0,903.65,892.1,899.05,935459
PNBHOUSING,2025-11-13,895.0,919.25,894.3,912.55,870435
PNBHOUSING,2025-11-14,912.0,923.85,907.85,915.4,541570
PNBHOUSING,2025-11-17,918.7,921.75,911.0,917.65,383284
PNBHOUSING,2025-11-18,925.0,942.95,916.9,920.0,1798495
PNBHOUSING,2025-11-19,925.0,930.45,899.05,908.85,1014303
PNBHOUSING,2025-11-20,912.8,915.85,902.05,905.25,366619
PNBHOUSING,2025-11-21,905.25,909.7,884.45,887.15,1069079
PNBHOUSING,2025-11-24,887.15,892.0,870.0,872.1,923444
PNBHOUSING,2025-11-25,871.6,889.0,868.05,881.45,802649
PNBHOUSING,2025-11-26,881.45,918.3,881.45,915.9,924269
PNBHOUSING,2025-11-27,918.0,921.0,906.7,910.8,440900
PNBHOUSING,2025-11-28,908.95,918.0,904.05,905.3,525845
PNBHOUSING,2025-12-01,910.2,916.9,902.0,908.8,322102
PNBHOUSING,2025-12-02,908.8,916.85,895.0,899.45,462993
PNBHOUSING,2025-12-03,898.95,901.0,872.3,878.05,614936
PNBHOUSING,2025-12-04,880.0,893.8,878.45,882.25,405898
PNBHOUSING,2025-12-05,882.9,905.9,878.0,903.85,896426
PNBHOUSING,2025-12-08,906.0,906.0,867.0,873.15,470157
PNBHOUSING,2025-12-09,868.5,886.8,854.85,882.6,1043109
