symbol,date,open,high,low,close,volume
POLYPLEX,2002-07-01,14.7,17.325,14.5,17.325,697936
POLYPLEX,2002-07-02,17.65,20.8,17.65,20.8,1192286
POLYPLEX,2002-07-03,21.75,23.6,21.025,21.85,1713016
POLYPLEX,2002-07-04,22.4,23.75,21.75,21.975,908964
POLYPLEX,2002-07-05,22.725,22.725,21.3,21.975,253956
POLYPLEX,2002-07-08,22.9,26.375,22.5,26.05,970932
POLYPLEX,2002-07-09,27.55,29.475,26.55,27.625,1224660
POLYPLEX,2002-07-10,26.75,27.6,24.55,25.375,445594
POLYPLEX,2002-07-11,24.5,26.0,23.525,23.85,341532
POLYPLEX,2002-07-12,24.0,24.775,22.9,23.825,334086
POLYPLEX,2002-07-15,24.0,24.0,21.5,21.875,259274
POLYPLEX,2002-07-16,21.5,23.5,21.375,22.075,410452
POLYPLEX,2002-07-17,21.65,22.4,20.05,20.575,270648
POLYPLEX,2002-07-18,21.0,23.65,20.625,22.825,1002064
POLYPLEX,2002-07-19,22.0,23.9,22.0,22.9,491054
POLYPLEX,2002-07-22,22.0,22.325,20.5,21.125,238468
POLYPLEX,2002-07-23,20.675,21.6,20.675,21.35,98474
POLYPLEX,2002-07-24,21.25,21.25,19.75,19.875,95358
POLYPLEX,2002-07-25,20.5,21.2,19.05,19.175,95874
POLYPLEX,2002-07-26,19.0,19.0,17.525,17.625,107006
POLYPLEX,2002-07-29,18.0,18.125,14.575,16.375,210680
POLYPLEX,2002-07-30,16.9,17.525,14.55,15.275,194602
POLYPLEX,2002-07-31,14.95,18.35,14.7,17.725,161190
POLYPLEX,2002-08-01,18.925,19.45,17.5,17.95,232516
POLYPLEX,2002-08-02,17.45,18.05,16.9,17.625,100658
POLYPLEX,2002-08-05,18.375,19.35,17.5,17.925,107082
POLYPLEX,2002-08-06,17.85,17.85,17.325,17.575,72262
POLYPLEX,2002-08-07,18.375,18.375,17.325,17.4,46322
POLYPLEX,2002-08-08,17.0,17.625,16.5,16.575,43534
POLYPLEX,2002-08-09,16.5,17.0,16.25,16.75,18656
POLYPLEX,2002-08-12,17.0,17.35,16.8,16.9,20126
POLYPLEX,2002-08-13,17.0,17.15,16.9,16.975,16524
POLYPLEX,2002-08-14,18.0,18.0,16.625,16.65,50174
POLYPLEX,2002-08-15,16.65,16.65,16.65,16.65,0
POLYPLEX,2002-08-16,17.4,17.4,16.75,16.775,37898
POLYPLEX,2002-08-19,17.05,17.05,16.6,16.625,12942
POLYPLEX,2002-08-20,16.5,16.75,16.35,16.625,15532
POLYPLEX,2002-08-21,16.575,16.95,16.575,16.675,17612
POLYPLEX,2002-08-22,16.875,16.975,16.675,16.75,17672
POLYPLEX,2002-08-23,16.5,16.85,16.5,16.6,106098
POLYPLEX,2002-08-26,16.15,16.5,16.0,16.05,19152
POLYPLEX,2002-08-27,16.2,16.25,15.625,15.625,17334
