symbol,date,open,high,low,close,volume
POWERICA,2026-04-02,366.0,397.0,365.1,390.0,4226926
POWERICA,2026-04-06,390.0,399.0,387.95,396.55,533846
POWERICA,2026-04-07,399.0,399.0,384.85,395.0,293879
POWERICA,2026-04-08,400.0,406.05,393.55,404.1,883674
POWERICA,2026-04-09,396.0,409.75,394.8,396.25,256600
POWERICA,2026-04-10,402.25,416.9,399.6,410.15,345075
POWERICA,2026-04-13,401.0,412.85,398.55,406.35,242097
POWERICA,2026-04-15,414.0,424.9,406.6,421.3,420708
POWERICA,2026-04-16,424.45,438.0,417.35,429.65,740163
POWERICA,2026-04-17,431.8,453.15,428.4,439.45,920892
POWERICA,2026-04-20,448.7,459.9,446.0,455.65,616867
POWERICA,2026-04-21,460.0,476.35,457.25,469.45,635248
POWERICA,2026-04-22,468.0,479.95,452.5,458.8,725760
POWERICA,2026-04-23,454.5,462.2,448.1,453.15,278672
POWERICA,2026-04-24,455.0,456.15,441.45,449.45,257736
POWERICA,2026-04-27,452.8,477.0,447.1,464.4,753930
POWERICA,2026-04-28,462.85,489.0,460.45,483.05,485014
POWERICA,2026-04-29,492.75,498.0,478.0,492.6,565192
POWERICA,2026-04-30,495.55,499.55,481.2,489.85,355040
POWERICA,2026-05-01,489.85,489.85,489.85,489.85,0
POWERICA,2026-05-04,489.95,493.7,473.05,489.6,217572
POWERICA,2026-05-05,488.95,497.75,483.8,487.8,158021
POWERICA,2026-05-06,494.0,494.0,468.0,481.25,436975
POWERICA,2026-05-07,480.0,512.0,480.0,492.05,494885
POWERICA,2026-05-08,493.8,523.0,493.8,509.5,747768
POWERICA,2026-05-11,512.95,514.45,498.6,501.85,296159
POWERICA,2026-05-12,499.35,505.6,489.0,494.65,369443
POWERICA,2026-05-13,498.5,525.0,498.45,512.55,416104
POWERICA,2026-05-14,522.0,554.0,518.2,536.55,649058
POWERICA,2026-05-15,539.45,557.9,523.7,549.85,885564
POWERICA,2026-05-18,552.9,552.9,527.05,534.6,318596
POWERICA,2026-05-19,537.9,549.9,529.35,540.35,226922
POWERICA,2026-05-20,541.9,579.9,524.4,559.25,512083
POWERICA,2026-05-21,579.0,581.9,550.15,555.0,477696
POWERICA,2026-05-22,556.0,563.7,550.1,551.7,172994
POWERICA,2026-05-25,558.4,570.0,547.7,555.2,465991
POWERICA,2026-05-26,559.6,579.0,555.3,574.6,250164
POWERICA,2026-05-27,574.4,586.3,566.25,571.5,251135
POWERICA,2026-05-28,571.5,571.5,571.5,571.5,0
POWERICA,2026-05-29,563.0,572.0,514.35,551.45,505080
POWERICA,2026-06-01,551.95,559.9,523.0,532.5,330557
POWERICA,2026-06-02,527.75,549.5,523.5,543.75,143502
POWERICA,2026-06-03,549.4,552.4,532.0,542.3,151018
POWERICA,2026-06-04,551.0,551.0,510.25,514.95,218062
POWERICA,2026-06-05,517.6,522.6,492.65,499.8,373198
POWERICA,2026-06-08,493.0,507.0,492.65,496.6,148804
POWERICA,2026-06-09,495.0,504.55,474.4,482.25,252561
POWERICA,2026-06-10,482.3,488.0,452.0,466.8,427827
POWERICA,2026-06-11,466.0,468.9,433.2,440.95,920869
POWERICA,2026-06-12,445.95,464.95,445.1,458.75,195220
POWERICA,2026-06-15,478.95,488.2,463.8,479.0,453272
POWERICA,2026-06-16,488.0,492.0,473.9,487.25,154221
POWERICA,2026-06-17,490.95,535.95,479.1,529.8,1174530
POWERICA,2026-06-18,560.95,572.5,546.5,551.6,1315740
POWERICA,2026-06-19,564.0,599.0,558.0,590.85,1199323
POWERICA,2026-06-22,602.05,620.35,585.3,620.35,1082101
POWERICA,2026-06-23,651.35,651.35,637.0,651.2,1359895
POWERICA,2026-06-24,658.95,676.95,640.1,661.85,749403
POWERICA,2026-06-25,664.0,676.0,652.7,660.25,259714
POWERICA,2026-06-26,660.25,660.25,660.25,660.25,0
POWERICA,2026-06-29,668.5,673.15,627.25,627.25,403767
POWERICA,2026-06-30,615.0,634.4,601.35,616.75,452487
POWERICA,2026-07-01,617.1,647.55,610.0,616.05,465538
POWERICA,2026-07-02,619.9,619.9,585.25,597.15,467276
POWERICA,2026-07-03,605.5,605.5,567.3,567.3,465033
POWERICA,2026-07-06,567.05,570.35,541.85,548.3,675493
POWERICA,2026-07-07,557.9,575.7,552.05,562.4,392497
POWERICA,2026-07-08,556.0,567.65,538.0,542.7,272431
POWERICA,2026-07-09,548.5,569.8,545.0,567.8,281940
POWERICA,2026-07-10,572.0,577.5,558.2,567.25,273789
POWERICA,2026-07-13,546.0,586.95,546.0,574.35,381826
POWERICA,2026-07-14,581.95,590.0,566.0,567.6,472087
POWERICA,2026-07-15,569.9,579.9,565.3,574.25,261319
POWERICA,2026-07-16,582.45,598.7,575.4,591.25,492508
POWERICA,2026-07-17,596.0,596.9,570.0,572.65,249538
POWERICA,2026-07-20,570.0,574.55,561.75,567.15,135151
POWERICA,2026-07-21,565.0,573.95,560.2,562.95,104122
POWERICA,2026-07-22,561.0,567.3,551.0,554.05,115210
POWERICA,2026-07-23,554.8,566.5,550.35,552.85,97766
POWERICA,2026-07-24,550.0,575.0,549.05,568.25,150639
POWERICA,2026-07-27,575.8,580.45,560.05,565.7,172709
POWERICA,2026-07-28,569.0,569.0,543.0,548.15,110405
POWERICA,2026-07-29,550.75,558.0,524.0,533.7,238790
POWERICA,2026-07-30,532.15,538.25,522.55,524.6,94942
POWERICA,2026-07-31,528.2,532.85,521.7,529.6,98733
POWERICA,2026-08-03,535.0,549.8,512.0,519.4,297730
POWERICA,2026-08-04,518.95,529.75,511.9,521.3,127527
POWERICA,2026-08-05,524.2,547.35,523.05,547.35,268913
POWERICA,2026-08-06,552.3,552.3,520.05,522.75,282784
