symbol,date,open,high,low,close,volume
PRATHAM,2024-03-18,113.3,118.95,110.0,118.95,2440000
PRATHAM,2024-03-19,121.95,124.85,113.0,116.9,752000
PRATHAM,2024-03-20,113.0,120.0,111.05,111.15,369600
PRATHAM,2024-03-21,113.0,115.95,105.6,105.8,260800
PRATHAM,2024-03-22,101.55,106.45,100.55,103.75,160000
PRATHAM,2024-03-26,103.75,104.45,100.0,103.8,105600
PRATHAM,2024-03-27,103.5,103.95,98.65,98.85,113600
PRATHAM,2024-03-28,96.0,103.75,96.0,103.5,116800
PRATHAM,2024-04-01,108.6,108.65,104.2,108.65,54400
PRATHAM,2024-04-02,114.0,114.05,108.0,114.05,75200
PRATHAM,2024-04-03,117.0,124.9,111.6,114.35,224000
PRATHAM,2024-04-04,117.9,120.0,111.0,112.25,91200
PRATHAM,2024-04-05,111.05,116.9,108.65,112.3,80000
PRATHAM,2024-04-08,112.3,116.0,111.0,112.4,64000
PRATHAM,2024-04-09,112.4,112.4,108.0,108.65,67200
PRATHAM,2024-04-10,106.1,113.95,106.1,113.55,68800
PRATHAM,2024-04-12,113.9,136.25,110.0,136.25,1139200
PRATHAM,2024-04-15,158.0,163.5,150.25,163.5,942400
PRATHAM,2024-04-16,179.85,179.85,172.0,179.85,224000
PRATHAM,2024-04-18,197.8,197.8,197.0,197.8,156800
PRATHAM,2024-04-19,217.55,217.55,187.0,217.55,576000
PRATHAM,2024-04-22,228.4,228.4,228.4,228.4,65600
PRATHAM,2024-04-23,239.8,239.8,239.8,239.8,35200
PRATHAM,2024-04-24,251.75,251.75,227.85,248.9,1217600
PRATHAM,2024-04-25,255.0,255.15,236.45,239.25,328000
PRATHAM,2024-04-26,238.0,240.0,227.3,227.3,112000
PRATHAM,2024-04-29,216.6,238.65,216.6,238.65,113600
PRATHAM,2024-04-30,250.55,250.55,250.55,250.55,28800
PRATHAM,2024-05-02,263.05,263.05,251.5,263.05,302400
PRATHAM,2024-05-03,276.2,276.2,274.4,276.2,99200
PRATHAM,2024-05-06,290.0,290.0,290.0,290.0,27200
PRATHAM,2024-05-07,304.5,304.5,304.5,304.5,54400
PRATHAM,2024-05-08,319.7,319.7,319.7,319.7,24000
PRATHAM,2024-05-09,335.65,335.65,303.75,311.45,534400
PRATHAM,2024-05-10,317.0,317.0,295.9,296.95,398400
PRATHAM,2024-05-13,303.0,311.75,298.5,311.75,292800
PRATHAM,2024-05-14,322.0,327.3,322.0,327.3,52800
PRATHAM,2024-05-15,343.65,343.65,343.65,343.65,8000
PRATHAM,2024-05-16,360.8,360.8,360.8,360.8,9600
PRATHAM,2024-05-17,378.8,378.8,378.8,378.8,4800
PRATHAM,2024-05-21,417.0,417.0,377.85,389.35,435200
PRATHAM,2024-05-22,408.8,408.8,397.05,408.8,128000
PRATHAM,2024-05-23,429.2,429.2,429.15,429.2,86400
PRATHAM,2024-05-24,450.65,450.65,450.65,450.65,33600
PRATHAM,2024-05-27,473.15,473.15,473.15,473.15,24000
PRATHAM,2024-05-28,496.8,496.8,449.5,449.5,315200
PRATHAM,2024-05-29,427.05,427.05,427.05,427.05,11200
PRATHAM,2024-05-30,405.7,445.0,405.7,405.7,748800
PRATHAM,2024-05-31,385.45,385.45,385.45,385.45,28800
PRATHAM,2024-06-03,376.0,380.0,366.2,366.2,284800
PRATHAM,2024-06-04,347.95,347.95,347.9,347.9,20800
PRATHAM,2024-06-05,330.5,330.5,330.5,330.5,6400
PRATHAM,2024-06-06,331.0,347.0,316.65,347.0,244800
PRATHAM,2024-06-07,347.0,350.0,329.65,332.3,136000
PRATHAM,2024-06-10,330.0,330.15,315.7,315.7,96000
PRATHAM,2024-06-11,300.0,328.95,299.95,299.95,206400
PRATHAM,2024-06-12,300.0,314.9,300.0,314.9,116800
PRATHAM,2024-06-13,330.6,330.6,325.0,330.6,56000
PRATHAM,2024-06-14,347.1,347.1,341.0,347.1,97600
PRATHAM,2024-06-18,364.45,364.45,364.45,364.45,16000
PRATHAM,2024-06-19,364.45,364.45,364.45,364.45,0
PRATHAM,2024-06-20,401.75,401.75,401.75,401.75,4800
PRATHAM,2024-06-21,421.8,421.8,410.0,421.8,288000
PRATHAM,2024-06-24,442.8,442.8,400.75,400.75,312000
PRATHAM,2024-06-25,390.0,415.0,380.75,380.75,324800
PRATHAM,2024-06-26,372.0,391.9,371.0,377.8,97600
PRATHAM,2024-06-27,394.0,396.65,387.0,396.65,129600
PRATHAM,2024-06-28,416.45,416.45,378.35,382.45,209600
PRATHAM,2024-07-01,374.0,374.0,363.35,363.35,689600
PRATHAM,2024-07-02,360.0,364.0,345.2,345.2,216000
PRATHAM,2024-07-03,340.0,362.45,328.25,348.4,859200
PRATHAM,2024-07-04,355.6,355.6,331.0,331.0,172800
PRATHAM,2024-07-05,332.0,347.55,330.0,347.55,288000
PRATHAM,2024-07-08,347.55,354.0,331.3,346.4,105600
PRATHAM,2024-07-09,352.9,352.9,329.1,329.2,97600
PRATHAM,2024-07-10,329.0,330.0,312.75,318.0,72000
PRATHAM,2024-07-11,329.0,333.9,320.0,322.9,67200
