symbol,date,open,high,low,close,volume
PRECAM,2025-07-24,196.8,200.0,193.16,195.85,139100
PRECAM,2025-07-25,195.7,195.7,186.25,188.12,148703
PRECAM,2025-07-28,188.0,188.99,180.0,181.73,181605
PRECAM,2025-07-29,183.71,188.99,179.47,186.93,186533
PRECAM,2025-07-30,188.8,188.8,180.5,181.84,155485
PRECAM,2025-07-31,179.0,184.44,177.91,180.71,183742
PRECAM,2025-08-01,179.0,183.14,175.0,176.06,128541
PRECAM,2025-08-04,176.06,179.04,175.13,178.46,123868
PRECAM,2025-08-05,179.23,180.24,174.0,175.03,102544
PRECAM,2025-08-06,176.79,181.76,173.06,174.01,155494
PRECAM,2025-08-07,173.9,176.07,167.41,173.62,152037
PRECAM,2025-08-08,175.0,178.43,172.1,173.65,108528
PRECAM,2025-08-11,175.4,175.4,169.64,172.52,77357
PRECAM,2025-08-12,172.6,179.17,170.54,171.44,150814
PRECAM,2025-08-13,172.2,174.59,169.1,170.72,80701
PRECAM,2025-08-14,170.98,171.9,166.8,168.46,94366
PRECAM,2025-08-18,173.98,182.8,171.84,178.15,218601
PRECAM,2025-08-19,178.35,190.44,177.39,185.12,523445
PRECAM,2025-08-20,184.9,186.53,181.01,181.72,116993
PRECAM,2025-08-21,183.15,184.99,178.55,180.63,113284
PRECAM,2025-08-22,180.0,182.5,174.12,181.43,134934
PRECAM,2025-08-25,182.13,182.16,178.34,179.72,64916
PRECAM,2025-08-26,179.72,179.72,172.5,174.07,124284
PRECAM,2025-08-28,175.5,175.5,170.0,170.63,141399
PRECAM,2025-08-29,172.0,173.72,170.07,170.91,63954
PRECAM,2025-09-01,171.88,173.69,168.57,171.87,106363
PRECAM,2025-09-02,171.87,179.63,170.6,174.74,159719
PRECAM,2025-09-03,174.7,179.25,174.35,178.01,95506
PRECAM,2025-09-04,181.8,186.9,179.0,179.31,172678
PRECAM,2025-09-05,180.73,183.95,177.05,183.02,99649
PRECAM,2025-09-08,184.8,219.62,178.5,219.62,9835329
PRECAM,2025-09-09,228.0,262.0,226.09,254.93,45613410
PRECAM,2025-09-10,244.91,246.0,229.43,232.72,6358573
PRECAM,2025-09-11,225.6,232.72,214.55,221.56,3581711
PRECAM,2025-09-12,227.45,238.8,222.5,227.94,5567780
PRECAM,2025-09-15,231.99,232.0,217.1,219.4,1283624
PRECAM,2025-09-16,221.78,222.99,215.0,216.95,947921
PRECAM,2025-09-17,218.0,224.99,215.23,218.78,1075567
PRECAM,2025-09-18,223.0,223.0,215.0,216.46,447653
PRECAM,2025-09-19,215.0,218.36,209.5,210.32,653978
PRECAM,2025-09-22,210.0,223.2,209.55,218.41,1829238
PRECAM,2025-09-23,219.8,222.28,212.13,214.7,635341
PRECAM,2025-09-24,214.47,214.47,207.9,209.31,423837
PRECAM,2025-09-25,209.31,211.35,200.17,201.16,505520
PRECAM,2025-09-26,200.99,202.95,194.32,197.05,385046
PRECAM,2025-09-29,199.05,201.15,191.35,194.25,291245
PRECAM,2025-09-30,197.0,202.25,190.38,193.66,394191
PRECAM,2025-10-01,193.46,203.0,192.41,199.4,358780
PRECAM,2025-10-03,202.5,204.44,196.94,202.66,318199
PRECAM,2025-10-06,204.75,205.9,198.01,199.78,226500
PRECAM,2025-10-07,200.0,201.1,197.42,198.67,129785
PRECAM,2025-10-08,199.0,199.96,193.55,194.62,167401
PRECAM,2025-10-09,196.16,196.16,192.3,193.74,124460
PRECAM,2025-10-10,195.16,196.55,192.6,193.87,142234
PRECAM,2025-10-13,193.0,193.06,189.03,190.71,156791
PRECAM,2025-10-14,191.0,191.6,185.55,186.83,223964
