symbol,date,open,high,low,close,volume
PTC,2025-07-24,193.0,207.0,192.0,198.07,12110458
PTC,2025-07-25,199.5,201.55,190.0,191.08,3477194
PTC,2025-07-28,191.5,194.4,189.5,190.33,1978142
PTC,2025-07-29,190.25,192.38,188.25,191.64,1770124
PTC,2025-07-30,191.86,193.35,190.3,192.8,1354141
PTC,2025-07-31,192.0,193.22,189.4,191.9,1929807
PTC,2025-08-01,184.7,185.0,179.19,180.55,2025729
PTC,2025-08-04,179.5,180.49,171.1,174.11,1611639
PTC,2025-08-05,174.38,179.49,173.8,179.0,1507117
PTC,2025-08-06,179.5,182.6,179.1,182.04,1345174
PTC,2025-08-07,180.41,182.48,178.02,180.78,1357213
PTC,2025-08-08,182.7,183.0,173.5,174.38,1556290
PTC,2025-08-11,175.3,178.8,173.5,178.33,914019
PTC,2025-08-12,178.32,187.9,177.86,186.45,1827296
PTC,2025-08-13,185.99,190.06,185.0,188.68,1384400
PTC,2025-08-14,189.09,190.25,184.66,186.49,1141473
PTC,2025-08-18,186.79,187.68,184.25,185.38,584083
PTC,2025-08-19,186.7,192.5,184.7,192.01,1579810
PTC,2025-08-20,192.01,192.01,189.5,189.94,682375
PTC,2025-08-21,190.8,192.5,190.27,191.52,897026
PTC,2025-08-22,191.24,191.24,187.5,187.76,703488
PTC,2025-08-25,187.76,190.49,187.05,187.68,720333
PTC,2025-08-26,187.68,187.75,177.99,178.79,1792196
PTC,2025-08-28,178.79,180.41,176.25,177.15,876850
PTC,2025-08-29,177.35,178.42,174.25,175.11,693660
PTC,2025-09-01,176.5,177.0,173.6,176.71,941640
PTC,2025-09-02,176.75,181.95,175.12,180.16,1012410
PTC,2025-09-03,180.0,181.06,178.01,179.34,661398
PTC,2025-09-04,180.55,180.9,175.51,176.17,768727
PTC,2025-09-05,176.52,177.74,174.2,175.64,573904
PTC,2025-09-08,175.71,177.56,175.21,176.29,430276
PTC,2025-09-09,177.25,177.39,174.61,175.54,395838
PTC,2025-09-10,175.03,176.02,174.11,174.98,874013
PTC,2025-09-11,174.35,176.65,174.35,175.27,652720
PTC,2025-09-12,175.0,176.28,174.72,175.0,583081
PTC,2025-09-15,175.8,176.88,174.53,175.3,684225
PTC,2025-09-16,176.0,176.05,174.51,175.38,544698
PTC,2025-09-17,176.0,176.0,174.1,174.76,923457
PTC,2025-09-18,175.05,175.48,173.75,174.25,614282
PTC,2025-09-19,174.25,175.14,172.5,174.72,1386891
PTC,2025-09-22,174.75,175.5,173.25,173.73,1332189
PTC,2025-09-23,174.09,174.3,172.0,172.3,843765
PTC,2025-09-24,172.01,173.63,170.88,171.83,782701
PTC,2025-09-25,171.5,172.88,169.3,169.52,1074489
PTC,2025-09-26,169.7,170.58,166.78,167.13,841080
PTC,2025-09-29,166.75,168.01,164.0,164.83,1556968
PTC,2025-09-30,165.15,169.15,164.55,166.52,1576316
PTC,2025-10-01,167.34,169.19,165.8,168.15,760345
PTC,2025-10-03,168.04,169.5,167.15,169.0,707347
PTC,2025-10-06,170.5,170.5,166.16,167.32,787614
PTC,2025-10-07,167.0,167.8,166.15,167.18,779866
PTC,2025-10-08,167.49,167.95,164.75,165.23,855901
PTC,2025-10-09,165.0,165.85,164.51,164.8,727590
PTC,2025-10-10,164.8,166.6,164.0,164.71,1351736
PTC,2025-10-13,165.0,165.36,163.26,164.53,1147928
PTC,2025-10-14,165.0,165.71,163.18,164.38,1083839
PTC,2025-10-15,164.41,165.1,163.8,164.53,1147533
PTC,2025-10-16,165.0,166.44,164.41,165.42,970871
PTC,2025-10-17,165.6,166.48,163.1,164.03,2575969
PTC,2025-10-20,164.5,164.94,161.01,163.21,1392240
PTC,2025-10-21,163.21,165.89,163.21,165.65,158032
PTC,2025-10-23,166.47,166.5,164.2,165.52,937983
PTC,2025-10-24,166.5,167.5,165.55,166.25,1698214
PTC,2025-10-27,167.0,172.28,165.76,170.61,2923462
PTC,2025-10-28,171.98,171.98,169.34,171.03,1335187
PTC,2025-10-29,170.99,173.74,169.7,172.84,1427082
PTC,2025-10-30,172.5,172.79,168.9,169.72,990265
PTC,2025-10-31,170.0,171.15,167.6,168.08,1178936
PTC,2025-11-03,168.6,169.44,166.01,166.82,1043328
PTC,2025-11-04,167.3,167.48,164.64,166.68,1147221
PTC,2025-11-06,166.7,166.87,163.75,164.27,806563
PTC,2025-11-07,163.21,166.32,162.8,165.52,738471
PTC,2025-11-10,166.2,166.58,165.0,165.59,381062
PTC,2025-11-11,165.6,166.25,164.1,164.92,874267
PTC,2025-11-12,166.8,169.62,165.0,168.22,1866989
PTC,2025-11-13,168.12,168.7,166.64,167.25,481878
PTC,2025-11-14,167.35,167.7,163.8,164.53,745251
PTC,2025-11-17,166.6,166.75,164.7,165.58,634045
PTC,2025-11-18,165.5,165.8,163.91,164.95,604878
PTC,2025-11-19,164.1,165.27,163.7,164.0,527787
PTC,2025-11-20,164.11,164.95,162.75,163.29,632149
PTC,2025-11-21,163.29,164.56,162.12,162.76,933931
PTC,2025-11-24,162.79,163.2,159.42,159.81,828901
PTC,2025-11-25,160.0,160.85,159.18,159.89,540372
PTC,2025-11-26,160.0,161.59,159.6,161.06,543619
PTC,2025-11-27,161.44,161.56,159.71,160.07,526417
PTC,2025-11-28,160.2,160.49,157.52,157.8,643488
PTC,2025-12-01,158.11,158.79,155.45,155.82,655169
PTC,2025-12-02,157.12,159.92,155.76,157.42,846340
PTC,2025-12-03,158.75,158.75,154.5,156.57,851480
PTC,2025-12-04,156.5,157.6,155.2,157.13,565021
PTC,2025-12-05,157.05,157.49,155.28,156.48,433979
PTC,2025-12-08,156.48,156.92,152.05,152.57,790510
PTC,2025-12-09,151.26,154.4,150.87,153.55,969981
PTC,2025-12-10,153.55,156.75,153.55,155.03,707000
PTC,2025-12-11,156.49,156.49,153.81,155.05,370369
PTC,2025-12-12,155.05,156.8,154.5,155.9,372756
PTC,2025-12-15,156.6,158.1,155.22,157.87,391942
PTC,2025-12-16,157.9,160.03,157.47,159.56,590672
PTC,2025-12-17,159.9,164.2,159.56,161.6,1208665
PTC,2025-12-18,161.6,161.91,157.5,157.74,734349
PTC,2025-12-19,158.01,158.35,152.65,154.4,1988598
PTC,2025-12-22,155.0,158.2,155.0,157.81,525285
PTC,2025-12-23,158.4,159.55,157.45,159.16,585838
PTC,2025-12-24,159.27,160.44,157.5,157.91,522491
PTC,2025-12-26,158.33,162.15,157.13,160.74,975455
PTC,2025-12-29,161.4,162.8,160.0,161.72,693962
PTC,2025-12-30,162.1,162.1,157.96,158.65,702216
PTC,2025-12-31,159.15,163.46,158.53,161.37,1051121
PTC,2026-01-01,161.5,163.59,160.93,162.83,851756
PTC,2026-01-02,162.9,167.99,162.26,167.39,1437370
PTC,2026-01-05,167.99,169.48,166.01,166.86,1125008
PTC,2026-01-06,167.5,167.5,164.8,166.07,733399
PTC,2026-01-07,166.07,167.09,164.4,165.23,703756
PTC,2026-01-08,165.28,165.95,160.1,161.01,821923
PTC,2026-01-09,160.0,162.5,158.31,159.38,919256
PTC,2026-01-12,159.5,160.0,156.22,158.1,837989
PTC,2026-01-13,158.25,160.52,157.53,158.54,632383
PTC,2026-01-14,158.0,161.36,158.0,160.77,652133
PTC,2026-01-15,160.77,160.77,160.77,160.77,0
PTC,2026-01-16,161.25,161.88,154.49,156.11,3385865
PTC,2026-01-19,156.11,158.1,155.4,155.95,869938
PTC,2026-01-20,156.0,156.16,152.3,152.94,1116152
PTC,2026-01-21,149.59,154.56,149.59,152.8,1304231
PTC,2026-01-22,154.9,157.9,154.0,157.16,983291
PTC,2026-01-23,157.16,158.25,156.39,157.52,845586
PTC,2026-01-27,160.0,173.0,158.3,168.0,6783177
PTC,2026-01-28,170.0,175.5,166.51,174.64,2961100
PTC,2026-01-29,174.64,178.99,172.85,174.94,1934125
PTC,2026-01-30,174.7,174.7,170.15,172.41,1367365
PTC,2026-02-02,168.0,171.8,165.15,169.77,944523
PTC,2026-02-03,174.7,177.2,169.53,175.7,2329619
PTC,2026-02-04,174.0,183.9,173.3,181.72,2351052
PTC,2026-02-05,181.7,183.31,179.98,180.7,862535
PTC,2026-02-06,180.0,181.7,177.48,180.57,796331
PTC,2026-02-09,180.62,188.48,180.62,187.38,2058401
PTC,2026-02-10,190.0,191.5,187.77,189.46,1863088
PTC,2026-02-11,190.64,192.29,188.93,190.29,955478
PTC,2026-02-12,188.76,190.17,184.73,185.38,1445736
PTC,2026-02-13,182.7,185.97,181.74,185.05,1060806
PTC,2026-02-16,180.0,180.8,170.1,172.95,3196669
