symbol,date,open,high,low,close,volume
PURVA,2025-07-23,289.1,289.1,281.45,285.25,52855
PURVA,2025-07-24,285.25,286.7,279.4,281.25,84929
PURVA,2025-07-25,283.9,283.9,273.0,274.35,109193
PURVA,2025-07-28,275.05,276.0,261.1,263.2,88668
PURVA,2025-07-29,261.35,305.0,261.3,291.7,3091455
PURVA,2025-07-30,291.7,294.5,286.05,290.5,213197
PURVA,2025-07-31,288.0,291.4,281.4,289.85,82546
PURVA,2025-08-01,286.95,289.95,282.3,286.4,83328
PURVA,2025-08-04,283.1,295.0,279.55,293.05,101589
PURVA,2025-08-05,293.0,293.9,281.0,282.9,121862
PURVA,2025-08-06,281.2,286.95,272.95,277.9,91762
PURVA,2025-08-07,282.45,282.75,269.7,272.05,128611
PURVA,2025-08-08,273.4,275.0,263.15,266.75,119429
PURVA,2025-08-11,262.75,265.95,252.2,258.85,235420
PURVA,2025-08-12,258.85,276.8,251.0,261.15,1329070
PURVA,2025-08-13,269.9,290.0,267.0,288.85,899207
PURVA,2025-08-14,288.0,300.2,285.0,286.65,673212
PURVA,2025-08-18,287.15,292.2,285.0,285.85,133181
PURVA,2025-08-19,287.3,293.0,286.35,289.35,217102
PURVA,2025-08-20,292.25,292.9,286.0,287.25,162943
PURVA,2025-08-21,290.1,296.1,284.9,286.95,561390
PURVA,2025-08-22,286.95,290.0,285.5,288.45,96015
PURVA,2025-08-25,289.55,291.85,286.75,288.75,81193
PURVA,2025-08-26,290.5,290.5,280.1,280.8,163515
PURVA,2025-08-28,280.3,292.0,277.7,286.85,260389
PURVA,2025-08-29,289.7,289.7,283.1,287.6,96178
PURVA,2025-09-01,284.05,288.75,284.0,285.5,61912
PURVA,2025-09-02,305.0,305.0,288.7,290.45,992226
PURVA,2025-09-03,292.0,294.9,288.6,291.8,122723
PURVA,2025-09-04,294.1,296.45,285.05,289.55,155477
PURVA,2025-09-05,289.55,294.5,286.3,288.7,91880
PURVA,2025-09-08,288.95,289.55,283.25,285.7,54851
PURVA,2025-09-09,285.0,287.05,281.25,284.95,54950
PURVA,2025-09-10,284.95,288.95,282.9,286.0,76248
PURVA,2025-09-11,287.95,287.95,283.5,284.3,46466
PURVA,2025-09-12,284.6,286.85,276.1,277.3,99871
PURVA,2025-09-15,277.3,284.9,268.95,270.65,306192
PURVA,2025-09-16,272.8,274.95,267.05,268.8,158288
PURVA,2025-09-17,272.85,272.85,262.5,264.9,320672
PURVA,2025-09-18,266.75,276.0,264.0,273.0,481453
PURVA,2025-09-19,273.5,277.3,268.35,273.6,180058
PURVA,2025-09-22,273.0,276.7,268.3,270.45,158799
PURVA,2025-09-23,270.5,274.8,267.35,273.0,143125
PURVA,2025-09-24,271.65,272.35,267.05,268.15,71956
PURVA,2025-09-25,266.2,273.0,262.2,264.8,120573
PURVA,2025-09-26,264.9,267.2,258.4,261.2,82331
PURVA,2025-09-29,261.8,280.0,258.3,269.6,570999
PURVA,2025-09-30,266.5,268.9,261.0,263.25,72981
PURVA,2025-10-01,265.9,270.15,262.3,268.55,68655
PURVA,2025-10-03,265.55,269.25,265.0,267.2,48738
PURVA,2025-10-06,268.25,271.55,264.25,266.95,46946
PURVA,2025-10-07,267.8,272.95,261.75,264.15,95509
PURVA,2025-10-08,264.15,265.2,256.0,258.85,105389
PURVA,2025-10-09,264.0,264.0,245.9,247.45,226653
PURVA,2025-10-10,248.5,252.25,247.6,250.0,271666
PURVA,2025-10-13,251.9,258.95,248.15,255.05,110722
PURVA,2025-10-14,256.55,260.65,252.0,255.5,140641
PURVA,2025-10-15,255.5,258.85,251.95,253.7,162020
PURVA,2025-10-16,253.05,275.15,251.95,267.3,887416
PURVA,2025-10-17,264.9,269.55,260.25,267.2,145521
PURVA,2025-10-20,267.25,272.0,262.2,269.6,136604
PURVA,2025-10-21,266.5,273.45,266.5,270.8,49963
PURVA,2025-10-23,271.2,287.3,267.95,280.35,413944
PURVA,2025-10-24,280.0,284.0,272.0,280.7,138154
PURVA,2025-10-27,284.55,284.55,270.45,272.5,344845
PURVA,2025-10-28,275.0,275.0,269.0,270.55,67312
PURVA,2025-10-29,270.3,271.7,267.0,269.65,59812
PURVA,2025-10-30,270.0,273.85,268.2,272.4,64198
PURVA,2025-10-31,272.8,275.55,266.65,268.35,62830
PURVA,2025-11-03,266.5,269.85,262.4,268.7,118004
PURVA,2025-11-04,269.55,271.85,265.25,267.45,91641
PURVA,2025-11-06,266.0,267.0,258.2,260.2,52914
PURVA,2025-11-07,259.6,260.45,255.0,256.35,63336
PURVA,2025-11-10,252.0,258.95,250.0,253.85,109949
PURVA,2025-11-11,250.0,255.9,250.0,254.15,37593
PURVA,2025-11-12,256.95,263.65,254.05,259.1,83359
PURVA,2025-11-13,261.05,266.1,258.85,260.4,72238
PURVA,2025-11-14,262.0,263.25,258.2,260.15,31630
PURVA,2025-11-17,260.0,262.9,252.2,254.1,160344
PURVA,2025-11-18,255.0,256.35,250.2,251.95,85652
PURVA,2025-11-19,250.2,251.05,245.0,247.3,128001
PURVA,2025-11-20,247.55,253.5,245.0,245.7,112201
PURVA,2025-11-21,243.25,245.75,241.0,242.65,48762
PURVA,2025-11-24,242.65,248.9,238.05,246.0,104829
PURVA,2025-11-25,246.0,248.8,241.35,247.15,43899
PURVA,2025-11-26,247.0,249.25,244.3,245.55,31652
PURVA,2025-11-27,246.2,253.45,244.7,248.9,72318
