symbol,date,open,high,low,close,volume
QMSMEDI,2025-07-23,80.15,82.0,80.15,80.2,6000
QMSMEDI,2025-07-24,80.5,81.4,80.5,80.5,3000
QMSMEDI,2025-07-25,80.5,80.5,79.5,79.85,10000
QMSMEDI,2025-07-28,79.5,79.5,74.0,74.7,40000
QMSMEDI,2025-07-29,75.0,80.0,75.0,79.0,11000
QMSMEDI,2025-07-30,77.15,78.7,77.15,78.6,3000
QMSMEDI,2025-07-31,77.55,79.95,77.5,78.3,22000
QMSMEDI,2025-08-01,79.5,79.5,75.15,78.2,40000
QMSMEDI,2025-08-04,77.2,79.0,76.0,76.85,18000
QMSMEDI,2025-08-05,76.6,78.25,76.6,76.65,43000
QMSMEDI,2025-08-06,77.0,79.95,76.5,79.0,18000
QMSMEDI,2025-08-07,79.0,79.5,76.5,76.95,12000
QMSMEDI,2025-08-08,77.0,77.05,77.0,77.0,4000
QMSMEDI,2025-08-11,76.25,77.5,76.0,76.3,42000
QMSMEDI,2025-08-12,75.6,76.4,75.1,76.1,7000
QMSMEDI,2025-08-13,76.0,78.85,76.0,77.0,4000
QMSMEDI,2025-08-14,75.2,77.75,75.0,75.05,12000
QMSMEDI,2025-08-18,78.5,78.5,76.45,76.45,4000
QMSMEDI,2025-08-19,78.0,80.0,77.9,79.1,11000
QMSMEDI,2025-08-20,80.0,81.0,79.0,80.0,16000
QMSMEDI,2025-08-21,82.4,82.4,80.75,81.0,6000
QMSMEDI,2025-08-22,81.05,84.55,81.05,84.15,13000
QMSMEDI,2025-08-25,84.15,93.0,82.5,83.5,107000
QMSMEDI,2025-08-26,82.5,85.3,82.5,84.7,30000
QMSMEDI,2025-08-28,86.0,86.0,83.4,83.4,3000
QMSMEDI,2025-08-29,87.4,90.0,85.65,88.85,43000
QMSMEDI,2025-09-01,87.988,88.3835,86.0602,86.4062,36414
QMSMEDI,2025-09-02,90.163,92.9312,87.4937,91.7942,118345
QMSMEDI,2025-09-03,91.9425,95.8476,91.8437,93.9692,58667
QMSMEDI,2025-09-04,93.15,95.0,88.0,90.05,44000
QMSMEDI,2025-09-05,90.0,94.0,90.0,93.4,20000
QMSMEDI,2025-09-08,93.0,93.9,89.6,89.65,20000
QMSMEDI,2025-09-09,89.7,90.6,89.65,90.6,8000
QMSMEDI,2025-09-10,95.0,95.0,91.1,91.25,23000
QMSMEDI,2025-09-11,91.85,93.4,90.95,92.2,17000
QMSMEDI,2025-09-12,93.75,93.75,88.55,91.5,17000
QMSMEDI,2025-09-15,85.0,93.3,85.0,93.15,32000
QMSMEDI,2025-09-16,93.15,103.0,93.0,100.6,106000
QMSMEDI,2025-09-17,101.7,110.0,101.7,107.0,162000
QMSMEDI,2025-09-18,109.6,109.95,105.0,105.9,52000
QMSMEDI,2025-09-19,106.1,110.5,106.1,108.35,82000
QMSMEDI,2025-09-22,106.05,107.0,105.05,105.25,25000
QMSMEDI,2025-09-23,103.9,103.9,98.0,98.85,46000
QMSMEDI,2025-09-24,98.0,101.0,97.3,99.9,29000
QMSMEDI,2025-09-25,99.5,105.0,99.5,102.95,25000
QMSMEDI,2025-09-26,102.85,103.5,99.15,99.15,13000
QMSMEDI,2025-09-29,99.15,101.95,97.9,100.45,23000
QMSMEDI,2025-09-30,101.0,101.0,98.0,98.1,18000
QMSMEDI,2025-10-01,98.2,101.0,98.2,101.0,16000
QMSMEDI,2025-10-03,100.05,104.0,100.05,103.0,24000
QMSMEDI,2025-10-06,102.0,103.0,102.0,103.0,13000
