symbol,date,open,high,low,close,volume
QUESS,2025-07-24,307.0,311.8,305.8,309.4,162430
QUESS,2025-07-25,309.4,309.65,300.0,302.2,169127
QUESS,2025-07-28,302.1,305.2,292.7,293.9,384140
QUESS,2025-07-29,297.0,304.6,294.0,299.35,507896
QUESS,2025-07-30,301.75,310.45,296.6,297.8,190652
QUESS,2025-07-31,296.0,301.2,291.0,294.6,177157
QUESS,2025-08-01,294.95,298.5,288.5,290.6,120011
QUESS,2025-08-04,292.05,293.9,285.9,290.1,146752
QUESS,2025-08-05,288.6,293.8,283.8,284.55,218001
QUESS,2025-08-06,285.8,288.3,277.5,281.45,167233
QUESS,2025-08-07,280.05,283.4,272.6,276.7,229421
QUESS,2025-08-08,272.5,275.6,266.05,267.2,403552
QUESS,2025-08-11,268.0,272.0,262.85,269.2,580695
QUESS,2025-08-12,271.6,279.45,268.7,275.4,218241
QUESS,2025-08-13,274.95,274.95,267.4,267.95,231853
QUESS,2025-08-14,267.95,270.9,265.05,265.95,258672
QUESS,2025-08-18,269.9,272.6,263.55,266.65,278480
QUESS,2025-08-19,267.45,271.1,265.3,270.75,168317
QUESS,2025-08-20,273.45,273.45,268.1,270.4,138958
QUESS,2025-08-21,274.0,276.0,271.0,271.6,124826
QUESS,2025-08-22,275.0,277.5,270.0,272.4,204674
QUESS,2025-08-25,273.7,275.95,270.15,271.85,134007
QUESS,2025-08-26,270.6,274.8,265.75,266.55,127862
QUESS,2025-08-28,266.55,269.95,264.0,265.25,106776
QUESS,2025-08-29,264.05,268.9,260.0,268.05,128454
QUESS,2025-09-01,267.5,271.9,267.05,269.6,109147
QUESS,2025-09-02,269.6,276.3,268.45,273.1,172296
QUESS,2025-09-03,275.0,275.4,268.7,270.05,332281
QUESS,2025-09-04,274.5,274.5,268.0,269.6,193911
QUESS,2025-09-05,269.8,270.2,263.5,264.85,681248
QUESS,2025-09-08,265.0,269.55,260.4,262.2,339035
QUESS,2025-09-09,263.45,268.15,263.45,264.9,128799
QUESS,2025-09-10,265.0,270.0,263.0,264.85,640748
QUESS,2025-09-11,265.0,267.4,263.2,264.95,325490
QUESS,2025-09-12,265.0,267.2,263.6,264.35,130740
QUESS,2025-09-15,264.05,267.0,263.05,265.4,107032
QUESS,2025-09-16,265.85,268.25,263.9,265.75,556679
QUESS,2025-09-17,267.4,276.95,264.65,275.55,1097877
QUESS,2025-09-18,276.9,277.55,272.0,272.6,161929
QUESS,2025-09-19,273.75,275.0,262.95,267.4,630927
QUESS,2025-09-22,266.55,269.15,261.9,263.05,346778
QUESS,2025-09-23,265.7,265.7,260.6,261.6,183892
QUESS,2025-09-24,261.6,264.0,257.0,257.7,186485
QUESS,2025-09-25,257.0,259.85,254.9,255.5,145056
QUESS,2025-09-26,254.3,256.25,249.5,252.8,388945
QUESS,2025-09-29,254.8,266.0,250.7,259.0,703601
QUESS,2025-09-30,258.6,258.6,251.15,254.6,158354
QUESS,2025-10-01,256.0,259.45,251.85,255.1,187807
QUESS,2025-10-03,255.15,258.1,252.15,257.15,178210
QUESS,2025-10-06,257.0,260.15,250.25,252.1,297170
QUESS,2025-10-07,252.8,254.6,246.75,248.5,343964
QUESS,2025-10-08,251.0,251.0,238.5,239.7,346855
QUESS,2025-10-09,240.0,242.0,234.0,238.0,423887
QUESS,2025-10-10,238.0,246.1,237.35,245.25,213475
QUESS,2025-10-13,245.25,247.95,237.6,238.5,306089
QUESS,2025-10-14,239.55,240.4,233.1,234.15,148207
QUESS,2025-10-15,235.5,239.9,233.2,238.3,250763
QUESS,2025-10-16,239.45,241.45,237.3,238.35,91516
QUESS,2025-10-17,240.0,240.0,232.75,234.1,125122
QUESS,2025-10-20,234.1,238.45,231.95,237.75,115483
QUESS,2025-10-21,241.95,241.95,232.0,238.75,52873
QUESS,2025-10-23,240.6,241.3,234.25,235.0,265829
QUESS,2025-10-24,235.2,238.3,231.85,234.1,1780331
QUESS,2025-10-27,235.5,244.85,235.15,243.25,786997
QUESS,2025-10-28,245.0,260.25,244.2,246.25,2471889
QUESS,2025-10-29,247.4,253.3,245.0,251.3,457839
QUESS,2025-10-30,254.0,254.9,240.0,246.05,2293862
QUESS,2025-10-31,246.5,247.25,239.0,239.75,407768
QUESS,2025-11-03,240.09,241.67,235.0,235.42,204178
QUESS,2025-11-04,236.5,236.5,228.75,229.86,332369
QUESS,2025-11-06,230.0,232.0,222.15,223.11,319650
QUESS,2025-11-07,223.0,227.69,220.51,226.54,236014
QUESS,2025-11-10,226.54,229.1,222.57,223.9,148569
QUESS,2025-11-11,224.3,226.46,218.0,218.49,292571
QUESS,2025-11-12,218.49,221.0,216.01,219.4,247365
QUESS,2025-11-13,220.31,221.0,214.21,214.84,389825
QUESS,2025-11-14,213.69,214.74,210.5,211.84,286360
QUESS,2025-11-17,212.15,218.36,209.96,217.64,557583
QUESS,2025-11-18,217.64,219.8,210.0,210.74,298806
QUESS,2025-11-19,212.0,226.42,207.66,223.0,2646776
QUESS,2025-11-20,226.35,229.99,213.32,215.79,793390
QUESS,2025-11-21,215.79,217.52,208.35,209.85,417251
QUESS,2025-11-24,209.84,222.32,208.13,210.37,2597903
QUESS,2025-11-25,212.0,221.5,209.77,218.55,638703
