symbol,date,open,high,low,close,volume
QUESTLAB,2025-07-22,97.5,103.5,95.0,100.05,266400
QUESTLAB,2025-07-23,103.0,109.4,102.0,107.75,148800
QUESTLAB,2025-07-24,108.3,108.3,103.65,105.75,32400
QUESTLAB,2025-07-25,126.9,126.9,108.65,111.25,346800
QUESTLAB,2025-07-28,118.3,118.3,105.05,106.5,87600
QUESTLAB,2025-07-29,106.0,107.25,101.15,105.7,31200
QUESTLAB,2025-07-30,103.55,106.75,101.75,102.0,27600
QUESTLAB,2025-07-31,99.55,100.5,98.5,98.85,25200
QUESTLAB,2025-08-01,100.95,100.95,96.55,96.65,6000
QUESTLAB,2025-08-04,97.8,101.05,97.0,100.1,30000
QUESTLAB,2025-08-05,102.7,102.7,96.0,101.9,20400
QUESTLAB,2025-08-06,102.7,104.35,100.0,100.0,22800
QUESTLAB,2025-08-07,96.0,100.0,95.1,99.9,31200
QUESTLAB,2025-08-08,99.9,102.5,99.9,99.9,14400
QUESTLAB,2025-08-11,99.0,103.2,99.0,101.0,8400
QUESTLAB,2025-08-12,99.55,99.55,98.7,98.7,2400
QUESTLAB,2025-08-13,99.05,100.95,98.5,98.5,45600
QUESTLAB,2025-08-14,100.25,102.6,98.5,99.1,24000
QUESTLAB,2025-08-18,103.4,103.4,98.5,98.6,13200
QUESTLAB,2025-08-19,100.0,101.8,99.05,99.1,15600
QUESTLAB,2025-08-20,99.25,99.85,98.5,99.65,33600
QUESTLAB,2025-08-21,98.6,99.75,98.5,98.7,27600
QUESTLAB,2025-08-22,99.0,100.0,99.0,99.75,4800
QUESTLAB,2025-08-25,99.3,101.45,99.0,99.0,16800
QUESTLAB,2025-08-26,99.15,99.5,98.7,98.7,18000
QUESTLAB,2025-08-28,98.75,99.75,98.7,99.05,12000
QUESTLAB,2025-08-29,98.8,98.85,98.7,98.7,18000
QUESTLAB,2025-09-01,98.5,101.75,98.5,99.5,9600
QUESTLAB,2025-09-02,99.05,101.45,99.0,99.0,12000
QUESTLAB,2025-09-03,100.0,100.0,99.0,99.0,18000
QUESTLAB,2025-09-04,99.1,99.75,99.0,99.2,9600
QUESTLAB,2025-09-05,99.15,99.5,99.0,99.5,21600
QUESTLAB,2025-09-08,99.0,99.0,96.0,96.0,52800
QUESTLAB,2025-09-09,96.0,97.0,95.0,96.0,18000
QUESTLAB,2025-09-10,97.0,98.4,95.55,98.4,8400
QUESTLAB,2025-09-11,97.5,97.5,97.0,97.0,4800
QUESTLAB,2025-09-12,95.3,97.5,95.0,97.5,15600
QUESTLAB,2025-09-15,95.0,99.0,93.0,97.0,38400
QUESTLAB,2025-09-16,97.0,97.5,94.0,95.3,28800
QUESTLAB,2025-09-17,92.0,98.1,92.0,97.05,61200
QUESTLAB,2025-09-18,97.05,98.35,96.85,97.0,15600
QUESTLAB,2025-09-19,95.5,97.0,95.0,96.55,36000
QUESTLAB,2025-09-22,96.0,97.0,95.8,95.95,16800
QUESTLAB,2025-09-23,97.7,97.8,97.0,97.0,4800
QUESTLAB,2025-09-24,96.0,96.0,95.45,95.55,8400
QUESTLAB,2025-09-25,97.0,98.1,96.0,96.0,26400
QUESTLAB,2025-09-26,95.8,97.5,95.0,95.0,8400
QUESTLAB,2025-09-29,96.5,96.5,94.0,94.05,21600
QUESTLAB,2025-09-30,94.5,95.0,92.0,95.0,22800
QUESTLAB,2025-10-01,92.15,95.0,90.9,94.45,58800
QUESTLAB,2025-10-03,94.45,94.45,94.45,94.45,0
QUESTLAB,2025-10-06,92.2,92.2,89.0,90.05,18000
QUESTLAB,2025-10-07,90.05,90.05,85.0,86.5,16800
QUESTLAB,2025-10-08,86.75,86.75,86.0,86.2,33600
QUESTLAB,2025-10-09,87.0,87.0,86.2,86.2,4800
QUESTLAB,2025-10-10,84.5,88.0,84.5,88.0,4800
QUESTLAB,2025-10-13,89.0,91.2,88.0,88.0,7200
QUESTLAB,2025-10-14,88.0,88.1,88.0,88.1,49200
QUESTLAB,2025-10-15,88.15,88.15,88.0,88.0,4800
QUESTLAB,2025-10-16,88.0,88.0,88.0,88.0,4800
QUESTLAB,2025-10-17,88.0,88.4,88.0,88.0,9600
QUESTLAB,2025-10-20,89.35,89.35,89.35,89.35,1200
QUESTLAB,2025-10-21,89.35,89.35,89.35,89.35,0
QUESTLAB,2025-10-23,89.5,89.5,89.35,89.35,2400
QUESTLAB,2025-10-24,89.35,92.0,89.35,91.65,26400
QUESTLAB,2025-10-27,89.95,89.95,87.2,88.9,16800
QUESTLAB,2025-10-28,88.8,89.25,88.8,89.25,40800
QUESTLAB,2025-10-29,88.0,89.25,88.0,89.25,6000
QUESTLAB,2025-10-30,88.0,89.5,87.0,88.25,444000
QUESTLAB,2025-10-31,92.0,96.0,88.0,89.15,261600
QUESTLAB,2025-11-03,90.45,90.45,88.5,88.55,18000
QUESTLAB,2025-11-04,88.0,88.5,86.3,87.55,25200
QUESTLAB,2025-11-06,87.05,87.5,86.05,86.05,10800
QUESTLAB,2025-11-07,85.0,89.35,85.0,88.0,42000
QUESTLAB,2025-11-10,89.0,89.0,87.0,87.6,12000
QUESTLAB,2025-11-11,87.6,90.45,86.6,86.6,30000
QUESTLAB,2025-11-12,87.9,89.0,87.9,88.65,3600
QUESTLAB,2025-11-13,88.65,96.0,88.65,94.7,51600
QUESTLAB,2025-11-14,88.6,91.4,86.75,87.3,55200
QUESTLAB,2025-11-17,86.95,87.1,86.0,86.0,7200
QUESTLAB,2025-11-18,85.9,88.3,85.85,88.3,13200
QUESTLAB,2025-11-19,88.3,88.6,86.1,87.8,39600
QUESTLAB,2025-11-20,87.0,88.95,86.0,88.95,27600
QUESTLAB,2025-11-21,87.0,87.0,87.0,87.0,1200
QUESTLAB,2025-11-24,87.0,88.75,85.9,85.95,10800
QUESTLAB,2025-11-25,86.0,86.0,85.9,85.9,3600
QUESTLAB,2025-11-26,87.95,87.95,85.95,86.2,8400
QUESTLAB,2025-11-27,86.2,86.2,86.2,86.2,0
QUESTLAB,2025-11-28,85.7,86.8,85.5,86.8,24000
QUESTLAB,2025-12-01,86.9,87.1,86.9,86.9,10800
QUESTLAB,2025-12-02,87.0,89.95,87.0,88.85,12000
QUESTLAB,2025-12-03,88.85,89.0,88.1,89.0,9600
QUESTLAB,2025-12-04,89.1,90.7,84.0,85.0,44400
QUESTLAB,2025-12-05,87.35,87.35,85.9,87.2,4800
