symbol,date,open,high,low,close,volume
RADAAN,2003-03-03,8.2,14.58,8.2,12.41,3258
RADAAN,2003-03-04,10.02,12.4,9.93,11.29,9729
RADAAN,2003-03-05,12.0,12.4,10.65,11.9,3335
RADAAN,2003-03-06,11.99,14.23,11.92,13.82,1268
RADAAN,2003-03-07,14.8,14.8,11.06,11.19,10359
RADAAN,2003-03-10,11.97,12.5,10.8,12.19,1959
RADAAN,2003-03-11,11.96,12.8,10.8,10.98,3726
RADAAN,2003-03-12,11.87,11.87,8.99,9.45,4573
RADAAN,2003-03-13,9.98,9.98,9.4,9.44,366
RADAAN,2003-03-14,9.44,9.44,9.44,9.44,0
RADAAN,2003-03-17,8.0,9.26,8.0,8.94,1298
RADAAN,2003-03-18,8.94,8.94,8.94,8.94,0
RADAAN,2003-03-19,7.22,9.0,7.22,8.02,3148
RADAAN,2003-03-20,8.0,8.0,7.3,7.76,1879
RADAAN,2003-03-21,7.6,8.1,7.5,7.85,1728
RADAAN,2003-03-24,7.84,7.84,7.54,7.6,560
RADAAN,2003-03-25,6.7,7.58,6.7,7.22,17719
RADAAN,2003-03-26,7.05,7.53,6.79,6.8,22729
RADAAN,2003-03-27,6.8,7.18,6.62,7.06,17064
RADAAN,2003-03-28,6.79,7.1,6.77,6.98,25714
RADAAN,2003-03-31,6.7,6.82,6.37,6.6,26933
RADAAN,2003-04-01,6.77,6.8,6.52,6.62,27559
RADAAN,2003-04-02,6.96,7.39,6.62,7.1,21476
RADAAN,2003-04-03,7.0,7.0,6.6,6.89,15645
RADAAN,2003-04-04,6.78,8.26,6.78,7.55,21985
RADAAN,2003-04-07,8.2,9.06,8.2,9.06,15501
RADAAN,2003-04-08,8.7,9.6,8.7,9.3,85240
RADAAN,2003-04-09,8.91,9.36,8.9,9.0,14977
RADAAN,2003-04-10,8.44,8.6,8.0,8.33,1015
RADAAN,2003-04-11,8.57,9.2,8.2,8.23,882
RADAAN,2003-04-14,8.23,8.23,8.23,8.23,0
RADAAN,2003-04-15,8.4,9.88,8.38,9.83,7816
RADAAN,2003-04-16,9.62,10.4,9.12,9.28,3386
RADAAN,2003-04-17,9.2,9.9,8.43,8.57,4056
RADAAN,2003-04-18,8.57,8.57,8.57,8.57,0
RADAAN,2003-04-21,9.15,10.29,9.15,10.27,59076
RADAAN,2003-04-22,10.2,12.33,10.05,11.95,17576
RADAAN,2003-04-23,13.7,13.7,11.55,12.69,59916
RADAAN,2003-04-24,12.6,13.21,11.82,12.38,9715
RADAAN,2003-04-25,12.4,12.4,11.6,12.05,10382
RADAAN,2003-04-28,12.34,12.6,11.95,12.6,271368
RADAAN,2003-04-29,12.48,12.5,12.02,12.28,40844
RADAAN,2003-04-30,12.38,12.38,11.6,11.83,49141
RADAAN,2003-05-01,11.83,11.83,11.83,11.83,0
RADAAN,2003-05-02,12.15,12.15,11.62,11.84,30016
RADAAN,2003-05-05,12.32,12.97,12.31,12.74,59925
RADAAN,2003-05-06,12.97,13.0,12.6,12.61,45761
RADAAN,2003-05-07,12.62,12.9,12.0,12.75,8375
RADAAN,2003-05-08,12.15,12.4,11.8,12.13,4296
RADAAN,2003-05-09,11.86,12.0,11.85,11.85,10645
RADAAN,2003-05-12,11.66,12.0,10.2,11.32,3773
RADAAN,2003-05-13,11.94,12.39,11.6,12.03,28604
RADAAN,2003-05-14,12.0,12.75,11.4,12.6,532621
RADAAN,2003-05-15,12.7,14.6,12.7,14.11,98802
RADAAN,2003-05-16,14.92,16.0,14.92,15.79,131846
RADAAN,2003-05-19,16.0,16.54,14.46,15.31,94381
RADAAN,2003-05-20,15.4,17.59,15.2,17.0,70450
RADAAN,2003-05-21,17.1,17.97,16.6,17.42,67778
RADAAN,2003-05-22,18.14,18.14,16.65,16.96,93789
RADAAN,2003-05-23,17.45,17.56,16.6,16.63,227219
RADAAN,2003-05-26,17.13,17.16,16.61,16.85,67469
RADAAN,2003-05-27,17.03,18.4,17.03,18.12,141046
RADAAN,2003-05-28,17.63,18.3,17.4,17.67,109126
RADAAN,2003-05-29,18.19,18.2,17.16,17.61,151153
