symbol,date,open,high,low,close,volume
RADIANTCMS,2025-07-24,58.0,58.58,56.94,57.11,324865
RADIANTCMS,2025-07-25,57.51,58.51,56.05,56.82,394244
RADIANTCMS,2025-07-28,56.82,58.0,55.2,55.62,180265
RADIANTCMS,2025-07-29,56.45,56.99,55.48,56.65,166995
RADIANTCMS,2025-07-30,56.51,57.0,55.0,55.45,328966
RADIANTCMS,2025-07-31,55.45,58.75,54.92,57.2,999543
RADIANTCMS,2025-08-01,57.0,61.9,56.61,59.62,1071910
RADIANTCMS,2025-08-04,59.62,62.4,59.33,61.46,580985
RADIANTCMS,2025-08-05,62.0,62.25,59.9,61.0,291386
RADIANTCMS,2025-08-06,58.52,59.5,54.51,55.06,939524
RADIANTCMS,2025-08-07,54.9,55.5,52.99,53.81,245113
RADIANTCMS,2025-08-08,54.09,55.6,51.4,53.22,240324
RADIANTCMS,2025-08-11,54.0,54.4,53.3,53.72,86835
RADIANTCMS,2025-08-12,54.36,54.54,53.02,53.62,83805
RADIANTCMS,2025-08-13,53.73,55.4,53.53,54.97,124940
RADIANTCMS,2025-08-14,55.6,55.6,49.4,51.36,335172
RADIANTCMS,2025-08-18,51.79,54.4,51.41,53.8,259997
RADIANTCMS,2025-08-19,54.12,56.07,54.11,55.48,297237
RADIANTCMS,2025-08-20,56.0,59.0,55.6,58.35,424442
RADIANTCMS,2025-08-21,58.4,60.0,58.4,58.88,330372
RADIANTCMS,2025-08-22,59.0,59.74,58.26,59.21,134072
RADIANTCMS,2025-08-25,59.5,60.9,59.05,59.57,254567
RADIANTCMS,2025-08-26,59.99,60.2,58.6,58.87,123074
RADIANTCMS,2025-08-28,58.9,59.99,58.6,59.07,189439
RADIANTCMS,2025-08-29,60.15,60.4,58.87,59.61,215712
RADIANTCMS,2025-09-01,59.7,62.3,59.7,61.49,872630
RADIANTCMS,2025-09-02,57.9,58.63,56.53,57.93,584905
RADIANTCMS,2025-09-03,57.54,57.88,56.8,56.98,200427
RADIANTCMS,2025-09-04,57.95,57.95,54.9,55.4,272275
RADIANTCMS,2025-09-05,55.21,56.33,55.21,56.1,96398
RADIANTCMS,2025-09-08,56.87,57.0,56.1,56.51,119428
RADIANTCMS,2025-09-09,56.98,57.34,56.1,56.77,66671
RADIANTCMS,2025-09-10,57.2,57.2,55.81,56.28,198063
RADIANTCMS,2025-09-11,56.85,57.0,56.31,56.86,61570
RADIANTCMS,2025-09-12,57.0,57.0,55.1,55.47,185745
RADIANTCMS,2025-09-15,55.2,56.83,55.2,55.9,63301
RADIANTCMS,2025-09-16,56.6,56.88,55.86,56.03,99065
RADIANTCMS,2025-09-17,56.75,56.75,55.2,55.71,117110
RADIANTCMS,2025-09-18,55.62,57.0,55.26,56.35,120907
RADIANTCMS,2025-09-19,56.95,56.95,55.6,56.01,98922
RADIANTCMS,2025-09-22,57.0,57.0,54.5,55.95,216017
RADIANTCMS,2025-09-23,55.15,56.43,55.15,55.96,65073
RADIANTCMS,2025-09-24,55.5,56.79,55.0,55.3,117641
RADIANTCMS,2025-09-25,56.0,56.0,55.03,55.41,59146
RADIANTCMS,2025-09-26,55.15,55.5,54.5,54.96,66915
RADIANTCMS,2025-09-29,54.98,55.5,51.72,53.08,171924
RADIANTCMS,2025-09-30,53.2,54.06,52.0,52.97,147728
RADIANTCMS,2025-10-01,53.3,53.9,52.8,53.27,86295
RADIANTCMS,2025-10-03,53.3,55.0,53.3,54.96,148660
RADIANTCMS,2025-10-06,55.66,57.0,55.41,56.02,141533
RADIANTCMS,2025-10-07,56.9,57.29,55.11,56.82,143851
RADIANTCMS,2025-10-08,57.49,57.49,55.67,56.18,72525
RADIANTCMS,2025-10-09,56.8,56.8,55.33,55.84,77288
RADIANTCMS,2025-10-10,56.7,56.7,55.51,56.12,93466
RADIANTCMS,2025-10-13,56.01,56.6,55.15,55.51,104435
RADIANTCMS,2025-10-14,54.9,55.99,54.0,55.27,133515
RADIANTCMS,2025-10-15,54.41,56.27,54.41,56.0,81900
RADIANTCMS,2025-10-16,55.35,56.89,55.35,56.51,127175
RADIANTCMS,2025-10-17,56.41,56.7,55.96,56.62,72680
RADIANTCMS,2025-10-20,55.9,57.01,54.76,55.02,112628
RADIANTCMS,2025-10-21,55.02,55.88,53.36,55.19,63136
RADIANTCMS,2025-10-23,55.5,55.5,52.93,53.24,335767
RADIANTCMS,2025-10-24,53.78,54.23,53.51,53.74,117557
RADIANTCMS,2025-10-27,53.7,54.69,53.52,54.29,96183
RADIANTCMS,2025-10-28,53.6,54.83,52.6,52.96,182654
RADIANTCMS,2025-10-29,53.26,53.94,52.76,52.99,81221
RADIANTCMS,2025-10-30,53.5,53.56,52.1,52.79,244371
RADIANTCMS,2025-10-31,52.8,53.89,52.5,52.93,77450
RADIANTCMS,2025-11-03,53.1,53.54,52.51,53.08,91305
RADIANTCMS,2025-11-04,53.74,53.74,51.84,52.17,128781
RADIANTCMS,2025-11-06,52.17,52.97,51.5,51.84,97853
RADIANTCMS,2025-11-07,51.0,52.68,50.4,52.52,180496
RADIANTCMS,2025-11-10,53.0,54.09,52.42,53.94,200091
RADIANTCMS,2025-11-11,54.46,55.05,52.55,53.92,215808
RADIANTCMS,2025-11-12,53.92,54.67,53.4,53.55,34564
RADIANTCMS,2025-11-13,53.8,53.96,53.15,53.56,40898
RADIANTCMS,2025-11-14,53.1,53.55,52.5,52.72,58166
RADIANTCMS,2025-11-17,53.0,54.35,52.5,53.6,73010
RADIANTCMS,2025-11-18,54.43,54.43,52.5,52.63,130403
RADIANTCMS,2025-11-19,53.4,53.44,52.3,52.81,97912
RADIANTCMS,2025-11-20,52.81,53.48,52.5,52.98,77646
RADIANTCMS,2025-11-21,53.45,53.45,52.0,52.57,68015
RADIANTCMS,2025-11-24,52.65,53.9,51.9,53.51,125071
RADIANTCMS,2025-11-25,53.99,53.99,52.3,52.37,53201
RADIANTCMS,2025-11-26,52.6,53.3,52.3,53.05,71485
RADIANTCMS,2025-11-27,52.76,53.75,52.75,53.17,56403
RADIANTCMS,2025-11-28,52.75,53.5,52.63,53.17,72767
RADIANTCMS,2025-12-01,53.18,53.75,52.0,52.33,92602
RADIANTCMS,2025-12-02,52.84,52.89,52.07,52.59,70344
RADIANTCMS,2025-12-03,52.6,54.01,52.16,53.11,101149
RADIANTCMS,2025-12-04,52.55,54.1,52.55,52.89,68265
RADIANTCMS,2025-12-05,52.75,53.95,52.3,53.24,62663
RADIANTCMS,2025-12-08,53.1,53.94,51.96,52.32,80564
RADIANTCMS,2025-12-09,52.1,53.3,51.5,52.96,64945
RADIANTCMS,2025-12-10,53.65,53.65,52.31,52.4,42252
RADIANTCMS,2025-12-11,52.2,52.99,51.56,52.61,23690
RADIANTCMS,2025-12-12,53.3,53.3,52.11,52.65,42835
RADIANTCMS,2025-12-15,53.34,53.34,52.11,52.83,95967
RADIANTCMS,2025-12-16,53.35,53.35,52.37,52.57,20350
RADIANTCMS,2025-12-17,53.0,53.0,52.05,52.45,41604
RADIANTCMS,2025-12-18,53.45,53.45,51.9,52.06,77039
RADIANTCMS,2025-12-19,52.1,52.78,51.21,51.85,47129
RADIANTCMS,2025-12-22,52.0,54.0,52.0,53.2,552819
RADIANTCMS,2025-12-23,53.97,53.97,52.1,52.47,90034
RADIANTCMS,2025-12-24,53.25,53.25,52.11,52.64,95136
RADIANTCMS,2025-12-26,52.5,53.24,52.25,52.57,59701
RADIANTCMS,2025-12-29,52.1,53.25,51.8,52.05,105778
RADIANTCMS,2025-12-30,52.0,52.3,51.01,51.2,63357
RADIANTCMS,2025-12-31,51.94,51.97,51.13,51.79,41428
RADIANTCMS,2026-01-01,52.07,52.45,51.49,51.84,41693
RADIANTCMS,2026-01-02,51.75,52.49,50.92,51.42,106180
RADIANTCMS,2026-01-05,51.1,51.89,51.1,51.32,45336
RADIANTCMS,2026-01-06,52.44,52.44,51.0,51.35,43752
RADIANTCMS,2026-01-07,51.05,51.65,51.05,51.19,61342
RADIANTCMS,2026-01-08,50.92,52.0,50.2,51.58,105667
RADIANTCMS,2026-01-09,51.99,51.99,50.7,51.35,38258
RADIANTCMS,2026-01-12,51.35,51.35,50.4,50.71,56063
RADIANTCMS,2026-01-13,51.5,51.72,50.0,50.15,68763
RADIANTCMS,2026-01-14,50.0,50.47,49.81,49.99,193337
RADIANTCMS,2026-01-15,49.99,49.99,49.99,49.99,0
RADIANTCMS,2026-01-16,49.41,50.0,48.76,49.33,122711
RADIANTCMS,2026-01-19,49.33,49.74,48.59,48.78,97084
RADIANTCMS,2026-01-20,48.54,48.77,47.0,47.97,114813
RADIANTCMS,2026-01-21,47.3,49.0,45.9,45.97,244525
RADIANTCMS,2026-01-22,46.2,47.0,45.5,45.75,156197
RADIANTCMS,2026-01-23,46.0,46.24,44.4,45.21,92865
RADIANTCMS,2026-01-27,45.84,46.44,43.96,44.15,76223
RADIANTCMS,2026-01-28,44.99,46.2,44.73,45.96,90001
RADIANTCMS,2026-01-29,47.0,47.98,45.04,45.56,64818
RADIANTCMS,2026-01-30,45.5,46.09,43.95,44.69,140311
RADIANTCMS,2026-02-02,45.5,45.6,43.9,44.67,72949
RADIANTCMS,2026-02-03,45.21,46.5,45.01,45.59,69910
RADIANTCMS,2026-02-04,46.3,46.3,45.5,45.9,51258
RADIANTCMS,2026-02-05,45.5,46.5,45.5,45.97,45307
RADIANTCMS,2026-02-06,46.5,46.5,45.5,45.7,34938
RADIANTCMS,2026-02-09,46.0,46.89,45.27,46.72,102492
RADIANTCMS,2026-02-10,46.96,49.5,46.96,48.07,148965
RADIANTCMS,2026-02-11,48.32,50.0,47.51,48.55,136286
RADIANTCMS,2026-02-12,48.89,48.89,43.85,44.11,369217
RADIANTCMS,2026-02-13,44.0,44.0,41.25,41.52,389073
RADIANTCMS,2026-02-16,41.52,43.0,38.95,39.08,305850
RADIANTCMS,2026-02-17,39.6,41.8,39.12,39.6,491746
RADIANTCMS,2026-02-18,39.69,41.49,38.35,38.57,323335
RADIANTCMS,2026-02-19,39.0,39.62,36.6,37.05,233441
RADIANTCMS,2026-02-20,36.82,40.05,36.75,38.84,302450
