symbol,date,open,high,low,close,volume
RADICO,2021-07-26,862.0,878.75,841.1,846.2,401600
RADICO,2021-07-27,846.0,857.95,820.1,826.45,327969
RADICO,2021-07-28,832.7,857.85,820.0,831.35,1326217
RADICO,2021-07-29,835.55,893.05,835.55,880.45,1623581
RADICO,2021-07-30,878.15,917.9,865.3,903.1,1269785
RADICO,2021-08-02,910.1,913.5,885.0,893.6,560704
RADICO,2021-08-03,894.4,897.95,882.2,886.7,319157
RADICO,2021-08-04,894.45,898.35,868.0,885.0,453216
RADICO,2021-08-05,885.0,894.9,872.85,889.05,275020
RADICO,2021-08-06,891.5,893.8,870.0,874.8,135667
RADICO,2021-08-09,871.7,878.95,850.0,854.9,224102
RADICO,2021-08-10,850.8,860.0,840.0,849.95,233278
RADICO,2021-08-11,855.1,903.0,851.0,892.05,1539013
RADICO,2021-08-12,905.0,945.0,905.0,935.25,1921038
RADICO,2021-08-13,939.4,944.0,915.0,920.55,657090
RADICO,2021-08-16,916.5,923.5,900.35,903.65,248589
RADICO,2021-08-17,900.0,932.7,897.0,919.9,689765
RADICO,2021-08-18,922.4,925.5,890.0,904.2,817652
RADICO,2021-08-20,890.0,901.1,880.0,884.35,224072
RADICO,2021-08-23,891.0,898.0,848.0,857.9,250820
RADICO,2021-08-24,851.15,882.7,833.0,868.6,619112
RADICO,2021-08-25,869.8,888.0,868.25,879.3,163323
RADICO,2021-08-26,872.4,908.9,871.25,885.1,694907
RADICO,2021-08-27,885.0,885.0,860.0,865.4,287234
RADICO,2021-08-30,870.0,891.85,867.45,882.7,175659
RADICO,2021-08-31,882.0,892.0,871.1,874.15,167601
RADICO,2021-09-01,878.0,886.6,859.75,880.55,192836
RADICO,2021-09-02,888.0,923.9,888.0,897.95,935715
RADICO,2021-09-03,900.0,911.8,889.1,894.7,390231
RADICO,2021-09-06,895.0,912.5,894.7,903.65,244098
RADICO,2021-09-07,906.0,927.8,890.25,896.45,468231
RADICO,2021-09-08,897.7,909.6,886.0,893.15,287870
RADICO,2021-09-09,886.7,914.05,886.7,909.15,321527
RADICO,2021-09-13,908.95,908.95,895.0,897.6,178203
RADICO,2021-09-14,900.75,925.0,890.1,895.05,575101
RADICO,2021-09-15,901.6,905.0,895.0,902.85,181515
RADICO,2021-09-16,903.4,918.85,898.2,907.2,388406
RADICO,2021-09-17,915.0,958.0,906.55,924.85,1901858
RADICO,2021-09-20,917.0,965.0,903.65,931.05,1082144
RADICO,2021-09-21,923.1,929.0,882.25,887.3,1384369
RADICO,2021-09-22,895.0,919.75,884.2,888.3,2018678
RADICO,2021-09-23,900.0,917.9,894.85,900.45,998824
RADICO,2021-09-24,904.25,911.5,885.1,893.25,406215
RADICO,2021-09-27,896.0,911.0,893.25,900.65,257946
RADICO,2021-09-28,905.0,913.9,897.65,905.3,407847
RADICO,2021-09-29,903.5,903.5,882.5,885.75,247573
RADICO,2021-09-30,893.65,907.0,876.0,881.0,472213
RADICO,2021-10-01,879.9,902.4,864.05,896.6,530082
RADICO,2021-10-04,902.5,915.0,898.15,910.45,410173
RADICO,2021-10-05,909.7,939.7,899.25,905.0,869891
RADICO,2021-10-06,907.0,959.0,907.0,948.4,1878239
RADICO,2021-10-07,961.45,988.9,954.95,968.8,1582833
RADICO,2021-10-08,974.0,978.5,949.8,971.05,605225
RADICO,2021-10-11,974.8,1030.0,970.0,1022.0,1356982
RADICO,2021-10-12,1036.0,1214.8,1022.55,1173.0,6592141
RADICO,2021-10-13,1175.0,1184.7,1120.35,1127.4,1178176
RADICO,2021-10-14,1137.55,1139.0,1063.6,1095.3,515836
RADICO,2021-10-18,1132.0,1148.0,1106.65,1118.9,423026
RADICO,2021-10-19,1127.95,1174.0,1090.0,1114.4,532143
RADICO,2021-10-20,1124.0,1159.7,1088.0,1114.75,372980
RADICO,2021-10-21,1115.8,1121.6,1080.15,1097.9,190368
RADICO,2021-10-22,1099.9,1145.0,1096.05,1124.4,319393
RADICO,2021-10-25,1107.0,1128.6,1046.7,1115.95,376026
RADICO,2021-10-26,1116.95,1144.5,1105.0,1109.7,273111
RADICO,2021-10-27,1119.6,1172.0,1103.2,1141.05,518703
