symbol,date,open,high,low,close,volume
RADIOCITY,2017-03-17,66.08,66.4,58.752,59.664,114924906
RADIOCITY,2017-03-20,58.4,59.92,57.2,58.84,14674812
RADIOCITY,2017-03-21,59.192,59.2,56.232,56.784,5609725
RADIOCITY,2017-03-22,56.0,58.08,55.68,57.272,4038712
RADIOCITY,2017-03-23,57.248,57.872,56.992,57.264,1856881
RADIOCITY,2017-03-24,57.04,58.48,56.888,57.392,2973293
RADIOCITY,2017-03-27,57.376,57.744,57.0,57.272,1424512
RADIOCITY,2017-03-28,57.28,57.496,56.456,56.672,1392425
RADIOCITY,2017-03-29,56.768,57.384,55.92,56.8,3171668
RADIOCITY,2017-03-30,56.752,58.064,56.56,57.36,2511062
RADIOCITY,2017-03-31,57.344,58.08,56.736,57.688,1171525
RADIOCITY,2017-04-03,57.76,58.4,57.136,57.88,2373125
RADIOCITY,2017-04-05,57.936,58.08,56.968,57.552,3910625
RADIOCITY,2017-04-06,57.304,57.584,57.152,57.288,1496043
RADIOCITY,2017-04-07,56.96,58.976,56.96,57.936,1503843
RADIOCITY,2017-04-10,57.824,59.792,57.68,57.84,1635393
RADIOCITY,2017-04-11,57.76,58.392,57.592,57.824,711156
RADIOCITY,2017-04-12,57.92,59.6,57.504,58.024,1722600
RADIOCITY,2017-04-13,58.208,58.304,57.4,57.584,990018
RADIOCITY,2017-04-17,57.6,57.704,55.2,55.72,4754637
RADIOCITY,2017-04-18,56.016,56.728,54.24,54.64,1915268
RADIOCITY,2017-04-19,55.192,55.744,54.416,54.992,418893
RADIOCITY,2017-04-20,55.04,55.656,54.44,55.208,409831
RADIOCITY,2017-04-21,55.52,55.52,54.576,55.36,794218
RADIOCITY,2017-04-24,55.4,55.656,54.24,54.92,384925
RADIOCITY,2017-04-25,54.72,55.504,54.72,55.192,387450
RADIOCITY,2017-04-26,54.736,56.8,54.736,56.56,796218
RADIOCITY,2017-04-27,56.36,56.712,55.84,56.016,1269450
RADIOCITY,2017-04-28,56.72,56.72,55.92,56.064,183956
RADIOCITY,2017-05-02,56.016,56.304,55.6,55.872,209368
RADIOCITY,2017-05-03,55.776,57.152,55.704,56.824,404200
RADIOCITY,2017-05-04,56.96,56.96,56.8,56.872,271537
RADIOCITY,2017-05-05,56.552,57.376,55.88,56.016,360693
RADIOCITY,2017-05-08,55.824,56.64,55.816,56.016,117737
RADIOCITY,2017-05-09,55.624,56.208,55.36,55.496,198250
RADIOCITY,2017-05-10,55.408,55.824,54.736,55.112,1403412
RADIOCITY,2017-05-11,54.768,55.28,54.304,54.4,299337
RADIOCITY,2017-05-12,54.72,55.224,54.248,54.76,503675
RADIOCITY,2017-05-15,54.616,55.032,54.56,54.808,168287
RADIOCITY,2017-05-16,54.728,55.28,53.84,55.192,814218
RADIOCITY,2017-05-17,55.096,55.36,54.24,55.128,373918
RADIOCITY,2017-05-18,55.16,55.16,54.392,54.488,450793
RADIOCITY,2017-05-19,54.408,55.04,54.4,54.56,594925
RADIOCITY,2017-05-22,54.56,55.184,53.816,55.08,274800
RADIOCITY,2017-05-23,54.16,54.92,53.36,54.4,200575
RADIOCITY,2017-05-24,54.096,56.0,53.936,55.472,353256
RADIOCITY,2017-05-25,55.52,55.52,54.648,55.048,204162
RADIOCITY,2017-05-26,54.4,54.96,54.272,54.672,462862
RADIOCITY,2017-05-29,54.4,54.56,53.44,54.432,1045093
RADIOCITY,2017-05-30,54.56,55.592,53.536,55.28,1255550
RADIOCITY,2017-05-31,54.472,56.608,54.376,55.784,333906
RADIOCITY,2017-06-01,55.976,55.976,53.456,53.928,156556
RADIOCITY,2017-06-02,54.36,54.544,54.12,54.408,156181
RADIOCITY,2017-06-05,54.56,55.24,54.088,54.4,237450
