symbol,date,open,high,low,close,volume
RAIN,2021-07-26,254.0,257.5,251.1,254.5,3834309
RAIN,2021-07-27,254.9,263.45,252.1,256.6,5575258
RAIN,2021-07-28,257.45,257.45,245.75,254.55,3726046
RAIN,2021-07-29,255.2,269.5,255.2,265.45,7272103
RAIN,2021-07-30,266.5,268.5,257.7,261.75,3228704
RAIN,2021-08-02,268.5,272.75,251.15,255.4,6429616
RAIN,2021-08-03,258.0,259.7,242.0,244.85,4107908
RAIN,2021-08-04,245.0,255.5,243.5,253.75,5572546
RAIN,2021-08-05,255.0,255.7,245.9,249.35,3027468
RAIN,2021-08-06,247.0,252.5,247.0,248.6,1886559
RAIN,2021-08-09,249.95,250.75,241.0,242.7,2106606
RAIN,2021-08-10,241.4,243.45,221.25,225.5,4933852
RAIN,2021-08-11,225.0,235.25,216.0,233.75,5764682
RAIN,2021-08-12,234.0,237.75,229.45,235.3,3009944
RAIN,2021-08-13,234.9,236.75,230.0,231.35,1804861
RAIN,2021-08-16,230.95,231.2,223.8,225.35,1458972
RAIN,2021-08-17,222.4,230.75,218.6,220.7,2648756
RAIN,2021-08-18,221.85,223.85,212.7,214.5,2546991
RAIN,2021-08-20,212.3,217.8,206.0,206.65,2804284
RAIN,2021-08-23,209.55,211.0,191.6,195.1,4594932
RAIN,2021-08-24,195.0,212.5,194.7,210.3,5072533
RAIN,2021-08-25,211.0,217.0,209.35,211.5,3329507
RAIN,2021-08-26,211.1,215.0,206.7,211.1,2152069
RAIN,2021-08-27,211.5,214.8,209.55,210.9,1590005
RAIN,2021-08-30,212.0,219.9,212.0,217.95,2824845
RAIN,2021-08-31,218.8,227.5,217.8,225.65,4411724
RAIN,2021-09-01,226.0,228.3,218.35,220.85,2436935
RAIN,2021-09-02,220.85,227.1,220.25,222.45,2345094
RAIN,2021-09-03,223.6,226.0,219.55,221.9,2117413
RAIN,2021-09-06,221.85,237.2,218.75,235.45,8023478
RAIN,2021-09-07,236.65,238.5,230.4,231.75,2791183
RAIN,2021-09-08,232.0,235.9,228.0,229.25,1728648
RAIN,2021-09-09,230.8,249.3,230.75,243.4,13648601
RAIN,2021-09-13,244.0,249.9,239.1,243.55,4030128
RAIN,2021-09-14,245.1,247.55,240.3,242.65,1843614
RAIN,2021-09-15,243.45,248.4,239.7,240.95,1938570
RAIN,2021-09-16,241.75,242.5,236.2,237.9,1818782
RAIN,2021-09-17,240.0,242.0,227.65,237.7,3432245
RAIN,2021-09-20,231.3,240.0,223.0,225.85,2294801
RAIN,2021-09-21,223.0,225.95,217.05,223.0,2739103
RAIN,2021-09-22,224.0,232.95,224.0,229.75,2291176
RAIN,2021-09-23,232.05,234.1,227.1,227.95,1153375
RAIN,2021-09-24,229.25,234.0,223.65,226.4,1578803
RAIN,2021-09-27,229.0,235.75,224.55,232.05,2892646
RAIN,2021-09-28,233.2,241.9,230.3,234.7,3385311
RAIN,2021-09-29,233.7,240.0,232.45,236.05,1932387
RAIN,2021-09-30,237.25,243.0,236.7,240.9,2561283
RAIN,2021-10-01,242.05,248.5,240.9,243.4,4845886
RAIN,2021-10-04,245.6,254.8,244.35,253.55,5936138
RAIN,2021-10-05,254.0,259.5,251.95,253.05,3879610
RAIN,2021-10-06,254.0,255.55,241.0,242.65,2735590
RAIN,2021-10-07,244.9,247.8,239.1,240.95,1585160
RAIN,2021-10-08,242.8,245.45,237.05,238.35,1742832
RAIN,2021-10-11,239.6,246.3,238.7,239.75,1494392
RAIN,2021-10-12,240.6,244.9,238.0,241.95,1244099
RAIN,2021-10-13,243.5,244.9,238.5,240.0,1246185
RAIN,2021-10-14,241.75,244.0,238.6,239.7,1105456
RAIN,2021-10-18,242.1,255.35,242.0,252.0,4867180
RAIN,2021-10-19,253.65,254.4,242.0,243.1,3069411
RAIN,2021-10-20,242.0,243.45,231.65,238.35,1954067
RAIN,2021-10-21,241.0,241.6,227.85,229.3,2465799
RAIN,2021-10-22,231.0,234.2,224.75,229.8,1735497
RAIN,2021-10-25,231.0,231.85,220.75,222.1,1365556
RAIN,2021-10-26,222.2,231.2,222.2,229.95,1170766
RAIN,2021-10-27,231.05,239.4,229.0,237.9,2059271
RAIN,2021-10-28,239.5,239.5,229.5,232.35,1221306
RAIN,2021-10-29,233.0,235.35,225.1,227.6,1257411
RAIN,2021-11-01,228.5,236.7,219.25,220.55,2658883
RAIN,2021-11-02,222.45,225.65,218.6,220.3,1224173
