symbol,date,open,high,low,close,volume
RAJTV,2025-07-23,44.89,44.89,43.15,44.19,1985
RAJTV,2025-07-24,44.19,44.21,42.7,42.94,19156
RAJTV,2025-07-25,43.49,43.49,42.8,43.2,1872
RAJTV,2025-07-28,43.95,43.95,43.5,43.5,3543
RAJTV,2025-07-29,43.5,44.0,42.5,43.99,4380
RAJTV,2025-07-30,43.95,43.95,43.1,43.7,975
RAJTV,2025-07-31,43.7,43.7,42.51,42.55,1531
RAJTV,2025-08-01,42.55,43.11,42.11,42.52,1117
RAJTV,2025-08-04,42.75,42.75,42.0,42.04,3188
RAJTV,2025-08-05,43.35,43.35,42.11,42.18,1820
RAJTV,2025-08-06,42.19,42.2,42.19,42.19,1305
RAJTV,2025-08-07,42.2,42.25,41.57,42.21,1698
RAJTV,2025-08-08,42.0,44.32,42.0,43.39,2861
RAJTV,2025-08-11,43.38,43.39,42.22,42.56,4118
RAJTV,2025-08-12,42.71,43.84,42.6,42.62,221
RAJTV,2025-08-13,42.6,43.0,42.6,42.6,113
RAJTV,2025-08-14,42.6,43.28,41.11,41.51,4682
RAJTV,2025-08-18,43.01,43.01,41.15,42.34,3893
RAJTV,2025-08-19,42.99,42.99,42.1,42.28,1711
RAJTV,2025-08-20,42.19,44.39,42.11,44.25,31869
RAJTV,2025-08-21,44.59,45.69,43.16,43.75,2405
RAJTV,2025-08-22,43.75,45.64,43.75,44.75,5831
RAJTV,2025-08-25,45.25,46.55,42.99,43.98,13332
RAJTV,2025-08-26,45.44,45.44,42.0,42.33,14883
RAJTV,2025-08-28,42.49,43.44,41.1,41.41,5519
RAJTV,2025-08-29,41.8,42.19,40.95,41.58,10099
RAJTV,2025-09-01,41.02,43.4,41.01,42.41,9288
RAJTV,2025-09-02,42.62,43.4,42.15,43.13,1426
RAJTV,2025-09-03,43.09,43.09,42.31,42.42,2792
RAJTV,2025-09-04,42.57,43.8,42.37,42.43,2527
RAJTV,2025-09-05,42.57,43.55,42.28,42.92,1567
RAJTV,2025-09-08,42.04,43.44,42.04,42.12,3169
RAJTV,2025-09-09,43.99,43.99,41.94,42.87,1073
RAJTV,2025-09-10,43.44,43.44,42.14,42.81,2141
RAJTV,2025-09-11,42.12,43.85,42.12,42.29,6826
RAJTV,2025-09-12,42.56,43.0,40.17,42.18,23369
RAJTV,2025-09-15,42.1,42.1,41.29,41.79,4438
RAJTV,2025-09-16,42.73,43.49,41.65,42.3,16704
RAJTV,2025-09-17,43.11,43.11,41.76,41.89,4116
RAJTV,2025-09-18,42.99,42.99,41.0,41.36,12210
RAJTV,2025-09-19,41.57,42.9,41.01,41.78,7533
RAJTV,2025-09-22,43.78,43.78,41.26,41.69,769
RAJTV,2025-09-23,41.69,42.0,40.5,41.43,6249
RAJTV,2025-09-24,41.23,41.9,40.7,40.99,3168
RAJTV,2025-09-25,41.69,41.69,41.0,41.02,2162
RAJTV,2025-09-26,41.58,41.58,40.22,40.66,2905
RAJTV,2025-09-29,41.3,41.3,40.7,40.88,3182
RAJTV,2025-09-30,42.47,42.47,40.46,41.02,2793
RAJTV,2025-10-01,42.0,42.0,40.31,41.55,439
RAJTV,2025-10-03,41.55,42.76,41.1,41.52,1815
RAJTV,2025-10-06,41.0,41.86,40.75,41.0,1744
RAJTV,2025-10-07,40.66,41.97,40.6,41.45,2047
RAJTV,2025-10-08,40.82,42.71,40.7,41.47,3866
RAJTV,2025-10-09,40.65,41.9,40.65,40.76,2067
RAJTV,2025-10-10,40.81,41.48,40.55,40.78,4010
RAJTV,2025-10-13,41.48,41.48,40.6,40.7,1196
RAJTV,2025-10-14,40.67,41.0,40.67,40.76,905
RAJTV,2025-10-15,41.44,41.44,40.7,40.71,2289
RAJTV,2025-10-16,41.38,41.4,40.55,41.18,1808
RAJTV,2025-10-17,41.18,41.18,40.6,40.61,208
RAJTV,2025-10-20,40.66,41.44,40.65,40.68,2864
RAJTV,2025-10-21,41.39,41.8,41.39,41.47,362
RAJTV,2025-10-23,41.0,41.55,40.75,40.79,1614
RAJTV,2025-10-24,41.48,41.83,40.81,40.84,2510
RAJTV,2025-10-27,40.77,41.4,40.76,40.77,4676
RAJTV,2025-10-28,41.11,41.31,40.75,40.96,4386
RAJTV,2025-10-29,40.71,41.49,40.4,40.63,6059
RAJTV,2025-10-30,40.67,40.97,40.3,40.88,9007
RAJTV,2025-10-31,40.88,41.0,40.54,40.92,378
RAJTV,2025-11-03,40.1,42.49,40.1,40.6,1710
RAJTV,2025-11-04,42.74,42.74,41.0,41.49,2156
RAJTV,2025-11-06,41.49,41.49,38.5,39.65,10725
RAJTV,2025-11-07,39.65,40.35,39.65,40.02,2383
RAJTV,2025-11-10,40.22,40.99,37.05,38.27,20328
RAJTV,2025-11-11,37.66,38.3,37.0,37.6,8384
RAJTV,2025-11-12,37.67,38.0,36.7,37.46,9105
RAJTV,2025-11-13,38.01,38.94,37.0,37.14,12949
RAJTV,2025-11-14,37.14,38.18,36.8,37.35,6043
RAJTV,2025-11-17,37.3,38.8,37.0,37.19,4448
RAJTV,2025-11-18,37.94,37.95,36.82,37.39,4940
RAJTV,2025-11-19,37.94,37.94,36.75,37.35,4363
RAJTV,2025-11-20,37.58,38.7,37.09,38.54,8439
RAJTV,2025-11-21,40.0,41.22,38.19,40.34,40533
RAJTV,2025-11-24,40.34,41.98,40.0,40.78,7953
RAJTV,2025-11-25,40.99,41.55,40.01,41.49,1925
