symbol,date,open,high,low,close,volume
RAMASTEEL,2025-07-23,11.7,11.71,11.41,11.58,5478375
RAMASTEEL,2025-07-24,11.6,11.65,11.31,11.35,4760537
RAMASTEEL,2025-07-25,11.35,11.35,11.16,11.22,4036883
RAMASTEEL,2025-07-28,11.65,11.65,10.96,11.08,7416391
RAMASTEEL,2025-07-29,10.98,11.25,10.83,11.15,5725715
RAMASTEEL,2025-07-30,11.0,11.34,11.0,11.02,6621268
RAMASTEEL,2025-07-31,11.0,11.14,10.8,10.96,4051936
RAMASTEEL,2025-08-01,10.95,11.03,10.76,10.82,3805401
RAMASTEEL,2025-08-04,10.82,11.23,10.78,11.05,7002299
RAMASTEEL,2025-08-05,11.1,11.18,10.81,10.9,3220102
RAMASTEEL,2025-08-06,10.99,10.99,10.78,10.86,3044330
RAMASTEEL,2025-08-07,10.76,10.9,10.65,10.8,3382623
RAMASTEEL,2025-08-08,10.8,10.94,10.0,10.68,2406811
RAMASTEEL,2025-08-11,10.76,10.95,10.6,10.78,4078509
RAMASTEEL,2025-08-12,10.73,11.0,10.69,10.78,4646719
RAMASTEEL,2025-08-13,10.75,10.84,10.5,10.55,4007053
RAMASTEEL,2025-08-14,10.55,10.65,10.48,10.51,3150784
RAMASTEEL,2025-08-18,10.6,10.75,10.54,10.6,3180631
RAMASTEEL,2025-08-19,10.78,10.85,10.62,10.79,4060415
RAMASTEEL,2025-08-20,10.71,10.9,10.71,10.79,4118567
RAMASTEEL,2025-08-21,10.75,10.97,10.67,10.69,5106539
RAMASTEEL,2025-08-22,10.65,10.76,10.35,10.44,8197406
RAMASTEEL,2025-08-25,10.5,10.64,10.19,10.28,6557657
RAMASTEEL,2025-08-26,10.28,10.37,9.97,10.02,7630585
RAMASTEEL,2025-08-28,10.08,10.23,9.95,10.03,7212873
RAMASTEEL,2025-08-29,10.0,10.12,9.85,9.9,7146177
RAMASTEEL,2025-09-01,10.0,10.44,9.91,10.3,8059414
RAMASTEEL,2025-09-02,10.29,10.77,10.16,10.54,9086391
RAMASTEEL,2025-09-03,10.49,10.73,10.47,10.54,4217056
RAMASTEEL,2025-09-04,10.6,10.72,10.21,10.33,3705685
RAMASTEEL,2025-09-05,10.35,10.44,10.26,10.35,2522060
RAMASTEEL,2025-09-08,10.35,10.53,10.25,10.28,5138371
RAMASTEEL,2025-09-09,10.34,10.41,10.17,10.24,2873717
RAMASTEEL,2025-09-10,10.25,10.49,10.22,10.25,3702744
RAMASTEEL,2025-09-11,10.28,10.52,10.2,10.29,6584968
RAMASTEEL,2025-09-12,10.3,10.41,10.27,10.29,2502391
