symbol,date,open,high,low,close,volume
RANASUG,2025-07-24,15.0,15.35,15.0,15.09,194559
RANASUG,2025-07-25,15.05,15.25,14.77,14.82,206282
RANASUG,2025-07-28,14.88,15.14,14.5,14.53,167281
RANASUG,2025-07-29,14.57,14.86,14.2,14.39,196610
RANASUG,2025-07-30,14.52,14.65,14.36,14.48,97612
RANASUG,2025-07-31,14.48,14.59,14.25,14.41,135846
RANASUG,2025-08-01,14.5,14.78,14.05,14.24,117931
RANASUG,2025-08-04,14.44,14.52,14.2,14.39,60574
RANASUG,2025-08-05,14.62,14.62,14.02,14.13,208699
RANASUG,2025-08-06,14.31,14.31,13.96,14.01,119217
RANASUG,2025-08-07,14.3,14.3,13.92,14.06,138344
RANASUG,2025-08-08,14.0,14.25,13.93,14.09,128430
RANASUG,2025-08-11,14.09,14.2,13.9,14.02,90418
RANASUG,2025-08-12,14.25,14.27,14.05,14.1,72439
RANASUG,2025-08-13,14.3,14.37,14.03,14.14,81250
RANASUG,2025-08-14,14.14,14.45,14.01,14.36,222049
RANASUG,2025-08-18,14.1,14.41,14.01,14.08,174777
RANASUG,2025-08-19,14.08,14.29,14.08,14.26,78823
RANASUG,2025-08-20,14.26,14.53,14.09,14.44,178585
RANASUG,2025-08-21,14.44,14.7,14.44,14.61,88985
RANASUG,2025-08-22,14.43,14.7,14.33,14.58,103153
RANASUG,2025-08-25,14.92,14.92,14.21,14.27,96026
RANASUG,2025-08-26,14.48,14.64,14.18,14.2,98237
RANASUG,2025-08-28,14.2,14.47,14.02,14.18,103547
RANASUG,2025-08-29,14.18,14.34,14.0,14.25,126940
RANASUG,2025-09-01,14.4,14.5,14.12,14.23,128321
RANASUG,2025-09-02,14.65,15.69,14.65,14.95,1922530
RANASUG,2025-09-03,15.1,15.44,14.95,15.11,290148
RANASUG,2025-09-04,15.4,15.4,14.85,14.94,154757
RANASUG,2025-09-05,14.94,15.18,14.58,14.67,193743
RANASUG,2025-09-08,14.86,14.86,14.53,14.7,75758
RANASUG,2025-09-09,14.7,14.83,14.47,14.62,88932
RANASUG,2025-09-10,14.73,14.8,14.3,14.4,339494
RANASUG,2025-09-11,14.54,14.68,14.34,14.42,81422
RANASUG,2025-09-12,14.5,14.65,14.18,14.27,163152
RANASUG,2025-09-15,14.39,14.58,14.25,14.29,174249
RANASUG,2025-09-16,14.29,14.53,14.29,14.31,111329
RANASUG,2025-09-17,14.39,15.0,14.32,14.66,114293
RANASUG,2025-09-18,14.66,15.0,14.38,14.75,268205
RANASUG,2025-09-19,14.5,14.9,14.5,14.66,190276
RANASUG,2025-09-22,14.89,14.89,14.52,14.59,171320
RANASUG,2025-09-23,14.65,14.67,14.15,14.47,286792
RANASUG,2025-09-24,14.47,14.7,14.32,14.62,214529
RANASUG,2025-09-25,14.62,14.77,14.5,14.52,113989
RANASUG,2025-09-26,14.32,14.6,14.2,14.24,234690
RANASUG,2025-09-29,14.16,14.51,14.16,14.19,78900
RANASUG,2025-09-30,14.4,14.4,14.12,14.16,70109
RANASUG,2025-10-01,14.16,14.39,14.13,14.22,76073
RANASUG,2025-10-03,14.7,14.7,14.23,14.45,112504
RANASUG,2025-10-06,14.45,14.62,14.26,14.32,71352
RANASUG,2025-10-07,14.32,14.55,14.23,14.27,165563
RANASUG,2025-10-08,14.27,15.39,14.17,15.07,809236
RANASUG,2025-10-09,15.24,15.24,14.54,14.89,200281
RANASUG,2025-10-10,14.86,15.15,14.86,14.97,193959
RANASUG,2025-10-13,14.67,14.9,14.51,14.57,174605
RANASUG,2025-10-14,14.86,14.86,14.42,14.51,113489
RANASUG,2025-10-15,14.36,14.77,14.25,14.32,145033
RANASUG,2025-10-16,14.5,14.61,14.24,14.29,99707
RANASUG,2025-10-17,14.29,14.62,14.12,14.28,136044
RANASUG,2025-10-20,14.21,14.44,14.21,14.25,64516
RANASUG,2025-10-21,14.25,14.35,14.25,14.28,52682
RANASUG,2025-10-23,14.43,14.82,14.26,14.38,248999
RANASUG,2025-10-24,14.58,14.58,14.31,14.45,111139
RANASUG,2025-10-27,14.45,14.6,14.28,14.34,166919
RANASUG,2025-10-28,14.3,14.54,14.3,14.33,123084
RANASUG,2025-10-29,14.42,14.63,14.32,14.47,253331
