symbol,date,open,high,low,close,volume
RATNAMANI,2006-05-09,63.8467,64.32,58.2467,58.66,170565
RATNAMANI,2006-05-10,61.2,61.2,56.7,58.12,77572
RATNAMANI,2006-05-11,57.0667,57.6,55.2667,55.5467,17527
RATNAMANI,2006-05-12,55.0,56.52,53.3333,53.5667,26970
RATNAMANI,2006-05-15,53.32,55.3333,50.9333,52.7733,29917
RATNAMANI,2006-05-16,52.1333,53.86,51.3333,53.86,8715
RATNAMANI,2006-05-17,54.5333,56.5533,54.5333,56.5533,3952
RATNAMANI,2006-05-18,56.0,59.3333,54.7067,55.9133,46417
RATNAMANI,2006-05-19,54.9333,54.9333,53.3667,53.3733,12262
RATNAMANI,2006-05-22,50.9333,53.3333,50.7067,50.7067,4125
RATNAMANI,2006-05-23,48.6667,53.2,48.6667,49.7267,2407
RATNAMANI,2006-05-24,49.3333,51.0667,47.6667,49.2133,1350
RATNAMANI,2006-05-25,48.9333,51.6733,46.82,51.6333,4072
RATNAMANI,2006-05-26,54.22,54.22,49.6,51.1,1305
RATNAMANI,2006-05-29,50.52,53.0533,50.1333,50.26,40882
RATNAMANI,2006-05-30,50.6533,51.9933,50.4133,51.9933,375
RATNAMANI,2006-05-31,49.4,49.4,49.3933,49.3933,975
RATNAMANI,2006-06-01,47.08,49.0333,46.9267,46.9267,1987
RATNAMANI,2006-06-02,44.6667,44.6667,44.6667,44.6667,15
RATNAMANI,2006-06-05,44.2667,44.2667,44.2667,44.2667,2625
RATNAMANI,2006-06-06,42.0533,42.0533,42.0533,42.0533,0
RATNAMANI,2006-06-07,42.0533,42.0533,42.0533,42.0533,0
RATNAMANI,2006-06-08,42.0533,42.0533,42.0533,42.0533,0
RATNAMANI,2006-06-09,42.0533,42.0533,42.0533,42.0533,15
RATNAMANI,2006-06-12,40.66,40.66,40.66,40.66,0
RATNAMANI,2006-06-13,39.9533,39.9533,39.9533,39.9533,0
RATNAMANI,2006-06-14,39.9533,39.9533,39.9533,39.9533,187
RATNAMANI,2006-06-15,38.0,41.5933,38.0,38.7467,2047
RATNAMANI,2006-06-16,40.0,40.6867,40.0,40.6867,2122
RATNAMANI,2006-06-19,42.5333,42.7267,42.1333,42.7267,10485
RATNAMANI,2006-06-20,44.0,44.8667,44.0,44.8667,2137
RATNAMANI,2006-06-21,45.3333,47.1133,45.3333,47.1133,2265
RATNAMANI,2006-06-22,49.4667,49.4667,47.3733,47.5,6480
RATNAMANI,2006-06-23,47.3733,48.0,45.2,46.3933,8932
RATNAMANI,2006-06-26,44.8267,44.8267,44.8,44.8,315
RATNAMANI,2006-06-27,42.6667,43.8667,42.6667,43.0667,5430
RATNAMANI,2006-06-28,43.0667,44.0,43.0667,44.0,1935
RATNAMANI,2006-06-29,43.7467,43.7467,42.6733,42.9333,457
RATNAMANI,2006-06-30,44.4,45.08,43.6,44.9933,2790
RATNAMANI,2006-07-03,45.2667,45.2667,45.2667,45.2667,150
RATNAMANI,2006-07-04,44.6667,45.32,44.6667,45.32,825
RATNAMANI,2006-07-05,44.0,44.1333,44.0,44.1333,412
RATNAMANI,2006-07-06,44.1333,44.8,44.1333,44.1667,817
RATNAMANI,2006-07-07,44.12,44.12,44.12,44.12,60
RATNAMANI,2006-07-10,43.8667,43.8667,42.1333,42.2867,2002
RATNAMANI,2006-07-11,42.0,44.0,42.0,44.0,337
RATNAMANI,2006-07-12,45.2,45.3333,43.2,44.9533,1125
RATNAMANI,2006-07-13,44.6733,45.3333,44.6667,45.3333,12435
RATNAMANI,2006-07-14,43.3333,45.3267,43.3333,44.1333,225
RATNAMANI,2006-07-17,45.0667,45.3333,45.0667,45.3333,1125
RATNAMANI,2006-07-18,47.6,47.6,43.0667,43.0933,1357
RATNAMANI,2006-07-19,41.0,41.0,41.0,41.0,7
RATNAMANI,2006-07-20,40.0,40.0,39.0867,39.2333,495
RATNAMANI,2006-07-21,37.3333,37.3333,37.3333,37.3333,1500
RATNAMANI,2006-07-24,37.6,38.0,35.4667,38.0,1095
RATNAMANI,2006-07-25,38.0,38.0,36.6667,37.3333,3187
RATNAMANI,2006-07-26,38.0,39.2,38.0,38.68,81217
RATNAMANI,2006-07-27,40.0,40.6,40.0,40.6,1950
RATNAMANI,2006-07-28,38.6667,41.5333,38.6667,40.6667,2535
RATNAMANI,2006-07-31,38.82,42.6933,38.82,42.6933,13327
