symbol,date,open,high,low,close,volume
RCOM,2002-08-12,237.75,243.3,234.3,240.95,4440241
RCOM,2002-08-13,242.5,244.0,241.3,242.55,1554070
RCOM,2002-08-14,242.1,243.5,238.15,238.55,2417646
RCOM,2002-08-15,238.55,238.55,238.55,238.55,0
RCOM,2002-08-16,241.0,243.9,240.3,242.8,1975544
RCOM,2002-08-19,244.1,246.7,244.1,245.25,2054911
RCOM,2002-08-20,246.5,250.5,245.4,248.9,3269448
RCOM,2002-08-21,249.05,251.05,244.8,245.2,1991301
RCOM,2002-08-22,247.0,249.4,246.0,247.65,1792486
RCOM,2002-08-23,249.9,250.45,246.6,249.75,1411719
RCOM,2002-08-26,250.05,252.8,249.2,250.95,1648160
RCOM,2002-08-27,260.0,260.0,246.0,246.6,1337440
RCOM,2002-08-28,245.5,247.0,244.2,245.7,956877
RCOM,2002-08-29,245.0,250.0,244.6,249.6,2058052
RCOM,2002-08-30,250.7,256.4,249.0,255.5,3381295
RCOM,2002-09-02,260.0,268.0,260.0,265.25,4126554
RCOM,2002-09-03,266.4,266.9,261.1,264.3,2146322
RCOM,2002-09-04,262.0,270.95,261.0,269.3,4934888
RCOM,2002-09-05,270.0,270.85,265.0,265.95,2123615
RCOM,2002-09-06,266.0,268.4,263.25,265.65,2514536
RCOM,2002-09-09,264.9,266.0,257.75,260.95,2470540
RCOM,2002-09-10,260.95,260.95,260.95,260.95,0
RCOM,2002-09-11,261.0,262.1,256.5,257.4,2066219
RCOM,2002-09-12,257.8,263.65,257.5,260.5,2786878
RCOM,2002-09-13,261.15,264.95,257.7,259.0,3702270
RCOM,2002-09-16,260.0,261.2,257.0,258.05,2115338
RCOM,2002-09-17,258.25,262.95,258.25,261.6,1336037
RCOM,2002-09-18,260.0,261.8,258.0,258.65,1227802
RCOM,2002-09-19,259.45,259.45,255.5,258.1,1510321
RCOM,2002-09-20,255.0,257.4,253.05,255.5,1757760
RCOM,2002-09-23,257.0,261.95,255.0,260.0,1821705
RCOM,2002-09-24,259.0,261.3,254.3,255.5,2417212
RCOM,2002-09-25,254.1,255.95,252.0,255.35,1211786
RCOM,2002-09-26,257.0,257.1,254.75,255.7,584209
RCOM,2002-09-27,255.75,259.5,253.8,257.95,1865491
RCOM,2002-09-30,257.25,260.0,257.1,258.05,2254774
RCOM,2002-10-01,256.1,257.5,249.05,250.0,2075680
RCOM,2002-10-02,250.0,250.0,250.0,250.0,0
RCOM,2002-10-03,249.0,249.5,240.5,242.1,4891437
RCOM,2002-10-04,241.1,241.85,235.05,236.15,3961069
RCOM,2002-10-07,235.0,241.65,234.6,240.15,2026576
RCOM,2002-10-08,240.65,243.8,239.8,242.35,1331793
RCOM,2002-10-09,242.75,243.4,237.7,238.4,1444782
RCOM,2002-10-10,237.0,239.4,235.25,236.9,1495105
RCOM,2002-10-11,251.0,251.0,238.1,239.6,1287555
RCOM,2002-10-14,241.0,243.4,240.0,242.2,1047072
RCOM,2002-10-15,242.2,242.2,242.2,242.2,0
RCOM,2002-10-16,243.5,247.25,242.8,244.2,1966995
RCOM,2002-10-17,243.5,244.8,241.65,243.65,1207311
RCOM,2002-10-18,244.7,247.35,241.55,242.9,1421229
RCOM,2002-10-21,244.0,244.2,241.2,242.15,792887
RCOM,2002-10-22,243.1,243.3,239.05,239.95,1114776
RCOM,2002-10-23,237.8,237.8,235.4,235.95,1364316
RCOM,2002-10-24,235.0,237.0,229.1,229.9,2871456
RCOM,2002-10-25,229.5,230.9,221.55,223.05,4726002
RCOM,2002-10-28,222.8,224.6,218.05,219.8,2880309
RCOM,2002-10-29,225.5,232.5,224.1,230.55,5708486
RCOM,2002-10-30,232.6,235.9,232.6,234.4,3855740
RCOM,2002-10-31,237.05,269.4,237.05,265.5,36393864
RCOM,2002-11-01,265.8,267.7,251.75,257.75,22687604
RCOM,2002-11-04,263.05,264.3,260.3,263.25,5166758
RCOM,2002-11-05,265.0,265.0,259.7,261.2,5126794
RCOM,2002-11-06,261.2,261.2,261.2,261.2,0
RCOM,2002-11-07,263.5,271.35,257.6,259.65,8984720
RCOM,2002-11-08,254.0,262.15,254.0,258.0,6836817
RCOM,2002-11-11,258.0,258.4,254.55,256.0,2908551
RCOM,2002-11-12,254.0,261.7,253.65,260.8,5578331
RCOM,2002-11-13,269.75,269.75,260.4,262.85,8159262
RCOM,2002-11-14,263.5,265.7,262.25,264.9,5058403
RCOM,2002-11-15,267.1,269.5,266.1,268.2,4908203
RCOM,2002-11-18,268.0,276.8,267.1,271.85,6630375
RCOM,2002-11-19,271.85,271.85,271.85,271.85,0
RCOM,2002-11-20,272.5,277.9,271.0,273.45,7450726
RCOM,2002-11-21,275.25,277.0,273.3,274.7,4353172
