symbol,date,open,high,low,close,volume
RECLTD,2008-03-12,48.7125,48.7125,44.5312,45.4875,297815850
RECLTD,2008-03-13,43.6312,45.6,40.6875,42.6,62316426
RECLTD,2008-03-14,43.125,43.7812,41.0062,42.1688,17767911
RECLTD,2008-03-17,39.75,40.875,37.6875,39.3,22096530
RECLTD,2008-03-18,39.0,40.875,38.2875,39.45,14321095
RECLTD,2008-03-19,40.125,41.1375,37.875,38.3063,8372946
RECLTD,2008-03-24,38.6813,39.2625,34.7438,36.075,8111530
RECLTD,2008-03-25,36.975,39.7313,35.7188,39.2812,17327069
RECLTD,2008-03-26,39.375,40.275,38.5125,39.4688,12545914
RECLTD,2008-03-27,39.375,41.9062,39.2812,41.325,18664183
RECLTD,2008-03-28,41.625,41.9813,39.45,40.8937,8785957
RECLTD,2008-03-31,41.0438,41.2125,39.6562,39.9188,5974893
RECLTD,2008-04-01,40.2938,40.8375,38.8875,39.1125,2373311
RECLTD,2008-04-02,39.75,40.8375,38.8875,39.0187,2114965
RECLTD,2008-04-03,39.2625,39.6375,38.925,39.1312,1639461
RECLTD,2008-04-04,39.1125,40.2375,37.9125,38.3812,3047565
RECLTD,2008-04-07,38.7188,40.125,38.1375,39.8438,2000738
RECLTD,2008-04-08,39.5625,41.1,39.2062,40.2938,3875634
RECLTD,2008-04-09,39.75,42.6562,39.4125,42.3563,7785034
RECLTD,2008-04-10,42.0938,43.4625,41.2687,41.775,6491543
RECLTD,2008-04-11,42.0938,42.525,40.9688,41.8688,3090477
RECLTD,2008-04-15,41.25,43.8,40.9125,43.4437,7239253
RECLTD,2008-04-16,43.8,44.2125,42.375,43.05,3919037
RECLTD,2008-04-17,43.875,43.875,43.125,43.2938,2470733
RECLTD,2008-04-21,43.5,44.4,42.9375,43.05,3563362
RECLTD,2008-04-22,42.9375,43.35,42.4125,42.7313,1931543
RECLTD,2008-04-23,43.125,43.2,41.625,42.3563,2335903
RECLTD,2008-04-24,42.4688,43.7812,42.375,42.6188,4241119
RECLTD,2008-04-25,42.75,44.5875,42.0563,43.8937,3791983
RECLTD,2008-04-28,45.0,45.0,41.8875,42.9375,8341909
RECLTD,2008-04-29,43.125,45.2625,43.125,44.8312,17880682
RECLTD,2008-04-30,45.375,47.325,45.0,45.9562,20622829
RECLTD,2008-05-02,46.7625,47.0438,45.1125,45.4875,5339143
RECLTD,2008-05-05,45.5625,47.2125,45.225,46.2938,8187823
RECLTD,2008-05-06,46.65,46.8,43.9875,44.8688,5077154
RECLTD,2008-05-07,45.0,45.6562,44.2875,45.2438,3494773
RECLTD,2008-05-08,44.8312,45.8438,44.25,45.0187,2593906
RECLTD,2008-05-09,44.5875,45.0,43.1813,43.4625,3402522
RECLTD,2008-05-12,42.7687,43.8375,41.8125,43.425,2562327
RECLTD,2008-05-13,44.0625,44.775,42.9562,43.2375,2628837
RECLTD,2008-05-14,43.3125,44.025,42.825,43.6688,2672493
RECLTD,2008-05-15,44.2313,44.3625,43.6312,43.8937,611594
RECLTD,2008-05-16,44.175,44.25,43.6875,43.875,647154
RECLTD,2008-05-20,44.1375,44.625,43.6875,44.0062,1679229
RECLTD,2008-05-21,43.6875,45.3187,43.6875,44.55,3930973
RECLTD,2008-05-22,44.4375,44.4375,42.8438,43.1063,2142071
RECLTD,2008-05-23,43.7625,43.7625,42.7875,43.1063,1830423
RECLTD,2008-05-26,42.3937,42.9,41.2875,41.7375,1186311
