symbol,date,open,high,low,close,volume
REMSONSIND,2021-07-26,47.99,50.0,47.99,49.55,10550
REMSONSIND,2021-07-27,49.55,50.8,47.61,49.87,19265
REMSONSIND,2021-07-28,47.65,49.4,47.38,47.94,14135
REMSONSIND,2021-07-29,47.8,50.33,46.4,49.39,8970
REMSONSIND,2021-07-30,50.4,50.4,47.4,48.57,6125
REMSONSIND,2021-08-02,47.01,49.6,47.01,47.93,13405
REMSONSIND,2021-08-03,48.89,49.32,46.54,47.98,9825
REMSONSIND,2021-08-04,47.0,49.32,46.92,47.65,13210
REMSONSIND,2021-08-05,46.4,49.2,45.3,45.71,23535
REMSONSIND,2021-08-06,47.12,47.9,45.2,47.39,12240
REMSONSIND,2021-08-09,48.8,48.8,45.03,47.2,25015
REMSONSIND,2021-08-10,46.48,47.0,44.84,45.68,30020
REMSONSIND,2021-08-11,45.0,45.0,43.4,44.86,29265
REMSONSIND,2021-08-12,44.4,46.3,42.93,46.19,6885
REMSONSIND,2021-08-13,45.36,47.99,44.24,47.36,8800
REMSONSIND,2021-08-16,47.4,47.4,45.0,45.02,11800
REMSONSIND,2021-08-17,46.92,46.92,42.77,43.69,26850
REMSONSIND,2021-08-18,42.8,44.0,41.6,43.47,34095
REMSONSIND,2021-08-20,43.4,44.0,41.3,41.37,7005
REMSONSIND,2021-08-23,39.73,43.37,39.31,39.76,35830
REMSONSIND,2021-08-24,38.01,41.0,38.01,40.75,13785
REMSONSIND,2021-08-25,39.6,40.7,39.4,40.44,2785
REMSONSIND,2021-08-26,39.45,40.9,39.0,40.9,19580
REMSONSIND,2021-08-27,41.0,41.7,40.4,41.18,14850
REMSONSIND,2021-08-30,40.8,41.99,40.0,41.6,6490
REMSONSIND,2021-08-31,41.64,41.64,39.82,40.77,12325
REMSONSIND,2021-09-01,40.0,41.98,40.0,40.09,5105
REMSONSIND,2021-09-02,39.6,40.6,39.0,39.91,26505
REMSONSIND,2021-09-03,41.3,41.3,39.6,39.99,7620
REMSONSIND,2021-09-06,39.2,40.98,38.31,40.34,12830
REMSONSIND,2021-09-07,41.0,41.99,40.4,40.59,11020
REMSONSIND,2021-09-08,40.6,42.6,40.51,42.45,7925
REMSONSIND,2021-09-09,41.6,42.0,41.0,41.84,13120
REMSONSIND,2021-09-13,43.6,43.6,40.06,43.11,20790
REMSONSIND,2021-09-14,42.0,44.4,41.8,43.98,10615
REMSONSIND,2021-09-15,43.98,46.17,43.98,46.13,23590
REMSONSIND,2021-09-16,46.0,47.8,44.65,46.37,30440
REMSONSIND,2021-09-17,47.78,47.78,44.1,45.72,23060
REMSONSIND,2021-09-20,46.2,46.8,45.2,45.85,11645
REMSONSIND,2021-09-21,44.01,45.0,44.0,44.79,7725
REMSONSIND,2021-09-22,45.2,45.2,43.02,43.85,16380
REMSONSIND,2021-09-23,43.6,45.97,43.2,45.04,10365
REMSONSIND,2021-09-24,46.67,46.67,43.42,45.28,15720
REMSONSIND,2021-09-27,45.2,45.2,43.02,44.52,22485
REMSONSIND,2021-09-28,43.6,43.99,42.6,43.39,5370
REMSONSIND,2021-09-29,44.0,44.0,41.4,43.37,7545
REMSONSIND,2021-09-30,42.53,44.17,42.53,43.0,1775
REMSONSIND,2021-10-01,43.2,43.98,41.92,42.78,10575
REMSONSIND,2021-10-04,40.87,44.0,40.87,41.54,22565
REMSONSIND,2021-10-05,42.79,42.79,41.2,42.4,2130
REMSONSIND,2021-10-06,43.6,43.6,41.8,42.98,12800
REMSONSIND,2021-10-07,42.98,43.59,42.0,43.04,10040
REMSONSIND,2021-10-08,43.9,45.19,43.9,45.19,37560
REMSONSIND,2021-10-11,47.12,47.4,45.21,47.09,19510
REMSONSIND,2021-10-12,48.2,49.38,45.25,48.45,27590
REMSONSIND,2021-10-13,50.58,50.58,47.66,48.81,27635
REMSONSIND,2021-10-14,49.92,49.92,47.0,47.81,23960
REMSONSIND,2021-10-18,48.19,50.2,47.4,48.62,61980
REMSONSIND,2021-10-19,48.06,48.78,46.6,47.1,49450
REMSONSIND,2021-10-20,47.8,47.8,45.0,46.09,41980
REMSONSIND,2021-10-21,47.03,47.37,45.03,46.28,49675
REMSONSIND,2021-10-22,46.59,46.99,45.06,46.05,39130
REMSONSIND,2021-10-25,46.26,47.0,43.92,46.1,61100
REMSONSIND,2021-10-26,46.49,46.9,45.84,46.79,25890
REMSONSIND,2021-10-27,46.74,47.51,45.32,46.49,45375
REMSONSIND,2021-10-28,47.02,47.02,45.61,45.75,23295
REMSONSIND,2021-10-29,45.04,46.56,43.8,45.66,47465
REMSONSIND,2021-11-01,45.07,47.56,45.07,47.16,42595
REMSONSIND,2021-11-02,46.85,47.5,46.0,46.9,33390
REMSONSIND,2021-11-03,46.9,48.31,46.51,47.31,47075
REMSONSIND,2021-11-04,47.69,47.7,46.2,47.15,23060
REMSONSIND,2021-11-08,46.43,48.6,46.43,47.93,40760
REMSONSIND,2021-11-09,48.1,49.39,47.07,48.0,29775
REMSONSIND,2021-11-10,49.6,50.4,46.82,50.03,252290
REMSONSIND,2021-11-11,50.39,51.47,49.31,50.26,99335
REMSONSIND,2021-11-12,50.89,50.89,48.25,49.89,40355
REMSONSIND,2021-11-15,51.2,51.6,47.54,48.94,64845
REMSONSIND,2021-11-16,48.0,49.5,47.6,48.03,51505
REMSONSIND,2021-11-17,48.6,49.29,47.7,48.51,35760
REMSONSIND,2021-11-18,48.0,49.19,46.84,48.13,99500
REMSONSIND,2021-11-22,47.13,49.2,46.81,47.41,46645
REMSONSIND,2021-11-23,47.55,48.39,46.63,47.87,37450
REMSONSIND,2021-11-24,49.2,49.2,47.51,47.85,47335
REMSONSIND,2021-11-25,46.4,48.37,46.4,47.67,38985
REMSONSIND,2021-11-26,46.0,47.86,46.0,46.38,41810
REMSONSIND,2021-11-29,44.47,47.6,44.47,46.23,54680
REMSONSIND,2021-11-30,46.67,47.1,45.85,46.65,51800
REMSONSIND,2021-12-01,47.98,48.16,46.44,47.19,35275
REMSONSIND,2021-12-02,46.8,47.75,46.54,47.48,43750
REMSONSIND,2021-12-03,48.07,48.07,46.64,46.92,42780
REMSONSIND,2021-12-06,45.4,47.84,45.05,45.5,33890
REMSONSIND,2021-12-07,46.82,47.0,44.92,46.19,55595
REMSONSIND,2021-12-08,46.39,47.03,45.13,46.01,66245
REMSONSIND,2021-12-09,46.54,47.43,46.18,47.16,34980
REMSONSIND,2021-12-10,48.32,48.32,46.3,46.86,49630
REMSONSIND,2021-12-13,47.91,47.91,45.0,45.61,39100
REMSONSIND,2021-12-14,46.52,46.52,45.1,46.23,26305
REMSONSIND,2021-12-15,46.19,46.59,45.4,46.05,24370
REMSONSIND,2021-12-16,44.82,46.54,44.82,45.96,34545
REMSONSIND,2021-12-17,45.83,46.17,43.11,44.29,62485
REMSONSIND,2021-12-20,40.66,45.79,40.66,44.12,72755
REMSONSIND,2021-12-21,44.65,45.48,42.28,42.99,84835
REMSONSIND,2021-12-22,41.41,43.95,41.41,43.27,42985
REMSONSIND,2021-12-23,43.54,44.19,42.69,43.3,36900
REMSONSIND,2021-12-24,43.0,44.41,42.89,43.88,48375
REMSONSIND,2021-12-27,44.27,45.3,44.0,44.76,53505
REMSONSIND,2021-12-28,44.19,46.01,44.19,45.85,44065
REMSONSIND,2021-12-29,44.83,47.82,44.67,47.52,47855
REMSONSIND,2021-12-30,47.63,48.15,45.0,46.21,33795
REMSONSIND,2021-12-31,46.27,46.98,45.8,46.28,32225
REMSONSIND,2022-01-03,45.6,47.57,43.08,45.69,39780
REMSONSIND,2022-01-04,45.67,45.97,44.4,44.59,32270
REMSONSIND,2022-01-05,45.99,45.99,44.67,45.79,38395
REMSONSIND,2022-01-06,45.2,46.96,44.2,45.76,30680
REMSONSIND,2022-01-07,45.62,45.77,44.8,45.59,45670
