symbol,date,open,high,low,close,volume
RHFL,2025-07-24,4.3,4.75,4.3,4.68,3986048
RHFL,2025-07-25,4.45,4.63,4.44,4.44,2327457
RHFL,2025-07-28,4.25,4.42,4.21,4.21,4244317
RHFL,2025-07-29,4.1,4.42,4.01,4.42,2321853
RHFL,2025-07-30,4.62,4.64,4.53,4.64,1106759
RHFL,2025-07-31,4.64,4.87,4.41,4.86,2993451
RHFL,2025-08-01,4.94,5.1,4.75,5.1,2126037
RHFL,2025-08-04,4.9,4.9,4.84,4.84,1098384
RHFL,2025-08-05,4.59,4.59,4.59,4.59,652080
RHFL,2025-08-06,4.36,4.81,4.36,4.81,2442846
RHFL,2025-08-07,4.78,5.04,4.56,4.9,2753545
RHFL,2025-08-08,4.65,4.98,4.65,4.72,1485619
RHFL,2025-08-11,4.72,4.8,4.51,4.69,1432125
RHFL,2025-08-12,4.68,4.83,4.68,4.73,1166645
RHFL,2025-08-13,4.8,4.8,4.58,4.58,1625209
RHFL,2025-08-14,4.63,4.7,4.42,4.57,1265575
RHFL,2025-08-18,4.55,4.79,4.42,4.63,1515947
RHFL,2025-08-19,4.7,4.82,4.52,4.77,1751068
RHFL,2025-08-20,4.71,5.0,4.71,5.0,2201548
RHFL,2025-08-21,5.1,5.25,5.05,5.25,3341175
RHFL,2025-08-22,5.48,5.51,5.25,5.47,4159420
RHFL,2025-08-25,5.19,5.19,5.19,5.19,809469
RHFL,2025-08-26,4.93,5.06,4.93,4.93,2027262
RHFL,2025-08-28,4.72,5.07,4.72,4.95,1852384
RHFL,2025-08-29,5.02,5.06,4.71,4.78,1391791
RHFL,2025-09-01,4.78,4.97,4.72,4.77,1662953
RHFL,2025-09-02,4.83,5.0,4.68,5.0,2393374
RHFL,2025-09-03,4.97,4.99,4.82,4.85,1803272
RHFL,2025-09-04,4.87,4.97,4.7,4.78,1504005
RHFL,2025-09-05,4.85,4.85,4.73,4.8,749873
RHFL,2025-09-08,4.99,4.99,4.75,4.81,1603918
RHFL,2025-09-09,4.88,4.9,4.65,4.7,2161783
RHFL,2025-09-10,4.82,4.82,4.7,4.72,1962303
RHFL,2025-09-11,4.75,4.79,4.61,4.62,2093077
RHFL,2025-09-12,4.68,4.77,4.61,4.71,2652712
RHFL,2025-09-15,4.81,4.84,4.65,4.69,3264290
RHFL,2025-09-16,4.73,4.8,4.69,4.73,4360994
RHFL,2025-09-17,4.78,4.78,4.65,4.68,3443998
RHFL,2025-09-18,4.74,4.75,4.6,4.65,2463417
RHFL,2025-09-19,4.65,4.69,4.58,4.6,2765372
RHFL,2025-09-22,4.43,4.49,4.37,4.37,4575536
RHFL,2025-09-23,4.15,4.15,4.15,4.15,1389345
RHFL,2025-09-24,3.94,3.94,3.94,3.94,1453176
RHFL,2025-09-25,3.74,3.74,3.74,3.74,1025480
RHFL,2025-09-26,3.55,3.55,3.55,3.55,2120927
RHFL,2025-09-29,3.37,3.72,3.37,3.72,3163303
RHFL,2025-09-30,3.69,3.9,3.6,3.89,2186785
RHFL,2025-10-01,4.04,4.08,4.0,4.08,566753
RHFL,2025-10-03,4.03,4.25,3.89,4.06,1962643
RHFL,2025-10-06,4.19,4.19,3.9,3.91,1036639
RHFL,2025-10-07,3.91,3.98,3.76,3.82,740333
RHFL,2025-10-08,3.88,3.88,3.7,3.71,849642
RHFL,2025-10-09,3.7,3.82,3.6,3.77,686837
RHFL,2025-10-10,3.79,3.95,3.66,3.95,1080216
RHFL,2025-10-13,3.9,3.9,3.75,3.77,835280
RHFL,2025-10-14,3.67,3.75,3.62,3.68,710710
RHFL,2025-10-15,3.62,3.82,3.62,3.78,601242
RHFL,2025-10-16,3.7,3.77,3.64,3.67,959466
RHFL,2025-10-17,3.7,3.73,3.62,3.63,798933
RHFL,2025-10-20,3.7,3.7,3.58,3.61,780859
RHFL,2025-10-21,3.61,3.79,3.61,3.64,332414
RHFL,2025-10-23,3.64,3.82,3.58,3.68,885567
RHFL,2025-10-24,3.63,3.71,3.61,3.67,436605
RHFL,2025-10-27,3.69,3.76,3.62,3.7,792678
RHFL,2025-10-28,3.69,3.75,3.65,3.67,874001
RHFL,2025-10-29,3.68,3.85,3.62,3.68,795072
RHFL,2025-10-30,3.65,3.8,3.63,3.7,463261
RHFL,2025-10-31,3.75,3.76,3.63,3.67,612138
RHFL,2025-11-03,3.61,3.65,3.49,3.53,1206028
RHFL,2025-11-04,3.5,3.5,3.35,3.35,1812673
RHFL,2025-11-06,3.33,3.33,3.18,3.19,1641369
RHFL,2025-11-07,3.12,3.12,3.04,3.07,1195915
RHFL,2025-11-10,3.03,3.22,3.01,3.22,818659
RHFL,2025-11-11,3.28,3.38,3.25,3.38,940479
RHFL,2025-11-12,3.41,3.54,3.41,3.54,888778
RHFL,2025-11-13,3.67,3.7,3.36,3.5,1209964
RHFL,2025-11-14,3.53,3.57,3.45,3.45,382475
RHFL,2025-11-17,3.49,3.52,3.31,3.35,728008
RHFL,2025-11-18,3.34,3.36,3.21,3.24,954108
RHFL,2025-11-19,3.22,3.24,3.08,3.14,1526291
RHFL,2025-11-20,3.13,3.29,3.0,3.28,1032444
RHFL,2025-11-21,3.27,3.3,3.11,3.17,746799
RHFL,2025-11-24,3.24,3.24,3.1,3.15,557607
RHFL,2025-11-25,3.22,3.22,3.08,3.16,408143
RHFL,2025-11-26,3.16,3.28,3.15,3.2,527384
RHFL,2025-11-27,3.23,3.29,3.2,3.23,469959
RHFL,2025-11-28,3.27,3.27,3.2,3.2,312346
RHFL,2025-12-01,3.2,3.24,3.13,3.17,259874
RHFL,2025-12-02,3.21,3.21,3.1,3.11,504929
RHFL,2025-12-03,3.17,3.17,3.05,3.11,448418
RHFL,2025-12-04,3.11,3.18,3.04,3.13,629922
RHFL,2025-12-05,3.18,3.19,3.07,3.1,452148
RHFL,2025-12-08,3.04,3.25,2.95,3.06,1339158
RHFL,2025-12-09,3.0,3.12,2.94,3.08,570325
RHFL,2025-12-10,3.08,3.15,3.0,3.01,479181
RHFL,2025-12-11,3.0,3.05,2.95,2.99,486616
RHFL,2025-12-12,2.96,3.07,2.96,3.04,333929
RHFL,2025-12-15,3.08,3.16,3.01,3.05,593509
RHFL,2025-12-16,3.09,3.12,2.99,3.06,562214
RHFL,2025-12-17,3.0,3.06,2.97,2.99,682523
RHFL,2025-12-18,2.99,3.02,2.85,2.93,1116861
RHFL,2025-12-19,2.95,3.02,2.9,2.97,828478
RHFL,2025-12-22,3.02,3.06,2.83,2.96,811957
RHFL,2025-12-23,2.94,3.04,2.88,2.97,839269
RHFL,2025-12-24,3.03,3.06,2.93,3.0,623385
RHFL,2025-12-26,3.02,3.02,2.92,2.93,477870
RHFL,2025-12-29,2.93,2.99,2.81,2.86,803276
RHFL,2025-12-30,2.82,2.95,2.82,2.88,529705
RHFL,2025-12-31,2.9,2.92,2.85,2.89,448305
RHFL,2026-01-01,2.86,2.9,2.85,2.87,401010
RHFL,2026-01-02,2.83,2.91,2.83,2.89,415242
RHFL,2026-01-05,2.89,2.92,2.81,2.85,669185
RHFL,2026-01-06,2.89,2.89,2.84,2.86,368959
RHFL,2026-01-07,2.86,2.89,2.8,2.81,672757
RHFL,2026-01-08,2.81,2.81,2.72,2.77,443225
RHFL,2026-01-09,2.73,2.77,2.7,2.71,403338
RHFL,2026-01-12,2.75,2.76,2.62,2.68,583420
RHFL,2026-01-13,2.63,2.7,2.61,2.65,569238
RHFL,2026-01-14,2.62,2.78,2.62,2.77,465770
RHFL,2026-01-15,2.77,2.77,2.77,2.77,0
RHFL,2026-01-16,2.77,2.9,2.75,2.89,697100
RHFL,2026-01-19,2.9,2.9,2.75,2.78,808053
RHFL,2026-01-20,2.8,2.91,2.72,2.89,1375196
RHFL,2026-01-21,2.9,3.03,2.83,2.93,1267111
RHFL,2026-01-22,3.0,3.05,2.95,2.99,893835
RHFL,2026-01-23,3.05,3.09,2.91,2.92,653323
RHFL,2026-01-27,2.94,3.04,2.92,2.95,895044
RHFL,2026-01-28,2.98,3.0,2.82,2.89,804709
RHFL,2026-01-29,2.89,2.9,2.77,2.78,756651
RHFL,2026-01-30,2.77,2.79,2.65,2.73,959507
RHFL,2026-02-02,2.87,2.87,2.73,2.76,445766
RHFL,2026-02-03,2.81,2.82,2.72,2.79,513043
RHFL,2026-02-04,2.84,2.84,2.75,2.8,824053
RHFL,2026-02-05,2.84,2.84,2.71,2.79,401848
RHFL,2026-02-06,2.84,2.88,2.67,2.8,617058
RHFL,2026-02-09,2.81,2.81,2.72,2.73,764265
RHFL,2026-02-10,2.76,2.78,2.73,2.76,430475
RHFL,2026-02-11,2.82,2.82,2.75,2.77,496414
RHFL,2026-02-12,2.78,2.79,2.64,2.66,1444531
RHFL,2026-02-13,2.66,2.67,2.6,2.66,837865
RHFL,2026-02-16,2.61,2.66,2.58,2.62,636256
RHFL,2026-02-17,2.64,2.71,2.6,2.68,646491
RHFL,2026-02-18,2.72,2.72,2.62,2.63,505020
RHFL,2026-02-19,2.69,2.69,2.55,2.58,628726
RHFL,2026-02-20,2.6,2.6,2.5,2.51,792121
RHFL,2026-02-23,2.5,2.54,2.39,2.39,2019651
RHFL,2026-02-24,2.38,2.38,2.28,2.28,1343289
RHFL,2026-02-25,2.3,2.3,2.18,2.2,999386
RHFL,2026-02-26,2.2,2.23,2.17,2.18,716978
RHFL,2026-02-27,2.15,2.2,2.08,2.14,1450340
RHFL,2026-03-02,2.1,2.1,2.04,2.04,867051
RHFL,2026-03-04,1.95,2.13,1.94,1.99,1063438
RHFL,2026-03-05,1.94,2.08,1.94,2.04,870320
RHFL,2026-03-06,2.09,2.14,2.06,2.14,370750
RHFL,2026-03-09,2.12,2.24,2.04,2.24,1436960
RHFL,2026-03-10,2.32,2.35,2.32,2.35,420398
RHFL,2026-03-11,2.46,2.46,2.46,2.46,275222
RHFL,2026-03-12,2.54,2.58,2.51,2.58,1392956
RHFL,2026-03-13,2.67,2.7,2.67,2.7,813111
RHFL,2026-03-16,2.7,2.7,2.7,2.7,0
RHFL,2026-03-17,2.7,2.7,2.7,2.7,0
RHFL,2026-03-18,2.7,2.7,2.7,2.7,0
RHFL,2026-03-19,2.7,2.7,2.7,2.7,0
RHFL,2026-03-20,2.7,2.7,2.7,2.7,0
RHFL,2026-03-23,2.57,2.57,2.57,2.57,82730
RHFL,2026-03-24,2.57,2.57,2.57,2.57,0
RHFL,2026-03-25,2.57,2.57,2.57,2.57,0
RHFL,2026-03-27,2.57,2.57,2.57,2.57,0
RHFL,2026-03-30,2.45,2.45,2.45,2.45,111958
RHFL,2026-04-01,2.45,2.45,2.45,2.45,0
RHFL,2026-04-02,2.45,2.45,2.45,2.45,0
RHFL,2026-04-06,2.33,2.33,2.33,2.33,198529
RHFL,2026-04-07,2.33,2.33,2.33,2.33,0
RHFL,2026-04-08,2.33,2.33,2.33,2.33,0
RHFL,2026-04-09,2.33,2.33,2.33,2.33,0
RHFL,2026-04-10,2.33,2.33,2.33,2.33,0
RHFL,2026-04-13,2.22,2.22,2.22,2.22,505188
RHFL,2026-04-15,2.22,2.22,2.22,2.22,0
RHFL,2026-04-16,2.22,2.22,2.22,2.22,0
RHFL,2026-04-17,2.22,2.22,2.22,2.22,0
RHFL,2026-04-20,2.11,2.11,2.11,2.11,760815
RHFL,2026-04-21,2.11,2.11,2.11,2.11,0
RHFL,2026-04-22,2.11,2.11,2.11,2.11,0
RHFL,2026-04-23,2.11,2.11,2.11,2.11,0
