symbol,date,open,high,low,close,volume
ROLLT,2021-07-26,3.25,3.35,3.05,3.3,1201291
ROLLT,2021-07-27,3.35,3.45,3.2,3.3,1325626
ROLLT,2021-07-28,3.4,3.4,3.15,3.15,986727
ROLLT,2021-07-29,3.1,3.15,3.0,3.0,380844
ROLLT,2021-07-30,3.0,3.1,2.95,3.05,279438
ROLLT,2021-08-02,3.05,3.2,2.95,3.0,511182
ROLLT,2021-08-03,3.05,3.15,2.95,3.0,965393
ROLLT,2021-08-04,3.05,3.1,2.95,3.0,357334
ROLLT,2021-08-05,3.0,3.0,2.85,2.85,523189
ROLLT,2021-08-06,3.0,3.05,2.95,3.0,226391
ROLLT,2021-08-09,3.0,3.0,2.8,2.9,289715
ROLLT,2021-08-10,2.9,2.9,2.65,2.65,634593
ROLLT,2021-08-11,2.65,2.7,2.45,2.6,241478
ROLLT,2021-08-12,2.7,2.85,2.65,2.8,554243
ROLLT,2021-08-13,2.75,2.9,2.75,2.85,117467
ROLLT,2021-08-16,2.9,2.9,2.65,2.7,108522
ROLLT,2021-08-17,2.65,2.7,2.5,2.55,193114
ROLLT,2021-08-18,2.45,2.7,2.4,2.45,453124
ROLLT,2021-08-20,2.5,2.6,2.35,2.55,234092
ROLLT,2021-08-23,2.6,2.65,2.3,2.35,764469
ROLLT,2021-08-24,2.4,2.4,2.25,2.3,247490
ROLLT,2021-08-25,2.35,2.5,2.3,2.5,398161
ROLLT,2021-08-26,2.7,2.75,2.35,2.4,2495090
ROLLT,2021-08-27,2.4,2.45,2.3,2.4,450841
ROLLT,2021-08-30,2.45,2.45,2.3,2.45,236558
ROLLT,2021-08-31,2.45,2.45,2.35,2.4,121864
ROLLT,2021-09-01,2.4,2.4,2.2,2.25,404179
ROLLT,2021-09-02,2.25,2.45,2.25,2.4,422561
ROLLT,2021-09-03,2.5,2.55,2.4,2.5,310533
ROLLT,2021-09-06,2.6,2.6,2.25,2.3,3065935
ROLLT,2021-09-07,2.35,2.4,2.3,2.3,338262
ROLLT,2021-09-08,2.3,2.35,2.2,2.25,1280845
ROLLT,2021-09-09,2.25,2.3,2.15,2.25,681349
ROLLT,2021-09-13,2.25,2.3,2.2,2.25,226252
ROLLT,2021-09-14,2.25,2.3,2.2,2.25,443671
ROLLT,2021-09-15,2.3,2.3,2.25,2.3,440690
ROLLT,2021-09-16,2.3,2.35,2.25,2.3,620756
ROLLT,2021-09-17,2.3,2.3,2.2,2.25,381334
ROLLT,2021-09-20,2.3,2.3,2.25,2.25,230770
ROLLT,2021-09-21,2.3,2.3,2.25,2.25,442872
ROLLT,2021-09-22,2.3,2.3,2.25,2.25,180227
ROLLT,2021-09-23,2.3,2.3,2.2,2.25,342896
ROLLT,2021-09-24,2.3,2.3,2.15,2.2,578212
ROLLT,2021-09-27,2.25,2.4,2.0,2.4,40926923
ROLLT,2021-09-28,2.6,2.6,2.6,2.6,1137108
ROLLT,2021-09-29,2.8,2.85,2.4,2.85,39853850
ROLLT,2021-09-30,2.95,2.95,2.85,2.95,9583840
ROLLT,2021-10-01,3.0,3.05,2.85,2.85,3183004
ROLLT,2021-10-04,2.75,2.75,2.75,2.75,673188
ROLLT,2021-10-05,2.65,2.65,2.65,2.65,396052
ROLLT,2021-10-06,2.55,2.55,2.55,2.55,269268
ROLLT,2021-10-07,2.45,2.65,2.45,2.55,7811201
ROLLT,2021-10-08,2.5,2.65,2.5,2.65,5008031
ROLLT,2021-10-11,2.7,2.75,2.6,2.75,3741602
ROLLT,2021-10-12,2.85,2.85,2.85,2.85,667201
ROLLT,2021-10-13,2.95,2.95,2.75,2.95,3977269
ROLLT,2021-10-14,3.05,3.05,3.0,3.05,1701705
ROLLT,2021-10-18,3.1,3.2,3.05,3.2,1167771
ROLLT,2021-10-19,3.35,3.35,3.05,3.15,2223399
ROLLT,2021-10-20,3.0,3.05,3.0,3.0,1057237
ROLLT,2021-10-21,2.85,2.85,2.85,2.85,304794
ROLLT,2021-10-22,2.75,2.9,2.75,2.8,2103314
ROLLT,2021-10-25,2.8,2.9,2.7,2.9,1066653
ROLLT,2021-10-26,3.0,3.0,2.8,2.85,749537
ROLLT,2021-10-27,2.85,2.95,2.8,2.95,1135059
ROLLT,2021-10-28,2.95,2.95,2.85,2.9,958065
ROLLT,2021-10-29,2.85,2.95,2.8,2.8,709266
ROLLT,2021-11-01,2.85,2.85,2.75,2.8,250553
ROLLT,2021-11-02,2.85,2.9,2.75,2.85,910324
ROLLT,2021-11-03,2.85,2.9,2.75,2.75,429399
ROLLT,2021-11-04,2.75,2.8,2.7,2.75,258929
ROLLT,2021-11-08,2.8,2.85,2.7,2.85,1061787
ROLLT,2021-11-09,2.9,2.95,2.85,2.95,1713662
ROLLT,2021-11-10,3.05,3.05,2.95,3.05,1529369
ROLLT,2021-11-11,3.15,3.2,3.1,3.2,1497513
ROLLT,2021-11-12,3.2,3.35,3.05,3.3,2301211
ROLLT,2021-11-15,3.3,3.45,3.25,3.3,1109382
ROLLT,2021-11-16,3.35,3.35,3.15,3.15,1050576
ROLLT,2021-11-17,3.05,3.15,3.0,3.0,571206
ROLLT,2021-11-18,3.05,3.05,2.9,2.9,490185
ROLLT,2021-11-22,2.9,2.95,2.8,2.8,682168
ROLLT,2021-11-23,2.8,2.9,2.75,2.8,657834
ROLLT,2021-11-24,2.85,2.9,2.7,2.9,1157855
ROLLT,2021-11-25,2.95,3.0,2.9,3.0,812587
ROLLT,2021-11-26,3.0,3.1,2.95,3.1,587301
ROLLT,2021-11-29,3.05,3.1,2.95,2.95,400053
ROLLT,2021-11-30,2.85,3.0,2.85,2.85,863470
ROLLT,2021-12-01,2.85,2.85,2.75,2.8,808926
ROLLT,2021-12-02,2.75,2.8,2.75,2.75,200110
ROLLT,2021-12-03,2.8,2.8,2.75,2.75,318799
ROLLT,2021-12-06,2.8,2.85,2.7,2.7,4859588
ROLLT,2021-12-07,2.75,2.8,2.7,2.8,407707
ROLLT,2021-12-08,2.85,2.9,2.8,2.85,572478
ROLLT,2021-12-09,2.85,2.95,2.75,2.9,1162482
ROLLT,2021-12-10,2.95,3.0,2.9,3.0,1032643
ROLLT,2021-12-13,3.1,3.15,3.05,3.15,718891
ROLLT,2021-12-14,3.3,3.3,3.25,3.3,1247350
ROLLT,2021-12-15,3.45,3.45,3.45,3.45,324608
ROLLT,2021-12-16,3.6,3.6,3.6,3.6,768623
ROLLT,2021-12-17,3.75,3.75,3.75,3.75,374728
ROLLT,2021-12-20,3.9,3.9,3.9,3.9,467695
ROLLT,2021-12-21,4.05,4.05,4.05,4.05,186814
ROLLT,2021-12-22,4.25,4.25,4.25,4.25,88725
ROLLT,2021-12-23,4.45,4.45,4.45,4.45,122725
ROLLT,2021-12-24,4.6,4.6,4.25,4.25,4988939
ROLLT,2021-12-27,4.1,4.2,4.05,4.05,1486370
ROLLT,2021-12-28,4.0,4.25,3.9,4.25,6222177
ROLLT,2021-12-29,4.3,4.4,4.05,4.05,4632304
ROLLT,2021-12-30,4.0,4.05,3.85,3.85,2576641
ROLLT,2021-12-31,3.85,4.0,3.7,4.0,3319159
ROLLT,2022-01-03,4.2,4.2,4.2,4.2,207848
ROLLT,2022-01-04,4.4,4.4,4.0,4.15,2383715
ROLLT,2022-01-05,4.15,4.15,3.95,4.15,1551767
ROLLT,2022-01-06,3.95,4.2,3.95,3.95,1715929
ROLLT,2022-01-07,4.05,4.1,4.0,4.1,786792
ROLLT,2022-01-10,4.25,4.25,3.95,4.1,2950297
ROLLT,2022-01-11,4.2,4.2,3.9,3.95,1538385
ROLLT,2022-01-12,4.1,4.1,3.9,3.95,1660262
ROLLT,2022-01-13,4.0,4.1,3.8,3.95,941632
ROLLT,2022-01-14,3.9,4.05,3.8,4.0,775547
ROLLT,2022-01-17,4.05,4.05,3.85,3.9,802430
ROLLT,2022-01-18,3.75,4.0,3.75,3.9,997673
ROLLT,2022-01-19,3.75,3.9,3.75,3.75,647078
ROLLT,2022-01-20,3.85,3.9,3.6,3.9,717650
ROLLT,2022-01-21,4.05,4.05,3.75,3.9,1235471
ROLLT,2022-01-24,3.85,3.9,3.75,3.75,302413
ROLLT,2022-01-25,3.6,3.65,3.6,3.6,354487
