symbol,date,open,high,low,close,volume
ROSSARI,2025-07-24,725.35,726.9,709.05,716.65,103864
ROSSARI,2025-07-25,724.0,724.0,701.4,713.8,90168
ROSSARI,2025-07-28,714.05,717.35,686.7,707.35,89885
ROSSARI,2025-07-29,697.25,713.25,697.1,701.75,36376
ROSSARI,2025-07-30,702.5,713.6,692.65,695.5,27968
ROSSARI,2025-07-31,690.0,712.0,684.65,705.1,60893
ROSSARI,2025-08-01,708.95,713.1,693.45,703.15,47188
ROSSARI,2025-08-04,712.0,712.0,688.0,690.25,38040
ROSSARI,2025-08-05,686.0,704.4,674.1,698.35,64992
ROSSARI,2025-08-06,698.0,698.0,662.05,669.25,107877
ROSSARI,2025-08-07,670.3,671.45,645.4,657.35,80494
ROSSARI,2025-08-08,654.0,671.45,639.25,648.05,72781
ROSSARI,2025-08-11,644.5,648.0,632.5,637.2,37316
ROSSARI,2025-08-12,635.0,647.0,633.9,636.55,35015
ROSSARI,2025-08-13,645.0,645.0,630.0,632.1,32283
ROSSARI,2025-08-14,636.0,638.0,623.0,627.05,31292
ROSSARI,2025-08-18,627.15,660.0,627.15,639.1,41086
ROSSARI,2025-08-19,642.4,645.0,635.1,639.95,35863
ROSSARI,2025-08-20,643.5,650.0,638.75,644.6,30474
ROSSARI,2025-08-21,650.0,650.0,639.25,642.5,45700
ROSSARI,2025-08-22,645.8,645.8,630.65,633.25,36604
ROSSARI,2025-08-25,635.0,640.7,622.15,626.1,47661
ROSSARI,2025-08-26,626.1,626.1,616.0,618.55,33998
ROSSARI,2025-08-28,618.55,621.9,611.4,617.25,23633
ROSSARI,2025-08-29,617.0,620.55,612.7,618.15,29743
ROSSARI,2025-09-01,625.3,628.65,616.1,618.4,31358
ROSSARI,2025-09-02,620.0,635.0,618.0,626.8,34065
ROSSARI,2025-09-03,626.8,637.15,625.5,635.05,19961
ROSSARI,2025-09-04,635.05,638.25,622.35,627.8,23160
ROSSARI,2025-09-05,628.5,632.0,622.15,626.0,18518
ROSSARI,2025-09-08,638.0,638.0,614.0,616.2,56794
ROSSARI,2025-09-09,617.0,621.0,614.0,617.4,37805
ROSSARI,2025-09-10,616.1,647.85,616.1,633.45,147435
ROSSARI,2025-09-11,633.0,647.0,630.0,636.0,40755
ROSSARI,2025-09-12,639.3,643.5,626.1,628.05,20930
ROSSARI,2025-09-15,637.0,646.0,628.05,644.95,40769
ROSSARI,2025-09-16,648.0,649.1,641.55,645.1,135942
ROSSARI,2025-09-17,645.1,653.4,636.15,639.05,34634
ROSSARI,2025-09-18,637.0,650.0,636.0,646.25,42098
ROSSARI,2025-09-19,646.25,685.5,642.0,675.05,332836
ROSSARI,2025-09-22,683.9,683.9,655.2,659.65,54974
ROSSARI,2025-09-23,659.65,664.1,649.4,654.4,33537
ROSSARI,2025-09-24,650.0,656.2,644.75,649.25,27508
ROSSARI,2025-09-25,652.5,652.5,631.5,632.75,34745
ROSSARI,2025-09-26,650.0,650.0,626.0,630.4,37344
ROSSARI,2025-09-29,626.0,633.5,600.0,613.85,163468
ROSSARI,2025-09-30,614.0,623.25,614.0,618.35,15233
ROSSARI,2025-10-01,623.0,642.0,615.15,636.15,30567
ROSSARI,2025-10-03,638.9,646.5,633.1,644.8,40325
ROSSARI,2025-10-06,649.65,649.65,632.8,636.15,21352
ROSSARI,2025-10-07,636.15,638.45,626.5,628.4,20473
ROSSARI,2025-10-08,631.7,684.95,621.9,666.65,766351
ROSSARI,2025-10-09,664.8,677.0,644.55,661.1,66091
ROSSARI,2025-10-10,670.0,670.0,646.85,661.75,89953
ROSSARI,2025-10-13,661.75,667.8,649.9,650.7,39803
ROSSARI,2025-10-14,646.0,651.25,624.5,646.9,124826
ROSSARI,2025-10-15,647.5,670.95,638.5,660.55,115261
ROSSARI,2025-10-16,669.8,690.3,662.9,672.55,199972
ROSSARI,2025-10-17,685.0,688.0,654.05,671.3,83888
ROSSARI,2025-10-20,671.3,674.75,644.0,656.25,120013
ROSSARI,2025-10-21,656.25,660.75,645.0,647.4,43063
ROSSARI,2025-10-23,648.0,654.1,645.05,650.95,40428
ROSSARI,2025-10-24,652.0,653.3,642.9,650.4,27938
ROSSARI,2025-10-27,652.5,654.95,646.0,653.1,32386
ROSSARI,2025-10-28,663.0,663.0,641.5,649.75,97896
ROSSARI,2025-10-29,650.05,656.05,637.9,645.9,101931
ROSSARI,2025-10-30,646.0,647.45,640.6,643.25,32776
ROSSARI,2025-10-31,643.0,646.0,640.0,640.95,16691
ROSSARI,2025-11-03,644.0,646.45,640.0,644.9,17699
ROSSARI,2025-11-04,645.0,654.0,643.0,650.1,19501
ROSSARI,2025-11-06,653.5,653.5,635.0,639.95,30628
ROSSARI,2025-11-07,636.0,636.95,625.55,627.6,27403
ROSSARI,2025-11-10,630.9,642.45,623.25,640.2,33917
ROSSARI,2025-11-11,640.7,652.25,627.5,629.05,31476
ROSSARI,2025-11-12,632.4,638.1,631.05,634.65,21610
ROSSARI,2025-11-13,632.0,639.4,627.35,629.5,20473
ROSSARI,2025-11-14,632.8,634.0,625.0,629.95,14260
ROSSARI,2025-11-17,632.0,638.7,630.05,632.05,25377
ROSSARI,2025-11-18,635.4,635.4,624.0,627.1,24623
ROSSARI,2025-11-19,627.0,627.0,620.0,622.35,20039
ROSSARI,2025-11-20,618.0,626.65,617.0,619.1,18616
ROSSARI,2025-11-21,619.1,619.95,613.0,614.35,25552
ROSSARI,2025-11-24,624.0,624.0,594.1,600.75,40694
ROSSARI,2025-11-25,596.0,602.45,594.05,594.95,52055
ROSSARI,2025-11-26,596.0,600.0,592.0,594.05,60965
ROSSARI,2025-11-27,597.2,605.9,595.55,602.4,24820
ROSSARI,2025-11-28,605.6,609.0,598.0,600.15,35415
ROSSARI,2025-12-01,608.0,608.0,598.05,600.55,29362
ROSSARI,2025-12-02,598.0,610.0,595.5,602.85,32807
ROSSARI,2025-12-03,610.95,610.95,597.9,605.8,25909
ROSSARI,2025-12-04,600.3,616.1,598.5,601.95,64387
ROSSARI,2025-12-05,600.0,608.95,599.3,603.25,14885
ROSSARI,2025-12-08,606.4,611.25,582.3,594.1,49638
ROSSARI,2025-12-09,591.0,594.95,566.2,581.7,98212
ROSSARI,2025-12-10,581.7,593.85,575.6,579.05,32390
ROSSARI,2025-12-11,582.1,587.65,574.4,584.5,19767
ROSSARI,2025-12-12,590.0,591.75,580.35,585.35,13021
ROSSARI,2025-12-15,588.4,589.0,579.0,580.05,26458
ROSSARI,2025-12-16,580.65,587.95,571.1,574.55,25562
ROSSARI,2025-12-17,575.0,578.1,566.0,567.75,23741
ROSSARI,2025-12-18,567.75,578.2,562.35,572.2,34162
ROSSARI,2025-12-19,572.2,575.15,567.9,569.75,55435
ROSSARI,2025-12-22,572.7,584.2,572.7,579.9,20380
ROSSARI,2025-12-23,583.0,587.95,570.0,586.9,27169
ROSSARI,2025-12-24,588.0,589.05,578.05,580.5,18903
ROSSARI,2025-12-26,580.5,583.45,573.0,575.6,25756
ROSSARI,2025-12-29,575.55,577.3,568.75,572.05,20290
ROSSARI,2025-12-30,572.05,577.0,568.5,575.05,16664
ROSSARI,2025-12-31,571.0,584.0,571.0,582.15,11551
ROSSARI,2026-01-01,584.0,585.15,576.75,579.15,10598
ROSSARI,2026-01-02,580.5,584.75,578.0,583.5,19227
ROSSARI,2026-01-05,586.55,588.85,570.6,575.45,21769
ROSSARI,2026-01-06,577.35,577.6,569.35,573.05,18681
ROSSARI,2026-01-07,568.0,574.0,568.0,571.05,19246
ROSSARI,2026-01-08,571.0,575.95,563.0,565.05,24917
ROSSARI,2026-01-09,565.2,568.0,549.65,565.35,36987
ROSSARI,2026-01-12,560.2,564.45,543.4,552.75,35954
ROSSARI,2026-01-13,555.5,559.95,541.0,544.65,53077
ROSSARI,2026-01-14,547.5,552.05,538.5,539.8,31717
ROSSARI,2026-01-15,539.8,539.8,539.8,539.8,0
ROSSARI,2026-01-16,537.0,544.4,533.15,534.75,37957
ROSSARI,2026-01-19,533.0,543.7,515.0,521.55,78753
ROSSARI,2026-01-20,520.05,567.95,501.9,510.7,667785
ROSSARI,2026-01-21,507.0,523.1,505.0,515.5,69302
ROSSARI,2026-01-22,530.0,541.3,522.95,531.15,35223
ROSSARI,2026-01-23,534.9,540.0,523.0,533.5,37903
ROSSARI,2026-01-27,539.6,571.4,521.0,546.8,32275
ROSSARI,2026-01-28,549.7,568.95,540.75,563.3,39969
ROSSARI,2026-01-29,570.0,570.0,541.0,545.6,22704
ROSSARI,2026-01-30,546.9,604.8,537.2,564.4,151766
ROSSARI,2026-02-02,535.0,555.0,522.05,528.8,100015
ROSSARI,2026-02-03,547.95,559.0,531.0,537.3,76199
ROSSARI,2026-02-04,540.0,548.0,535.0,539.75,37772
ROSSARI,2026-02-05,540.0,543.9,524.0,527.9,20877
ROSSARI,2026-02-06,527.9,527.9,517.0,519.75,34991
ROSSARI,2026-02-09,525.05,541.0,517.6,538.75,43808
ROSSARI,2026-02-10,540.0,551.2,532.05,546.25,40760
ROSSARI,2026-02-11,546.25,547.0,538.05,543.8,28736
ROSSARI,2026-02-12,546.7,546.7,532.0,534.95,62755
ROSSARI,2026-02-13,536.0,536.0,520.0,524.25,24934
ROSSARI,2026-02-16,525.0,528.0,500.0,510.95,47717
ROSSARI,2026-02-17,510.95,520.0,509.95,518.95,23230
ROSSARI,2026-02-18,520.0,520.0,512.4,516.75,25208
ROSSARI,2026-02-19,517.0,529.6,510.0,511.3,44933
ROSSARI,2026-02-20,511.3,514.9,508.55,510.2,18652
ROSSARI,2026-02-23,508.55,516.6,506.55,508.95,23861
ROSSARI,2026-02-24,509.0,510.5,490.85,499.35,59030
ROSSARI,2026-02-25,497.95,500.0,490.0,493.25,37287
ROSSARI,2026-02-26,490.0,497.0,490.0,494.45,38477
ROSSARI,2026-02-27,499.8,499.8,492.8,496.25,16522
ROSSARI,2026-03-02,491.0,496.25,480.55,485.0,50903
ROSSARI,2026-03-04,480.0,484.7,474.05,475.15,66601
ROSSARI,2026-03-05,483.9,485.0,474.6,477.75,24250
ROSSARI,2026-03-06,480.3,482.05,465.0,467.0,41418
ROSSARI,2026-03-09,460.0,468.3,451.45,457.95,56759
ROSSARI,2026-03-10,458.8,466.0,455.55,461.85,35991
ROSSARI,2026-03-11,461.85,469.25,458.95,462.2,30551
ROSSARI,2026-03-12,455.0,460.0,451.25,453.25,35724
ROSSARI,2026-03-13,451.0,455.6,443.05,446.3,55654
ROSSARI,2026-03-16,446.3,446.3,431.1,433.95,73291
ROSSARI,2026-03-17,433.95,436.95,421.0,423.95,66254
ROSSARI,2026-03-18,425.2,437.45,423.2,428.65,82902
ROSSARI,2026-03-19,423.0,428.45,413.0,415.95,61599
ROSSARI,2026-03-20,415.95,430.5,410.0,411.35,58294
ROSSARI,2026-03-23,405.0,408.75,385.0,388.75,85114
ROSSARI,2026-03-24,398.0,405.0,387.15,397.9,144923
ROSSARI,2026-03-25,397.9,429.0,397.9,415.35,200124
ROSSARI,2026-03-27,411.95,414.95,394.2,398.0,105909
ROSSARI,2026-03-30,390.0,398.0,375.0,378.6,148065
ROSSARI,2026-04-01,398.6,406.05,386.5,404.3,53279
ROSSARI,2026-04-02,404.0,464.45,392.55,428.1,508284
ROSSARI,2026-04-06,428.1,454.9,426.35,445.65,151231
ROSSARI,2026-04-07,444.75,447.45,432.1,444.05,58243
ROSSARI,2026-04-08,465.0,465.0,450.0,452.2,87916
ROSSARI,2026-04-09,455.8,456.0,443.0,446.5,40244
ROSSARI,2026-04-10,453.2,460.9,449.65,453.45,37810
ROSSARI,2026-04-13,449.8,454.45,434.05,444.45,41728
ROSSARI,2026-04-15,459.0,460.0,446.35,452.6,101480
ROSSARI,2026-04-16,463.35,481.85,450.0,478.25,388782
ROSSARI,2026-04-17,495.0,507.05,483.1,504.25,656751
ROSSARI,2026-04-20,508.25,509.9,487.0,496.4,186514
ROSSARI,2026-04-21,505.0,521.5,500.0,513.0,297621
ROSSARI,2026-04-22,515.0,518.45,507.25,512.6,121929
ROSSARI,2026-04-23,511.5,524.15,506.55,511.35,177681
ROSSARI,2026-04-24,511.35,525.0,508.1,516.4,292478
ROSSARI,2026-04-27,521.0,521.6,498.2,504.2,279177
ROSSARI,2026-04-28,504.0,504.0,464.4,468.95,1000475
ROSSARI,2026-04-29,473.0,477.85,465.0,467.0,305439
ROSSARI,2026-04-30,462.35,516.45,458.15,478.95,2391958
ROSSARI,2026-05-01,478.95,478.95,478.95,478.95,0
ROSSARI,2026-05-04,482.8,490.4,475.1,479.75,224404
ROSSARI,2026-05-05,484.3,484.3,469.0,480.45,397880
ROSSARI,2026-05-06,486.0,494.0,480.7,490.4,160788
ROSSARI,2026-05-07,498.25,557.4,492.05,539.3,1804870
ROSSARI,2026-05-08,540.9,560.0,534.0,544.0,323346
ROSSARI,2026-05-11,537.35,537.35,520.95,525.4,141568
ROSSARI,2026-05-12,527.0,527.65,505.0,507.25,170570
ROSSARI,2026-05-13,509.9,539.4,508.0,533.25,297260
ROSSARI,2026-05-14,533.05,536.55,518.95,521.2,137724
ROSSARI,2026-05-15,521.2,521.25,505.05,506.65,57386
ROSSARI,2026-05-18,501.0,504.95,489.0,500.4,77818
ROSSARI,2026-05-19,505.0,509.5,500.5,504.95,52726
ROSSARI,2026-05-20,500.0,514.8,492.9,507.4,116114
ROSSARI,2026-05-21,517.25,539.0,506.05,518.15,302993
ROSSARI,2026-05-22,520.0,533.75,515.5,524.0,95223
ROSSARI,2026-05-25,525.1,547.0,520.6,538.45,226145
ROSSARI,2026-05-26,539.9,552.55,531.35,543.75,124059
