symbol,date,open,high,low,close,volume
RSWM,2021-07-26,233.2748,234.8449,223.021,233.435,227185
RSWM,2021-07-27,237.0559,237.6007,227.507,235.1974,201377
RSWM,2021-07-28,236.4471,248.6556,234.6847,246.7009,481157
RSWM,2021-07-29,249.8732,260.8,249.8732,258.4608,385358
RSWM,2021-07-30,258.9415,268.202,253.1416,255.9935,289195
RSWM,2021-08-02,260.832,261.5049,248.3672,255.3526,289333
RSWM,2021-08-03,259.1658,268.1058,258.8774,268.1058,234979
RSWM,2021-08-04,278.1354,281.4999,257.6277,259.6785,490688
RSWM,2021-08-05,265.7667,265.7667,246.7009,255.4808,230831
RSWM,2021-08-06,260.5436,265.8628,253.5902,260.1912,148728
RSWM,2021-08-09,266.76,266.76,249.9373,257.3713,160813
RSWM,2021-08-10,258.2686,258.2686,244.522,244.522,56568
RSWM,2021-08-11,232.3135,232.3135,232.3135,232.3135,40554
RSWM,2021-08-12,222.3801,239.9398,222.3801,229.5899,203089
RSWM,2021-08-13,224.3027,229.4296,218.1184,218.1504,258293
RSWM,2021-08-16,221.0984,223.3414,207.2557,214.2732,235806
RSWM,2021-08-17,216.2278,218.4708,208.7938,214.3052,101993
RSWM,2021-08-18,214.7218,221.0663,212.4788,217.7659,153260
RSWM,2021-08-20,215.3306,216.6444,206.9032,206.9032,136173
RSWM,2021-08-23,207.8325,210.8766,196.5853,196.5853,71021
RSWM,2021-08-24,190.1446,205.0768,186.7801,203.4746,248214
RSWM,2021-08-25,205.6856,210.6843,199.0847,201.0073,85518
RSWM,2021-08-26,199.309,204.7563,196.2328,197.835,31922
RSWM,2021-08-27,196.3931,202.7376,195.4958,198.8604,49036
RSWM,2021-08-30,199.309,208.7617,199.309,204.2437,59816
RSWM,2021-08-31,206.4226,206.6149,196.7776,198.5079,34801
RSWM,2021-09-01,200.2382,204.7243,189.7601,192.0031,56782
RSWM,2021-09-02,194.7589,198.6361,186.3956,195.2715,84777
RSWM,2021-09-03,195.4638,200.2062,192.3236,194.2782,94080
RSWM,2021-09-06,199.8217,203.9873,195.5599,203.2823,92540
RSWM,2021-09-07,207.3198,213.4401,195.4638,198.2195,133745
RSWM,2021-09-08,201.2316,208.1209,199.9499,206.3585,133856
RSWM,2021-09-09,206.3585,214.0489,202.5133,207.0314,113860
RSWM,2021-09-13,210.0755,211.902,202.5133,203.795,41874
RSWM,2021-09-14,206.8071,211.4854,204.5,208.4093,78479
RSWM,2021-09-15,210.5241,214.3373,206.8071,207.9927,41863
RSWM,2021-09-16,207.7043,209.2103,205.0447,205.3011,27868
RSWM,2021-09-17,205.6535,206.9353,196.4251,197.5786,57444
RSWM,2021-09-20,198.6681,203.1542,190.3369,191.5225,35670
RSWM,2021-09-21,192.2915,193.4451,182.7747,183.9282,84267
RSWM,2021-09-22,189.9524,193.1246,184.0244,191.6827,98435
RSWM,2021-09-23,196.4251,201.2316,190.7534,199.4051,95172
RSWM,2021-09-24,204.8845,206.8712,193.1246,195.6561,80291
RSWM,2021-09-27,196.1047,197.9952,189.696,191.0098,49185
RSWM,2021-09-28,190.9777,195.4638,189.7601,194.3423,55236
RSWM,2021-09-29,194.0219,197.5146,191.1059,194.3423,28789
RSWM,2021-09-30,194.8229,203.4746,194.8229,202.4492,110024
RSWM,2021-10-01,202.8337,208.7297,201.8725,206.9032,119813
RSWM,2021-10-04,206.9032,217.2212,206.8712,217.1891,186187
RSWM,2021-10-05,219.8167,228.0197,215.9715,227.9877,310421
RSWM,2021-10-06,229.9423,236.7996,221.7393,226.4176,235558
RSWM,2021-10-07,234.4925,252.4046,228.1479,248.8478,567999
RSWM,2021-10-08,250.9627,252.5008,234.8129,243.9452,209649
RSWM,2021-10-11,244.554,251.8279,238.0172,246.8932,164270
RSWM,2021-10-12,246.733,253.8786,240.4205,245.1629,112515
RSWM,2021-10-13,244.49,246.6048,232.3456,233.4671,117726
RSWM,2021-10-14,236.0305,236.5753,225.8408,226.8662,112001
RSWM,2021-10-18,230.7114,234.5566,205.0768,214.113,554559
RSWM,2021-10-19,215.9394,227.507,208.2811,214.4334,487630
RSWM,2021-10-20,214.882,233.8516,209.9794,225.969,341369
RSWM,2021-10-21,228.1479,232.9544,223.8541,227.9877,124222
RSWM,2021-10-22,229.4937,234.5566,222.1879,224.3348,197327
