symbol,date,open,high,low,close,volume
RSYSTEMS,2025-07-24,442.5,442.5,429.25,431.4,93084
RSYSTEMS,2025-07-25,428.95,431.4,416.15,419.55,126308
RSYSTEMS,2025-07-28,419.55,438.0,412.0,415.5,178240
RSYSTEMS,2025-07-29,415.5,424.8,410.1,420.0,87467
RSYSTEMS,2025-07-30,422.2,425.0,415.8,417.55,69573
RSYSTEMS,2025-07-31,417.5,420.15,408.35,418.1,178122
RSYSTEMS,2025-08-01,419.9,428.75,417.15,419.9,175528
RSYSTEMS,2025-08-04,420.0,424.65,414.55,423.6,43893
RSYSTEMS,2025-08-05,421.0,441.0,421.0,435.15,111704
RSYSTEMS,2025-08-06,436.0,443.2,424.4,438.9,143862
RSYSTEMS,2025-08-07,439.35,439.35,415.2,430.3,117291
RSYSTEMS,2025-08-08,432.6,432.6,417.0,418.5,55834
RSYSTEMS,2025-08-11,420.7,428.8,413.95,424.15,42950
RSYSTEMS,2025-08-12,424.15,432.15,422.1,431.3,54331
RSYSTEMS,2025-08-13,431.1,455.0,424.8,448.4,239637
RSYSTEMS,2025-08-14,457.2,465.3,427.05,433.45,229431
RSYSTEMS,2025-08-18,438.0,440.0,422.5,424.1,56410
RSYSTEMS,2025-08-19,424.0,424.45,418.1,419.5,62276
RSYSTEMS,2025-08-20,415.7,431.35,415.2,422.95,89681
RSYSTEMS,2025-08-21,423.9,434.0,422.2,423.5,68234
RSYSTEMS,2025-08-22,452.0,496.9,436.3,446.2,17697826
RSYSTEMS,2025-08-25,455.15,492.0,452.8,474.55,7316755
RSYSTEMS,2025-08-26,477.0,478.0,462.0,465.4,735993
RSYSTEMS,2025-08-28,465.5,466.0,445.5,448.3,265402
RSYSTEMS,2025-08-29,452.0,464.5,449.55,461.6,319226
RSYSTEMS,2025-09-01,460.0,464.4,455.65,460.3,163394
RSYSTEMS,2025-09-02,460.3,469.7,455.55,461.8,396780
RSYSTEMS,2025-09-03,461.8,476.2,454.35,470.3,302551
RSYSTEMS,2025-09-04,480.0,485.0,455.05,459.2,170471
RSYSTEMS,2025-09-05,458.6,467.7,450.15,452.35,152879
RSYSTEMS,2025-09-08,452.35,459.5,444.15,451.2,165767
RSYSTEMS,2025-09-09,449.2,457.6,441.9,445.35,262190
RSYSTEMS,2025-09-10,447.1,472.9,445.4,462.65,393884
RSYSTEMS,2025-09-11,464.0,465.0,453.3,456.1,141511
RSYSTEMS,2025-09-12,457.8,459.7,445.05,449.5,113877
RSYSTEMS,2025-09-15,447.4,450.0,440.6,442.85,75007
RSYSTEMS,2025-09-16,442.85,449.9,437.1,438.7,221217
RSYSTEMS,2025-09-17,441.0,446.9,437.85,440.5,187349
