symbol,date,open,high,low,close,volume
SABAR,2025-07-22,4.75,4.75,4.75,4.75,15000
SABAR,2025-07-23,4.75,4.75,4.75,4.75,0
SABAR,2025-07-24,4.8,4.8,4.75,4.8,15000
SABAR,2025-07-25,4.7,4.7,4.7,4.7,10000
SABAR,2025-07-28,4.6,4.75,4.6,4.75,20000
SABAR,2025-07-29,4.75,4.75,4.75,4.75,0
SABAR,2025-07-30,4.65,4.65,4.65,4.65,10000
SABAR,2025-07-31,4.6,4.6,4.6,4.6,5000
SABAR,2025-08-01,4.6,4.6,4.6,4.6,0
SABAR,2025-08-04,4.6,4.6,4.6,4.6,0
SABAR,2025-08-05,4.5,4.6,4.5,4.5,10000
SABAR,2025-08-06,4.45,4.45,4.45,4.45,5000
SABAR,2025-08-07,4.4,4.5,4.4,4.4,10000
SABAR,2025-08-08,4.35,4.4,4.35,4.35,15000
SABAR,2025-08-11,4.35,4.35,4.35,4.35,5000
SABAR,2025-08-12,4.2,4.3,4.2,4.3,20000
SABAR,2025-08-13,4.3,4.3,4.3,4.3,0
SABAR,2025-08-14,4.3,4.3,4.2,4.2,20000
SABAR,2025-08-18,4.2,4.2,4.2,4.2,0
SABAR,2025-08-19,4.2,4.2,4.0,4.0,30000
SABAR,2025-08-20,4.0,4.2,4.0,4.2,30000
SABAR,2025-08-21,4.3,4.4,4.3,4.4,25000
SABAR,2025-08-22,4.45,4.6,4.45,4.6,55000
SABAR,2025-08-25,4.75,5.5,4.75,5.5,255000
SABAR,2025-08-26,5.85,6.6,5.85,6.6,130000
SABAR,2025-08-28,7.25,7.25,6.65,7.25,650000
SABAR,2025-08-29,7.6,7.95,7.6,7.95,190000
SABAR,2025-09-01,8.55,8.7,8.55,8.7,175000
SABAR,2025-09-02,9.1,9.1,9.1,9.1,30000
SABAR,2025-09-03,9.55,9.55,8.65,8.65,310000
SABAR,2025-09-04,8.25,8.25,8.25,8.25,15000
SABAR,2025-09-05,7.85,7.85,7.85,7.85,15000
SABAR,2025-09-08,8.2,8.2,7.45,7.45,75000
SABAR,2025-09-09,7.1,7.1,7.1,7.1,35000
SABAR,2025-09-10,6.75,6.75,6.75,6.75,10000
SABAR,2025-09-11,6.45,6.45,6.45,6.45,30000
SABAR,2025-09-12,6.15,6.75,6.15,6.5,160000
SABAR,2025-09-15,6.5,6.8,6.5,6.55,70000
SABAR,2025-09-16,6.55,6.55,6.55,6.55,5000
SABAR,2025-09-17,6.35,6.4,6.35,6.4,10000
SABAR,2025-09-18,6.4,6.4,6.4,6.4,5000
SABAR,2025-09-19,6.25,6.25,6.25,6.25,15000
SABAR,2025-09-22,6.25,6.25,6.25,6.25,0
SABAR,2025-09-23,5.95,5.95,5.65,5.65,15000
SABAR,2025-09-24,5.4,5.4,5.4,5.4,20000
SABAR,2025-09-25,5.4,5.4,5.4,5.4,0
SABAR,2025-09-26,5.4,5.4,5.4,5.4,5000
SABAR,2025-09-29,5.4,5.4,5.4,5.4,0
SABAR,2025-09-30,5.4,5.4,5.4,5.4,0
SABAR,2025-10-01,5.15,5.15,5.15,5.15,10000
SABAR,2025-10-03,4.9,5.4,4.9,5.4,30000
SABAR,2025-10-06,5.6,5.6,5.55,5.55,20000
SABAR,2025-10-07,5.8,5.8,5.8,5.8,10000
SABAR,2025-10-08,5.55,5.55,5.55,5.55,10000
SABAR,2025-10-09,5.65,5.65,5.65,5.65,5000
SABAR,2025-10-10,5.45,5.45,5.45,5.45,5000
SABAR,2025-10-13,5.45,5.45,5.45,5.45,5000
SABAR,2025-10-14,5.45,5.45,5.45,5.45,0
SABAR,2025-10-15,5.2,5.2,5.2,5.2,10000
SABAR,2025-10-16,5.1,5.1,5.1,5.1,10000
SABAR,2025-10-17,5.1,5.1,5.1,5.1,0
SABAR,2025-10-20,5.35,5.35,5.35,5.35,5000
SABAR,2025-10-21,5.35,5.35,5.35,5.35,0
SABAR,2025-10-23,5.4,5.4,5.4,5.4,5000
SABAR,2025-10-24,5.4,5.4,5.4,5.4,0
SABAR,2025-10-27,5.4,5.4,5.4,5.4,0
SABAR,2025-10-28,5.4,5.4,5.4,5.4,5000
SABAR,2025-10-29,5.4,5.4,5.4,5.4,0
SABAR,2025-10-30,5.4,5.4,5.4,5.4,10000
SABAR,2025-10-31,5.4,5.4,5.4,5.4,0
SABAR,2025-11-03,5.4,5.4,5.4,5.4,0
SABAR,2025-11-04,5.5,5.65,5.5,5.65,25000
SABAR,2025-11-06,5.65,5.65,5.65,5.65,0
SABAR,2025-11-07,5.65,5.65,5.65,5.65,5000
SABAR,2025-11-10,5.65,5.65,5.65,5.65,0
SABAR,2025-11-11,5.8,5.9,5.8,5.85,15000
SABAR,2025-11-12,6.1,6.1,6.1,6.1,5000
SABAR,2025-11-13,6.1,6.4,6.1,6.4,25000
SABAR,2025-11-14,6.1,6.1,6.1,6.1,5000
SABAR,2025-11-17,6.4,6.4,5.8,5.8,225000
SABAR,2025-11-18,6.05,6.05,6.05,6.05,45000
SABAR,2025-11-19,6.35,6.35,6.25,6.35,30000
SABAR,2025-11-20,6.6,6.65,6.6,6.65,15000
SABAR,2025-11-21,6.4,6.95,6.4,6.95,30000
SABAR,2025-11-24,7.25,7.25,6.6,6.6,15000
SABAR,2025-11-25,6.45,6.45,6.45,6.45,5000
SABAR,2025-11-26,6.45,6.45,6.45,6.45,0
SABAR,2025-11-27,6.45,6.45,6.45,6.45,0
SABAR,2025-11-28,6.45,6.45,6.45,6.45,5000
SABAR,2025-12-01,6.45,6.45,6.45,6.45,25000
SABAR,2025-12-02,6.45,6.45,6.45,6.45,5000
SABAR,2025-12-03,6.25,6.25,6.25,6.25,10000
SABAR,2025-12-04,6.25,6.25,6.25,6.25,0
SABAR,2025-12-05,6.25,6.25,6.25,6.25,0
SABAR,2025-12-08,6.0,6.0,5.95,5.95,65000
SABAR,2025-12-09,5.7,5.7,5.7,5.7,5000
SABAR,2025-12-10,5.7,5.7,5.7,5.7,0
SABAR,2025-12-11,5.2,5.2,5.2,5.2,15000
SABAR,2025-12-12,5.2,5.2,5.2,5.2,0
SABAR,2025-12-15,5.2,5.2,5.2,5.2,0
SABAR,2025-12-16,5.2,5.2,5.2,5.2,0
SABAR,2025-12-17,5.2,5.2,5.2,5.2,0
SABAR,2025-12-18,5.2,5.2,5.2,5.2,0
SABAR,2025-12-19,5.2,5.2,5.2,5.2,0
SABAR,2025-12-22,4.75,5.05,4.75,5.05,20000
SABAR,2025-12-23,5.05,5.05,5.05,5.05,0
SABAR,2025-12-24,5.05,5.05,5.05,5.05,0
SABAR,2025-12-26,5.05,5.05,5.05,5.05,0
SABAR,2025-12-29,5.0,5.0,5.0,5.0,10000
SABAR,2025-12-30,4.9,4.9,4.9,4.9,5000
SABAR,2025-12-31,4.7,4.8,4.7,4.8,15000
SABAR,2026-01-01,4.6,4.6,4.6,4.6,5000
SABAR,2026-01-02,4.6,4.6,4.6,4.6,0
SABAR,2026-01-05,4.5,4.5,4.5,4.5,5000
SABAR,2026-01-06,4.5,4.5,4.5,4.5,5000
SABAR,2026-01-07,4.3,4.7,4.3,4.7,15000
SABAR,2026-01-08,4.85,4.85,4.85,4.85,5000
SABAR,2026-01-09,4.85,4.85,4.85,4.85,0
SABAR,2026-01-12,4.9,4.9,4.9,4.9,5000
SABAR,2026-01-13,4.7,4.7,4.7,4.7,5000
SABAR,2026-01-14,4.9,4.9,4.5,4.5,20000
SABAR,2026-01-16,4.6,4.6,4.6,4.6,5000
SABAR,2026-01-19,4.6,4.6,4.6,4.6,0
SABAR,2026-01-20,4.6,4.6,4.6,4.6,0
SABAR,2026-01-21,4.8,4.8,4.8,4.8,45000
SABAR,2026-01-22,5.0,5.0,5.0,5.0,15000
SABAR,2026-01-23,5.25,5.25,5.25,5.25,20000
SABAR,2026-01-27,5.5,5.5,5.5,5.5,15000
SABAR,2026-01-28,5.75,5.75,5.75,5.75,10000
SABAR,2026-01-29,5.75,6.0,5.75,6.0,40000
SABAR,2026-01-30,6.0,6.0,6.0,6.0,0
SABAR,2026-02-02,5.75,5.75,5.75,5.75,0
SABAR,2026-02-03,5.75,5.75,5.5,5.5,25000
SABAR,2026-02-04,5.5,5.5,5.5,5.5,0
SABAR,2026-02-05,5.5,5.5,5.5,5.5,0
