symbol,date,open,high,low,close,volume
SADBHAV,2006-03-01,21.5275,33.1132,19.7661,31.3763,201979996
SADBHAV,2006-03-02,33.2697,37.3208,31.8019,33.3725,92643702
SADBHAV,2006-03-03,33.2404,34.121,31.6552,32.3255,43381419
SADBHAV,2006-03-06,31.3127,33.8079,31.2148,31.528,20520337
SADBHAV,2006-03-07,31.528,31.9683,30.0944,30.3929,13284328
SADBHAV,2006-03-08,30.3342,31.8509,29.8645,30.0161,16056428
SADBHAV,2006-03-09,30.1385,31.0827,29.9574,30.5445,5540920
SADBHAV,2006-03-10,30.6669,32.1934,30.5348,31.9145,7525455
SADBHAV,2006-03-13,32.071,32.438,30.9262,31.2099,1893039
SADBHAV,2006-03-14,31.3127,31.4008,30.2608,30.4907,1442748
SADBHAV,2006-03-16,30.5348,30.9213,29.7715,29.9672,994990
SADBHAV,2006-03-17,30.3342,30.3342,27.9417,28.7979,1432671
SADBHAV,2006-03-20,29.1599,33.2697,28.7196,32.2227,6527419
SADBHAV,2006-03-21,31.9977,32.4576,29.7471,30.0846,6103647
SADBHAV,2006-03-22,29.3899,31.6943,29.3899,30.295,5341007
SADBHAV,2006-03-23,29.8449,31.2833,29.8449,30.1629,2071737
SADBHAV,2006-03-24,30.3342,30.887,29.9036,30.2314,1052291
SADBHAV,2006-03-27,30.8234,35.716,30.569,34.5271,18696360
SADBHAV,2006-03-28,34.2287,36.4989,33.2697,34.2287,22302495
SADBHAV,2006-03-29,34.1406,35.4225,33.7883,34.2189,8596704
SADBHAV,2006-03-30,34.6984,39.317,34.5418,38.632,28048460
SADBHAV,2006-03-31,37.3795,40.2955,37.3795,38.3189,16212889
SADBHAV,2006-04-03,38.358,39.6301,37.8688,38.2798,4942916
SADBHAV,2006-04-04,38.5537,38.8326,36.3276,37.3208,2675270
SADBHAV,2006-04-05,37.1838,38.0351,35.7258,36.1466,2882328
SADBHAV,2006-04-07,35.535,37.3795,33.7247,34.1944,3491318
SADBHAV,2006-04-10,34.3461,35.99,34.3461,35.7062,2264794
SADBHAV,2006-04-12,35.2415,39.3366,35.2415,37.6193,8572392
SADBHAV,2006-04-13,37.8101,37.9568,35.7405,36.6603,3325588
SADBHAV,2006-04-17,37.0273,37.8541,36.9441,37.4382,1417352
SADBHAV,2006-04-18,37.6731,38.6516,36.812,37.1251,917169
SADBHAV,2006-04-19,37.5752,43.2996,37.2915,42.4287,16051686
SADBHAV,2006-04-20,42.7614,50.9174,41.5872,50.4721,22610633
SADBHAV,2006-04-21,51.7638,60.3552,51.4996,59.1369,46886463
SADBHAV,2006-04-24,59.3963,62.278,56.6613,58.8874,24737679
SADBHAV,2006-04-25,58.4177,62.5079,58.4177,59.2397,16138021
SADBHAV,2006-04-26,59.4941,61.8426,58.9853,59.6066,6415178
SADBHAV,2006-04-27,60.5509,64.1763,60.1791,61.2408,11335387
SADBHAV,2006-04-28,58.7113,60.5998,55.8736,58.9168,4929089
SADBHAV,2006-05-02,60.3503,60.3503,56.9499,57.2484,1904689
SADBHAV,2006-05-03,57.9285,57.997,54.0535,54.5819,2057256
SADBHAV,2006-05-04,55.4822,59.4403,53.7208,56.9499,6698483
SADBHAV,2006-05-05,57.2435,57.7083,54.3079,54.5868,2087905
SADBHAV,2006-05-08,54.9636,55.58,52.938,53.5447,1527835
SADBHAV,2006-05-09,53.9165,56.5781,53.5251,55.8149,2360959
SADBHAV,2006-05-10,56.2063,56.265,54.4547,54.8363,1183969
SADBHAV,2006-05-11,55.0908,55.0908,52.8402,53.3441,618003
SADBHAV,2006-05-12,52.9625,55.7513,51.6757,52.2188,1203652
SADBHAV,2006-05-15,52.6836,53.4322,48.4368,48.9505,1475838
SADBHAV,2006-05-16,48.9261,49.8801,44.0579,45.0903,1320410
SADBHAV,2006-05-17,45.7948,49.6013,43.2751,49.3419,4432319
SADBHAV,2006-05-18,48.8282,48.8282,44.4102,44.4151,1866274
SADBHAV,2006-05-19,44.7184,46.969,39.9775,40.3738,1652779
SADBHAV,2006-05-22,40.9707,40.9707,38.358,38.358,303120
SADBHAV,2006-05-23,37.1838,39.5323,36.4401,37.7954,868023
SADBHAV,2006-05-24,38.6516,39.4344,37.2817,37.7171,698012
SADBHAV,2006-05-25,36.6946,37.4774,35.8335,36.1857,424885
SADBHAV,2006-05-26,37.1838,37.996,36.4304,37.8932,533079
SADBHAV,2006-05-29,38.1623,39.7916,38.1623,39.7329,406633
SADBHAV,2006-05-30,40.6967,41.7193,39.6301,41.7193,329701
SADBHAV,2006-05-31,41.0979,41.4893,39.635,39.9188,446234
SADBHAV,2006-06-01,40.3151,41.5578,37.9226,37.9226,352879
SADBHAV,2006-06-02,38.1623,38.1623,36.0292,36.0292,339563
SADBHAV,2006-06-05,36.6848,36.6946,34.2287,34.2287,289467
SADBHAV,2006-06-06,32.8098,33.1523,32.5212,32.5212,99854
SADBHAV,2006-06-07,30.9751,31.5573,30.8968,30.8968,207782
SADBHAV,2006-06-08,29.3556,29.3556,29.3556,29.3556,34695
SADBHAV,2006-06-09,27.8879,29.9917,27.8879,27.8879,510842
SADBHAV,2006-06-12,26.9093,28.6707,25.4513,25.9259,1084994
SADBHAV,2006-06-13,25.4416,25.4416,24.6294,24.6294,132955
SADBHAV,2006-06-14,23.9738,25.4416,23.4013,23.4013,336497
SADBHAV,2006-06-15,24.2478,24.2478,22.232,22.5158,1106495
SADBHAV,2006-06-16,23.2888,23.646,22.506,23.6313,632474
SADBHAV,2006-06-19,24.2673,24.8153,22.5549,24.8153,309201
SADBHAV,2006-06-20,25.0501,26.058,25.0012,26.058,161038
SADBHAV,2006-06-21,27.1882,27.3644,26.5228,27.3644,127294
SADBHAV,2006-06-22,28.7343,28.7343,28.7343,28.7343,30178
SADBHAV,2006-06-23,30.1727,30.1727,28.9642,30.1727,956289
SADBHAV,2006-06-26,32.8783,32.8783,30.0406,30.0406,1017698
