symbol,date,open,high,low,close,volume
SAKSOFT,2005-05-09,4.616,8.776,4.616,8.064,174976800
SAKSOFT,2005-05-10,8.46,9.68,8.252,9.68,63983750
SAKSOFT,2005-05-11,11.424,11.424,7.788,7.996,187400000
SAKSOFT,2005-05-12,8.044,9.596,7.376,9.436,244266250
SAKSOFT,2005-05-13,9.92,10.376,9.264,9.74,247420000
SAKSOFT,2005-05-16,9.76,9.84,9.216,9.66,86797500
SAKSOFT,2005-05-17,9.632,9.872,9.368,9.576,67012500
SAKSOFT,2005-05-18,9.416,9.548,8.64,8.828,54685187
SAKSOFT,2005-05-19,8.992,9.36,8.732,8.864,36317500
SAKSOFT,2005-05-20,8.536,9.2,8.536,8.944,47371250
SAKSOFT,2005-05-23,8.96,9.112,8.72,8.816,13441250
SAKSOFT,2005-05-24,8.92,8.96,8.56,8.624,9146250
SAKSOFT,2005-05-25,8.664,8.664,8.004,8.12,14702500
SAKSOFT,2005-05-26,8.272,8.96,7.88,8.632,83768750
SAKSOFT,2005-05-27,8.68,8.88,8.24,8.332,27673775
SAKSOFT,2005-05-30,8.368,8.604,8.224,8.332,25303750
SAKSOFT,2005-05-31,8.376,8.44,8.208,8.276,12638750
SAKSOFT,2005-06-01,8.304,9.072,8.264,8.868,46477500
SAKSOFT,2005-06-02,8.96,9.176,8.88,9.0,25438750
SAKSOFT,2005-06-03,9.0,9.904,8.9,9.716,46063125
SAKSOFT,2005-06-06,10.424,10.956,10.2,10.584,60287500
SAKSOFT,2005-06-07,10.4,11.68,10.4,11.468,85940000
SAKSOFT,2005-06-08,11.6,12.716,11.6,12.36,79133750
SAKSOFT,2005-06-09,12.4,12.68,11.628,11.732,55990000
SAKSOFT,2005-06-10,11.832,11.956,11.16,11.248,32301250
SAKSOFT,2005-06-13,11.296,12.36,10.932,12.256,58118137
SAKSOFT,2005-06-14,12.392,12.872,11.724,12.044,82091250
SAKSOFT,2005-06-15,11.952,12.112,11.312,11.396,27998750
SAKSOFT,2005-06-16,11.496,12.104,11.288,11.72,43005000
SAKSOFT,2005-06-17,11.8,12.392,11.536,12.124,53798750
SAKSOFT,2005-06-20,12.72,14.104,11.924,12.232,26813750
SAKSOFT,2005-06-21,12.232,12.32,11.848,11.984,12543750
SAKSOFT,2005-06-22,12.08,12.248,11.84,11.916,7466250
SAKSOFT,2005-06-23,11.824,11.98,11.628,11.684,7302500
SAKSOFT,2005-06-24,11.752,12.116,11.368,11.872,9757500
SAKSOFT,2005-06-27,11.76,12.352,11.76,11.924,9110000
SAKSOFT,2005-06-28,11.92,12.056,11.292,11.412,4258750
SAKSOFT,2005-06-29,11.52,11.584,11.056,11.22,3903750
SAKSOFT,2005-06-30,11.312,11.792,11.116,11.504,5770000
SAKSOFT,2005-07-01,11.512,11.592,11.344,11.432,2097250
SAKSOFT,2005-07-04,11.528,11.6,11.404,11.46,1715000
SAKSOFT,2005-07-05,11.36,11.576,10.568,10.728,2727500
SAKSOFT,2005-07-06,10.56,10.88,10.4,10.744,2125000
SAKSOFT,2005-07-07,10.8,10.96,10.56,10.636,1277500
SAKSOFT,2005-07-08,10.252,10.72,10.0,10.248,250000
