symbol,date,open,high,low,close,volume
SAMMAANCAP,2013-07-23,258.5019,258.5019,245.5768,254.2678,788660
SAMMAANCAP,2013-07-24,254.0449,254.0449,241.5655,241.5655,217378
SAMMAANCAP,2013-07-25,236.2172,236.2172,229.4873,229.4873,39361
SAMMAANCAP,2013-07-26,218.033,218.033,218.033,218.033,62982
SAMMAANCAP,2013-07-29,207.6929,208.718,207.1581,207.1581,444293
SAMMAANCAP,2013-07-30,196.818,196.818,196.818,196.818,16315
SAMMAANCAP,2013-07-31,187.0127,187.0127,187.0127,187.0127,43943
SAMMAANCAP,2013-08-01,172.6169,190.712,172.6169,182.4221,1653607
SAMMAANCAP,2013-08-02,179.1685,186.567,173.33,182.9569,476238
SAMMAANCAP,2013-08-05,188.9738,188.9738,177.3858,183.5809,272127
SAMMAANCAP,2013-08-06,181.8427,181.8427,165.8869,176.9846,443829
SAMMAANCAP,2013-08-07,176.4944,182.4221,170.0318,175.0236,877364
SAMMAANCAP,2013-08-08,172.1266,177.2966,172.1266,173.9094,990572
SAMMAANCAP,2013-08-12,181.397,181.397,170.2547,171.5026,412083
SAMMAANCAP,2013-08-13,172.3049,175.603,167.6697,170.433,1042953
SAMMAANCAP,2013-08-14,169.5416,184.5168,167.5805,179.8371,678017
SAMMAANCAP,2013-08-16,181.8427,181.8427,164.1487,168.5611,526173
SAMMAANCAP,2013-08-19,162.4105,172.5723,162.4105,170.7895,199230
SAMMAANCAP,2013-08-20,169.3187,171.77,160.8951,169.3187,814281
SAMMAANCAP,2013-08-21,170.2547,175.3356,166.0652,170.7895,150702
SAMMAANCAP,2013-08-22,169.809,174.7116,166.0206,172.1712,209465
SAMMAANCAP,2013-08-23,175.5139,190.4891,171.3689,186.9682,309124
SAMMAANCAP,2013-08-26,180.9513,189.776,179.3468,181.5753,234558
SAMMAANCAP,2013-08-27,181.8427,181.8427,166.0652,171.4135,575542
SAMMAANCAP,2013-08-28,170.121,170.121,157.909,165.8423,649259
SAMMAANCAP,2013-08-29,166.6891,175.603,157.7753,172.8397,606811
SAMMAANCAP,2013-08-30,169.3633,182.6449,163.3019,175.6476,955337
SAMMAANCAP,2013-09-02,175.603,179.3022,169.7644,171.8592,165170
SAMMAANCAP,2013-09-03,172.4831,178.9903,163.1236,168.6948,508789
SAMMAANCAP,2013-09-04,167.8479,172.4831,164.0596,169.3187,101044
SAMMAANCAP,2013-09-05,176.4498,182.4667,170.2547,181.1296,239248
SAMMAANCAP,2013-09-06,179.7925,188.8846,178.7228,186.6116,167446
SAMMAANCAP,2013-09-10,182.333,195.0798,182.333,188.2161,254823
SAMMAANCAP,2013-09-11,192.985,192.985,187.4139,189.776,102864
SAMMAANCAP,2013-09-12,193.4307,193.4307,183.0015,184.5614,114596
SAMMAANCAP,2013-09-13,185.23,188.0378,178.6337,186.6116,174457
SAMMAANCAP,2013-09-16,188.0824,189.0184,181.0405,187.8595,134490
SAMMAANCAP,2013-09-17,182.0655,187.191,182.0655,185.5865,35644
SAMMAANCAP,2013-09-18,186.9682,187.9487,178.5,181.4416,160472
SAMMAANCAP,2013-09-19,185.4082,206.7124,183.7146,200.9629,779534
SAMMAANCAP,2013-09-20,200.5172,200.5172,179.1685,190.8457,1495184
SAMMAANCAP,2013-09-23,187.191,190.1772,169.6753,171.3689,973939
SAMMAANCAP,2013-09-24,172.706,174.5333,158.9787,161.2071,967351
SAMMAANCAP,2013-09-25,160.4494,164.9064,147.3015,160.9397,1702642
SAMMAANCAP,2013-09-26,160.4494,167.0011,160.4494,163.1682,582968
SAMMAANCAP,2013-09-27,164.7281,164.8172,160.7614,161.9202,215691
SAMMAANCAP,2013-09-30,160.4494,164.015,156.3491,162.9899,315057
SAMMAANCAP,2013-10-01,160.5386,167.5359,160.5386,166.5554,502301
SAMMAANCAP,2013-10-03,165.7977,181.5753,165.1292,177.2966,347892
SAMMAANCAP,2013-10-04,177.2966,177.3858,173.0625,173.9539,129068
SAMMAANCAP,2013-10-07,174.2213,179.5251,168.0262,177.0292,384076
SAMMAANCAP,2013-10-08,178.0097,181.3079,171.6363,173.0625,253859
SAMMAANCAP,2013-10-09,172.394,176.9846,168.7393,175.1573,1010310
SAMMAANCAP,2013-10-10,175.4247,177.2966,171.5918,173.0625,147634
SAMMAANCAP,2013-10-11,173.642,177.3412,173.1071,174.4442,1429342
SAMMAANCAP,2013-10-14,174.7116,178.2771,173.1517,175.603,248536
SAMMAANCAP,2013-10-15,175.603,179.1685,166.7337,168.0708,404359
SAMMAANCAP,2013-10-17,168.0262,173.1963,168.0262,171.4581,331542
SAMMAANCAP,2013-10-18,172.706,174.1768,168.1154,169.6307,747150
SAMMAANCAP,2013-10-21,170.2101,173.7311,168.5611,169.0959,352086
SAMMAANCAP,2013-10-22,170.6112,174.5333,168.5165,172.2157,1918204
SAMMAANCAP,2013-10-23,172.9288,178.0097,166.8674,170.1655,2578497
SAMMAANCAP,2013-10-24,171.0124,185.9876,168.5611,177.0292,5297560
SAMMAANCAP,2013-10-25,177.9652,185.7648,177.3858,184.294,1260121
SAMMAANCAP,2013-10-28,184.606,185.9431,179.7925,180.8176,616084
SAMMAANCAP,2013-10-29,180.9513,196.0157,180.1491,194.5449,1576988
SAMMAANCAP,2013-10-30,193.9655,199.6704,188.9738,198.0213,721787
SAMMAANCAP,2013-10-31,192.5393,194.2775,187.2802,190.5783,801233
SAMMAANCAP,2013-11-01,192.4502,194.6786,185.9876,190.3554,975862
SAMMAANCAP,2013-11-05,194.1884,204.1273,188.9738,201.1858,939472
SAMMAANCAP,2013-11-06,201.4978,205.0187,198.779,202.0326,622562
SAMMAANCAP,2013-11-07,202.3446,202.3446,189.2858,193.7427,1171159
SAMMAANCAP,2013-11-08,193.4307,196.1049,189.0184,193.5199,434124
SAMMAANCAP,2013-11-11,193.4307,196.1049,185.4082,191.1131,712990
SAMMAANCAP,2013-11-12,191.6479,194.5895,185.7202,187.9041,305058
SAMMAANCAP,2013-11-13,186.5225,190.7566,184.6951,189.2412,436708
SAMMAANCAP,2013-11-14,189.9097,195.8374,189.8652,192.1828,315151
SAMMAANCAP,2013-11-18,193.1187,196.0157,191.9599,194.1438,320018
SAMMAANCAP,2013-11-19,194.3221,201.6315,192.8067,199.5367,747578
SAMMAANCAP,2013-11-20,201.8989,204.573,193.921,196.5506,480355
