symbol,date,open,high,low,close,volume
SANOFI,2002-07-01,370.0,371.5,369.0,369.75,9644
SANOFI,2002-07-02,371.5,378.95,369.25,374.55,4570
SANOFI,2002-07-03,380.0,388.0,379.0,385.15,2670
SANOFI,2002-07-04,387.95,392.0,384.55,388.6,1945
SANOFI,2002-07-05,386.15,392.0,386.1,389.1,4435
SANOFI,2002-07-08,391.8,394.4,388.1,391.5,4340
SANOFI,2002-07-09,397.6,397.6,387.0,392.65,1795
SANOFI,2002-07-10,392.0,394.0,388.0,388.45,860
SANOFI,2002-07-11,388.1,394.0,388.0,390.7,4154
SANOFI,2002-07-12,392.5,392.5,389.4,391.7,1048
SANOFI,2002-07-15,388.0,395.0,388.0,394.15,1386
SANOFI,2002-07-16,395.0,400.0,392.0,395.45,2135
SANOFI,2002-07-17,393.0,396.0,385.0,394.8,6994
SANOFI,2002-07-18,393.0,394.4,388.2,391.55,801
SANOFI,2002-07-19,391.0,395.6,391.0,394.25,584
SANOFI,2002-07-22,388.0,394.0,388.0,388.55,3919
SANOFI,2002-07-23,384.8,391.85,384.8,390.5,470
SANOFI,2002-07-24,388.25,391.35,386.6,390.0,2086
SANOFI,2002-07-25,390.0,390.0,389.0,389.15,840
SANOFI,2002-07-26,384.1,388.0,384.0,387.8,1563
SANOFI,2002-07-29,380.0,390.0,380.0,388.55,2678
SANOFI,2002-07-30,388.0,391.75,388.0,390.0,455
SANOFI,2002-07-31,384.0,384.0,379.0,379.15,4913
SANOFI,2002-08-01,385.0,385.0,377.05,383.9,1614
SANOFI,2002-08-02,380.5,386.9,380.5,385.2,667
SANOFI,2002-08-05,386.95,388.0,385.75,388.0,297
SANOFI,2002-08-06,388.0,396.0,387.95,393.7,3668
SANOFI,2002-08-07,389.0,391.9,387.0,387.4,1015
SANOFI,2002-08-08,389.95,391.0,388.25,388.45,4945
SANOFI,2002-08-09,390.9,392.5,384.0,386.25,4364
SANOFI,2002-08-12,388.0,390.4,384.5,390.0,904
SANOFI,2002-08-13,386.5,392.0,386.5,391.8,1210
SANOFI,2002-08-14,388.05,389.95,384.0,385.35,2465
SANOFI,2002-08-15,385.35,385.35,385.35,385.35,0
SANOFI,2002-08-16,386.0,392.0,386.0,390.35,693
SANOFI,2002-08-19,388.0,391.95,385.05,389.75,4243
SANOFI,2002-08-20,385.2,387.4,381.0,382.0,581
SANOFI,2002-08-21,380.0,384.95,380.0,382.05,490
SANOFI,2002-08-22,381.0,384.0,381.0,381.05,577
