symbol,date,open,high,low,close,volume
SARTELE,2023-11-08,105.0,110.25,105.0,110.25,2390000
SARTELE,2023-11-09,110.0,110.25,104.75,104.75,258000
SARTELE,2023-11-10,99.55,99.55,99.55,99.55,30000
SARTELE,2023-11-13,93.0,99.3,90.3,99.3,328000
SARTELE,2023-11-15,101.0,104.25,101.0,104.25,96000
SARTELE,2023-11-16,106.9,106.9,101.2,103.15,116000
SARTELE,2023-11-17,98.15,103.8,98.0,102.7,116000
SARTELE,2023-11-20,99.0,104.5,97.6,100.4,170000
SARTELE,2023-11-21,101.95,101.95,95.55,96.7,112000
SARTELE,2023-11-22,96.9,101.5,96.25,100.5,128000
SARTELE,2023-11-23,111.0,120.6,100.0,120.6,964000
SARTELE,2023-11-24,130.0,139.0,125.0,131.9,728000
SARTELE,2023-11-28,135.6,139.5,115.0,124.3,354000
SARTELE,2023-11-29,129.75,142.5,124.3,139.05,426000
SARTELE,2023-11-30,146.95,166.85,143.0,166.85,1076000
SARTELE,2023-12-01,174.95,183.5,167.0,181.6,618000
SARTELE,2023-12-04,193.5,199.75,192.5,199.75,340000
SARTELE,2023-12-05,203.1,209.8,187.15,196.8,404000
SARTELE,2023-12-06,201.0,202.0,177.15,191.85,690000
SARTELE,2023-12-07,186.05,202.0,179.9,187.6,246000
SARTELE,2023-12-08,187.6,194.7,184.0,185.9,104000
SARTELE,2023-12-11,191.9,203.8,190.0,194.8,250000
SARTELE,2023-12-12,197.95,197.95,187.05,187.55,132000
SARTELE,2023-12-13,183.35,185.0,179.0,181.85,188000
SARTELE,2023-12-14,183.7,189.2,176.5,179.65,128000
SARTELE,2023-12-15,181.15,185.0,177.0,180.0,78000
SARTELE,2023-12-18,181.15,184.8,178.0,178.65,90000
SARTELE,2023-12-19,177.0,177.0,165.3,168.0,162000
SARTELE,2023-12-20,168.5,168.5,156.0,157.5,122000
SARTELE,2023-12-21,153.0,170.95,153.0,167.0,64000
SARTELE,2023-12-22,172.0,176.0,170.0,171.35,72000
SARTELE,2023-12-26,174.0,178.8,163.0,164.85,114000
SARTELE,2023-12-27,166.25,169.45,164.0,167.0,86000
SARTELE,2023-12-28,167.05,168.65,165.0,165.35,56000
SARTELE,2023-12-29,165.0,165.0,157.0,159.75,100000
SARTELE,2024-01-01,168.95,168.95,157.15,158.6,112000
SARTELE,2024-01-02,156.05,162.8,156.05,158.25,64000
SARTELE,2024-01-03,161.95,174.05,160.25,174.05,126000
SARTELE,2024-01-04,179.6,191.45,178.0,191.45,264000
SARTELE,2024-01-05,194.7,209.45,191.0,205.65,368000
SARTELE,2024-01-08,205.25,215.9,200.0,215.9,266000
SARTELE,2024-01-09,226.65,226.65,226.6,226.65,336000
SARTELE,2024-01-10,237.95,237.95,237.95,237.95,76000
SARTELE,2024-01-11,248.8,249.8,234.0,249.8,522000
SARTELE,2024-01-12,256.0,262.25,252.0,262.25,318000
SARTELE,2024-01-15,262.25,262.25,262.25,262.25,0
SARTELE,2024-01-16,250.8,261.0,242.6,245.5,184000
SARTELE,2024-01-17,239.4,255.0,235.5,249.0,162000
SARTELE,2024-01-18,250.0,261.45,244.0,261.45,150000
SARTELE,2024-01-19,274.5,274.5,274.5,274.5,66000
SARTELE,2024-01-23,288.0,296.0,273.8,273.8,154000
SARTELE,2024-01-24,265.0,271.8,260.15,268.45,116000
SARTELE,2024-01-25,268.5,281.85,267.45,281.85,176000
SARTELE,2024-01-29,295.9,295.9,272.0,281.5,276000
SARTELE,2024-01-30,287.15,288.65,267.45,269.7,222000
SARTELE,2024-01-31,268.45,273.0,258.5,260.25,82000
SARTELE,2024-02-01,260.0,273.25,259.9,273.25,94000
SARTELE,2024-02-02,286.9,286.9,286.9,286.9,34000
SARTELE,2024-02-05,301.2,301.2,301.2,301.2,64000
SARTELE,2024-02-06,316.25,316.25,301.0,316.25,422000
SARTELE,2024-02-07,332.05,332.05,300.45,306.8,484000
SARTELE,2024-02-08,291.5,317.8,291.5,297.95,278000
SARTELE,2024-02-09,291.6,306.8,287.0,298.4,90000
SARTELE,2024-02-12,308.95,308.95,283.5,283.5,130000
SARTELE,2024-02-13,280.0,282.0,269.35,274.8,164000
SARTELE,2024-02-14,275.15,288.5,267.0,288.5,66000
SARTELE,2024-02-15,289.0,302.9,284.05,297.5,142000
SARTELE,2024-02-16,305.95,309.8,286.15,295.4,84000
SARTELE,2024-02-19,295.4,295.4,286.0,289.9,64000
SARTELE,2024-02-20,280.05,293.7,280.05,288.2,52000
SARTELE,2024-02-21,284.2,301.8,284.1,297.45,112000
SARTELE,2024-02-22,300.0,300.2,292.0,293.75,78000
SARTELE,2024-02-23,299.8,305.0,295.0,303.8,70000
SARTELE,2024-02-26,300.0,307.0,295.05,300.0,56000
SARTELE,2024-02-27,299.95,299.95,285.0,286.1,60000
SARTELE,2024-02-28,286.0,286.1,277.1,277.9,56000
SARTELE,2024-02-29,272.4,286.0,268.5,272.4,62000
SARTELE,2024-03-01,282.4,282.4,269.1,272.25,26000
SARTELE,2024-03-04,268.55,270.65,260.8,260.8,82000
SARTELE,2024-03-05,250.25,255.95,247.8,247.8,120000
SARTELE,2024-03-06,247.5,247.5,235.45,235.45,36000
SARTELE,2024-03-07,223.7,247.2,223.7,238.85,286000
SARTELE,2024-03-11,234.55,234.55,226.9,226.9,92000
SARTELE,2024-03-12,223.0,223.0,215.55,215.55,38000
SARTELE,2024-03-13,204.8,205.2,204.8,204.8,76000
SARTELE,2024-03-14,194.6,215.0,194.6,214.0,236000
SARTELE,2024-03-18,205.0,205.35,198.4,203.95,110000
SARTELE,2024-03-19,203.0,207.75,196.05,197.6,34000
SARTELE,2024-03-20,197.6,201.95,194.5,200.0,54000
SARTELE,2024-03-21,206.65,210.0,203.05,210.0,64000
SARTELE,2024-03-22,214.0,220.5,210.0,220.5,80000
SARTELE,2024-03-26,231.0,231.5,225.3,231.5,76000
SARTELE,2024-03-27,225.55,236.95,219.95,219.95,70000
SARTELE,2024-03-28,219.95,220.95,211.0,214.3,110000
SARTELE,2024-04-01,214.25,224.95,214.25,224.65,28000
SARTELE,2024-04-02,235.45,235.85,232.55,235.85,40000
SARTELE,2024-04-03,243.3,247.6,243.0,247.6,36000
SARTELE,2024-04-04,238.55,254.0,235.35,235.6,68000
SARTELE,2024-04-05,235.6,235.6,228.5,230.8,18000
SARTELE,2024-04-08,230.6,230.6,221.05,224.0,32000
SARTELE,2024-04-09,237.3,237.3,224.0,229.3,32000
SARTELE,2024-04-10,225.0,225.0,210.2,213.6,60000
SARTELE,2024-04-12,208.0,217.95,200.0,211.0,156000
SARTELE,2024-04-15,219.0,219.0,193.0,198.0,140000
SARTELE,2024-04-16,195.95,201.5,191.05,200.65,150000
SARTELE,2024-04-18,203.0,216.35,203.0,210.9,122000
SARTELE,2024-04-19,199.0,209.5,199.0,206.85,42000
SARTELE,2024-04-22,207.3,214.25,201.25,202.8,70000
SARTELE,2024-04-23,210.8,223.05,205.05,223.0,152000
SARTELE,2024-04-24,234.0,240.0,226.3,230.2,134000
SARTELE,2024-04-25,226.05,235.0,226.05,228.1,112000
SARTELE,2024-04-26,228.0,233.8,226.85,226.9,76000
SARTELE,2024-04-29,239.95,239.95,225.6,227.05,77500
SARTELE,2024-04-30,229.9,233.5,204.35,206.25,118000
SARTELE,2024-05-02,205.0,215.75,203.2,211.65,75500
SARTELE,2024-05-03,215.0,218.0,206.5,211.55,66000
SARTELE,2024-05-06,220.25,220.25,210.0,217.6,60000
SARTELE,2024-05-07,218.0,218.0,210.0,213.1,86500
SARTELE,2024-05-08,218.0,218.0,210.0,212.3,78000
SARTELE,2024-05-09,213.05,217.0,210.9,211.3,87000
SARTELE,2024-05-10,216.0,219.9,213.0,213.95,53500
SARTELE,2024-05-13,214.1,216.8,206.0,211.95,29500
SARTELE,2024-05-14,212.0,232.0,212.0,226.95,126000
SARTELE,2024-05-15,233.8,239.8,226.0,227.45,49000
SARTELE,2024-05-16,234.0,250.15,226.0,250.15,137000
SARTELE,2024-05-17,275.15,275.15,258.8,267.5,254500
SARTELE,2024-05-21,294.7,294.7,294.7,294.7,38500
SARTELE,2024-05-22,309.4,309.4,280.0,283.15,541000
SARTELE,2024-05-23,288.85,290.95,269.0,269.3,188000
SARTELE,2024-05-24,260.5,267.0,255.85,256.45,140500
SARTELE,2024-05-27,257.0,266.9,243.65,243.65,95000
SARTELE,2024-05-28,252.7,252.9,232.5,243.4,63500
SARTELE,2024-05-29,243.4,243.4,233.15,234.45,54500
SARTELE,2024-05-30,241.0,246.15,232.6,244.6,79500
SARTELE,2024-05-31,250.0,251.0,235.2,237.15,54500
SARTELE,2024-06-03,249.0,249.0,235.3,239.15,82500
SARTELE,2024-06-04,230.0,238.0,227.2,227.2,49500
SARTELE,2024-06-05,220.0,234.0,215.85,232.05,44000
SARTELE,2024-06-06,232.05,243.65,232.0,243.65,68500
SARTELE,2024-06-07,255.8,255.8,245.65,250.05,44500
SARTELE,2024-06-10,262.55,262.55,262.55,262.55,28000
SARTELE,2024-06-11,275.65,275.65,249.45,251.4,155000
SARTELE,2024-06-12,250.0,255.05,242.4,253.6,66500
SARTELE,2024-06-13,253.6,258.95,245.1,251.05,35500
SARTELE,2024-06-14,255.0,255.0,249.95,250.3,52500
SARTELE,2024-06-18,250.0,251.0,237.8,241.75,92000
SARTELE,2024-06-19,244.0,249.0,234.0,245.5,60000
SARTELE,2024-06-20,245.5,246.0,238.5,239.2,35500
SARTELE,2024-06-21,239.0,239.9,230.25,238.4,50500
SARTELE,2024-06-24,240.0,244.95,226.5,241.6,91000
SARTELE,2024-06-25,244.25,253.65,241.2,245.85,74000
SARTELE,2024-06-26,245.0,258.1,243.6,245.65,69000
SARTELE,2024-06-27,245.6,245.6,233.4,233.4,80000
SARTELE,2024-06-28,235.0,240.0,225.0,229.55,66000
SARTELE,2024-07-01,208.6976,208.6976,208.0914,208.6976,31756
SARTELE,2024-07-02,219.0892,219.1325,213.8934,219.1325,163401
SARTELE,2024-07-03,220.8211,230.087,209.5636,229.9571,211324
SARTELE,2024-07-04,241.4311,241.4311,225.454,233.1611,280034
SARTELE,2024-07-05,237.7075,244.6352,227.0128,243.2929,154163
SARTELE,2024-07-08,242.4703,242.4703,231.1261,236.625,221717
SARTELE,2024-07-09,237.0,248.4,235.0,248.4,45500
SARTELE,2024-07-10,260.8,260.8,236.0,237.35,259000
SARTELE,2024-07-11,237.35,248.0,230.1,242.45,154500
SARTELE,2024-07-12,240.0,246.45,235.1,243.55,133000
SARTELE,2024-07-15,247.9,252.0,231.4,231.4,184500
SARTELE,2024-07-16,228.0,242.95,222.5,241.7,400000
SARTELE,2024-07-18,243.0,250.0,240.0,240.65,127500
SARTELE,2024-07-19,244.95,251.5,236.0,242.85,263500
SARTELE,2024-07-22,248.5,248.5,233.0,235.55,118500
SARTELE,2024-07-23,235.0,244.9,226.9,239.35,168000
SARTELE,2024-07-24,244.85,247.8,237.5,240.4,240500
SARTELE,2024-07-25,244.0,244.0,228.4,230.2,107500
SARTELE,2024-07-26,219.6,240.7,219.6,230.8,489000
SARTELE,2024-07-29,225.05,236.0,219.3,232.6,3836000
SARTELE,2024-07-30,232.9,244.2,232.9,244.2,1301000
SARTELE,2024-07-31,256.4,256.4,250.55,256.4,560500
SARTELE,2024-08-01,264.7,269.2,245.05,252.35,1324000
SARTELE,2024-08-02,245.05,264.95,245.0,259.85,811500
SARTELE,2024-08-05,251.0,264.0,246.85,247.65,549500
SARTELE,2024-08-06,254.0,255.0,237.0,242.65,394500
SARTELE,2024-08-07,243.0,261.0,243.0,259.0,407500
SARTELE,2024-08-08,264.5,268.0,254.1,262.25,845500
SARTELE,2024-08-09,261.15,271.9,261.15,263.5,374000
SARTELE,2024-08-12,260.0,264.6,255.0,257.8,215000
SARTELE,2024-08-13,258.0,268.95,250.0,252.25,530000
SARTELE,2024-08-14,254.1,257.9,251.05,253.95,211000
SARTELE,2024-08-16,256.05,259.0,251.0,253.05,151000
SARTELE,2024-08-19,254.95,259.8,250.0,251.25,173500
SARTELE,2024-08-20,251.25,258.95,250.0,250.75,290500
SARTELE,2024-08-21,251.3,254.0,247.0,248.35,101500
SARTELE,2024-08-22,250.8,273.15,250.8,273.15,725000
SARTELE,2024-08-23,277.0,298.45,273.25,292.7,926000
SARTELE,2024-08-26,295.0,321.95,284.25,320.3,909500
SARTELE,2024-08-27,328.0,336.3,315.0,336.3,504000
SARTELE,2024-08-28,353.1,353.1,325.65,333.55,726500
SARTELE,2024-08-29,335.0,339.9,322.0,325.0,317000
SARTELE,2024-08-30,329.0,341.25,329.0,341.25,142000
SARTELE,2024-09-02,358.3,358.3,358.3,358.3,88500
SARTELE,2024-09-03,376.2,376.2,340.4,340.4,1530000
SARTELE,2024-09-04,325.5,357.4,325.5,357.4,628000
SARTELE,2024-09-05,361.5,375.25,361.5,375.25,149000
SARTELE,2024-09-06,394.0,394.0,394.0,394.0,192000
SARTELE,2024-09-09,412.8,413.7,380.1,392.95,1782000
SARTELE,2024-09-10,395.9,405.0,373.3,373.3,375000
SARTELE,2024-09-11,362.0,391.95,357.35,361.5,651500
SARTELE,2024-09-12,366.0,379.15,366.0,373.85,222000
SARTELE,2024-09-13,375.0,383.9,367.5,370.95,128500
SARTELE,2024-09-16,363.55,370.0,353.1,362.2,291500
SARTELE,2024-09-17,368.05,368.05,348.0,350.0,471500
SARTELE,2024-09-18,346.0,358.0,336.25,356.15,200000
SARTELE,2024-09-19,361.3,361.3,338.35,340.75,219500
SARTELE,2024-09-20,349.9,352.95,334.0,345.3,220000
SARTELE,2024-09-23,346.0,354.0,344.55,348.8,83000
SARTELE,2024-09-24,355.0,358.4,340.0,343.05,89000
SARTELE,2024-09-25,342.0,347.0,327.1,335.3,206000
SARTELE,2024-09-26,337.8,341.0,331.05,334.45,102500
SARTELE,2024-09-27,338.05,347.0,335.0,338.9,81000
SARTELE,2024-09-30,338.9,355.8,338.9,355.65,303500
SARTELE,2024-10-01,355.7,363.0,353.2,355.1,147500
SARTELE,2024-10-03,345.05,351.95,337.55,340.5,116500
SARTELE,2024-10-04,343.9,348.95,325.35,328.85,103000
SARTELE,2024-10-07,328.85,332.0,312.4,312.4,94000
SARTELE,2024-10-08,295.0,315.0,294.0,307.95,202500
