symbol,date,open,high,low,close,volume
SCML,2025-07-22,75.2,77.0,75.2,77.0,2000
SCML,2025-07-23,77.0,79.25,77.0,79.25,2000
SCML,2025-07-24,76.55,78.0,76.55,78.0,3000
SCML,2025-07-25,79.95,81.0,77.0,79.0,7000
SCML,2025-07-28,84.15,84.2,79.2,81.25,25000
SCML,2025-07-29,80.0,80.0,78.25,78.25,4000
SCML,2025-07-30,80.0,82.45,80.0,82.45,3000
SCML,2025-07-31,82.45,82.45,82.45,82.45,0
SCML,2025-08-01,81.95,83.4,80.15,82.1,7000
SCML,2025-08-04,81.0,81.0,81.0,81.0,1000
SCML,2025-08-05,81.0,81.0,81.0,81.0,0
SCML,2025-08-06,79.3,79.3,74.5,76.75,21000
SCML,2025-08-07,75.05,75.05,75.0,75.0,7000
SCML,2025-08-08,74.4,74.4,74.4,74.4,1000
SCML,2025-08-11,77.0,77.0,77.0,77.0,1000
SCML,2025-08-12,75.0,75.0,75.0,75.0,1000
SCML,2025-08-13,75.0,75.0,75.0,75.0,0
SCML,2025-08-14,77.5,77.5,77.5,77.5,1000
SCML,2025-08-18,78.4,79.0,76.55,78.15,12000
SCML,2025-08-19,78.8,78.8,78.8,78.8,1000
SCML,2025-08-20,78.95,79.0,78.95,79.0,3000
SCML,2025-08-21,77.0,77.0,77.0,77.0,3000
SCML,2025-08-22,76.0,76.0,75.0,75.0,4000
SCML,2025-08-25,75.0,75.0,75.0,75.0,0
SCML,2025-08-26,76.0,76.0,73.5,75.0,5000
SCML,2025-08-28,75.0,75.0,72.25,73.35,4000
SCML,2025-08-29,74.5,74.95,71.05,74.95,7000
SCML,2025-09-01,78.0,80.0,78.0,80.0,13000
SCML,2025-09-02,79.0,89.1,79.0,84.0,58000
SCML,2025-09-03,85.0,96.0,85.0,95.95,110000
SCML,2025-09-04,97.0,102.95,92.75,95.0,110000
SCML,2025-09-05,92.0,97.5,90.0,95.0,32000
SCML,2025-09-08,92.1,92.95,90.1,91.5,29000
SCML,2025-09-09,93.5,93.95,92.4,92.4,4000
SCML,2025-09-10,91.0,92.45,81.05,86.15,29000
SCML,2025-09-11,84.0,86.75,82.0,86.75,12000
SCML,2025-09-12,88.0,88.0,83.0,83.0,4000
SCML,2025-09-15,73.5,80.75,73.5,79.25,10000
SCML,2025-09-16,76.5,79.95,76.0,78.8,14000
SCML,2025-09-17,79.25,81.95,68.05,72.75,45000
SCML,2025-09-18,74.5,87.3,74.5,87.3,83000
SCML,2025-09-19,90.0,92.5,89.8,92.15,46000
SCML,2025-09-22,95.0,95.0,87.3,87.35,16000
SCML,2025-09-23,87.15,94.5,86.5,93.7,136000
SCML,2025-09-24,94.5,103.0,94.5,102.6,70000
SCML,2025-09-25,103.0,112.85,103.0,112.7,313000
SCML,2025-09-26,119.9,121.2,107.05,108.75,211000
SCML,2025-09-29,111.0,113.9,105.65,113.85,35000
SCML,2025-09-30,115.0,116.15,107.0,110.9,66000
SCML,2025-10-01,110.05,112.0,108.2,109.55,13000
SCML,2025-10-03,112.95,113.8,109.55,112.2,22000
SCML,2025-10-06,110.0,111.65,108.15,111.0,30000
SCML,2025-10-07,108.0,109.1,108.0,108.0,9000
SCML,2025-10-08,108.0,108.0,102.0,102.35,19000
SCML,2025-10-09,99.0,99.05,95.0,95.0,56000
SCML,2025-10-10,96.9,104.5,96.9,104.5,58000
SCML,2025-10-13,109.9,109.9,101.0,107.0,33000
SCML,2025-10-14,103.55,107.0,98.0,101.3,17000
SCML,2025-10-15,101.3,101.3,101.3,101.3,0
SCML,2025-10-16,103.5,109.0,103.0,106.0,40000
SCML,2025-10-17,110.0,111.9,107.0,110.0,34000
SCML,2025-10-20,114.95,121.0,114.95,121.0,117000
SCML,2025-10-21,124.0,133.1,124.0,132.8,98000
SCML,2025-10-23,133.0,135.0,127.0,132.7,160000
SCML,2025-10-24,134.5,139.3,131.5,139.25,170000
SCML,2025-10-27,140.65,142.7,133.0,141.15,114000
SCML,2025-10-28,145.55,145.55,139.0,141.4,29000
SCML,2025-10-29,141.8,142.0,134.35,141.55,113000
SCML,2025-10-30,143.9,148.6,143.75,147.45,71000
SCML,2025-10-31,142.0,150.0,141.0,144.5,106000
SCML,2025-11-03,140.25,146.9,138.0,138.4,36000
SCML,2025-11-04,136.0,140.0,133.25,138.55,61000
SCML,2025-11-06,138.6,138.6,131.65,135.75,42000
SCML,2025-11-07,132.0,138.9,130.0,136.4,31000
SCML,2025-11-10,135.0,143.2,135.0,142.1,167000
SCML,2025-11-11,142.1,148.9,142.0,144.95,76000
SCML,2025-11-12,147.8,147.95,144.0,145.05,39000
SCML,2025-11-13,148.0,152.3,146.55,148.45,75000
SCML,2025-11-14,150.0,150.0,146.0,149.0,15000
SCML,2025-11-17,143.0,148.55,142.5,146.7,42000
SCML,2025-11-18,145.0,148.5,142.1,143.95,59000
SCML,2025-11-19,146.8,150.0,146.0,146.75,40000
SCML,2025-11-20,149.0,149.0,146.95,147.8,19000
SCML,2025-11-21,148.0,148.0,142.5,144.0,33000
SCML,2025-11-24,145.45,145.45,140.1,145.0,27000
SCML,2025-11-25,143.9,143.9,143.9,143.9,2000
SCML,2025-11-26,142.0,143.0,140.0,142.0,22000
SCML,2025-11-27,142.0,144.0,141.0,144.0,5000
SCML,2025-11-28,144.0,145.0,142.0,142.0,10000
SCML,2025-12-01,142.0,142.5,142.0,142.0,4000
SCML,2025-12-02,140.0,144.5,140.0,141.0,10000
SCML,2025-12-03,140.1,140.1,138.1,139.05,8000
SCML,2025-12-04,144.6,146.0,144.6,146.0,50000
SCML,2025-12-05,153.3,153.3,151.5,153.3,38000
SCML,2025-12-08,157.45,159.5,147.0,151.15,31000
SCML,2025-12-09,150.4,150.4,146.55,148.95,11000
SCML,2025-12-10,149.0,149.0,145.5,145.5,3000
SCML,2025-12-11,149.5,150.5,146.0,150.5,8000
SCML,2025-12-12,155.0,155.0,148.9,149.0,5000
SCML,2025-12-15,149.0,149.0,149.0,149.0,0
SCML,2025-12-16,150.0,150.0,143.55,144.1,20000
SCML,2025-12-17,147.0,148.0,145.0,145.0,9000
SCML,2025-12-18,147.0,147.0,145.0,145.0,8000
SCML,2025-12-19,148.0,148.0,140.55,143.0,7000
SCML,2025-12-22,140.05,144.75,140.05,144.0,6000
SCML,2025-12-23,140.05,140.05,136.85,136.85,12000
SCML,2025-12-24,142.8,142.8,135.0,138.1,10000
SCML,2025-12-26,138.1,138.1,138.1,138.1,0
SCML,2025-12-29,138.0,143.5,136.0,143.5,8000
SCML,2025-12-30,145.75,145.75,136.4,141.75,11000
SCML,2025-12-31,140.0,140.0,139.0,139.0,2000
SCML,2026-01-01,139.0,139.0,139.0,139.0,0
SCML,2026-01-02,147.0,147.0,139.0,144.0,3000
SCML,2026-01-05,144.0,144.0,144.0,144.0,0
SCML,2026-01-06,144.95,145.0,139.65,139.65,8000
SCML,2026-01-07,133.3,140.25,133.3,135.05,6000
SCML,2026-01-08,130.0,130.0,129.0,129.5,3000
SCML,2026-01-09,124.05,134.75,124.0,134.75,9000
SCML,2026-01-12,129.25,133.35,128.05,133.35,46000
SCML,2026-01-13,136.8,136.8,133.4,134.3,3000
SCML,2026-01-14,139.0,139.0,137.0,137.0,3000
SCML,2026-01-16,130.15,130.15,130.15,130.15,1000
SCML,2026-01-19,125.0,132.0,124.0,126.6,9000
SCML,2026-01-20,131.5,131.5,120.3,120.3,11000
SCML,2026-01-21,115.15,118.0,114.3,117.3,8000
SCML,2026-01-22,112.1,123.15,112.0,122.05,22000
SCML,2026-01-23,126.0,127.0,122.0,124.3,8000
SCML,2026-01-27,121.0,129.9,120.0,125.05,38000
SCML,2026-01-28,128.5,131.2,125.0,131.0,21000
SCML,2026-01-29,136.5,136.5,130.5,130.65,34000
SCML,2026-01-30,128.0,128.0,128.0,128.0,3000
SCML,2026-02-02,136.5,136.5,128.1,132.0,40000
SCML,2026-02-03,135.0,135.0,127.5,129.7,9000
SCML,2026-02-04,129.95,131.0,129.95,131.0,6000
SCML,2026-02-05,136.0,136.0,131.0,133.0,3000
SCML,2026-02-06,139.0,139.0,134.0,134.7,56000
SCML,2026-02-09,135.95,135.95,129.2,129.2,6000
SCML,2026-02-10,131.95,131.95,130.0,130.0,2000
SCML,2026-02-11,130.0,131.0,125.5,128.75,7000
SCML,2026-02-12,126.1,134.0,126.1,127.5,9000
SCML,2026-02-13,126.5,131.5,126.5,127.6,40000
SCML,2026-02-16,127.75,131.5,127.5,131.4,10000
SCML,2026-02-17,131.4,131.4,131.4,131.4,0
SCML,2026-02-18,131.4,131.4,131.4,131.4,0
SCML,2026-02-19,129.2,134.5,129.2,132.9,13000
SCML,2026-02-20,134.0,134.55,131.1,132.95,70000
SCML,2026-02-23,130.5,130.6,130.5,130.6,26000
SCML,2026-02-24,130.0,130.0,130.0,130.0,2000
SCML,2026-02-25,128.15,137.5,128.0,132.3,42000
SCML,2026-02-26,139.0,144.0,135.0,138.35,50000
SCML,2026-02-27,142.0,142.0,135.95,136.8,20000
SCML,2026-03-02,141.0,141.0,132.05,134.85,49000
