symbol,date,open,high,low,close,volume
SHARDAMOTR,2015-09-03,198.3684,204.5243,182.6907,189.6806,29253
SHARDAMOTR,2015-09-04,187.6552,187.6651,178.7192,183.6836,13460
SHARDAMOTR,2015-09-07,183.6836,183.6836,176.7334,176.7334,12947
SHARDAMOTR,2015-09-08,176.7334,176.7334,176.7334,176.7334,0
SHARDAMOTR,2015-09-09,154.9595,180.705,154.9595,173.4271,856
SHARDAMOTR,2015-09-10,162.8529,178.5107,162.8529,164.8982,191
SHARDAMOTR,2015-09-11,178.3121,178.3121,163.8259,164.8287,161
SHARDAMOTR,2015-09-14,178.5107,182.6907,165.8117,165.8117,740
SHARDAMOTR,2015-09-15,175.532,181.6978,175.532,181.6978,65
SHARDAMOTR,2015-09-16,181.6978,181.6978,181.6978,181.6978,0
SHARDAMOTR,2015-09-18,181.6978,181.6978,181.6978,181.6978,0
SHARDAMOTR,2015-09-21,180.3078,193.6125,176.932,179.1163,710
SHARDAMOTR,2015-09-22,176.932,178.7192,173.7548,173.7548,1082
SHARDAMOTR,2015-09-23,189.6409,189.6409,189.6409,189.6409,5
SHARDAMOTR,2015-09-24,189.6409,189.6409,189.6409,189.6409,0
SHARDAMOTR,2015-09-28,188.648,188.648,188.648,188.648,5
SHARDAMOTR,2015-09-29,178.7192,178.7192,170.9747,171.0938,73135
SHARDAMOTR,2015-09-30,179.7121,180.0099,171.1733,179.7121,1727
SHARDAMOTR,2015-10-01,178.2823,180.7149,178.2823,178.7192,201
SHARDAMOTR,2015-10-05,182.8794,182.8794,179.7121,179.7121,15
SHARDAMOTR,2015-10-06,179.3149,182.4922,178.5206,178.5206,276
SHARDAMOTR,2015-10-07,178.7192,182.4822,176.932,176.932,614
SHARDAMOTR,2015-10-08,174.7477,174.7477,172.9605,173.1888,1963
SHARDAMOTR,2015-10-09,178.7192,178.7192,178.7192,178.7192,50
SHARDAMOTR,2015-10-12,208.5057,208.5057,170.379,170.3889,186
SHARDAMOTR,2015-10-13,173.7548,173.7548,173.7548,173.7548,10
SHARDAMOTR,2015-10-14,188.6381,188.6381,171.6598,171.6697,75
SHARDAMOTR,2015-10-15,169.7932,185.858,169.7932,170.7761,166
SHARDAMOTR,2015-10-16,170.7761,177.7263,168.7903,177.7263,146
SHARDAMOTR,2015-10-19,177.7263,178.5206,176.1377,176.2469,151
SHARDAMOTR,2015-10-20,168.0457,173.1193,150.0248,164.6997,8797
SHARDAMOTR,2015-10-21,160.9466,170.4981,160.9466,164.4912,307
