symbol,date,open,high,low,close,volume
SHIGAN,2025-07-22,82.15,82.15,81.0,82.15,6000
SHIGAN,2025-07-23,82.0,82.45,76.35,81.7,15000
SHIGAN,2025-07-24,81.7,81.7,81.7,81.7,0
SHIGAN,2025-07-25,87.0,87.0,87.0,87.0,1500
SHIGAN,2025-07-28,87.0,87.0,87.0,87.0,0
SHIGAN,2025-07-29,80.0,81.0,80.0,81.0,3000
SHIGAN,2025-07-30,76.5,78.75,76.5,78.75,4500
SHIGAN,2025-07-31,78.75,78.75,78.75,78.75,0
SHIGAN,2025-08-01,77.95,77.95,77.95,77.95,1500
SHIGAN,2025-08-04,77.95,77.95,77.95,77.95,0
SHIGAN,2025-08-05,73.0,74.3,73.0,74.25,4500
SHIGAN,2025-08-06,74.0,74.15,74.0,74.0,7500
SHIGAN,2025-08-07,74.95,78.0,74.95,78.0,6000
SHIGAN,2025-08-08,78.0,78.0,78.0,78.0,0
SHIGAN,2025-08-11,78.0,78.0,78.0,78.0,1500
SHIGAN,2025-08-12,88.0,88.0,88.0,88.0,1500
SHIGAN,2025-08-13,77.1,77.1,77.1,77.1,1500
SHIGAN,2025-08-14,77.1,77.1,77.1,77.1,0
SHIGAN,2025-08-18,82.0,82.0,82.0,82.0,1500
SHIGAN,2025-08-19,95.0,95.0,81.0,81.0,4500
SHIGAN,2025-08-20,72.5,78.0,72.5,73.8,15000
SHIGAN,2025-08-21,74.2,74.2,70.5,71.9,10500
SHIGAN,2025-08-22,73.0,75.1,72.25,73.4,24000
SHIGAN,2025-08-25,75.0,75.0,75.0,75.0,1500
SHIGAN,2025-08-26,75.0,75.0,75.0,75.0,0
SHIGAN,2025-08-28,75.0,75.0,70.6,71.95,15000
SHIGAN,2025-08-29,74.0,74.0,74.0,74.0,3000
SHIGAN,2025-09-01,75.95,76.0,74.0,74.0,4500
SHIGAN,2025-09-02,74.0,74.0,70.0,70.0,15000
SHIGAN,2025-09-03,72.4,72.4,72.4,72.4,1500
SHIGAN,2025-09-04,72.4,72.4,72.4,72.4,0
SHIGAN,2025-09-05,72.0,72.4,72.0,72.4,6000
SHIGAN,2025-09-08,72.0,72.0,72.0,72.0,3000
SHIGAN,2025-09-09,70.0,70.0,70.0,70.0,6000
SHIGAN,2025-09-10,71.95,72.0,71.95,72.0,4500
SHIGAN,2025-09-11,69.0,71.0,69.0,71.0,13500
SHIGAN,2025-09-12,71.0,71.0,71.0,71.0,0
SHIGAN,2025-09-15,69.0,69.95,67.0,67.2,24000
SHIGAN,2025-09-16,67.85,67.85,65.0,66.85,28500
SHIGAN,2025-09-17,65.05,65.1,64.5,64.5,16500
SHIGAN,2025-09-18,64.2,64.2,64.2,64.2,1500
SHIGAN,2025-09-19,67.0,67.0,67.0,67.0,3000
SHIGAN,2025-09-22,67.0,68.9,67.0,68.9,4500
SHIGAN,2025-09-23,69.9,69.9,68.0,69.0,7500
SHIGAN,2025-09-24,72.0,72.95,68.55,70.5,25500
SHIGAN,2025-09-25,75.0,75.0,72.0,72.65,9000
SHIGAN,2025-09-26,70.05,70.15,70.0,70.0,6000
SHIGAN,2025-09-29,71.0,71.0,71.0,71.0,1500
SHIGAN,2025-09-30,70.0,70.0,64.35,68.95,10500
SHIGAN,2025-10-01,66.0,69.9,66.0,69.85,6000
