symbol,date,open,high,low,close,volume
SHILPAMED,2009-12-03,33.3167,34.4667,32.0,32.4167,10200
SHILPAMED,2009-12-04,31.0,32.8167,31.0,31.9833,15096
SHILPAMED,2009-12-07,32.6667,32.6667,30.6833,31.1917,462
SHILPAMED,2009-12-08,32.0,32.0,32.0,32.0,336
SHILPAMED,2009-12-09,32.5,33.5,30.9167,31.1667,906
SHILPAMED,2009-12-10,31.75,32.0,31.75,31.9167,6600
SHILPAMED,2009-12-11,32.1667,32.1667,30.3333,31.0583,6630
SHILPAMED,2009-12-14,30.6667,30.6667,30.6667,30.6667,1350
SHILPAMED,2009-12-15,31.975,31.975,29.6667,30.0083,9600
SHILPAMED,2009-12-16,30.8333,31.15,30.0,30.125,8532
SHILPAMED,2009-12-17,30.0,30.6667,29.5667,30.3667,180
SHILPAMED,2009-12-18,30.6167,30.6167,29.3917,30.0167,1974
SHILPAMED,2009-12-21,30.0083,30.0083,29.2583,29.575,3540
SHILPAMED,2009-12-22,30.5667,30.5667,28.5,29.9917,4236
SHILPAMED,2009-12-23,31.1667,31.3333,30.0417,30.9083,2982
SHILPAMED,2009-12-24,31.8333,32.4583,31.8333,32.4583,4686
SHILPAMED,2009-12-29,34.0833,34.0833,33.6667,33.675,11442
SHILPAMED,2009-12-30,33.8417,34.4,32.5833,33.3917,864
SHILPAMED,2009-12-31,32.75,33.0,32.5083,32.6417,2112
SHILPAMED,2010-01-04,32.6667,33.1333,31.85,32.0083,3600
SHILPAMED,2010-01-05,33.3083,33.3083,32.8333,32.9167,21042
SHILPAMED,2010-01-06,33.0833,33.6667,33.0,33.0333,9228
SHILPAMED,2010-01-07,31.6667,34.1583,31.6667,34.0917,8970
SHILPAMED,2010-01-08,34.0,35.6667,34.0,34.9667,20760
SHILPAMED,2010-01-11,36.2667,36.3333,33.5,35.4167,22074
SHILPAMED,2010-01-12,36.6667,36.6667,33.3417,33.9167,66504
SHILPAMED,2010-01-13,33.8833,37.3083,33.3333,37.3083,5268000
SHILPAMED,2010-01-14,39.75,41.0417,38.6667,41.0417,1396800
SHILPAMED,2010-01-15,41.9667,44.9167,37.8333,42.9917,1347546
SHILPAMED,2010-01-18,44.0,44.95,41.5167,42.1167,469422
SHILPAMED,2010-01-19,42.6583,43.1667,40.5417,41.5167,185136
SHILPAMED,2010-01-20,41.5417,45.1333,41.5417,42.8333,460986
SHILPAMED,2010-01-21,43.3333,44.6667,40.8667,41.9833,483462
SHILPAMED,2010-01-22,41.3333,42.5917,40.675,42.4167,151854
SHILPAMED,2010-01-25,43.6667,44.1667,41.6667,42.0583,152154
SHILPAMED,2010-01-27,42.35,42.8167,37.8583,37.925,348138
SHILPAMED,2010-01-28,41.325,41.325,38.025,38.4333,308154
SHILPAMED,2010-01-29,39.3333,40.7833,37.8833,40.325,124644
SHILPAMED,2010-02-01,40.6667,40.825,39.2083,39.7,60666
SHILPAMED,2010-02-02,39.3667,41.375,38.675,39.0417,44430
SHILPAMED,2010-02-03,39.9,39.9,38.5,38.575,56100
SHILPAMED,2010-02-04,38.1667,39.8333,38.1667,38.6917,19098
SHILPAMED,2010-02-05,38.75,39.0667,36.6667,37.65,109506
SHILPAMED,2010-02-06,38.65,39.3333,37.5083,38.425,2400
SHILPAMED,2010-02-08,37.8333,38.65,37.5333,37.7333,32466
SHILPAMED,2010-02-09,37.3667,38.625,37.35,37.9333,25062
SHILPAMED,2010-02-10,37.8333,39.65,37.8333,38.5167,27606
SHILPAMED,2010-02-11,39.6667,39.6667,37.8667,38.2833,51492
SHILPAMED,2010-02-15,37.3,38.8167,37.2917,38.125,59310
SHILPAMED,2010-02-16,37.4167,40.0,37.4167,39.2833,32268
SHILPAMED,2010-02-17,38.9417,43.0667,38.9417,39.7417,66024
SHILPAMED,2010-02-18,39.2083,40.5,39.2083,39.9,11694
SHILPAMED,2010-02-19,39.1833,39.675,38.4,38.625,8508
SHILPAMED,2010-02-22,38.8833,40.1583,38.0583,38.275,34242
SHILPAMED,2010-02-23,37.55,38.9167,37.55,38.4333,45264
SHILPAMED,2010-02-24,38.7917,38.7917,37.5167,37.775,30138
SHILPAMED,2010-02-25,37.3333,38.8333,37.3333,37.975,15726
SHILPAMED,2010-02-26,38.0,38.8333,37.675,38.1583,18048
SHILPAMED,2010-03-02,38.4333,41.1167,38.4333,40.725,43986
SHILPAMED,2010-03-03,40.85,42.5,39.4167,40.325,69882
SHILPAMED,2010-03-04,40.4917,40.5833,39.3333,39.975,24018
SHILPAMED,2010-03-05,40.8333,40.8333,39.6667,39.9083,25698
SHILPAMED,2010-03-08,40.6,40.75,39.6667,40.1917,43962
SHILPAMED,2010-03-09,39.9167,41.4167,39.9167,41.2,32406
SHILPAMED,2010-03-10,41.4833,45.3333,41.1667,44.2917,296202
SHILPAMED,2010-03-11,44.0167,47.0,41.875,42.3333,212976
SHILPAMED,2010-03-12,42.7167,44.7333,41.6833,42.1083,210342
SHILPAMED,2010-03-15,40.0,43.3167,40.0,42.1917,27888
SHILPAMED,2010-03-16,42.3167,43.0,41.1667,42.5583,36354
SHILPAMED,2010-03-17,43.325,43.325,42.5167,42.7167,35358
SHILPAMED,2010-03-18,42.3917,42.9167,42.1667,42.5083,84090
SHILPAMED,2010-03-19,42.5333,43.325,42.25,43.0917,33624
SHILPAMED,2010-03-22,43.1667,48.0,42.2833,45.4917,879876
SHILPAMED,2010-03-23,45.8333,47.5,45.8333,46.125,347880
SHILPAMED,2010-03-25,46.325,47.0917,45.1,45.8417,33780
SHILPAMED,2010-03-26,45.425,46.3333,44.1667,44.6917,106218
SHILPAMED,2010-03-29,45.0,45.2667,44.1833,44.3917,71544
SHILPAMED,2010-03-30,43.5833,45.1667,43.5833,44.25,60408
SHILPAMED,2010-03-31,44.55,45.1667,43.85,44.3583,7422
SHILPAMED,2010-04-01,48.3333,48.3333,44.8333,46.2167,112962
SHILPAMED,2010-04-05,46.1667,48.4667,46.1667,47.0667,67986
SHILPAMED,2010-04-06,46.6667,50.8333,46.6667,49.3333,1155684
SHILPAMED,2010-04-07,51.0,57.5,51.0,56.1083,5640444
SHILPAMED,2010-04-08,55.9833,56.65,53.3333,54.0833,860736
SHILPAMED,2010-04-09,53.4167,59.0,53.4167,56.5917,1434918
SHILPAMED,2010-04-12,56.6667,58.6167,56.0667,57.2083,705072
SHILPAMED,2010-04-13,55.55,60.3333,50.8333,57.975,940380
SHILPAMED,2010-04-15,56.3333,59.8,56.0,57.525,381036
SHILPAMED,2010-04-16,57.5,59.8333,55.5333,58.8833,466578
SHILPAMED,2010-04-19,57.4833,58.6167,55.4667,56.5833,711510
SHILPAMED,2010-04-20,57.1667,58.3333,55.5833,56.0917,222168
SHILPAMED,2010-04-21,56.5,58.1667,56.25,57.8,270402
SHILPAMED,2010-04-22,58.0,58.0,56.05,56.6167,137856
SHILPAMED,2010-04-23,57.2417,57.2417,55.8417,56.25,102606
SHILPAMED,2010-04-26,56.5,57.3083,55.3333,55.7,120504
SHILPAMED,2010-04-27,54.6917,56.4667,54.6917,55.3833,105510
SHILPAMED,2010-04-28,55.0,55.8167,52.1917,53.3667,229860
SHILPAMED,2010-04-29,55.75,55.8333,54.1667,55.0,152436
SHILPAMED,2010-04-30,55.0,57.3333,54.5833,55.0667,227832
SHILPAMED,2010-05-03,55.8333,56.6667,54.3333,54.8083,77682
SHILPAMED,2010-05-04,54.675,55.4833,51.5167,52.325,155796
SHILPAMED,2010-05-05,52.0,52.9667,49.1667,52.0917,294192
SHILPAMED,2010-05-06,51.6667,55.9167,51.6667,52.6583,446328
SHILPAMED,2010-05-07,49.8333,52.4,49.0,49.8417,299286
SHILPAMED,2010-05-10,50.3417,53.0,50.3417,52.6417,80778
SHILPAMED,2010-05-11,52.9167,52.9167,50.8833,51.2167,62616
SHILPAMED,2010-05-12,52.1667,52.1667,50.0083,50.4167,51654
SHILPAMED,2010-05-13,50.5333,51.275,49.95,50.2417,36366
SHILPAMED,2010-05-14,49.575,50.5,48.8333,49.225,66654
SHILPAMED,2010-05-17,45.3333,49.65,45.3333,48.9667,98016
SHILPAMED,2010-05-18,49.1167,49.9833,48.0,48.6417,45876
SHILPAMED,2010-05-19,48.0833,49.6667,47.5,47.6917,88656
SHILPAMED,2010-05-20,49.1417,49.45,47.5833,48.65,49740
SHILPAMED,2010-05-21,48.1667,49.1583,46.6917,48.9417,86880
SHILPAMED,2010-05-24,48.5833,49.3333,48.0,48.3333,28050
SHILPAMED,2010-05-25,48.0,48.3083,44.675,45.1583,41202
SHILPAMED,2010-05-26,46.3333,48.0,45.9,46.875,48390
SHILPAMED,2010-05-27,46.1667,47.3,45.875,46.7333,54084
SHILPAMED,2010-05-28,46.3333,48.3167,46.3333,47.7917,51678
SHILPAMED,2010-05-31,48.7917,48.7917,46.6917,47.525,83148
SHILPAMED,2010-06-01,47.0667,48.325,47.0667,47.5917,68358
SHILPAMED,2010-06-02,48.1667,52.9,47.6667,50.0333,337206
