symbol,date,open,high,low,close,volume
SHIVAMAUTO,2006-11-21,16.2897,26.2497,16.2897,23.9366,16647128
SHIVAMAUTO,2006-11-22,24.2949,24.8348,22.1121,22.4565,4102744
SHIVAMAUTO,2006-11-23,22.154,23.4153,21.6188,22.0888,2274288
SHIVAMAUTO,2006-11-24,21.7817,22.2285,20.6647,20.8787,934639
SHIVAMAUTO,2006-11-27,20.9299,21.549,19.4918,20.0084,2040091
SHIVAMAUTO,2006-11-28,19.4546,19.9665,18.2538,18.6168,538223
SHIVAMAUTO,2006-11-29,18.7192,19.3522,17.9466,18.156,1097932
SHIVAMAUTO,2006-11-30,18.5703,18.5703,17.1275,17.3555,367409
SHIVAMAUTO,2006-12-01,17.4067,17.6534,16.3874,16.5783,530703
SHIVAMAUTO,2006-12-04,17.0344,17.4067,16.1222,16.7179,509217
SHIVAMAUTO,2006-12-05,17.1228,17.9652,16.7551,17.3369,283614
SHIVAMAUTO,2006-12-06,17.4067,18.803,17.2205,17.6208,757380
SHIVAMAUTO,2006-12-07,17.686,17.9652,16.8482,17.0576,296506
SHIVAMAUTO,2006-12-08,17.4439,17.4486,16.1082,16.3968,183704
SHIVAMAUTO,2006-12-11,16.8482,16.8482,16.0105,16.0663,107429
SHIVAMAUTO,2006-12-12,15.559,15.7777,14.4327,14.7445,91315
SHIVAMAUTO,2006-12-13,14.6142,15.0796,14.428,14.8516,64457
SHIVAMAUTO,2006-12-14,14.6282,15.5357,14.6282,15.2379,87018
SHIVAMAUTO,2006-12-15,15.0936,15.6335,14.7073,14.9726,58012
SHIVAMAUTO,2006-12-18,17.8721,17.8721,14.7166,14.8516,76275
SHIVAMAUTO,2006-12-19,14.7166,15.0796,14.6142,14.7166,23634
SHIVAMAUTO,2006-12-20,13.7764,14.7073,13.7764,14.079,95612
SHIVAMAUTO,2006-12-21,13.7764,14.7771,13.7764,14.2372,49417
SHIVAMAUTO,2006-12-22,14.5677,14.6747,14.2046,14.4932,26857
SHIVAMAUTO,2006-12-26,14.6142,14.7073,14.3349,14.5909,21453
SHIVAMAUTO,2006-12-27,15.3589,15.4333,14.3349,14.8609,93463
SHIVAMAUTO,2006-12-28,14.5909,14.7073,14.4373,14.5397,19337
SHIVAMAUTO,2006-12-29,14.2093,17.4486,14.2093,16.4898,591938
SHIVAMAUTO,2007-01-02,17.0158,17.5929,16.6155,16.7831,125692
SHIVAMAUTO,2007-01-03,16.8296,17.1275,16.7319,16.9553,34377
SHIVAMAUTO,2007-01-04,17.2205,18.0443,16.7737,17.2485,139658
SHIVAMAUTO,2007-01-05,17.3136,17.7791,17.1787,17.3322,77349
SHIVAMAUTO,2007-01-08,17.3322,17.5836,17.2299,17.4021,63383
SHIVAMAUTO,2007-01-09,17.4998,17.4998,17.3369,17.3369,32228
SHIVAMAUTO,2007-01-10,17.3369,17.4067,17.0856,17.2345,52640
SHIVAMAUTO,2007-01-11,17.1368,17.174,16.9646,16.9739,41897
SHIVAMAUTO,2007-01-12,17.1368,17.5929,17.1321,17.16,39749
SHIVAMAUTO,2007-01-15,17.1368,17.174,16.9413,16.9646,27931
SHIVAMAUTO,2007-01-16,17.0344,17.0344,16.6155,16.6155,12891
SHIVAMAUTO,2007-01-17,17.686,17.686,16.3874,16.434,15040
SHIVAMAUTO,2007-01-18,16.3083,16.8948,16.3083,16.3269,550040
SHIVAMAUTO,2007-01-19,17.0297,17.0297,16.2245,16.569,3093
