symbol,date,open,high,low,close,volume
SHIVATEX,2002-07-01,7.75,7.75,7.5,7.5,1200
SHIVATEX,2002-07-02,7.65,7.65,7.2,7.2,1204
SHIVATEX,2002-07-03,7.2,7.5,6.0,7.5,2300
SHIVATEX,2002-07-04,7.5,7.5,7.5,7.5,0
SHIVATEX,2002-07-05,7.5,7.7,7.4,7.5,1000
SHIVATEX,2002-07-08,7.5,8.5,7.5,7.75,5316
SHIVATEX,2002-07-09,8.0,8.2,7.6,8.05,8050
SHIVATEX,2002-07-10,8.0,9.5,7.75,8.2,11220
SHIVATEX,2002-07-11,8.35,8.5,8.0,8.05,4650
SHIVATEX,2002-07-12,8.9,8.9,8.15,8.7,2700
SHIVATEX,2002-07-15,8.5,8.5,8.4,8.4,1200
SHIVATEX,2002-07-16,8.7,8.7,8.0,8.0,2600
SHIVATEX,2002-07-17,7.9,7.9,7.75,7.8,500
SHIVATEX,2002-07-18,8.0,8.0,7.85,8.0,950
SHIVATEX,2002-07-19,8.0,8.0,8.0,8.0,0
SHIVATEX,2002-07-22,7.5,7.5,6.4,6.75,2755
SHIVATEX,2002-07-23,7.1,7.3,7.1,7.2,800
SHIVATEX,2002-07-24,7.1,7.1,7.1,7.1,200
SHIVATEX,2002-07-25,7.1,7.1,7.1,7.1,0
SHIVATEX,2002-07-26,7.8,7.8,6.7,6.75,7226
SHIVATEX,2002-07-29,6.75,6.75,6.75,6.75,0
SHIVATEX,2002-07-30,7.1,7.55,6.85,6.85,10000
SHIVATEX,2002-07-31,7.1,7.1,6.9,6.95,2400
SHIVATEX,2002-08-01,7.0,7.2,6.9,7.2,4280
SHIVATEX,2002-08-02,8.0,8.0,7.15,7.6,2425
SHIVATEX,2002-08-05,7.5,7.6,7.5,7.6,210
SHIVATEX,2002-08-06,7.4,7.75,7.4,7.65,3150
SHIVATEX,2002-08-07,7.4,7.4,6.95,6.95,2961
SHIVATEX,2002-08-08,6.6,6.6,6.6,6.6,10
SHIVATEX,2002-08-09,6.8,6.8,6.75,6.75,950
SHIVATEX,2002-08-12,7.35,7.35,6.6,6.75,700
SHIVATEX,2002-08-13,6.75,6.75,6.75,6.75,0
SHIVATEX,2002-08-14,5.6,6.4,5.6,6.4,100
SHIVATEX,2002-08-15,6.4,6.4,6.4,6.4,0
SHIVATEX,2002-08-16,6.0,6.0,6.0,6.0,200
SHIVATEX,2002-08-19,6.4,7.0,6.4,7.0,600
SHIVATEX,2002-08-20,6.95,6.95,6.35,6.8,1900
SHIVATEX,2002-08-21,6.9,6.9,6.7,6.8,850
SHIVATEX,2002-08-22,6.8,6.8,6.8,6.8,0
SHIVATEX,2002-08-23,6.95,7.0,6.9,7.0,1100
SHIVATEX,2002-08-26,6.9,7.75,6.9,7.0,500
SHIVATEX,2002-08-27,7.0,7.15,6.95,7.0,2100
SHIVATEX,2002-08-28,7.0,7.5,7.0,7.15,1100
SHIVATEX,2002-08-29,6.6,6.6,6.4,6.4,500
SHIVATEX,2002-08-30,7.0,7.6,7.0,7.6,700
SHIVATEX,2002-09-02,7.05,7.05,7.05,7.05,300
SHIVATEX,2002-09-03,7.6,7.6,7.6,7.6,200
SHIVATEX,2002-09-04,6.85,6.85,6.8,6.8,200
SHIVATEX,2002-09-05,6.8,6.8,6.8,6.8,0
SHIVATEX,2002-09-06,6.8,6.8,6.8,6.8,0
SHIVATEX,2002-09-09,7.0,7.0,7.0,7.0,200
SHIVATEX,2002-09-10,7.0,7.0,7.0,7.0,0
SHIVATEX,2002-09-11,7.0,7.0,7.0,7.0,0
SHIVATEX,2002-09-12,6.1,6.1,6.1,6.1,100
SHIVATEX,2002-09-13,6.0,6.0,5.9,5.9,300
SHIVATEX,2002-09-16,6.7,6.7,5.9,5.95,529
SHIVATEX,2002-09-17,6.2,6.4,6.2,6.4,479
SHIVATEX,2002-09-18,7.0,7.0,5.9,5.9,325
SHIVATEX,2002-09-19,6.9,6.9,6.5,6.5,2
SHIVATEX,2002-09-20,5.5,6.1,5.5,6.1,460
SHIVATEX,2002-09-23,7.2,7.2,5.0,5.0,700
SHIVATEX,2002-09-24,5.95,6.0,5.55,5.75,1400
SHIVATEX,2002-09-25,5.8,5.85,5.5,5.5,1100
SHIVATEX,2002-09-26,6.0,6.05,6.0,6.05,113
SHIVATEX,2002-09-27,6.0,6.0,6.0,6.0,150
SHIVATEX,2002-09-30,5.95,5.95,5.95,5.95,100
SHIVATEX,2002-10-01,5.7,5.7,5.7,5.7,100
SHIVATEX,2002-10-02,5.7,5.7,5.7,5.7,0
SHIVATEX,2002-10-03,6.0,6.0,6.0,6.0,10
