symbol,date,open,high,low,close,volume
SHREDIGCEM,2025-07-24,91.0,91.9,87.41,88.2,556009
SHREDIGCEM,2025-07-25,88.9,88.9,85.01,85.64,451809
SHREDIGCEM,2025-07-28,85.15,90.65,84.5,86.07,583323
SHREDIGCEM,2025-07-29,86.25,88.44,85.6,87.52,400526
SHREDIGCEM,2025-07-30,87.74,89.3,86.35,87.6,610946
SHREDIGCEM,2025-07-31,84.8,86.3,79.88,84.26,1047662
SHREDIGCEM,2025-08-01,83.52,87.34,83.52,84.29,399385
SHREDIGCEM,2025-08-04,84.5,84.59,82.18,82.6,216827
SHREDIGCEM,2025-08-05,83.0,84.0,81.9,82.74,175489
SHREDIGCEM,2025-08-06,83.09,84.65,81.26,81.82,164898
SHREDIGCEM,2025-08-07,81.0,81.9,80.0,80.99,196879
SHREDIGCEM,2025-08-08,80.99,82.0,80.65,81.48,101961
SHREDIGCEM,2025-08-11,81.73,82.23,80.65,82.0,111528
SHREDIGCEM,2025-08-12,82.1,83.5,81.57,82.18,321650
SHREDIGCEM,2025-08-13,82.18,82.59,81.62,81.79,111646
SHREDIGCEM,2025-08-14,82.1,82.57,80.49,82.14,177526
SHREDIGCEM,2025-08-18,84.19,88.0,83.7,86.18,1195141
SHREDIGCEM,2025-08-19,86.59,87.5,85.42,86.86,175862
SHREDIGCEM,2025-08-20,87.05,97.8,87.05,95.65,6390696
SHREDIGCEM,2025-08-21,94.8,99.7,94.7,96.97,2397657
SHREDIGCEM,2025-08-22,97.0,98.39,91.5,94.7,815370
SHREDIGCEM,2025-08-25,94.0,107.7,93.0,104.08,7600616
SHREDIGCEM,2025-08-26,100.0,100.8,96.0,96.98,2731313
SHREDIGCEM,2025-08-28,97.0,98.19,95.1,96.32,1005020
SHREDIGCEM,2025-08-29,96.81,99.8,95.74,97.22,1139652
SHREDIGCEM,2025-09-01,97.22,97.92,94.5,95.24,726181
SHREDIGCEM,2025-09-02,96.0,97.7,94.1,95.07,738278
SHREDIGCEM,2025-09-03,95.1,98.45,93.05,96.69,1733684
SHREDIGCEM,2025-09-04,100.8,100.8,94.25,96.27,2240216
SHREDIGCEM,2025-09-05,97.2,98.58,90.16,90.65,3688881
SHREDIGCEM,2025-09-08,90.65,91.39,89.05,89.37,820972
SHREDIGCEM,2025-09-09,89.1,89.87,88.75,89.03,384916
SHREDIGCEM,2025-09-10,89.2,91.65,89.2,89.66,661495
SHREDIGCEM,2025-09-11,90.4,92.25,90.3,90.96,859759
SHREDIGCEM,2025-09-12,91.87,91.89,89.75,90.03,256528
SHREDIGCEM,2025-09-15,90.4,90.75,89.17,89.47,349702
SHREDIGCEM,2025-09-16,89.85,90.1,89.3,89.48,275588
SHREDIGCEM,2025-09-17,89.11,89.94,89.11,89.37,174068
SHREDIGCEM,2025-09-18,89.66,89.8,88.95,89.3,477760
SHREDIGCEM,2025-09-19,89.64,90.5,89.4,89.86,194206
SHREDIGCEM,2025-09-22,89.85,90.5,89.25,89.95,272125
SHREDIGCEM,2025-09-23,90.0,90.1,88.78,89.22,405459
SHREDIGCEM,2025-09-24,89.22,91.25,89.22,89.56,543242
SHREDIGCEM,2025-09-25,89.79,90.1,89.3,89.34,194322
SHREDIGCEM,2025-09-26,89.26,89.7,89.1,89.31,532884
SHREDIGCEM,2025-09-29,89.11,89.99,89.11,89.38,257418
SHREDIGCEM,2025-09-30,89.69,89.8,89.25,89.37,198144
SHREDIGCEM,2025-10-01,89.37,93.33,89.25,91.64,1649153
SHREDIGCEM,2025-10-03,91.7,92.32,90.4,90.62,362554
SHREDIGCEM,2025-10-06,91.25,91.39,89.25,89.66,359324
SHREDIGCEM,2025-10-07,90.1,90.1,89.35,89.52,155004
SHREDIGCEM,2025-10-08,89.3,90.41,89.3,89.72,217108
SHREDIGCEM,2025-10-09,89.11,90.2,89.11,89.31,129817
