symbol,date,open,high,low,close,volume
SHRENIK,2025-07-23,0.59,0.6,0.58,0.58,448531
SHRENIK,2025-07-24,0.58,0.6,0.58,0.59,846409
SHRENIK,2025-07-25,0.59,0.6,0.58,0.59,609964
SHRENIK,2025-07-28,0.59,0.6,0.56,0.57,1646912
SHRENIK,2025-07-29,0.58,0.58,0.57,0.57,795086
SHRENIK,2025-07-30,0.58,0.58,0.57,0.57,521667
SHRENIK,2025-07-31,0.57,0.58,0.55,0.56,1406338
SHRENIK,2025-08-01,0.56,0.57,0.55,0.56,449465
SHRENIK,2025-08-04,0.56,0.57,0.55,0.55,947383
SHRENIK,2025-08-05,0.56,0.57,0.55,0.57,682954
SHRENIK,2025-08-06,0.57,0.58,0.57,0.57,511841
SHRENIK,2025-08-07,0.57,0.58,0.56,0.56,387512
SHRENIK,2025-08-08,0.58,0.58,0.56,0.56,565948
SHRENIK,2025-08-11,0.57,0.57,0.55,0.55,1082486
SHRENIK,2025-08-12,0.54,0.56,0.54,0.54,519715
SHRENIK,2025-08-13,0.55,0.57,0.55,0.56,907256
SHRENIK,2025-08-14,0.57,0.57,0.56,0.56,473369
SHRENIK,2025-08-18,0.56,0.57,0.55,0.56,501141
SHRENIK,2025-08-19,0.56,0.57,0.55,0.55,437940
SHRENIK,2025-08-20,0.55,0.57,0.55,0.56,816656
SHRENIK,2025-08-21,0.55,0.57,0.55,0.56,657010
SHRENIK,2025-08-22,0.56,0.57,0.56,0.56,296338
SHRENIK,2025-08-25,0.56,0.57,0.55,0.55,619009
SHRENIK,2025-08-26,0.55,0.56,0.54,0.54,856820
SHRENIK,2025-08-28,0.54,0.55,0.52,0.53,1212354
SHRENIK,2025-08-29,0.52,0.54,0.52,0.53,780950
SHRENIK,2025-09-01,0.53,0.54,0.52,0.52,665785
SHRENIK,2025-09-02,0.53,0.54,0.52,0.52,992772
SHRENIK,2025-09-03,0.53,0.54,0.46,0.49,2698396
SHRENIK,2025-09-04,0.5,0.53,0.48,0.51,1527082
SHRENIK,2025-09-05,0.52,0.53,0.51,0.51,965198
SHRENIK,2025-09-08,0.52,0.54,0.51,0.53,1177030
SHRENIK,2025-09-09,0.53,0.54,0.52,0.53,1459408
SHRENIK,2025-09-10,0.53,0.54,0.52,0.53,1308869
SHRENIK,2025-09-11,0.54,0.54,0.51,0.51,1446615
SHRENIK,2025-09-12,0.52,0.52,0.51,0.51,885020
SHRENIK,2025-09-15,0.52,0.52,0.5,0.5,1495481
SHRENIK,2025-09-16,0.51,0.54,0.5,0.52,2069875
SHRENIK,2025-09-17,0.53,0.53,0.52,0.52,1174961
SHRENIK,2025-09-18,0.53,0.57,0.52,0.54,2869853
SHRENIK,2025-09-19,0.54,0.55,0.52,0.53,1697532
SHRENIK,2025-09-22,0.54,0.55,0.53,0.53,774726
SHRENIK,2025-09-23,0.54,0.56,0.53,0.54,1160169
SHRENIK,2025-09-24,0.54,0.56,0.54,0.54,604356
SHRENIK,2025-09-25,0.55,0.58,0.54,0.55,2232457
SHRENIK,2025-09-26,0.56,0.57,0.55,0.55,1357851
SHRENIK,2025-09-29,0.57,0.57,0.53,0.55,1876359
SHRENIK,2025-09-30,0.54,0.6,0.54,0.55,3218796
SHRENIK,2025-10-01,0.56,0.58,0.55,0.55,1300844
SHRENIK,2025-10-03,0.55,0.57,0.55,0.56,1042261
SHRENIK,2025-10-06,0.55,0.57,0.55,0.55,572601
SHRENIK,2025-10-07,0.56,0.58,0.56,0.56,1434801
SHRENIK,2025-10-08,0.58,0.59,0.51,0.56,1558704
SHRENIK,2025-10-09,0.57,0.58,0.55,0.55,565955
SHRENIK,2025-10-10,0.55,0.57,0.55,0.56,518259
SHRENIK,2025-10-13,0.56,0.57,0.55,0.55,912903
SHRENIK,2025-10-14,0.55,0.57,0.52,0.55,809544
SHRENIK,2025-10-15,0.54,0.56,0.53,0.54,462495
SHRENIK,2025-10-16,0.54,0.56,0.53,0.55,271971
SHRENIK,2025-10-17,0.55,0.55,0.53,0.53,515004
SHRENIK,2025-10-20,0.54,0.55,0.53,0.54,294649
SHRENIK,2025-10-21,0.54,0.56,0.54,0.54,193245
SHRENIK,2025-10-23,0.56,0.56,0.54,0.55,425744
SHRENIK,2025-10-24,0.56,0.56,0.54,0.54,611761
SHRENIK,2025-10-27,0.54,0.55,0.53,0.53,846229
SHRENIK,2025-10-28,0.53,0.55,0.53,0.54,636814
SHRENIK,2025-10-29,0.54,0.55,0.54,0.54,787866
SHRENIK,2025-10-30,0.54,0.55,0.54,0.54,400461
SHRENIK,2025-10-31,0.59,0.6,0.55,0.56,878146
SHRENIK,2025-11-03,0.57,0.57,0.55,0.55,765602
SHRENIK,2025-11-04,0.55,0.56,0.55,0.55,525494
SHRENIK,2025-11-06,0.55,0.56,0.54,0.54,462662
SHRENIK,2025-11-07,0.55,0.55,0.53,0.54,274563
SHRENIK,2025-11-10,0.55,0.56,0.54,0.55,676708
SHRENIK,2025-11-11,0.55,0.56,0.55,0.55,468148
SHRENIK,2025-11-12,0.55,0.55,0.54,0.54,433593
SHRENIK,2025-11-13,0.54,0.55,0.53,0.54,704786
SHRENIK,2025-11-14,0.55,0.55,0.54,0.54,327274
SHRENIK,2025-11-17,0.54,0.55,0.52,0.53,544345
SHRENIK,2025-11-18,0.52,0.53,0.51,0.52,604556
SHRENIK,2025-11-19,0.52,0.54,0.51,0.53,410350
SHRENIK,2025-11-20,0.53,0.53,0.52,0.52,363991
SHRENIK,2025-11-21,0.52,0.54,0.52,0.52,453474
SHRENIK,2025-11-24,0.54,0.54,0.51,0.51,438396
SHRENIK,2025-11-25,0.51,0.53,0.51,0.51,575448
SHRENIK,2025-11-26,0.53,0.53,0.51,0.51,348176
SHRENIK,2025-11-27,0.51,0.52,0.51,0.51,426146
SHRENIK,2025-11-28,0.51,0.61,0.4,0.54,4019831
SHRENIK,2025-12-01,0.62,0.64,0.52,0.62,6882014
SHRENIK,2025-12-02,0.63,0.65,0.53,0.57,2832022
SHRENIK,2025-12-03,0.59,0.6,0.53,0.55,1138602
SHRENIK,2025-12-04,0.55,0.57,0.54,0.54,412630
SHRENIK,2025-12-05,0.54,0.54,0.51,0.52,516333
SHRENIK,2025-12-08,0.53,0.55,0.52,0.52,803248
SHRENIK,2025-12-09,0.52,0.57,0.51,0.52,1049776
SHRENIK,2025-12-10,0.53,0.57,0.52,0.53,712878
SHRENIK,2025-12-11,0.53,0.54,0.52,0.52,459017
SHRENIK,2025-12-12,0.52,0.55,0.52,0.52,892473
SHRENIK,2025-12-15,0.52,0.54,0.52,0.52,348174
SHRENIK,2025-12-16,0.52,0.54,0.49,0.51,1415746
SHRENIK,2025-12-17,0.52,0.53,0.51,0.51,953388
SHRENIK,2025-12-18,0.52,0.53,0.51,0.51,912121
SHRENIK,2025-12-19,0.51,0.53,0.51,0.51,1088026
SHRENIK,2025-12-22,0.52,0.61,0.51,0.6,20198293
SHRENIK,2025-12-23,0.59,0.61,0.48,0.51,11694484
SHRENIK,2025-12-24,0.51,0.52,0.49,0.49,4095649
SHRENIK,2025-12-26,0.5,0.51,0.48,0.49,2096081
SHRENIK,2025-12-29,0.49,0.5,0.48,0.48,793500
SHRENIK,2025-12-30,0.48,0.5,0.47,0.48,1484857
SHRENIK,2025-12-31,0.48,0.49,0.47,0.47,964461
SHRENIK,2026-01-01,0.47,0.48,0.45,0.45,1859977
SHRENIK,2026-01-02,0.45,0.46,0.43,0.44,1300397
SHRENIK,2026-01-05,0.45,0.46,0.44,0.45,916248
SHRENIK,2026-01-06,0.46,0.47,0.44,0.45,747289
SHRENIK,2026-01-07,0.45,0.45,0.44,0.44,566115
SHRENIK,2026-01-08,0.45,0.45,0.44,0.44,408650
SHRENIK,2026-01-09,0.45,0.45,0.43,0.44,337465
SHRENIK,2026-01-12,0.44,0.45,0.42,0.42,643342
SHRENIK,2026-01-13,0.42,0.43,0.41,0.42,504356
SHRENIK,2026-01-14,0.42,0.43,0.42,0.42,246870
SHRENIK,2026-01-15,0.42,0.42,0.42,0.42,0
SHRENIK,2026-01-16,0.42,0.43,0.4,0.41,817651
SHRENIK,2026-01-19,0.41,0.41,0.4,0.4,369951
SHRENIK,2026-01-20,0.4,0.41,0.38,0.38,1767808
SHRENIK,2026-01-21,0.38,0.39,0.37,0.38,687828
SHRENIK,2026-01-22,0.38,0.39,0.38,0.39,465348
SHRENIK,2026-01-23,0.4,0.4,0.38,0.39,1325629
SHRENIK,2026-01-27,0.38,0.4,0.38,0.39,490190
SHRENIK,2026-01-28,0.39,0.4,0.39,0.39,594690
SHRENIK,2026-01-29,0.39,0.4,0.39,0.39,297039
SHRENIK,2026-01-30,0.39,0.4,0.39,0.39,651796
SHRENIK,2026-02-02,0.4,0.4,0.38,0.38,566285
SHRENIK,2026-02-03,0.39,0.39,0.38,0.39,313969
SHRENIK,2026-02-04,0.4,0.4,0.39,0.39,319949
SHRENIK,2026-02-05,0.4,0.4,0.39,0.39,433010
SHRENIK,2026-02-06,0.4,0.4,0.39,0.39,198945
SHRENIK,2026-02-09,0.4,0.4,0.39,0.39,347097
SHRENIK,2026-02-10,0.39,0.4,0.39,0.39,352279
SHRENIK,2026-02-11,0.4,0.4,0.39,0.4,119431
SHRENIK,2026-02-12,0.41,0.42,0.4,0.42,579186
SHRENIK,2026-02-13,0.44,0.44,0.43,0.43,680714
SHRENIK,2026-02-16,0.44,0.45,0.43,0.44,677423
SHRENIK,2026-02-17,0.44,0.46,0.44,0.46,791625
SHRENIK,2026-02-18,0.46,0.48,0.46,0.46,452061
SHRENIK,2026-02-19,0.47,0.47,0.44,0.44,485568
SHRENIK,2026-02-20,0.44,0.44,0.42,0.42,278948
SHRENIK,2026-02-23,0.42,0.42,0.4,0.4,674900
SHRENIK,2026-02-24,0.39,0.4,0.38,0.39,358518
SHRENIK,2026-02-25,0.4,0.4,0.39,0.4,356419
SHRENIK,2026-02-26,0.41,0.42,0.4,0.42,146828
SHRENIK,2026-02-27,0.44,0.44,0.43,0.44,233195
SHRENIK,2026-03-02,0.42,0.43,0.42,0.42,168283
SHRENIK,2026-03-04,0.4,0.4,0.4,0.4,353220
SHRENIK,2026-03-05,0.41,0.42,0.38,0.41,701699
SHRENIK,2026-03-06,0.42,0.43,0.42,0.42,127483
SHRENIK,2026-03-09,0.4,0.42,0.4,0.41,339388
SHRENIK,2026-03-10,0.41,0.42,0.39,0.4,329443
SHRENIK,2026-03-11,0.4,0.41,0.4,0.4,228721
SHRENIK,2026-03-12,0.41,0.42,0.4,0.41,684061
SHRENIK,2026-03-13,0.41,0.42,0.41,0.41,246874
SHRENIK,2026-03-16,0.41,0.42,0.4,0.4,354163
SHRENIK,2026-03-17,0.41,0.42,0.39,0.41,293853
SHRENIK,2026-03-18,0.42,0.42,0.4,0.41,291149
SHRENIK,2026-03-19,0.4,0.41,0.39,0.4,167145
SHRENIK,2026-03-20,0.4,0.41,0.39,0.4,184999
SHRENIK,2026-03-23,0.4,0.41,0.39,0.4,433326
SHRENIK,2026-03-24,0.41,0.41,0.38,0.4,513215
SHRENIK,2026-03-25,0.39,0.41,0.39,0.39,288439
SHRENIK,2026-03-27,0.39,0.4,0.38,0.38,1190652
SHRENIK,2026-03-30,0.37,0.37,0.37,0.37,709768
SHRENIK,2026-04-01,0.36,0.38,0.36,0.38,400357
SHRENIK,2026-04-02,0.39,0.39,0.38,0.39,113321
SHRENIK,2026-04-06,0.39,0.4,0.39,0.39,205064
SHRENIK,2026-04-07,0.4,0.4,0.39,0.4,520643
SHRENIK,2026-04-08,0.42,0.42,0.39,0.39,720152
SHRENIK,2026-04-09,0.4,0.4,0.39,0.4,219722
SHRENIK,2026-04-10,0.41,0.41,0.38,0.39,769908
SHRENIK,2026-04-13,0.4,0.4,0.39,0.39,219163
SHRENIK,2026-04-15,0.39,0.4,0.39,0.39,358140
SHRENIK,2026-04-16,0.4,0.4,0.39,0.39,410932
SHRENIK,2026-04-17,0.4,0.4,0.39,0.4,662516
SHRENIK,2026-04-20,0.4,0.42,0.4,0.4,800950
SHRENIK,2026-04-21,0.42,0.42,0.4,0.41,345390
SHRENIK,2026-04-22,0.41,0.42,0.4,0.4,352012
SHRENIK,2026-04-23,0.4,0.41,0.39,0.4,262933
SHRENIK,2026-04-24,0.4,0.41,0.39,0.39,290936
SHRENIK,2026-04-27,0.39,0.4,0.39,0.39,513914
SHRENIK,2026-04-28,0.4,0.4,0.39,0.39,272202
SHRENIK,2026-04-29,0.39,0.4,0.39,0.4,190025
SHRENIK,2026-04-30,0.41,0.41,0.39,0.4,242089
SHRENIK,2026-05-04,0.4,0.42,0.4,0.4,317332
SHRENIK,2026-05-05,0.4,0.41,0.4,0.4,354992
SHRENIK,2026-05-06,0.4,0.41,0.39,0.4,428820
SHRENIK,2026-05-07,0.41,0.41,0.4,0.41,298621
SHRENIK,2026-05-08,0.41,0.41,0.4,0.4,105102
SHRENIK,2026-05-11,0.4,0.41,0.4,0.4,199813
