symbol,date,open,high,low,close,volume
SHYAMCENT,2025-07-22,8.36,8.39,8.36,8.36,100153
SHYAMCENT,2025-07-23,8.3,8.4,8.2,8.3,22365
SHYAMCENT,2025-07-24,8.22,8.3,8.2,8.22,14041
SHYAMCENT,2025-07-25,8.08,8.18,8.08,8.08,7938
SHYAMCENT,2025-07-28,7.91,7.92,7.91,7.91,67565
SHYAMCENT,2025-07-29,7.75,7.91,7.75,7.75,11947
SHYAMCENT,2025-07-30,7.7,7.75,7.7,7.7,12433
SHYAMCENT,2025-07-31,7.67,7.7,7.54,7.67,4264
SHYAMCENT,2025-08-01,7.73,7.73,7.55,7.73,10020
SHYAMCENT,2025-08-04,7.57,7.58,7.57,7.57,13129
SHYAMCENT,2025-08-05,7.41,7.5,7.41,7.41,7086
SHYAMCENT,2025-08-06,7.4,7.41,7.4,7.4,4462
SHYAMCENT,2025-08-07,7.54,7.54,7.4,7.54,14727
SHYAMCENT,2025-08-08,7.65,7.69,7.65,7.65,19099
SHYAMCENT,2025-08-11,7.6,7.63,7.51,7.6,6690
SHYAMCENT,2025-08-12,7.44,7.6,7.44,7.44,14289
SHYAMCENT,2025-08-13,7.3,7.41,7.3,7.3,18839
SHYAMCENT,2025-08-14,7.16,7.3,7.15,7.16,27775
SHYAMCENT,2025-08-18,7.19,7.51,7.12,7.26,510550
SHYAMCENT,2025-08-19,7.11,7.46,7.11,7.24,59234
SHYAMCENT,2025-08-20,7.11,7.49,7.08,7.33,116353
SHYAMCENT,2025-08-21,7.33,7.38,7.2,7.24,68478
SHYAMCENT,2025-08-22,7.24,7.34,7.15,7.27,40684
SHYAMCENT,2025-08-25,7.27,7.5,7.08,7.16,58099
SHYAMCENT,2025-08-26,7.08,7.26,6.84,7.11,37903
SHYAMCENT,2025-08-28,7.0,7.44,6.9,7.12,70219
SHYAMCENT,2025-08-29,7.0,7.28,6.92,7.0,140906
SHYAMCENT,2025-09-01,7.25,8.4,7.25,8.4,190988
SHYAMCENT,2025-09-02,9.75,9.75,7.72,7.81,2404040
SHYAMCENT,2025-09-03,8.15,8.4,7.82,8.02,336357
SHYAMCENT,2025-09-04,8.38,8.42,7.95,8.09,133726
SHYAMCENT,2025-09-05,8.09,8.38,7.96,8.19,118489
SHYAMCENT,2025-09-08,8.21,8.71,8.19,8.33,112077
SHYAMCENT,2025-09-09,8.55,8.55,8.05,8.15,131398
SHYAMCENT,2025-09-10,8.57,8.79,7.7,7.78,670502
SHYAMCENT,2025-09-11,7.8,7.99,7.61,7.69,156069
SHYAMCENT,2025-09-12,7.76,7.93,6.87,7.44,436006
SHYAMCENT,2025-09-15,7.3,7.59,7.3,7.48,149465
SHYAMCENT,2025-09-16,7.5,7.68,7.31,7.39,180900
SHYAMCENT,2025-09-17,7.38,7.5,7.3,7.42,116142
SHYAMCENT,2025-09-18,7.42,7.5,7.35,7.37,132317
SHYAMCENT,2025-09-19,7.36,7.49,7.02,7.27,271425
SHYAMCENT,2025-09-22,7.27,7.5,7.27,7.34,203004
SHYAMCENT,2025-09-23,7.35,7.4,7.02,7.09,178939
SHYAMCENT,2025-09-24,7.29,8.0,6.74,7.22,2923434
SHYAMCENT,2025-09-25,7.38,7.4,7.11,7.13,223114
SHYAMCENT,2025-09-26,7.27,7.27,7.0,7.11,139938
