symbol,date,open,high,low,close,volume
SIGIND,2013-06-11,25.95,27.0,25.535,26.135,221340
SIGIND,2013-06-12,26.1,26.37,26.005,26.295,196360
SIGIND,2013-06-13,26.1,27.09,24.935,26.135,192460
SIGIND,2013-06-14,26.005,26.29,25.9,26.01,211800
SIGIND,2013-06-17,26.2,26.51,25.4,25.87,232360
SIGIND,2013-06-18,25.88,25.9,25.715,25.855,225760
SIGIND,2013-06-19,25.91,26.26,25.795,26.2,240200
SIGIND,2013-06-20,26.37,26.9,26.145,26.415,218700
SIGIND,2013-06-21,26.8,27.09,26.605,26.97,223040
SIGIND,2013-06-24,27.1,27.22,26.005,26.35,239780
SIGIND,2013-06-25,26.35,26.58,26.2,26.57,216270
SIGIND,2013-06-26,26.72,27.085,26.5,27.03,215930
SIGIND,2013-06-27,27.15,27.415,26.685,27.4,226720
SIGIND,2013-06-28,27.5,31.5,26.155,27.49,219720
SIGIND,2013-07-01,27.7,32.9,27.52,28.735,317970
SIGIND,2013-07-02,28.83,29.0,28.57,28.825,325430
SIGIND,2013-07-03,29.11,29.33,28.72,29.32,274880
SIGIND,2013-07-04,29.45,30.48,29.23,30.4,296380
SIGIND,2013-07-05,30.45,30.83,30.21,30.67,407200
SIGIND,2013-07-08,30.7,31.04,29.8,30.42,504800
SIGIND,2013-07-09,30.8,31.5,30.0,30.225,508980
SIGIND,2013-07-10,30.36,30.5,29.105,29.475,300380
SIGIND,2013-07-11,29.51,29.87,29.2,29.865,306340
SIGIND,2013-07-12,29.8,30.555,29.69,30.48,305890
SIGIND,2013-07-15,30.3,30.5,30.15,30.475,232330
SIGIND,2013-07-16,30.27,30.7,30.005,30.525,231190
SIGIND,2013-07-17,30.45,30.785,29.0,29.575,312440
SIGIND,2013-07-18,29.58,29.75,29.2,29.655,267120
SIGIND,2013-07-19,29.8,30.28,29.22,30.27,243990
SIGIND,2013-07-22,30.3,30.54,30.105,30.485,252680
SIGIND,2013-07-23,30.61,30.775,30.21,30.475,208500
SIGIND,2013-07-24,30.37,30.5,30.005,30.455,231120
SIGIND,2013-07-25,30.73,30.9,30.5,30.59,202710
SIGIND,2013-07-26,30.75,31.1,30.555,30.955,227130
SIGIND,2013-07-29,31.0,31.295,30.925,31.125,280610
SIGIND,2013-07-30,31.065,31.4,30.815,30.945,107320
SIGIND,2013-07-31,31.1,31.39,30.7,31.01,96510
SIGIND,2013-08-01,31.1,31.4,30.815,31.245,69050
SIGIND,2013-08-02,31.45,31.5,31.0,31.305,115410
SIGIND,2013-08-05,31.55,31.6,31.065,31.375,173250
SIGIND,2013-08-06,31.55,31.585,31.0,31.31,95510
SIGIND,2013-08-07,31.33,31.795,31.1,31.125,163640
SIGIND,2013-08-08,31.5,31.5,30.185,30.955,185770
SIGIND,2013-08-12,30.95,31.25,30.41,31.03,91980
SIGIND,2013-08-13,30.95,31.44,29.915,30.985,82150
SIGIND,2013-08-14,31.5,31.5,29.0,30.38,192490
SIGIND,2013-08-16,30.65,31.05,29.915,30.27,139640
SIGIND,2013-08-19,30.8,31.5,30.05,30.265,128290
SIGIND,2013-08-20,30.6,30.95,29.8,30.455,171760
SIGIND,2013-08-21,30.45,30.9,30.15,30.36,111690
SIGIND,2013-08-22,30.8,30.895,30.205,30.405,117240
SIGIND,2013-08-23,30.45,30.97,30.135,30.59,124400
SIGIND,2013-08-26,30.95,31.045,30.205,30.26,82430
SIGIND,2013-08-27,30.45,31.2,29.5,30.23,92520
SIGIND,2013-08-28,30.315,30.995,29.92,30.41,88300
SIGIND,2013-08-29,30.48,30.995,29.87,30.46,91050
SIGIND,2013-08-30,30.4,31.095,29.915,30.29,96770
SIGIND,2013-09-02,30.4,31.2,28.715,30.245,72840
SIGIND,2013-09-03,30.35,31.195,29.96,30.27,46050
SIGIND,2013-09-04,30.55,31.195,30.22,30.25,50120
SIGIND,2013-09-05,30.4,30.43,30.15,30.325,38690
SIGIND,2013-09-06,30.4,31.4,30.3,30.565,72520
SIGIND,2013-09-10,30.57,31.23,30.26,30.93,47410
SIGIND,2013-09-11,30.895,30.9,29.96,30.35,37110
SIGIND,2013-09-12,31.225,31.4,30.27,31.275,52600
SIGIND,2013-09-13,30.55,31.495,30.5,31.335,53060
SIGIND,2013-09-16,31.7,31.7,30.57,31.42,41570
SIGIND,2013-09-17,31.895,31.99,30.865,31.62,38910
SIGIND,2013-09-18,31.1,32.195,31.08,31.88,32740
SIGIND,2013-09-19,32.445,32.595,29.775,31.06,63890
SIGIND,2013-09-20,31.895,31.895,30.0,30.52,37290
SIGIND,2013-09-23,30.58,31.29,28.235,29.83,26640
SIGIND,2013-09-24,30.31,31.0,30.27,30.76,25590
SIGIND,2013-09-25,30.8,31.18,30.32,30.55,30770
SIGIND,2013-09-26,30.8,31.4,28.84,30.755,29260
SIGIND,2013-09-27,30.895,31.3,30.725,31.0,40640
SIGIND,2013-09-30,31.0,31.12,30.9,31.0,34820
SIGIND,2013-10-01,31.0,31.295,30.675,31.07,15710
SIGIND,2013-10-03,31.15,31.495,30.46,31.17,22360
SIGIND,2013-10-04,31.165,31.51,30.655,31.375,20090
SIGIND,2013-10-07,30.7,31.5,30.65,31.21,15030
SIGIND,2013-10-08,31.2,31.2,30.7,31.015,15900
SIGIND,2013-10-09,31.05,31.36,30.9,31.29,15810
SIGIND,2013-10-10,31.45,31.45,30.9,30.92,45450
SIGIND,2013-10-11,31.1,31.5,31.02,31.29,20300
SIGIND,2013-10-14,30.5,31.5,30.12,31.17,23550
SIGIND,2013-10-15,31.15,31.49,30.105,30.85,51900
SIGIND,2013-10-17,30.925,31.0,30.505,30.75,66750
SIGIND,2013-10-18,31.0,31.2,30.72,31.095,79660
SIGIND,2013-10-21,31.1,31.495,30.3,30.57,210400
SIGIND,2013-10-22,31.24,31.5,30.75,30.785,63410
SIGIND,2013-10-23,30.8,31.5,30.41,30.46,89600
SIGIND,2013-10-24,30.5,31.4,30.35,30.375,78210
SIGIND,2013-10-25,30.6,30.85,30.505,30.74,93300
SIGIND,2013-10-28,31.3,32.5,30.0,30.735,116090
SIGIND,2013-10-29,30.8,31.05,30.6,31.05,123620
SIGIND,2013-10-30,30.94,31.5,30.55,31.005,120010
SIGIND,2013-10-31,31.0,31.2,30.7,30.705,152550
SIGIND,2013-11-01,30.75,31.0,30.4,30.6,109370
SIGIND,2013-11-05,31.2,31.8,30.85,31.38,1268300
SIGIND,2013-11-06,30.85,31.5,30.85,31.0,1273790
SIGIND,2013-11-07,31.5,31.5,30.85,30.975,1035780
SIGIND,2013-11-08,31.01,31.5,30.41,30.67,393730
SIGIND,2013-11-11,30.59,30.825,30.55,30.66,571840
SIGIND,2013-11-12,30.6,30.67,30.51,30.565,335880
SIGIND,2013-11-13,30.41,31.0,30.3,30.37,273590
SIGIND,2013-11-14,30.85,30.99,30.375,30.955,302560
SIGIND,2013-11-18,31.2,31.365,30.855,31.29,368030
SIGIND,2013-11-19,31.05,31.225,30.755,30.855,338000
SIGIND,2013-11-20,30.8,31.1,30.6,30.685,351260
SIGIND,2013-11-21,30.9,31.095,30.52,30.575,306960
SIGIND,2013-11-22,30.9,31.15,30.4,30.87,338800
SIGIND,2013-11-25,30.78,30.895,30.49,30.675,522140
SIGIND,2013-11-26,30.76,30.965,30.53,30.595,655230
SIGIND,2013-11-27,30.65,30.9,30.5,30.785,766510
SIGIND,2013-11-28,30.87,30.875,30.5,30.57,856340
SIGIND,2013-11-29,30.895,30.895,30.505,30.565,757390
SIGIND,2013-12-02,30.7,30.83,30.48,30.575,346780
SIGIND,2013-12-03,30.9,30.9,30.515,30.62,310290
SIGIND,2013-12-04,30.5,30.895,30.5,30.57,326810
SIGIND,2013-12-05,30.875,30.885,30.51,30.59,301100
SIGIND,2013-12-06,30.585,36.0,30.49,30.68,361500
SIGIND,2013-12-09,30.78,31.06,30.5,31.035,326480
SIGIND,2013-12-10,30.8,30.995,30.72,30.86,298990
SIGIND,2013-12-11,30.85,31.045,30.58,30.775,325790
SIGIND,2013-12-12,30.94,31.045,30.55,30.675,302810
SIGIND,2013-12-13,30.58,30.755,30.31,30.51,305930
SIGIND,2013-12-16,30.795,30.795,30.555,30.655,287100
SIGIND,2013-12-17,30.55,30.8,30.4,30.6,297170
SIGIND,2013-12-18,30.795,30.795,30.305,30.625,315730
SIGIND,2013-12-19,30.65,30.77,30.345,30.56,304230
SIGIND,2013-12-20,30.56,30.74,30.505,30.555,310160
SIGIND,2013-12-23,30.625,30.795,30.55,30.645,305190
SIGIND,2013-12-24,30.625,30.75,30.505,30.58,303760
SIGIND,2013-12-26,30.75,30.79,30.505,30.625,307500
SIGIND,2013-12-27,30.6,30.79,30.5,30.59,272200
SIGIND,2013-12-30,30.58,30.745,30.45,30.61,291890
SIGIND,2013-12-31,30.65,30.8,30.505,30.665,276130
SIGIND,2014-01-01,30.625,30.73,30.5,30.565,287350
SIGIND,2014-01-02,30.625,30.745,30.555,30.62,281060
SIGIND,2014-01-03,30.945,30.95,30.525,30.795,315070
SIGIND,2014-01-06,30.615,30.75,30.55,30.615,289150
SIGIND,2014-01-07,30.75,30.75,30.5,30.62,302880
SIGIND,2014-01-08,30.74,30.8,30.5,30.605,296270
SIGIND,2014-01-09,30.55,30.75,30.55,30.595,297820
SIGIND,2014-01-10,30.625,30.745,30.45,30.6,287450
SIGIND,2014-01-13,30.625,30.8,30.355,30.545,303320
SIGIND,2014-01-14,30.55,30.8,30.455,30.645,283590
SIGIND,2014-01-15,30.55,30.795,30.5,30.67,286110
SIGIND,2014-01-16,30.67,30.79,30.4,30.605,298140
SIGIND,2014-01-17,30.55,30.75,30.45,30.56,292570
SIGIND,2014-01-20,30.55,30.75,30.4,30.555,293740
SIGIND,2014-01-21,30.62,30.7,30.355,30.505,274340
SIGIND,2014-01-22,30.55,30.75,30.45,30.56,290870
SIGIND,2014-01-23,30.55,30.75,30.4,30.53,305750
SIGIND,2014-01-24,30.65,30.74,30.355,30.495,360890
SIGIND,2014-01-27,30.45,30.7,30.345,30.435,381360
SIGIND,2014-01-28,30.45,30.65,30.345,30.48,354380
SIGIND,2014-01-29,30.56,30.74,30.4,30.44,279490
