symbol,date,open,high,low,close,volume
SMLMAH,2002-07-01,73.8864,77.7414,73.6111,76.5023,7013
SMLMAH,2002-07-02,75.7221,78.9346,75.7221,78.5215,7891
SMLMAH,2002-07-03,78.1544,80.7703,78.1544,79.4853,6561
SMLMAH,2002-07-04,78.9346,83.2943,77.7873,80.862,12506
SMLMAH,2002-07-05,82.6059,85.3595,81.734,84.3957,10895
SMLMAH,2002-07-08,87.0116,87.6541,85.3595,87.2411,17659
SMLMAH,2002-07-09,89.8569,89.9028,85.4054,87.8377,10607
SMLMAH,2002-07-10,88.5719,89.811,88.113,88.1589,8303
SMLMAH,2002-07-11,90.7289,90.7289,87.7459,88.0671,11617
SMLMAH,2002-07-12,82.6059,86.2773,82.6059,84.4875,4794
SMLMAH,2002-07-15,78.9346,84.3957,78.2003,78.5215,3416
SMLMAH,2002-07-16,78.0167,79.6229,70.674,75.2632,3742
SMLMAH,2002-07-17,75.2632,76.181,72.7391,73.3816,2780
SMLMAH,2002-07-18,73.4275,87.1952,73.4275,82.2847,42781
SMLMAH,2002-07-19,82.5142,82.5142,75.8598,76.3187,12936
SMLMAH,2002-07-22,80.7703,80.7703,71.2247,74.9878,11771
SMLMAH,2002-07-23,77.9708,77.9708,71.5918,76.4105,8187
SMLMAH,2002-07-24,76.3646,78.8428,74.3453,74.3912,9862
SMLMAH,2002-07-25,74.3453,76.1351,73.5193,73.5193,4049
SMLMAH,2002-07-26,71.4082,72.5097,67.9204,69.1136,13466
SMLMAH,2002-07-29,66.0848,68.3794,57.3652,64.1573,12910
SMLMAH,2002-07-30,68.8383,68.8383,62.4134,62.7346,18402
SMLMAH,2002-07-31,64.2491,65.8094,61.312,63.423,21962
SMLMAH,2002-08-01,59.7975,63.6984,59.7975,62.1839,3061
SMLMAH,2002-08-02,64.2491,68.8383,60.5777,63.2853,26244
SMLMAH,2002-08-05,66.0848,68.8383,66.0848,66.4978,4368
