symbol,date,open,high,low,close,volume
SMVD,2021-07-26,6.5594,6.5594,6.5594,6.5594,0
SMVD,2021-07-27,6.5594,6.5594,6.5594,6.5594,0
SMVD,2021-07-28,6.3614,6.3614,6.3614,6.3614,4040
SMVD,2021-07-29,6.3614,6.3614,6.3614,6.3614,0
SMVD,2021-07-30,6.3614,6.3614,6.3614,6.3614,0
SMVD,2021-08-02,6.3614,6.3614,6.3614,6.3614,0
SMVD,2021-08-03,6.3614,6.3614,6.3614,6.3614,0
SMVD,2021-08-04,6.4356,6.4356,6.4356,6.4356,4040
SMVD,2021-08-05,6.4356,6.4356,6.4356,6.4356,0
SMVD,2021-08-06,6.1139,6.1139,6.1139,6.1139,4040
SMVD,2021-08-09,6.1139,6.1139,6.1139,6.1139,0
SMVD,2021-08-10,5.8168,5.8168,5.8168,5.8168,4040
SMVD,2021-08-11,5.8168,5.8168,5.8168,5.8168,0
SMVD,2021-08-12,5.8168,5.8168,5.8168,5.8168,0
SMVD,2021-08-13,5.8168,5.8168,5.8168,5.8168,0
SMVD,2021-08-16,5.8168,5.8168,5.8168,5.8168,0
SMVD,2021-08-17,5.8168,5.8168,5.8168,5.8168,0
SMVD,2021-08-18,5.8168,5.8168,5.8168,5.8168,0
SMVD,2021-08-20,5.8168,5.8168,5.8168,5.8168,0
SMVD,2021-08-23,5.8168,5.8168,5.8168,5.8168,0
SMVD,2021-08-24,5.8168,5.8168,5.8168,5.8168,0
SMVD,2021-08-25,5.8168,5.8168,5.8168,5.8168,0
SMVD,2021-08-26,5.8168,5.8168,5.8168,5.8168,0
SMVD,2021-08-27,5.8168,5.8168,5.8168,5.8168,0
SMVD,2021-08-30,5.8168,5.8168,5.8168,5.8168,0
SMVD,2021-08-31,5.8168,5.8168,5.8168,5.8168,0
SMVD,2021-09-01,5.8168,5.8168,5.8168,5.8168,0
SMVD,2021-09-02,5.8168,5.8168,5.8168,5.8168,0
SMVD,2021-09-03,5.8168,5.8168,5.8168,5.8168,0
SMVD,2021-09-06,5.8168,5.8168,5.8168,5.8168,0
SMVD,2021-09-07,5.8168,5.8168,5.8168,5.8168,0
SMVD,2021-09-08,5.8168,5.8168,5.8168,5.8168,0
SMVD,2021-09-09,5.8168,5.8168,5.8168,5.8168,0
SMVD,2021-09-13,5.9406,5.9406,5.9406,5.9406,68680
SMVD,2021-09-14,5.9406,5.9406,5.9406,5.9406,0
SMVD,2021-09-15,5.9406,5.9406,5.9406,5.9406,0
SMVD,2021-09-16,5.9406,5.9406,5.9406,5.9406,0
SMVD,2021-09-17,6.2376,6.2376,6.2376,6.2376,16160
SMVD,2021-09-20,6.5347,6.5347,6.5347,6.5347,12120
SMVD,2021-09-21,6.8564,6.8564,6.8564,6.8564,4040
SMVD,2021-09-22,7.1782,7.1782,7.1782,7.1782,8080
SMVD,2021-09-23,7.1782,7.1782,7.1782,7.1782,0
SMVD,2021-09-24,7.896,7.896,7.4257,7.4257,20200
SMVD,2021-09-27,7.797,7.797,7.797,7.797,8080
SMVD,2021-09-28,7.797,7.797,7.797,7.797,0
SMVD,2021-09-29,7.797,7.797,7.797,7.797,0
SMVD,2021-09-30,7.797,7.797,7.797,7.797,0
SMVD,2021-10-01,8.1188,8.1188,8.1188,8.1188,4040
SMVD,2021-10-04,8.1188,8.1188,7.9208,7.9208,8080
SMVD,2021-10-05,7.9208,7.9208,7.9208,7.9208,0
SMVD,2021-10-06,7.9208,7.9208,7.9208,7.9208,0
SMVD,2021-10-07,7.9208,7.9208,7.9208,7.9208,0
SMVD,2021-10-08,7.9208,7.9208,7.9208,7.9208,0
SMVD,2021-10-11,8.3168,8.3168,8.3168,8.3168,8080
SMVD,2021-10-12,8.3168,8.3168,8.3168,8.3168,0
SMVD,2021-10-13,8.3168,8.3168,8.3168,8.3168,0
SMVD,2021-10-14,8.3168,8.3168,8.3168,8.3168,0
SMVD,2021-10-18,8.3168,8.3168,8.3168,8.3168,0
SMVD,2021-10-19,7.9455,7.9455,7.9455,7.9455,4040
SMVD,2021-10-20,7.9455,7.9455,7.9455,7.9455,0
SMVD,2021-10-21,7.9455,7.9455,7.9455,7.9455,0
SMVD,2021-10-22,7.9455,7.9455,7.9455,7.9455,0
SMVD,2021-10-25,7.9455,7.9455,7.9455,7.9455,0
SMVD,2021-10-26,7.9455,7.9455,7.9455,7.9455,0
SMVD,2021-10-27,7.9455,7.9455,7.9455,7.9455,0
SMVD,2021-10-28,7.9455,7.9455,7.9455,7.9455,0
SMVD,2021-10-29,8.2921,8.3168,8.2921,8.3168,8080
SMVD,2021-11-01,8.3168,8.3168,8.3168,8.3168,0
SMVD,2021-11-02,8.3168,8.3168,8.3168,8.3168,0
SMVD,2021-11-03,8.3168,8.3168,8.3168,8.3168,0
SMVD,2021-11-04,8.3168,8.3168,8.3168,8.3168,0
SMVD,2021-11-08,8.3168,8.3168,8.3168,8.3168,0
SMVD,2021-11-09,8.6386,8.6386,7.9208,7.9208,12120
SMVD,2021-11-10,7.9208,7.9208,7.9208,7.9208,0
SMVD,2021-11-11,7.9208,7.9208,7.9208,7.9208,0
SMVD,2021-11-12,7.9208,7.9208,7.9208,7.9208,0
