symbol,date,open,high,low,close,volume
SNOWMAN,2025-07-24,58.24,58.3,57.31,57.54,310174
SNOWMAN,2025-07-25,57.4,57.4,55.73,56.18,342983
SNOWMAN,2025-07-28,56.25,64.05,53.64,54.49,1833309
SNOWMAN,2025-07-29,54.9,55.49,54.3,54.93,328528
SNOWMAN,2025-07-30,55.0,55.49,54.6,54.78,144885
SNOWMAN,2025-07-31,54.29,55.19,53.51,54.28,238251
SNOWMAN,2025-08-01,54.31,55.32,52.95,53.41,185876
SNOWMAN,2025-08-04,53.29,55.36,53.29,54.8,226105
SNOWMAN,2025-08-05,55.4,55.4,53.9,54.04,78365
SNOWMAN,2025-08-06,54.0,54.36,52.04,52.39,207076
SNOWMAN,2025-08-07,52.29,52.99,51.6,52.74,185069
SNOWMAN,2025-08-08,52.8,53.08,52.24,52.27,105687
SNOWMAN,2025-08-11,52.27,54.4,52.0,54.07,226617
SNOWMAN,2025-08-12,54.05,54.8,53.02,53.23,86131
SNOWMAN,2025-08-13,53.59,53.99,52.66,52.8,168195
SNOWMAN,2025-08-14,53.2,53.49,52.0,52.22,134884
SNOWMAN,2025-08-18,54.0,54.75,53.1,53.57,185261
SNOWMAN,2025-08-19,53.88,54.25,53.23,54.04,192689
SNOWMAN,2025-08-20,54.04,54.75,53.71,54.32,174810
SNOWMAN,2025-08-21,54.99,56.5,53.51,53.96,428784
SNOWMAN,2025-08-22,54.3,54.6,52.5,53.59,158147
SNOWMAN,2025-08-25,54.15,54.33,53.1,53.34,148743
SNOWMAN,2025-08-26,53.7,53.7,52.1,52.34,81785
SNOWMAN,2025-08-28,52.7,52.71,50.37,50.77,227548
SNOWMAN,2025-08-29,50.77,51.28,50.49,50.54,113183
SNOWMAN,2025-09-01,50.79,51.72,50.57,51.07,121716
SNOWMAN,2025-09-02,51.1,55.95,51.08,54.37,649857
SNOWMAN,2025-09-03,54.65,55.23,54.21,54.81,174289
SNOWMAN,2025-09-04,55.44,55.79,53.5,53.88,101175
SNOWMAN,2025-09-05,54.23,54.23,52.99,53.11,86433
SNOWMAN,2025-09-08,52.55,55.79,52.55,54.91,305290
SNOWMAN,2025-09-09,54.91,55.23,53.5,53.82,118650
SNOWMAN,2025-09-10,54.25,58.43,54.0,56.11,821453
SNOWMAN,2025-09-11,56.22,57.5,55.65,56.86,402210
SNOWMAN,2025-09-12,56.36,59.8,55.85,58.87,809113
SNOWMAN,2025-09-15,59.23,59.3,58.1,58.43,246029
SNOWMAN,2025-09-16,58.8,59.3,57.3,57.59,306110
