symbol,date,open,high,low,close,volume
SOMANYCERA,2025-07-22,559.0,568.7,541.05,547.35,52365
SOMANYCERA,2025-07-23,545.0,565.05,545.0,563.45,18765
SOMANYCERA,2025-07-24,568.55,571.0,548.55,552.25,12295
SOMANYCERA,2025-07-25,550.25,558.8,535.05,536.6,16717
SOMANYCERA,2025-07-28,537.0,542.4,519.5,527.55,22832
SOMANYCERA,2025-07-29,527.95,533.5,522.0,525.1,13663
SOMANYCERA,2025-07-30,531.45,537.8,525.5,527.1,7177
SOMANYCERA,2025-07-31,533.95,548.9,517.6,540.05,22324
SOMANYCERA,2025-08-01,545.5,555.55,521.05,528.85,102849
SOMANYCERA,2025-08-04,526.5,530.0,511.15,524.55,26621
SOMANYCERA,2025-08-05,527.15,547.45,525.2,532.9,20767
SOMANYCERA,2025-08-06,533.4,537.15,517.0,519.0,9945
SOMANYCERA,2025-08-07,513.05,529.9,506.4,513.05,14473
SOMANYCERA,2025-08-08,515.6,533.25,511.0,525.45,14161
SOMANYCERA,2025-08-11,522.0,525.95,514.1,523.85,13013
SOMANYCERA,2025-08-12,524.35,539.0,524.35,529.45,8355
SOMANYCERA,2025-08-13,537.0,537.05,510.85,514.85,16953
SOMANYCERA,2025-08-14,504.85,520.0,496.8,510.45,51061
SOMANYCERA,2025-08-18,515.0,525.0,500.0,503.5,46467
SOMANYCERA,2025-08-19,509.7,517.5,501.0,510.5,25871
SOMANYCERA,2025-08-20,515.0,516.0,508.35,511.75,8902
SOMANYCERA,2025-08-21,511.75,519.2,509.0,514.8,15021
SOMANYCERA,2025-08-22,514.0,516.85,490.0,493.45,41081
SOMANYCERA,2025-08-25,497.3,507.95,488.4,489.25,28727
SOMANYCERA,2025-08-26,484.95,491.0,470.0,472.05,36185
SOMANYCERA,2025-08-28,468.1,473.8,458.0,460.4,24036
SOMANYCERA,2025-08-29,465.0,478.65,456.15,457.55,23368
SOMANYCERA,2025-09-01,457.5,464.65,446.5,450.5,57676
SOMANYCERA,2025-09-02,452.9,474.55,450.0,457.05,97934
SOMANYCERA,2025-09-03,464.0,492.7,462.1,480.25,143428
SOMANYCERA,2025-09-04,484.95,489.0,473.65,474.9,34508
SOMANYCERA,2025-09-05,474.9,475.85,464.0,465.15,32145
SOMANYCERA,2025-09-08,474.0,494.7,466.5,473.05,59693
SOMANYCERA,2025-09-09,477.55,480.0,469.3,476.5,15522
SOMANYCERA,2025-09-10,480.0,490.5,475.25,479.15,27385
SOMANYCERA,2025-09-11,479.15,486.0,472.8,477.25,25231
SOMANYCERA,2025-09-12,479.15,488.9,473.2,485.55,24239
SOMANYCERA,2025-09-15,487.35,509.0,479.3,499.05,32835
SOMANYCERA,2025-09-16,502.55,509.45,482.15,487.5,160240
SOMANYCERA,2025-09-17,490.1,498.3,481.0,485.45,39006
SOMANYCERA,2025-09-18,485.45,508.75,472.25,475.95,86089
SOMANYCERA,2025-09-19,479.7,492.95,477.8,487.8,29443
SOMANYCERA,2025-09-22,490.4,496.8,476.2,479.8,45113
SOMANYCERA,2025-09-23,481.7,485.1,470.0,472.95,44643
SOMANYCERA,2025-09-24,474.85,474.85,466.0,468.55,22389
SOMANYCERA,2025-09-25,473.25,474.6,464.0,465.75,23907
SOMANYCERA,2025-09-26,465.75,467.45,449.3,452.35,22239
SOMANYCERA,2025-09-29,454.7,460.2,449.45,454.95,13059
SOMANYCERA,2025-09-30,454.0,456.8,443.6,446.5,22391
SOMANYCERA,2025-10-01,446.5,465.8,445.0,457.95,34360
SOMANYCERA,2025-10-03,460.0,464.9,454.55,463.25,16860
SOMANYCERA,2025-10-06,460.5,472.45,453.15,456.95,32747
SOMANYCERA,2025-10-07,456.0,467.0,448.2,462.75,30082
SOMANYCERA,2025-10-08,463.7,463.7,454.9,455.55,9767
SOMANYCERA,2025-10-09,455.7,457.6,449.7,454.7,12168
SOMANYCERA,2025-10-10,457.1,463.0,451.85,459.2,14931
SOMANYCERA,2025-10-13,455.1,464.85,443.5,448.2,37829
SOMANYCERA,2025-10-14,448.2,455.95,439.25,444.7,21688
SOMANYCERA,2025-10-15,444.7,450.45,437.3,447.6,18930
SOMANYCERA,2025-10-16,450.0,451.8,443.55,448.65,13599
SOMANYCERA,2025-10-17,450.85,452.75,444.0,446.4,11272
SOMANYCERA,2025-10-20,448.6,454.8,445.2,450.35,8609
SOMANYCERA,2025-10-21,454.3,458.9,452.6,455.2,4659
SOMANYCERA,2025-10-23,457.5,459.6,453.75,456.7,11878
SOMANYCERA,2025-10-24,456.7,458.0,448.95,453.6,12996
SOMANYCERA,2025-10-27,455.0,456.35,447.8,451.4,10461
SOMANYCERA,2025-10-28,452.85,465.45,442.1,446.25,32716
SOMANYCERA,2025-10-29,448.05,456.0,447.1,453.1,8366
SOMANYCERA,2025-10-30,450.0,464.0,450.0,460.65,14407
SOMANYCERA,2025-10-31,462.95,464.8,456.0,458.9,10482
SOMANYCERA,2025-11-03,460.9,462.0,453.05,457.95,11760
SOMANYCERA,2025-11-04,457.95,461.3,440.0,444.35,35182
SOMANYCERA,2025-11-06,441.0,449.9,441.0,446.95,12179
SOMANYCERA,2025-11-07,449.3,449.3,438.1,440.85,8271
SOMANYCERA,2025-11-10,438.5,450.0,427.5,446.5,41807
SOMANYCERA,2025-11-11,452.0,453.2,438.0,451.6,38123
SOMANYCERA,2025-11-12,455.95,460.95,448.55,455.8,43776
SOMANYCERA,2025-11-13,456.0,456.05,441.0,445.55,27672
SOMANYCERA,2025-11-14,447.9,447.9,439.0,441.35,12508
SOMANYCERA,2025-11-17,443.7,452.5,440.0,445.45,15444
SOMANYCERA,2025-11-18,445.75,449.3,440.05,442.4,8425
SOMANYCERA,2025-11-19,442.5,444.65,440.0,441.95,5681
SOMANYCERA,2025-11-20,442.4,445.0,437.8,441.0,12703
SOMANYCERA,2025-11-21,441.45,447.8,435.5,437.15,18571
SOMANYCERA,2025-11-24,437.15,439.25,430.7,432.05,9721
SOMANYCERA,2025-11-25,432.05,440.3,424.0,425.45,15477
SOMANYCERA,2025-11-26,427.7,447.0,425.0,430.45,25146
SOMANYCERA,2025-11-27,432.7,434.1,426.0,428.15,33133
SOMANYCERA,2025-11-28,429.1,435.1,420.1,422.25,32109
SOMANYCERA,2025-12-01,424.0,425.0,419.0,421.5,9840
SOMANYCERA,2025-12-02,421.5,426.25,415.8,418.25,13760
SOMANYCERA,2025-12-03,418.3,426.95,416.15,419.5,10225
SOMANYCERA,2025-12-04,417.0,420.0,415.0,417.3,7873
SOMANYCERA,2025-12-05,417.3,422.0,413.4,418.65,8785
