symbol,date,open,high,low,close,volume
SOMICONVEY,2025-07-23,153.06,157.5,152.21,155.53,10154
SOMICONVEY,2025-07-24,157.5,157.51,154.5,155.0,6830
SOMICONVEY,2025-07-25,154.01,155.0,148.5,150.83,12430
SOMICONVEY,2025-07-28,153.93,153.93,146.42,148.8,9607
SOMICONVEY,2025-07-29,146.03,153.1,146.01,150.74,6934
SOMICONVEY,2025-07-30,151.9,152.98,146.76,150.14,5256
SOMICONVEY,2025-07-31,149.99,152.0,142.97,151.73,3820
SOMICONVEY,2025-08-01,151.17,151.96,150.01,150.64,2271
SOMICONVEY,2025-08-04,152.2,152.2,149.58,150.56,1408
SOMICONVEY,2025-08-05,152.0,152.0,149.5,150.46,1935
SOMICONVEY,2025-08-06,144.0,147.99,143.15,144.57,29453
SOMICONVEY,2025-08-07,146.29,146.98,142.01,143.66,10659
SOMICONVEY,2025-08-08,146.5,146.5,143.99,145.76,2513
SOMICONVEY,2025-08-11,146.5,162.87,146.5,151.48,8372
SOMICONVEY,2025-08-12,156.95,158.8,148.5,152.77,8824
SOMICONVEY,2025-08-13,155.5,156.9,145.05,148.22,15770
SOMICONVEY,2025-08-14,149.9,161.6,147.5,150.29,23875
SOMICONVEY,2025-08-18,154.16,154.18,147.17,148.75,11281
SOMICONVEY,2025-08-19,148.5,154.0,148.5,152.79,19059
SOMICONVEY,2025-08-20,153.87,153.87,149.46,150.72,9933
SOMICONVEY,2025-08-21,151.11,152.99,148.75,150.15,9620
SOMICONVEY,2025-08-22,150.63,152.36,144.0,145.87,14371
SOMICONVEY,2025-08-25,148.0,148.9,143.8,145.72,9150
SOMICONVEY,2025-08-26,145.55,148.06,140.61,144.62,21044
SOMICONVEY,2025-08-28,141.2,145.18,140.07,140.46,6623
SOMICONVEY,2025-08-29,142.69,144.0,139.2,140.11,8782
SOMICONVEY,2025-09-01,140.05,145.0,139.96,143.42,9123
SOMICONVEY,2025-09-02,144.27,146.78,143.0,145.2,6316
SOMICONVEY,2025-09-03,145.32,146.95,144.0,145.78,6986
SOMICONVEY,2025-09-04,146.95,147.73,140.35,142.73,10553
SOMICONVEY,2025-09-05,146.52,146.6,142.91,143.25,2316
SOMICONVEY,2025-09-08,146.7,146.7,135.62,140.21,25211
SOMICONVEY,2025-09-09,143.31,146.3,140.26,141.86,6994
SOMICONVEY,2025-09-10,143.34,143.34,140.12,141.07,3992
SOMICONVEY,2025-09-11,143.9,143.9,136.2,137.41,17111
SOMICONVEY,2025-09-12,140.32,140.32,133.01,134.15,18914
SOMICONVEY,2025-09-15,140.0,140.0,135.29,138.45,16225
SOMICONVEY,2025-09-16,138.45,138.45,130.97,133.82,36352
SOMICONVEY,2025-09-17,134.09,139.0,134.09,135.8,15322
SOMICONVEY,2025-09-18,138.49,140.0,136.0,137.75,19030
SOMICONVEY,2025-09-19,138.76,143.7,136.07,140.32,27285
SOMICONVEY,2025-09-22,139.0,142.0,138.4,139.09,11355
SOMICONVEY,2025-09-23,139.74,140.4,137.3,138.08,10215
SOMICONVEY,2025-09-24,139.48,139.75,136.11,138.25,3525
SOMICONVEY,2025-09-25,138.25,139.07,135.26,136.15,8771
SOMICONVEY,2025-09-26,137.48,137.48,132.01,133.69,10611
SOMICONVEY,2025-09-29,134.2,135.51,131.95,132.65,4918
SOMICONVEY,2025-09-30,134.25,135.49,131.0,131.08,8621
SOMICONVEY,2025-10-01,130.0,137.0,130.0,134.95,6986
SOMICONVEY,2025-10-03,136.21,161.94,135.79,159.45,152105
SOMICONVEY,2025-10-06,160.99,169.4,147.91,148.91,166343
SOMICONVEY,2025-10-07,151.1,152.69,142.5,143.67,25434
SOMICONVEY,2025-10-08,143.67,148.98,143.67,145.73,11869
SOMICONVEY,2025-10-09,143.01,146.4,143.01,144.11,7008
SOMICONVEY,2025-10-10,142.15,146.98,142.15,146.2,5893
SOMICONVEY,2025-10-13,144.4,148.18,143.51,144.65,7330
SOMICONVEY,2025-10-14,142.5,151.59,142.5,143.21,10683
SOMICONVEY,2025-10-15,142.3,144.39,141.0,142.7,6573
SOMICONVEY,2025-10-16,142.7,145.0,142.7,143.13,12287
SOMICONVEY,2025-10-17,145.36,146.0,143.62,144.63,10424
SOMICONVEY,2025-10-20,150.45,150.45,145.58,148.41,24276
SOMICONVEY,2025-10-21,152.41,152.99,150.05,152.43,17154
SOMICONVEY,2025-10-23,154.99,154.99,151.5,153.29,16613
SOMICONVEY,2025-10-24,155.86,160.39,151.61,153.65,40137
SOMICONVEY,2025-10-27,156.73,160.83,154.8,158.76,38106
SOMICONVEY,2025-10-28,158.99,159.7,156.0,156.95,21105
SOMICONVEY,2025-10-29,158.99,160.0,156.83,158.91,9909
