symbol,date,open,high,low,close,volume
SPENCERS,2019-01-25,222.4776,222.4776,211.3537,211.3537,219848
SPENCERS,2019-01-28,200.8231,200.8231,200.8231,200.8231,2154
SPENCERS,2019-01-29,190.7869,190.7869,190.7869,190.7869,59865
SPENCERS,2019-01-30,181.2945,181.2945,181.2945,181.2945,2203
SPENCERS,2019-01-31,172.2471,172.2471,172.2471,172.2471,5172
SPENCERS,2019-02-01,163.6446,163.6446,163.6446,163.6446,9038
SPENCERS,2019-02-04,155.4871,155.4871,155.4871,155.4871,3238
SPENCERS,2019-02-05,147.7251,147.7251,147.7251,147.7251,6326
SPENCERS,2019-02-06,140.3586,140.3586,140.3586,140.3586,3265
SPENCERS,2019-02-07,133.3876,133.3876,133.3876,133.3876,59438
SPENCERS,2019-02-08,120.0884,146.6869,120.0884,146.0936,12957511
SPENCERS,2019-02-11,150.2959,152.669,134.772,147.379,1784764
SPENCERS,2019-02-12,142.4351,145.8464,132.6461,132.7944,888702
SPENCERS,2019-02-14,128.2459,138.1833,125.5762,131.509,486206
SPENCERS,2019-02-15,128.6415,132.7944,120.1379,126.12,409414
SPENCERS,2019-02-18,126.12,128.5426,121.7199,126.7628,452576
SPENCERS,2019-02-19,125.329,139.4193,124.1425,135.9091,1496141
SPENCERS,2019-02-20,139.4193,142.3856,136.4529,138.6282,867333
SPENCERS,2019-02-21,140.4575,141.3968,136.4529,137.3922,411899
SPENCERS,2019-02-22,136.5518,147.2307,135.9585,143.2755,435516
SPENCERS,2019-02-25,142.4845,151.087,142.4845,146.3902,384493
SPENCERS,2019-02-26,144.8576,145.4509,137.4417,141.0508,298639
SPENCERS,2019-02-27,141.8912,145.7475,137.1451,138.4799,434568
SPENCERS,2019-02-28,141.1991,144.7587,138.381,140.9025,231135
SPENCERS,2019-03-01,141.298,148.3184,140.5069,146.9835,2118070
SPENCERS,2019-03-05,147.3296,152.0758,144.6104,146.4891,1541892
SPENCERS,2019-03-06,146.3902,161.1232,146.3408,161.0243,1151589
SPENCERS,2019-03-07,161.1726,161.1726,153.3118,154.2511,324943
SPENCERS,2019-03-08,155.3388,156.2287,150.2959,152.1746,155372
SPENCERS,2019-03-11,155.2399,156.6736,151.3342,152.669,210097
SPENCERS,2019-03-12,154.1522,157.613,153.2623,154.3005,186927
SPENCERS,2019-03-13,155.932,155.932,150.3948,153.114,325752
SPENCERS,2019-03-14,155.2399,168.3908,152.323,167.5503,2622472
SPENCERS,2019-03-15,169.0829,171.7527,158.7995,161.3704,1629154
SPENCERS,2019-03-18,163.0019,165.9188,157.7119,158.3051,276603
SPENCERS,2019-03-19,159.9861,166.4132,158.4535,160.9254,657700
SPENCERS,2019-03-20,163.0019,163.0019,157.7119,159.5411,192897
SPENCERS,2019-03-22,160.5793,160.876,154.8444,155.8332,349316
SPENCERS,2019-03-25,153.2623,157.7119,152.7679,153.8062,127974
SPENCERS,2019-03-26,155.2399,163.8424,153.3612,159.6894,364817
SPENCERS,2019-03-27,158.7007,163.5952,155.0421,158.3051,256084
SPENCERS,2019-03-28,158.3051,163.0513,155.3388,157.5141,176231
SPENCERS,2019-04-01,159.4422,166.8582,159.4422,161.2221,404646
SPENCERS,2019-04-02,162.5569,162.5569,158.3051,158.849,101979
SPENCERS,2019-04-03,159.6894,166.3638,158.9973,161.3209,388723
SPENCERS,2019-04-04,161.8153,163.5457,156.4264,158.7007,213218
SPENCERS,2019-04-05,160.876,164.7817,159.8872,162.4086,190834
SPENCERS,2019-04-08,163.1502,164.93,158.404,159.1456,116701
SPENCERS,2019-04-09,158.849,159.8872,156.2287,157.613,124295
SPENCERS,2019-04-10,156.8219,162.5569,156.6242,157.8602,256369
SPENCERS,2019-04-11,158.2063,158.7007,151.5319,152.323,631486
SPENCERS,2019-04-12,152.5702,153.2129,147.3296,150.6915,490782
SPENCERS,2019-04-15,151.1364,152.2241,148.3184,148.615,106231
SPENCERS,2019-04-16,149.7521,149.7521,141.8418,144.3632,408989
SPENCERS,2019-04-18,143.3744,144.3138,136.5518,137.59,311166
SPENCERS,2019-04-22,139.4193,141.0508,135.7607,138.1833,441959
SPENCERS,2019-04-23,139.0732,143.325,139.0732,140.062,104762
SPENCERS,2019-04-24,140.3092,143.325,138.3316,140.4081,206519
SPENCERS,2019-04-25,140.4081,147.6262,140.1609,146.2419,276600
SPENCERS,2019-04-26,146.8352,149.1094,143.4733,145.9453,161901
SPENCERS,2019-04-30,144.0171,147.824,140.5069,143.6711,367426
SPENCERS,2019-05-02,143.6711,143.7205,137.3428,137.6395,156917
SPENCERS,2019-05-03,138.0844,139.0237,135.6619,137.6889,142300
SPENCERS,2019-05-06,138.0844,138.3316,132.0033,133.3382,108249
SPENCERS,2019-05-07,135.2169,135.7607,129.2842,130.1741,270719
SPENCERS,2019-05-08,130.1741,130.1741,124.5874,125.4279,320245
SPENCERS,2019-05-09,125.4279,126.5156,122.9559,123.8458,303623
SPENCERS,2019-05-10,123.8458,125.0818,119.248,120.484,260600
SPENCERS,2019-05-13,120.1379,130.5202,119.3963,121.5716,594618
SPENCERS,2019-05-14,121.7694,129.5314,120.2862,126.9111,404399
SPENCERS,2019-05-15,128.4931,129.9269,124.1425,124.6369,163044
SPENCERS,2019-05-16,125.0324,129.7786,124.6863,128.592,86085
SPENCERS,2019-05-17,129.5314,136.4529,126.8616,133.8326,404951
SPENCERS,2019-05-20,137.4417,137.4417,120.6323,123.4009,1117972
SPENCERS,2019-05-21,120.7806,125.5762,120.7806,123.1042,348994
SPENCERS,2019-05-22,123.5986,124.538,119.6929,120.6817,165799
SPENCERS,2019-05-23,123.4009,123.5986,114.2546,117.6659,260452
SPENCERS,2019-05-24,118.803,122.0166,115.985,120.1379,170123
SPENCERS,2019-05-27,121.6211,124.6369,118.6547,119.594,243304
SPENCERS,2019-05-28,119.7918,120.8795,112.2276,113.4141,570271
SPENCERS,2019-05-29,114.1063,119.594,110.4972,115.2434,355600
SPENCERS,2019-05-30,115.2434,117.6659,113.7602,116.0344,80125
SPENCERS,2019-05-31,116.8254,119.6435,111.9804,112.5242,117513
SPENCERS,2019-06-03,113.7107,113.7107,109.459,111.9309,213402
SPENCERS,2019-06-04,112.5242,113.6613,109.459,110.2994,108619
SPENCERS,2019-06-06,109.805,110.2994,106.7892,108.6185,137481
SPENCERS,2019-06-07,106.8881,108.6679,103.9217,104.8611,141701
SPENCERS,2019-06-10,104.8116,105.6521,101.3509,102.043,105434
SPENCERS,2019-06-11,101.5981,103.3779,96.3081,102.3891,300330
SPENCERS,2019-06-12,104.7128,104.7128,98.3845,101.4992,81134
SPENCERS,2019-06-13,99.9171,102.043,98.8789,99.5216,75329
SPENCERS,2019-06-14,99.3733,99.3733,94.9238,95.7148,189484
SPENCERS,2019-06-17,94.4294,97.7418,92.0563,96.753,672102
SPENCERS,2019-06-18,99.8677,100.5599,94.7754,95.7642,341596
SPENCERS,2019-06-19,97.0002,98.4834,95.1215,95.7148,263935
SPENCERS,2019-06-20,94.1327,97.8901,91.2652,95.7642,138542
SPENCERS,2019-06-21,95.0226,97.3957,93.2428,95.0721,99229
SPENCERS,2019-06-24,96.4069,99.3733,95.7148,97.7912,165565
SPENCERS,2019-06-25,97.7912,98.9778,96.4069,96.5058,424433
SPENCERS,2019-06-26,96.5058,109.5084,96.0114,101.9442,334934
SPENCERS,2019-06-27,103.279,111.041,99.9171,105.1577,412409
SPENCERS,2019-06-28,105.8004,106.987,103.3285,104.1689,106955
SPENCERS,2019-07-01,105.8499,107.8769,99.1755,100.7082,161846
SPENCERS,2019-07-02,101.8453,102.043,95.7148,99.5216,113757
SPENCERS,2019-07-03,98.9284,101.3509,96.9013,97.5935,81074
SPENCERS,2019-07-04,98.1373,99.5711,94.8743,95.5665,102457
SPENCERS,2019-07-05,95.2204,97.8407,91.5619,92.1551,123533
SPENCERS,2019-07-08,92.8473,94.3305,87.3595,90.672,171605
SPENCERS,2019-07-09,89.9798,90.3753,87.5573,88.2989,86922
SPENCERS,2019-07-10,88.2,88.991,84.5415,84.7887,99384
SPENCERS,2019-07-11,84.9864,87.3595,84.1954,85.1347,97473
SPENCERS,2019-07-12,84.7392,88.1506,84.5909,86.2719,112346
SPENCERS,2019-07-15,87.0629,89.1888,84.5415,84.7887,141376
SPENCERS,2019-07-16,85.6291,87.755,84.5415,86.8157,143047
SPENCERS,2019-07-17,86.0741,88.5461,86.0741,88.1506,48804
SPENCERS,2019-07-18,87.1618,90.1776,84.7887,85.1842,106724
SPENCERS,2019-07-19,86.3707,86.9146,80.1414,81.4762,120294
SPENCERS,2019-07-22,81.4762,82.6133,75.6918,77.7188,105270
SPENCERS,2019-07-23,77.3233,79.7458,77.2739,77.7188,80735
SPENCERS,2019-07-24,77.7188,78.1143,72.8243,74.5547,179344
SPENCERS,2019-07-25,74.6536,74.7525,70.8962,71.7366,179207
SPENCERS,2019-07-26,71.7366,74.703,70.4018,73.0715,104014
SPENCERS,2019-07-29,75.5435,77.1255,71.6872,73.121,140306
SPENCERS,2019-07-30,73.0715,74.2581,69.2152,70.3029,69948
SPENCERS,2019-07-31,69.413,69.413,66.941,67.7321,138057
SPENCERS,2019-08-01,67.5837,69.3636,59.7229,60.3656,668525
SPENCERS,2019-08-02,56.4104,67.5343,56.4104,64.914,300171
SPENCERS,2019-08-05,62.3926,66.7433,61.5027,63.678,127381
SPENCERS,2019-08-06,61.8488,68.2264,61.8488,64.123,114224
SPENCERS,2019-08-07,65.0623,67.3365,64.7657,65.1118,235820
SPENCERS,2019-08-08,65.2601,66.15,63.8758,64.1724,150220
SPENCERS,2019-08-09,64.7657,73.8625,63.8758,67.6332,957185
SPENCERS,2019-08-13,66.0511,71.6872,62.3926,68.0781,229017
SPENCERS,2019-08-14,68.2759,71.2423,67.7321,69.413,609797
SPENCERS,2019-08-16,69.9074,71.4894,68.2759,71.1434,130582
SPENCERS,2019-08-19,71.1434,71.5883,69.7096,71.1434,138491
SPENCERS,2019-08-20,70.8467,72.1816,70.204,71.2423,209314
SPENCERS,2019-08-21,71.0445,72.3794,70.6984,70.9456,142555
SPENCERS,2019-08-22,70.649,71.44,67.1388,68.0781,180973
SPENCERS,2019-08-23,67.7321,70.7973,67.7321,69.4624,234064
SPENCERS,2019-08-26,75.148,75.148,69.413,71.7366,77470
SPENCERS,2019-08-27,73.8131,78.9054,71.7861,76.9772,138797
SPENCERS,2019-08-28,77.1255,78.0155,72.9726,74.8513,73964
SPENCERS,2019-08-29,74.8513,74.8513,72.3794,73.6153,31699
SPENCERS,2019-08-30,73.1704,75.0491,72.3299,74.5547,46184
SPENCERS,2019-09-03,74.1592,74.7525,73.3187,73.9614,55012
SPENCERS,2019-09-04,73.6153,77.1255,72.4288,74.2086,68306
SPENCERS,2019-09-05,75.3952,76.6312,74.2581,75.7412,23105
SPENCERS,2019-09-06,77.4222,77.4222,73.9614,75.9884,37382
SPENCERS,2019-09-09,77.3233,82.5639,74.6536,81.8717,129127
SPENCERS,2019-09-11,82.8605,92.4518,79.5975,86.7168,270725
SPENCERS,2019-09-12,87.755,90.227,82.7617,85.3325,119939
SPENCERS,2019-09-13,85.1347,88.8921,82.1684,87.9528,111042
SPENCERS,2019-09-16,86.0247,90.8203,79.993,87.9528,128113
SPENCERS,2019-09-17,87.9528,89.9798,83.5527,83.7999,44487
SPENCERS,2019-09-18,84.0471,85.9752,81.6245,82.3661,36543
SPENCERS,2019-09-19,84.6898,84.6898,77.1255,78.3121,52366
SPENCERS,2019-09-20,77.3727,81.9212,75.6424,76.6806,322649
SPENCERS,2019-09-23,78.2627,81.674,76.5817,78.9054,174925
SPENCERS,2019-09-24,79.5975,83.9482,78.6087,80.6357,214794
SPENCERS,2019-09-25,80.6357,82.8605,77.2739,78.411,107170
SPENCERS,2019-09-26,78.5099,82.9594,73.121,75.1974,227496
SPENCERS,2019-09-27,76.0379,77.7188,74.0603,74.9997,59753
SPENCERS,2019-09-30,76.7795,76.7795,71.9838,72.7254,98815
SPENCERS,2019-10-01,74.9008,74.9008,67.2377,69.0669,63310
SPENCERS,2019-10-03,68.968,71.2917,66.15,66.7433,84054
SPENCERS,2019-10-04,67.7321,69.2152,64.7657,66.9905,83404
SPENCERS,2019-10-07,68.2264,68.4736,65.359,67.1882,73690
SPENCERS,2019-10-09,67.2377,69.2152,65.2601,68.0781,28724
SPENCERS,2019-10-10,68.622,68.622,65.7545,66.3477,42506
SPENCERS,2019-10-11,66.9905,67.8804,63.5297,64.469,79981
SPENCERS,2019-10-14,64.3207,66.7433,62.442,63.4803,76733
SPENCERS,2019-10-15,64.914,67.2377,63.1836,64.5185,98166
SPENCERS,2019-10-16,65.0129,65.8039,63.9747,64.6174,55859
SPENCERS,2019-10-17,64.8151,66.941,62.5409,63.0353,178747
SPENCERS,2019-10-18,62.887,70.204,62.3926,66.9905,481197
SPENCERS,2019-10-22,66.9905,70.9951,64.2219,65.9028,277266
SPENCERS,2019-10-23,65.4084,73.9614,65.4084,70.5995,1235979
SPENCERS,2019-10-24,70.8962,76.1368,70.6984,73.5659,741284
SPENCERS,2019-10-25,74.1097,77.6199,72.3794,76.9772,230907
SPENCERS,2019-10-27,77.6199,77.6199,74.5547,75.3457,73241
SPENCERS,2019-10-29,74.8019,77.6199,72.8738,75.1974,410474
SPENCERS,2019-10-30,75.6918,76.9278,72.8738,73.5165,346485
SPENCERS,2019-10-31,73.8131,75.9884,70.204,71.1928,472954
SPENCERS,2019-11-01,71.1928,73.5659,71.0445,72.676,92901
SPENCERS,2019-11-04,73.7637,74.1592,71.3906,71.9838,105501
SPENCERS,2019-11-05,72.1816,72.7254,70.204,71.1434,69462
SPENCERS,2019-11-06,70.7479,71.2423,69.3636,69.9568,76975
SPENCERS,2019-11-07,71.0939,71.6872,69.2152,70.649,53940
SPENCERS,2019-11-08,70.9456,71.1928,69.2647,70.204,58070
SPENCERS,2019-11-11,71.1928,72.0827,69.7591,70.4018,78401
SPENCERS,2019-11-13,70.4018,74.8513,69.9074,70.5995,306258
SPENCERS,2019-11-14,71.2423,72.1322,68.2264,69.1658,336255
SPENCERS,2019-11-15,67.2377,68.5725,66.15,67.386,241932
SPENCERS,2019-11-18,67.4354,69.0175,66.2489,66.3477,105152
SPENCERS,2019-11-19,65.2601,67.0893,64.2713,65.2601,157633
SPENCERS,2019-11-20,65.6556,65.705,61.7499,62.5904,248318
SPENCERS,2019-11-21,62.3432,68.5725,62.3432,65.0623,309750
SPENCERS,2019-11-22,65.6062,65.6062,63.3814,64.6174,55695
SPENCERS,2019-11-25,64.4196,65.6556,63.5791,64.469,87491
SPENCERS,2019-11-26,64.469,64.7162,61.4038,62.442,67259
SPENCERS,2019-11-27,63.7275,63.9747,61.4532,62.1454,94297
SPENCERS,2019-11-28,61.6016,64.2713,61.6016,63.678,81710
SPENCERS,2019-11-29,64.5185,64.6174,62.6398,62.9859,73030
SPENCERS,2019-12-02,62.6398,63.9747,62.3432,63.1836,36976
SPENCERS,2019-12-03,62.9859,63.0847,61.4038,62.096,37850
SPENCERS,2019-12-04,63.0847,69.9074,62.2937,67.9792,451930
SPENCERS,2019-12-05,69.1164,69.8085,64.2713,64.5679,110151
SPENCERS,2019-12-06,65.1612,65.9522,61.8488,62.7387,274454
SPENCERS,2019-12-09,62.2937,63.678,60.9588,61.3544,181386
SPENCERS,2019-12-10,61.651,62.096,60.8105,61.2555,149995
SPENCERS,2019-12-11,61.2555,61.8982,59.2285,59.5745,260788
SPENCERS,2019-12-12,60.6128,63.2825,59.9701,62.6892,166065
SPENCERS,2019-12-13,62.3926,64.2713,62.0465,63.2331,122325
SPENCERS,2019-12-16,63.2825,63.2825,61.206,61.5521,36368
SPENCERS,2019-12-17,61.5027,62.887,61.1072,61.5027,197849
SPENCERS,2019-12-18,61.5027,64.2713,61.3049,62.1948,60648
SPENCERS,2019-12-19,62.4915,62.4915,61.1072,61.6016,48216
SPENCERS,2019-12-20,62.0465,62.2937,61.5521,61.8982,57369
SPENCERS,2019-12-23,60.7117,62.096,58.0914,58.6846,314272
SPENCERS,2019-12-24,58.7341,59.7723,55.2733,55.6688,268875
SPENCERS,2019-12-26,56.2127,56.7565,53.1474,53.889,190280
SPENCERS,2019-12-27,53.9879,57.0037,53.8396,54.0373,298390
SPENCERS,2019-12-30,53.4935,59.8217,53.4935,57.2015,503738
SPENCERS,2019-12-31,57.6464,60.8105,55.5699,55.9655,673085
SPENCERS,2020-01-01,56.361,57.4486,55.7183,57.0037,93029
SPENCERS,2020-01-02,57.8442,63.9747,56.361,62.096,698121
SPENCERS,2020-01-03,62.1454,63.7769,59.7229,61.8488,457975
SPENCERS,2020-01-06,61.3049,61.3049,57.5475,57.8442,150199
SPENCERS,2020-01-07,59.1296,59.6734,57.3992,57.9925,98872
SPENCERS,2020-01-08,56.9048,60.5633,56.361,57.9925,258923
SPENCERS,2020-01-09,58.8824,60.3656,57.8442,58.2891,266769
SPENCERS,2020-01-10,58.833,63.678,58.7835,59.5745,1306795
SPENCERS,2020-01-13,59.8217,61.1072,58.833,59.2285,328821
SPENCERS,2020-01-14,59.7229,71.0445,59.1296,70.0557,5017330
SPENCERS,2020-01-15,70.204,81.4762,67.386,75.5929,7118181
SPENCERS,2020-01-16,76.1368,77.7188,72.5277,74.4558,938081
SPENCERS,2020-01-17,75.148,79.8942,73.4176,74.9997,1788833
SPENCERS,2020-01-20,76.0379,77.5705,72.5771,73.912,870684
SPENCERS,2020-01-21,74.0109,88.6944,73.1704,88.6944,11307847
SPENCERS,2020-01-22,90.7708,102.2408,89.5349,93.7372,17143258
SPENCERS,2020-01-23,93.3417,95.6159,88.2494,89.6337,3590720
SPENCERS,2020-01-24,89.0899,97.0991,88.991,93.49,3673251
SPENCERS,2020-01-27,93.5395,95.4182,91.018,91.3641,1363434
SPENCERS,2020-01-28,92.1551,92.1551,87.2606,88.4472,863036
SPENCERS,2020-01-29,89.4854,92.7484,89.0899,90.0293,1221486
