symbol,date,open,high,low,close,volume
SRGHFL,2025-07-22,308.35,330.0,308.35,318.45,10699
SRGHFL,2025-07-23,316.0,324.05,314.0,314.1,1352
SRGHFL,2025-07-24,313.5,315.05,304.6,314.75,6963
SRGHFL,2025-07-25,311.2,317.0,311.2,314.05,654
SRGHFL,2025-07-28,320.9,324.9,302.35,319.1,19179
SRGHFL,2025-07-29,320.3,322.05,315.0,318.65,6100
SRGHFL,2025-07-30,319.85,334.65,317.95,329.0,7261
SRGHFL,2025-07-31,326.0,333.95,316.05,329.2,1237
SRGHFL,2025-08-01,328.7,332.95,325.25,328.5,919
SRGHFL,2025-08-04,328.0,335.0,319.0,324.8,2018
SRGHFL,2025-08-05,328.65,334.5,322.65,324.2,953
SRGHFL,2025-08-06,324.75,328.9,319.6,325.0,809
SRGHFL,2025-08-07,320.95,332.9,316.1,327.75,4268
SRGHFL,2025-08-08,323.3,334.7,321.5,322.65,5041
SRGHFL,2025-08-11,329.9,330.55,320.25,325.9,2093
SRGHFL,2025-08-12,326.3,326.5,315.0,318.9,2851
SRGHFL,2025-08-13,323.9,329.95,310.0,310.55,21297
SRGHFL,2025-08-14,318.05,323.95,310.0,310.3,4539
SRGHFL,2025-08-18,312.85,314.4,310.0,310.1,14857
SRGHFL,2025-08-19,317.05,317.05,310.0,310.55,21384
SRGHFL,2025-08-20,314.05,316.5,310.0,311.75,17274
SRGHFL,2025-08-21,313.05,314.65,310.05,310.15,2532
SRGHFL,2025-08-22,310.0,316.95,303.05,312.35,5512
SRGHFL,2025-08-25,315.0,319.9,306.5,318.6,6712
SRGHFL,2025-08-26,321.1,321.1,312.95,318.05,952
SRGHFL,2025-08-28,317.65,320.0,303.6,310.3,3011
SRGHFL,2025-08-29,311.95,319.9,306.05,313.7,769
SRGHFL,2025-09-01,317.1,317.15,305.55,307.75,1901
SRGHFL,2025-09-02,313.8,313.8,303.1,303.95,3589
SRGHFL,2025-09-03,304.2,310.0,301.55,304.85,3741
SRGHFL,2025-09-04,311.35,311.35,298.05,299.8,2641
SRGHFL,2025-09-05,299.75,304.15,295.55,298.5,5158
SRGHFL,2025-09-08,307.85,315.0,295.0,297.55,3579
SRGHFL,2025-09-09,297.0,305.05,287.8,290.75,5844
SRGHFL,2025-09-10,296.1,305.5,290.25,298.8,3482
SRGHFL,2025-09-11,298.1,302.85,292.0,300.1,2527
SRGHFL,2025-09-12,297.5,305.0,297.1,300.2,642
