symbol,date,open,high,low,close,volume
SUDARCOLOR,2025-07-23,598.75,598.75,592.05,592.2,6546
SUDARCOLOR,2025-07-24,593.0,613.4,588.05,593.75,35500
SUDARCOLOR,2025-07-25,594.0,595.95,590.05,591.5,14156
SUDARCOLOR,2025-07-28,592.05,608.0,591.0,592.15,18353
SUDARCOLOR,2025-07-29,592.5,599.9,592.1,592.3,12743
SUDARCOLOR,2025-07-30,590.05,598.45,590.05,590.55,11685
SUDARCOLOR,2025-07-31,590.1,594.0,590.1,590.3,13382
SUDARCOLOR,2025-08-01,592.95,594.95,590.75,590.9,10879
SUDARCOLOR,2025-08-04,595.0,595.0,592.05,592.15,5003
SUDARCOLOR,2025-08-05,596.0,596.0,590.0,590.3,8757
SUDARCOLOR,2025-08-06,590.1,593.5,590.05,590.65,13858
SUDARCOLOR,2025-08-07,590.05,594.0,590.05,591.0,11598
SUDARCOLOR,2025-08-08,590.1,592.5,590.1,590.55,5429
SUDARCOLOR,2025-08-11,590.3,593.0,590.1,590.9,11709
SUDARCOLOR,2025-08-12,604.9,608.0,594.5,595.25,176336
SUDARCOLOR,2025-08-13,601.4,601.4,591.05,592.85,15040
SUDARCOLOR,2025-08-14,597.85,597.85,591.0,592.15,8455
SUDARCOLOR,2025-08-18,592.15,596.25,591.0,591.75,12756
SUDARCOLOR,2025-08-19,591.75,596.45,591.0,592.2,6879
SUDARCOLOR,2025-08-20,597.1,597.1,590.5,591.85,18300
SUDARCOLOR,2025-08-21,594.5,601.0,591.15,592.0,39422
SUDARCOLOR,2025-08-22,593.8,594.45,591.0,591.2,9093
SUDARCOLOR,2025-08-25,594.95,597.5,591.1,592.55,5425
SUDARCOLOR,2025-08-26,593.85,594.85,592.2,594.1,121486
SUDARCOLOR,2025-08-28,594.0,595.3,593.1,593.9,37156
SUDARCOLOR,2025-08-29,594.0,594.95,594.0,594.0,21451
SUDARCOLOR,2025-09-01,594.4,597.0,594.0,594.4,7043
SUDARCOLOR,2025-09-02,597.0,597.0,591.1,594.15,68274
SUDARCOLOR,2025-09-03,596.5,596.5,594.0,594.25,13318
SUDARCOLOR,2025-09-04,596.95,596.95,594.2,594.3,12381
SUDARCOLOR,2025-09-05,595.5,595.5,593.5,594.15,30957
SUDARCOLOR,2025-09-08,594.85,596.0,594.1,594.45,23766
SUDARCOLOR,2025-09-09,594.45,595.9,592.5,595.0,18910
SUDARCOLOR,2025-09-10,596.9,597.0,595.1,595.3,14690
SUDARCOLOR,2025-09-11,595.5,597.0,595.1,595.35,9517
SUDARCOLOR,2025-09-12,595.35,596.45,592.75,595.7,18766
SUDARCOLOR,2025-09-15,595.6,603.0,595.5,596.05,75203
SUDARCOLOR,2025-09-16,595.5,597.9,595.5,595.65,29291
SUDARCOLOR,2025-09-17,595.55,597.45,595.55,595.95,17451
SUDARCOLOR,2025-09-18,596.0,598.35,596.0,596.45,41184
SUDARCOLOR,2025-09-19,595.2,598.4,595.15,596.05,58084
SUDARCOLOR,2025-09-22,598.35,598.9,597.0,597.1,31754
SUDARCOLOR,2025-09-23,597.15,597.9,593.2,596.85,13802
SUDARCOLOR,2025-09-24,598.0,599.8,592.55,592.9,8448
SUDARCOLOR,2025-09-25,592.9,597.0,591.0,594.05,16381
SUDARCOLOR,2025-09-26,594.05,598.4,591.0,591.8,12609
SUDARCOLOR,2025-09-29,584.0,594.1,551.8,559.25,30269
SUDARCOLOR,2025-09-30,552.8,560.05,508.0,516.7,135728
SUDARCOLOR,2025-10-01,521.85,543.35,515.0,532.8,77872
SUDARCOLOR,2025-10-03,535.0,549.9,527.0,541.1,64238
SUDARCOLOR,2025-10-06,549.2,550.0,530.1,534.35,13479
SUDARCOLOR,2025-10-07,540.45,540.45,530.0,532.75,10204
SUDARCOLOR,2025-10-08,534.9,535.3,529.0,529.4,3695
SUDARCOLOR,2025-10-09,532.85,538.0,529.0,532.4,10812
SUDARCOLOR,2025-10-10,521.0,534.55,521.0,529.45,3824
SUDARCOLOR,2025-10-13,530.0,532.7,520.0,522.3,5541
SUDARCOLOR,2025-10-14,522.3,530.0,519.0,520.95,4233
SUDARCOLOR,2025-10-15,522.4,526.65,520.05,524.6,4528
SUDARCOLOR,2025-10-16,528.55,531.0,525.95,527.0,5344
SUDARCOLOR,2025-10-17,534.85,535.55,509.0,517.0,14759
SUDARCOLOR,2025-10-20,517.0,521.85,515.0,515.85,4984
SUDARCOLOR,2025-10-21,515.85,536.5,512.0,518.25,5459
SUDARCOLOR,2025-10-23,519.0,524.2,514.0,519.05,7602
SUDARCOLOR,2025-10-24,526.8,528.95,514.05,514.9,17179
SUDARCOLOR,2025-10-27,514.9,520.0,510.4,516.9,5003
SUDARCOLOR,2025-10-28,524.15,524.2,512.6,516.85,5488
SUDARCOLOR,2025-10-29,511.0,523.0,511.0,516.15,11881
SUDARCOLOR,2025-10-30,526.0,526.0,515.0,517.25,3668
SUDARCOLOR,2025-10-31,525.0,525.0,513.05,517.25,7788
SUDARCOLOR,2025-11-03,513.5,518.0,513.5,516.3,8196
SUDARCOLOR,2025-11-04,508.0,516.15,506.0,507.1,8608
SUDARCOLOR,2025-11-06,497.0,510.7,491.0,491.6,11277
SUDARCOLOR,2025-11-07,484.6,503.45,484.6,495.6,4842
SUDARCOLOR,2025-11-10,491.6,504.0,491.6,501.25,3327
SUDARCOLOR,2025-11-11,504.45,504.45,491.1,494.15,5220
SUDARCOLOR,2025-11-12,494.15,494.35,475.55,483.4,13987
SUDARCOLOR,2025-11-13,490.7,490.7,482.05,483.8,4457
SUDARCOLOR,2025-11-14,483.8,488.45,480.6,483.45,4051
