symbol,date,open,high,low,close,volume
SUNDARMFIN,2002-07-01,26.2648,31.4646,26.2648,29.5542,60798
SUNDARMFIN,2002-07-02,29.7279,30.443,28.0117,29.1865,29620
SUNDARMFIN,2002-07-03,33.7121,33.7121,28.6246,29.8403,101749
SUNDARMFIN,2002-07-04,35.1218,35.1218,29.5236,31.5565,99679
SUNDARMFIN,2002-07-05,31.6689,32.4862,30.3204,30.821,25431
SUNDARMFIN,2002-07-08,33.7121,33.7121,29.1558,29.9833,83557
SUNDARMFIN,2002-07-09,30.7903,31.2092,29.9322,30.0242,24129
SUNDARMFIN,2002-07-10,30.7801,30.7801,29.1354,29.2171,25455
SUNDARMFIN,2002-07-11,28.6042,28.8493,27.603,28.216,9705
SUNDARMFIN,2002-07-12,30.0752,30.0752,27.9912,28.3283,8041
SUNDARMFIN,2002-07-15,26.9696,28.5837,26.9696,28.1853,5848
SUNDARMFIN,2002-07-16,27.3885,28.0729,27.3885,27.6235,12142
SUNDARMFIN,2002-07-17,27.3783,27.9912,27.174,27.1944,10195
SUNDARMFIN,2002-07-18,27.7869,28.0934,27.5928,27.6643,3665
SUNDARMFIN,2002-07-19,27.0207,27.2761,26.561,26.6223,12554
SUNDARMFIN,2002-07-22,26.9799,27.3783,26.0502,26.2648,17003
SUNDARMFIN,2002-07-23,26.1524,26.561,25.5394,25.6927,11893
SUNDARMFIN,2002-07-24,25.9685,25.9889,25.3351,25.3555,6313
SUNDARMFIN,2002-07-25,25.6416,26.1524,25.3351,25.3453,11286
SUNDARMFIN,2002-07-26,25.5394,25.8868,24.5179,24.6404,13092
SUNDARMFIN,2002-07-29,24.4157,24.5179,23.721,24.4463,5305
SUNDARMFIN,2002-07-30,24.9776,25.9481,24.0071,24.4463,61997
SUNDARMFIN,2002-07-31,23.7006,24.3953,23.2,24.1092,6582
SUNDARMFIN,2002-08-01,24.1092,24.4055,23.292,23.578,8012
SUNDARMFIN,2002-08-02,22.5973,23.0876,22.5973,22.7505,10464
SUNDARMFIN,2002-08-05,22.9242,23.4758,22.679,23.057,6524
SUNDARMFIN,2002-08-06,23.057,23.0876,22.7097,22.914,5432
SUNDARMFIN,2002-08-07,23.8845,23.8845,22.9344,23.1898,6073
SUNDARMFIN,2002-08-08,23.0876,23.5984,22.8833,22.8833,3333
SUNDARMFIN,2002-08-09,23.0672,23.4963,22.6892,23.057,2432
SUNDARMFIN,2002-08-12,23.6699,23.7823,23.4043,23.7415,3181
SUNDARMFIN,2002-08-13,23.3635,23.5474,23.0876,23.1694,2226
SUNDARMFIN,2002-08-14,23.1081,23.435,22.8016,22.9753,5770
SUNDARMFIN,2002-08-15,22.9753,22.9753,22.9753,22.9753,0
SUNDARMFIN,2002-08-16,23.0366,23.4452,23.0264,23.1285,4713
SUNDARMFIN,2002-08-19,23.5984,23.9049,23.0366,23.5882,7591
SUNDARMFIN,2002-08-20,24.0071,24.0071,23.3839,23.4963,2863
SUNDARMFIN,2002-08-21,23.4963,24.0888,23.343,23.7619,10459
SUNDARMFIN,2002-08-22,23.7006,23.9458,23.5269,23.7006,4634
SUNDARMFIN,2002-08-23,23.5984,24.0581,23.5984,23.9049,4356
SUNDARMFIN,2002-08-26,23.8028,24.4259,23.7006,23.7619,5046
SUNDARMFIN,2002-08-27,23.8028,23.9662,23.5984,23.813,7145
SUNDARMFIN,2002-08-28,23.7006,23.9662,23.5474,23.5984,3851
SUNDARMFIN,2002-08-29,23.4963,24.1092,23.4963,23.7517,6245
SUNDARMFIN,2002-08-30,23.5474,23.9866,23.5474,23.9866,1297
SUNDARMFIN,2002-09-02,23.9049,24.3033,23.4963,23.9049,3166
SUNDARMFIN,2002-09-03,23.9151,24.1092,23.9151,23.9151,2672
SUNDARMFIN,2002-09-04,23.7517,24.099,23.7517,23.9151,1566
SUNDARMFIN,2002-09-05,24.3135,24.3135,23.7006,23.9049,4928
SUNDARMFIN,2002-09-06,23.9151,24.1092,23.9151,23.9151,6127
SUNDARMFIN,2002-09-09,23.9253,25.2943,23.4963,23.8436,13611
SUNDARMFIN,2002-09-10,23.8436,23.8436,23.8436,23.8436,0
SUNDARMFIN,2002-09-11,24.1092,24.1501,23.7006,24.1501,6979
SUNDARMFIN,2002-09-12,23.9049,24.0581,23.5065,23.5882,4923
SUNDARMFIN,2002-09-13,23.5167,24.0786,23.5167,23.7823,2760
SUNDARMFIN,2002-09-16,23.4963,24.2931,23.4963,24.1092,3475
SUNDARMFIN,2002-09-17,23.4963,24.3135,23.4963,24.2829,6827
SUNDARMFIN,2002-09-18,23.9049,24.1092,23.7108,23.7108,2530
SUNDARMFIN,2002-09-19,23.4963,24.4157,23.4963,23.6699,33967
SUNDARMFIN,2002-09-20,23.4963,24.0581,23.4963,23.8845,12294
SUNDARMFIN,2002-09-23,23.9049,24.3135,23.6189,24.0479,16151
SUNDARMFIN,2002-09-24,24.1092,24.2931,23.5474,24.1399,19650
SUNDARMFIN,2002-09-25,24.2114,24.2114,23.5371,23.6087,3259
SUNDARMFIN,2002-09-26,23.4963,24.0071,23.4963,24.0071,1272
SUNDARMFIN,2002-09-27,23.9049,24.2829,23.9049,24.2829,2104
SUNDARMFIN,2002-09-30,24.1092,24.3135,23.7006,24.2114,6441
SUNDARMFIN,2002-10-01,24.4566,24.6609,24.1092,24.62,10459
SUNDARMFIN,2002-10-02,24.62,24.62,24.62,24.62,0
SUNDARMFIN,2002-10-03,24.477,24.7222,24.3135,24.4361,18138
SUNDARMFIN,2002-10-04,24.3238,24.6711,24.1092,24.4974,24090
SUNDARMFIN,2002-10-07,24.3135,24.6813,24.2114,24.6609,3891
SUNDARMFIN,2002-10-08,24.3135,24.712,24.3135,24.4668,3391
SUNDARMFIN,2002-10-09,24.6813,24.6813,24.4157,24.4157,1610
SUNDARMFIN,2002-10-10,24.6609,24.7222,24.4157,24.4157,18681
SUNDARMFIN,2002-10-11,24.5179,24.7222,24.4157,24.4157,14565
SUNDARMFIN,2002-10-14,24.4157,24.5179,24.1092,24.4872,1076
SUNDARMFIN,2002-10-15,24.4872,24.4872,24.4872,24.4872,0
SUNDARMFIN,2002-10-16,24.3646,24.3748,24.3135,24.3135,5922
SUNDARMFIN,2002-10-17,24.3646,24.8141,24.3135,24.477,3905
SUNDARMFIN,2002-10-18,24.334,24.334,24.334,24.334,660
SUNDARMFIN,2002-10-21,24.3646,24.5179,24.3646,24.5179,1052
SUNDARMFIN,2002-10-22,24.1092,24.1603,23.5474,24.0888,49541
SUNDARMFIN,2002-10-23,24.4157,24.4157,23.4963,23.5984,22367
SUNDARMFIN,2002-10-24,22.9957,23.7517,22.9957,23.2307,11345
SUNDARMFIN,2002-10-25,22.536,22.7812,20.7482,22.0048,21359
SUNDARMFIN,2002-10-28,23.292,23.292,21.8618,22.6586,20644
SUNDARMFIN,2002-10-29,22.1887,22.679,22.0661,22.1171,1135
SUNDARMFIN,2002-10-30,22.679,23.292,22.679,22.7199,5095
SUNDARMFIN,2002-10-31,22.4849,23.292,22.4747,23.1592,2202
SUNDARMFIN,2002-11-01,22.679,22.679,22.1682,22.6484,5496
SUNDARMFIN,2002-11-04,22.6484,22.6484,22.6484,22.6484,0
SUNDARMFIN,2002-11-05,23.3839,23.3839,22.4032,22.4134,621
SUNDARMFIN,2002-11-06,22.4134,22.4134,22.4134,22.4134,0
SUNDARMFIN,2002-11-07,23.1387,23.2409,22.2806,23.1694,2941
SUNDARMFIN,2002-11-08,23.0366,23.2409,22.536,22.6177,2016
SUNDARMFIN,2002-11-11,22.4849,23.3941,22.4747,22.822,3386
SUNDARMFIN,2002-11-12,22.3215,22.8833,22.2908,22.5156,7747
SUNDARMFIN,2002-11-13,22.4747,22.7301,22.4747,22.7097,1086
SUNDARMFIN,2002-11-14,23.9049,23.9049,22.2704,22.4747,9480
SUNDARMFIN,2002-11-15,22.679,22.8323,22.4747,22.4747,4351
SUNDARMFIN,2002-11-18,22.679,23.0876,22.4747,22.6177,2667
SUNDARMFIN,2002-11-19,22.6177,22.6177,22.6177,22.6177,0
SUNDARMFIN,2002-11-20,22.4747,22.4747,21.4531,22.1989,8976
SUNDARMFIN,2002-11-21,22.2704,22.6586,22.0661,22.3419,13934
SUNDARMFIN,2002-11-22,22.8833,22.8833,22.0661,22.3725,6671
SUNDARMFIN,2002-11-25,22.6586,22.6586,22.0661,22.4441,2868
SUNDARMFIN,2002-11-26,22.1171,22.4645,21.9333,22.2806,8971
SUNDARMFIN,2002-11-27,22.4747,22.4747,22.1171,22.2704,5432
SUNDARMFIN,2002-11-28,22.0865,22.8833,22.0865,22.3317,3866
SUNDARMFIN,2002-11-29,22.0661,22.4543,21.8618,22.2091,9886
SUNDARMFIN,2002-12-02,22.4747,24.3135,22.4747,23.4861,30061
SUNDARMFIN,2002-12-03,23.4963,23.7006,22.8935,22.9855,14291
SUNDARMFIN,2002-12-04,22.679,22.679,22.4747,22.536,9353
SUNDARMFIN,2002-12-05,23.292,23.292,22.6994,23.0774,1962
SUNDARMFIN,2002-12-06,22.5258,23.435,22.4747,22.6484,2001
SUNDARMFIN,2002-12-09,23.1081,23.4963,22.8833,23.1387,6778
SUNDARMFIN,2002-12-10,23.3941,23.3941,22.679,22.914,4772
SUNDARMFIN,2002-12-11,23.3124,23.7006,22.8833,23.4963,17517
SUNDARMFIN,2002-12-12,23.0876,23.4963,23.0876,23.3941,3450
SUNDARMFIN,2002-12-13,23.4963,23.8028,23.292,23.3022,64336
SUNDARMFIN,2002-12-16,23.3124,24.099,23.3124,23.5984,27922
SUNDARMFIN,2002-12-17,23.292,23.578,23.2,23.3941,6362
SUNDARMFIN,2002-12-18,23.292,23.4963,23.0876,23.1796,26870
SUNDARMFIN,2002-12-19,23.0876,23.956,23.0468,23.3533,24423
SUNDARMFIN,2002-12-20,23.4861,23.8028,23.292,23.292,4576
SUNDARMFIN,2002-12-23,23.1898,23.5984,22.8833,23.3941,16910
SUNDARMFIN,2002-12-24,23.4758,23.7006,23.1898,23.5678,19044
SUNDARMFIN,2002-12-25,23.5678,23.5678,23.5678,23.5678,0
SUNDARMFIN,2002-12-26,23.1898,23.4963,22.8833,22.9038,11066
SUNDARMFIN,2002-12-27,22.914,23.0876,22.6994,22.8935,4869
SUNDARMFIN,2002-12-30,22.8833,22.9753,22.6382,22.7914,8907
SUNDARMFIN,2002-12-31,22.9855,23.0366,22.8833,22.9446,3019
SUNDARMFIN,2003-01-01,22.914,23.2409,22.9038,22.9855,4086
SUNDARMFIN,2003-01-02,22.9344,23.0774,22.0967,22.5666,20957
SUNDARMFIN,2003-01-03,23.0672,23.0672,22.6279,22.6688,3274
SUNDARMFIN,2003-01-06,23.2307,23.2307,22.7301,22.8833,4527
SUNDARMFIN,2003-01-07,22.4134,22.4747,22.1682,22.2704,9230
SUNDARMFIN,2003-01-08,23.578,23.578,22.301,22.4543,15833
SUNDARMFIN,2003-01-09,23.4554,23.4554,22.4747,22.7199,6871
SUNDARMFIN,2003-01-10,23.1898,23.2102,22.7403,22.8935,4086
SUNDARMFIN,2003-01-13,22.7812,23.1387,22.5462,22.7505,6073
SUNDARMFIN,2003-01-14,23.0876,23.1081,23.0672,23.0876,3523
SUNDARMFIN,2003-01-15,23.3941,23.3941,22.8323,23.0264,3793
SUNDARMFIN,2003-01-16,23.2613,23.2613,22.4747,22.4747,10894
SUNDARMFIN,2003-01-17,22.9753,23.0672,22.5462,22.8629,14560
SUNDARMFIN,2003-01-20,22.5053,22.771,22.2806,22.6177,14830
SUNDARMFIN,2003-01-21,22.4849,22.679,22.0661,22.1784,24814
SUNDARMFIN,2003-01-22,22.6688,22.7812,22.25,22.679,11819
SUNDARMFIN,2003-01-23,22.7812,22.8833,21.5961,22.3419,10425
SUNDARMFIN,2003-01-24,22.4747,22.4747,21.2488,21.7698,7938
SUNDARMFIN,2003-01-27,22.0661,22.1682,20.8606,21.0854,13988
SUNDARMFIN,2003-01-28,22.0661,22.1376,21.5757,21.9741,8320
SUNDARMFIN,2003-01-29,22.0661,22.0661,21.4531,21.6881,23209
SUNDARMFIN,2003-01-30,21.4736,22.0661,21.4736,21.8209,2055
SUNDARMFIN,2003-01-31,22.0456,22.0661,22.0456,22.0661,905
SUNDARMFIN,2003-02-03,22.0661,22.4441,22.0661,22.2602,2285
SUNDARMFIN,2003-02-04,22.0661,22.0661,22.0661,22.0661,807
SUNDARMFIN,2003-02-05,22.0661,22.1171,21.9128,22.1171,1575
SUNDARMFIN,2003-02-06,22.1171,22.1171,21.9128,21.9128,3670
SUNDARMFIN,2003-02-07,22.1171,22.4747,22.0865,22.1069,2716
SUNDARMFIN,2003-02-10,22.5156,22.6586,22.0661,22.3215,3915
SUNDARMFIN,2003-02-11,22.8629,22.8629,21.9128,22.0456,5139
SUNDARMFIN,2003-02-12,22.0763,22.2295,22.0661,22.2295,1238
SUNDARMFIN,2003-02-13,22.2295,22.2295,22.2295,22.2295,0
SUNDARMFIN,2003-02-14,22.2704,22.2704,22.0763,22.2295,3822
SUNDARMFIN,2003-02-17,22.2704,22.4747,22.1682,22.4747,3915
SUNDARMFIN,2003-02-18,22.679,22.771,21.8822,22.1989,16851
SUNDARMFIN,2003-02-19,22.4747,22.4747,22.1682,22.1682,866
SUNDARMFIN,2003-02-20,22.4747,22.4747,22.0661,22.4543,1615
SUNDARMFIN,2003-02-21,22.0661,22.4134,22.0661,22.0763,4218
SUNDARMFIN,2003-02-24,22.1989,22.2397,22.0252,22.1274,8095
SUNDARMFIN,2003-02-25,22.1682,22.2602,22.0865,22.1171,1223
SUNDARMFIN,2003-02-26,21.9435,22.2704,21.9435,22.2704,538
SUNDARMFIN,2003-02-27,22.2704,22.2704,22.1171,22.1171,3279
SUNDARMFIN,2003-02-28,22.679,22.679,22.1478,22.2908,7762
SUNDARMFIN,2003-03-03,22.2704,22.4747,22.1989,22.2193,6020
SUNDARMFIN,2003-03-04,22.4747,22.4747,22.0661,22.25,9387
SUNDARMFIN,2003-03-05,22.0661,22.0661,21.6779,21.9639,10469
SUNDARMFIN,2003-03-06,22.4134,22.4134,21.9639,22.1784,13170
SUNDARMFIN,2003-03-07,21.5553,22.1682,21.5553,21.9435,7170
SUNDARMFIN,2003-03-10,21.7085,22.1478,21.6779,21.8515,6103
SUNDARMFIN,2003-03-11,21.8618,21.8618,21.1467,21.7392,10728
SUNDARMFIN,2003-03-12,21.6574,21.8209,21.2692,21.7596,5604
SUNDARMFIN,2003-03-13,21.402,21.6472,21.402,21.4531,6950
SUNDARMFIN,2003-03-14,21.4531,21.4531,21.4531,21.4531,0
