symbol,date,open,high,low,close,volume
SUNTECK,2025-07-24,442.0,443.0,428.0,430.35,163835
SUNTECK,2025-07-25,431.4,431.4,417.0,419.65,169794
SUNTECK,2025-07-28,419.65,421.3,399.85,402.85,164472
SUNTECK,2025-07-29,402.45,409.9,401.0,408.45,111338
SUNTECK,2025-07-30,409.65,411.95,396.7,399.95,177815
SUNTECK,2025-07-31,394.9,399.4,390.25,392.9,182410
SUNTECK,2025-08-01,392.9,402.15,386.3,388.25,140482
SUNTECK,2025-08-04,389.95,390.8,383.1,384.65,134963
SUNTECK,2025-08-05,384.65,391.0,380.5,382.35,141318
SUNTECK,2025-08-06,383.8,386.0,370.3,383.85,200363
SUNTECK,2025-08-07,381.2,383.4,373.2,378.45,188086
SUNTECK,2025-08-08,380.0,388.3,375.65,384.55,124207
SUNTECK,2025-08-11,384.55,387.6,378.8,381.1,107389
SUNTECK,2025-08-12,381.9,386.25,378.75,382.85,172686
SUNTECK,2025-08-13,385.45,387.25,378.0,379.05,79571
SUNTECK,2025-08-14,381.3,382.9,375.2,376.05,85130
SUNTECK,2025-08-18,380.85,382.8,376.1,377.4,201009
SUNTECK,2025-08-19,378.45,393.7,376.35,389.0,176759
SUNTECK,2025-08-20,390.0,398.9,388.95,393.0,201445
SUNTECK,2025-08-21,396.6,398.65,392.0,394.1,149308
SUNTECK,2025-08-22,394.1,400.85,388.0,389.5,420937
SUNTECK,2025-08-25,395.0,398.9,389.5,393.65,141564
SUNTECK,2025-08-26,395.0,395.0,387.0,388.7,121380
SUNTECK,2025-08-28,394.6,394.6,383.0,386.3,126844
SUNTECK,2025-08-29,385.55,387.0,379.0,380.15,73207
SUNTECK,2025-09-01,385.65,386.0,380.0,382.95,73261
SUNTECK,2025-09-02,386.75,389.5,381.55,384.75,103343
SUNTECK,2025-09-03,387.0,401.95,386.0,394.1,396610
SUNTECK,2025-09-04,399.9,401.5,390.5,392.35,339572
SUNTECK,2025-09-05,394.0,466.25,387.4,447.7,6386751
SUNTECK,2025-09-08,465.0,473.0,452.0,456.05,2027201
SUNTECK,2025-09-09,455.0,457.1,441.6,444.15,617291
SUNTECK,2025-09-10,445.45,457.05,440.05,446.95,678344
SUNTECK,2025-09-11,447.9,451.4,440.0,443.45,251441
SUNTECK,2025-09-12,443.45,445.45,435.0,441.0,338401
SUNTECK,2025-09-15,441.05,455.1,441.05,450.15,353560
SUNTECK,2025-09-16,446.5,452.3,441.4,445.15,200582
SUNTECK,2025-09-17,448.6,456.45,440.2,444.3,302039
SUNTECK,2025-09-18,447.4,457.3,444.85,452.7,303273
SUNTECK,2025-09-19,451.0,453.65,445.25,450.05,195280
SUNTECK,2025-09-22,453.9,459.0,444.5,445.85,243811
SUNTECK,2025-09-23,446.2,446.3,437.15,439.1,114821
SUNTECK,2025-09-24,439.2,439.9,426.0,427.55,419286
SUNTECK,2025-09-25,425.8,430.8,418.1,423.5,181144
SUNTECK,2025-09-26,422.0,424.2,407.5,409.6,163505
SUNTECK,2025-09-29,415.7,445.0,413.05,421.95,1578105
SUNTECK,2025-09-30,421.0,421.0,411.45,415.15,190555
SUNTECK,2025-10-01,418.9,444.4,415.0,436.1,525644
SUNTECK,2025-10-03,437.0,442.3,430.0,440.75,150226
SUNTECK,2025-10-06,440.75,441.3,434.05,436.85,130881
SUNTECK,2025-10-07,440.0,445.0,435.35,442.15,186159
SUNTECK,2025-10-08,444.9,444.9,425.55,429.65,242035
SUNTECK,2025-10-09,429.0,435.55,422.1,433.45,193867
SUNTECK,2025-10-10,430.0,451.5,428.95,444.4,396720
SUNTECK,2025-10-13,437.7,441.35,431.4,434.7,129498
SUNTECK,2025-10-14,434.5,440.05,423.1,424.75,177209
SUNTECK,2025-10-15,424.75,444.0,422.0,442.0,270913
SUNTECK,2025-10-16,445.0,448.2,430.4,436.1,386756
SUNTECK,2025-10-17,451.95,459.9,421.65,428.55,1641748
SUNTECK,2025-10-20,432.6,437.6,422.85,431.8,321883
