symbol,date,open,high,low,close,volume
SUPREMEENG,2018-09-24,2.8,2.825,2.715,2.78,4800000
SUPREMEENG,2018-09-25,2.65,2.78,2.56,2.725,1160000
SUPREMEENG,2018-09-26,2.7,2.83,2.685,2.825,2240000
SUPREMEENG,2018-09-27,2.81,2.81,2.76,2.805,400000
SUPREMEENG,2018-09-28,2.79,2.8,2.525,2.525,2840000
SUPREMEENG,2018-10-01,2.65,2.65,2.5,2.545,320000
SUPREMEENG,2018-10-03,2.545,2.545,2.545,2.545,0
SUPREMEENG,2018-10-04,2.45,2.45,2.45,2.45,40000
SUPREMEENG,2018-10-05,2.37,2.77,2.3,2.6,360000
SUPREMEENG,2018-10-08,2.425,2.445,2.395,2.395,200000
SUPREMEENG,2018-10-09,2.395,2.395,2.395,2.395,0
SUPREMEENG,2018-10-10,2.45,2.675,2.435,2.435,160000
SUPREMEENG,2018-10-11,2.35,2.435,2.35,2.4,120000
SUPREMEENG,2018-10-12,2.45,2.7,2.45,2.7,80000
SUPREMEENG,2018-10-15,2.595,2.6,2.595,2.6,80000
SUPREMEENG,2018-10-16,2.6,2.6,2.6,2.6,0
SUPREMEENG,2018-10-17,2.6,2.6,2.6,2.6,0
SUPREMEENG,2018-10-19,2.69,2.7,2.55,2.55,240000
SUPREMEENG,2018-10-22,2.55,2.695,2.55,2.695,120000
SUPREMEENG,2018-10-23,2.555,2.555,2.555,2.555,40000
SUPREMEENG,2018-10-24,2.555,2.555,2.555,2.555,0
SUPREMEENG,2018-10-25,2.55,2.55,2.55,2.55,120000
SUPREMEENG,2018-10-26,2.55,2.55,2.55,2.55,0
SUPREMEENG,2018-10-29,2.4,2.695,2.4,2.6,840000
SUPREMEENG,2018-10-30,2.6,2.6,2.6,2.6,0
SUPREMEENG,2018-10-31,2.51,2.51,2.5,2.5,80000
SUPREMEENG,2018-11-01,2.5,2.5,2.5,2.5,0
SUPREMEENG,2018-11-02,2.5,2.5,2.5,2.5,0
SUPREMEENG,2018-11-05,2.5,2.5,2.5,2.5,0
SUPREMEENG,2018-11-06,2.5,2.5,2.5,2.5,0
SUPREMEENG,2018-11-07,2.5,2.5,2.5,2.5,0
SUPREMEENG,2018-11-09,2.35,2.35,2.35,2.35,40000
SUPREMEENG,2018-11-12,2.45,2.45,2.45,2.45,40000
