symbol,date,open,high,low,close,volume
SURAJLTD,2025-07-22,366.35,372.25,362.2,365.15,21851
SURAJLTD,2025-07-23,364.3,371.9,360.9,368.0,27328
SURAJLTD,2025-07-24,362.35,382.7,362.35,368.7,36953
SURAJLTD,2025-07-25,367.65,384.95,355.05,361.8,46446
SURAJLTD,2025-07-28,357.9,365.3,352.2,354.5,26324
SURAJLTD,2025-07-29,350.05,360.1,350.05,358.3,22708
SURAJLTD,2025-07-30,357.35,366.8,354.6,359.15,27875
SURAJLTD,2025-07-31,360.05,360.6,354.85,356.05,24225
SURAJLTD,2025-08-01,353.6,353.6,336.05,343.45,25044
SURAJLTD,2025-08-04,341.75,364.95,341.75,356.05,23669
SURAJLTD,2025-08-05,359.95,363.15,345.5,348.0,21337
SURAJLTD,2025-08-06,347.7,347.7,335.05,337.8,20022
SURAJLTD,2025-08-07,334.25,339.3,333.7,336.1,22641
SURAJLTD,2025-08-08,335.6,350.0,335.5,349.15,25344
SURAJLTD,2025-08-11,349.4,350.25,337.0,339.95,27888
SURAJLTD,2025-08-12,343.15,349.95,343.0,345.9,22957
SURAJLTD,2025-08-13,340.3,348.3,338.8,340.6,19516
SURAJLTD,2025-08-14,338.65,347.95,333.0,341.1,23563
SURAJLTD,2025-08-18,340.0,343.75,335.75,337.55,21833
SURAJLTD,2025-08-19,340.1,346.55,332.0,335.55,24295
SURAJLTD,2025-08-20,332.25,349.75,330.0,333.05,45033
SURAJLTD,2025-08-21,335.15,354.95,335.05,339.9,36562
SURAJLTD,2025-08-22,337.25,339.95,330.3,336.35,25455
SURAJLTD,2025-08-25,335.75,339.95,330.05,333.15,23160
SURAJLTD,2025-08-26,339.95,339.95,325.05,329.8,22806
SURAJLTD,2025-08-28,329.8,330.35,320.05,323.25,25347
SURAJLTD,2025-08-29,317.25,320.7,299.0,308.95,35302
SURAJLTD,2025-09-01,324.9,324.9,308.1,314.6,34366
SURAJLTD,2025-09-02,314.05,320.1,310.1,311.5,23750
SURAJLTD,2025-09-03,313.15,322.5,310.05,312.15,5834
SURAJLTD,2025-09-04,310.05,334.95,301.55,306.85,149126
SURAJLTD,2025-09-05,307.35,314.95,305.7,309.8,23815
SURAJLTD,2025-09-08,311.05,315.75,309.4,312.75,24662
SURAJLTD,2025-09-09,314.75,314.95,284.7,295.55,18031
SURAJLTD,2025-09-10,295.35,309.95,295.1,308.55,29064
SURAJLTD,2025-09-11,305.05,334.95,305.05,326.65,65014
SURAJLTD,2025-09-12,328.25,333.2,315.05,321.9,4917
SURAJLTD,2025-09-15,323.9,326.5,315.05,319.7,11101
SURAJLTD,2025-09-16,321.8,324.95,315.5,322.5,1260
