symbol,date,open,high,low,close,volume
SWANCORP,2021-07-26,143.0,147.75,141.15,142.4,158674
SWANCORP,2021-07-27,142.5,143.4,139.95,142.15,124163
SWANCORP,2021-07-28,141.25,148.0,141.25,146.55,252640
SWANCORP,2021-07-29,147.8,175.85,147.8,175.4,7041747
SWANCORP,2021-07-30,167.35,169.85,142.0,146.8,6558993
SWANCORP,2021-08-02,149.45,152.75,143.05,146.0,1634564
SWANCORP,2021-08-03,146.7,146.7,138.0,139.7,322695
SWANCORP,2021-08-04,139.85,141.4,129.15,132.5,512630
SWANCORP,2021-08-05,131.95,134.55,128.25,132.3,362342
SWANCORP,2021-08-06,133.0,137.7,132.6,135.8,401658
SWANCORP,2021-08-09,137.0,137.55,130.0,130.85,268496
SWANCORP,2021-08-10,130.8,132.05,123.1,126.6,254016
SWANCORP,2021-08-11,128.4,129.7,119.15,126.15,306161
SWANCORP,2021-08-12,125.8,129.5,124.8,128.1,114990
SWANCORP,2021-08-13,128.25,136.2,126.15,132.0,327521
SWANCORP,2021-08-16,134.0,136.0,130.15,133.65,193868
SWANCORP,2021-08-17,133.65,134.3,131.35,133.1,133731
SWANCORP,2021-08-18,133.85,135.75,126.2,128.45,124161
SWANCORP,2021-08-20,126.0,129.6,125.0,126.55,83238
SWANCORP,2021-08-23,127.1,129.45,123.2,127.1,137732
SWANCORP,2021-08-24,127.0,128.5,125.05,125.75,72128
SWANCORP,2021-08-25,125.05,131.9,125.05,130.45,134207
SWANCORP,2021-08-26,133.2,153.7,132.1,148.15,8259184
SWANCORP,2021-08-27,143.0,146.05,138.9,140.65,2076899
SWANCORP,2021-08-30,141.9,144.5,136.0,138.75,577243
SWANCORP,2021-08-31,136.1,138.4,135.05,135.85,251693
SWANCORP,2021-09-01,136.85,137.85,133.6,134.3,167467
SWANCORP,2021-09-02,134.9,136.05,133.65,134.35,89602
SWANCORP,2021-09-03,135.5,135.9,132.0,132.7,120897
SWANCORP,2021-09-06,133.0,134.7,132.45,132.95,73791
SWANCORP,2021-09-07,132.9,133.2,131.1,132.0,56924
SWANCORP,2021-09-08,131.2,133.95,130.75,132.05,65100
SWANCORP,2021-09-09,132.1,134.9,131.7,133.2,54891
SWANCORP,2021-09-13,134.9,136.85,132.45,136.25,115673
SWANCORP,2021-09-14,137.0,138.9,135.9,137.15,84708
SWANCORP,2021-09-15,137.75,137.75,133.0,134.0,60060
SWANCORP,2021-09-16,133.05,135.25,132.4,132.9,43366
SWANCORP,2021-09-17,133.6,135.1,128.5,129.1,101378
SWANCORP,2021-09-20,129.1,132.2,127.9,128.25,73716
SWANCORP,2021-09-21,128.9,129.95,126.8,129.6,24684
SWANCORP,2021-09-22,130.45,132.6,129.3,130.45,62377
SWANCORP,2021-09-23,130.45,133.0,128.1,129.4,34421
SWANCORP,2021-09-24,129.45,130.6,127.15,128.05,37581
