symbol,date,open,high,low,close,volume
TATAELXSI,2002-07-01,57.975,58.0,56.775,57.4,471000
TATAELXSI,2002-07-02,57.0,57.45,55.75,56.5,342572
TATAELXSI,2002-07-03,56.45,62.325,56.45,61.75,3909024
TATAELXSI,2002-07-04,62.4,65.225,60.85,63.15,4254082
TATAELXSI,2002-07-05,63.45,68.0,62.775,67.225,5105978
TATAELXSI,2002-07-08,68.275,70.25,66.0,66.375,2437322
TATAELXSI,2002-07-09,66.15,68.2,63.3,64.225,2037748
TATAELXSI,2002-07-10,65.4,65.45,60.575,61.5,1917496
TATAELXSI,2002-07-11,61.5,62.9,58.0,59.225,2661660
TATAELXSI,2002-07-12,60.1,63.0,59.25,62.15,2615800
TATAELXSI,2002-07-15,63.2,63.2,57.575,58.4,1786522
TATAELXSI,2002-07-16,58.7,60.4,57.0,57.75,2324402
TATAELXSI,2002-07-17,57.0,58.45,55.625,57.05,2106786
TATAELXSI,2002-07-18,58.0,60.325,57.8,59.6,2047260
TATAELXSI,2002-07-19,58.75,59.35,57.05,57.425,1488666
TATAELXSI,2002-07-22,56.0,56.0,53.5,54.15,900320
TATAELXSI,2002-07-23,53.65,58.225,53.65,57.425,1956122
TATAELXSI,2002-07-24,56.55,56.825,54.2,54.7,1902350
TATAELXSI,2002-07-25,55.575,58.2,55.575,56.85,2163340
TATAELXSI,2002-07-26,54.775,55.25,49.075,50.05,2917580
TATAELXSI,2002-07-29,50.0,51.0,43.825,46.9,3745084
TATAELXSI,2002-07-30,49.2,49.6,44.0,45.275,2203404
TATAELXSI,2002-07-31,44.775,47.9,42.75,47.25,2679652
TATAELXSI,2002-08-01,47.25,48.125,45.375,45.95,1823756
TATAELXSI,2002-08-02,44.95,46.95,43.95,45.9,2043012
TATAELXSI,2002-08-05,47.0,47.925,46.25,47.575,1522938
TATAELXSI,2002-08-06,46.25,50.25,46.075,49.575,1977050
TATAELXSI,2002-08-07,51.075,51.85,48.05,49.425,2157028
TATAELXSI,2002-08-08,50.0,50.825,47.625,48.1,1892040
TATAELXSI,2002-08-09,48.5,49.125,47.3,48.25,1879664
TATAELXSI,2002-08-12,48.5,50.4,48.175,49.65,1934218
TATAELXSI,2002-08-13,49.95,50.45,48.7,48.925,798760
TATAELXSI,2002-08-14,48.025,49.05,48.025,48.375,789148
TATAELXSI,2002-08-15,48.375,48.375,48.375,48.375,0
TATAELXSI,2002-08-16,49.2,49.75,48.575,48.925,825966
TATAELXSI,2002-08-19,49.35,49.45,48.05,48.375,554192
TATAELXSI,2002-08-20,49.0,51.875,48.45,51.475,2594296
TATAELXSI,2002-08-21,51.0,53.35,50.75,51.45,2451000
