symbol,date,open,high,low,close,volume
TCI,2002-07-01,2.2623,2.2772,2.2623,2.2772,8021
TCI,2002-07-02,2.3918,2.3918,2.3918,2.3918,6722
TCI,2002-07-03,2.5114,2.5114,2.5114,2.5114,834
TCI,2002-07-04,2.641,2.641,2.641,2.641,5619
TCI,2002-07-05,2.7755,2.7755,2.5912,2.7755,54119
TCI,2002-07-08,2.8602,2.9151,2.6759,2.9101,28914
TCI,2002-07-09,2.9898,3.0297,2.94,2.9798,11557
TCI,2002-07-10,2.94,2.94,2.7755,2.7805,13736
TCI,2002-07-11,2.6908,2.7805,2.6011,2.6908,9036
TCI,2002-07-12,2.6809,2.6908,2.641,2.6908,539
TCI,2002-07-15,2.5065,2.5214,2.5065,2.5214,122
TCI,2002-07-16,2.5912,2.6908,2.5114,2.5114,433
TCI,2002-07-17,2.3918,2.5463,2.3719,2.4417,8950
TCI,2002-07-18,2.5912,2.641,2.4068,2.5563,190
TCI,2002-07-19,2.4217,2.5812,2.4118,2.5114,2189
TCI,2002-07-22,2.2573,2.4417,2.2573,2.342,11830
TCI,2002-07-23,2.4815,2.4815,2.3171,2.4815,6
TCI,2002-07-24,2.342,2.342,2.3121,2.3121,421
TCI,2002-07-25,2.2922,2.4766,2.1925,2.1925,6022
TCI,2002-07-26,2.0829,2.337,2.0829,2.1875,1507
TCI,2002-07-29,2.0032,2.2922,2.0032,2.0978,8741
TCI,2002-07-30,2.1925,2.2523,2.1427,2.1576,6915
TCI,2002-07-31,2.1427,2.1925,2.0978,2.0978,4113
TCI,2002-08-01,2.337,2.342,2.337,2.342,1003
TCI,2002-08-02,2.1925,2.2723,2.1925,2.2673,2207
TCI,2002-08-05,2.2922,2.2922,2.2922,2.2922,802
TCI,2002-08-06,2.2922,2.2922,2.2922,2.2922,0
TCI,2002-08-07,2.1477,2.2922,2.1477,2.2922,202
TCI,2002-08-08,2.2922,2.2922,2.0729,2.0729,12093
TCI,2002-08-09,2.1925,2.2424,2.1078,2.1228,2398
TCI,2002-08-12,2.3619,2.3669,2.1676,2.1875,4718
