symbol,date,open,high,low,close,volume
TEAMGTY,2025-07-22,192.99,196.0,186.42,190.62,16864
TEAMGTY,2025-07-23,192.99,192.99,187.0,187.95,4045
TEAMGTY,2025-07-24,194.5,195.28,187.0,193.3,10930
TEAMGTY,2025-07-25,193.3,227.7,192.0,220.88,273741
TEAMGTY,2025-07-28,223.0,265.05,222.0,241.12,473969
TEAMGTY,2025-07-29,243.5,289.34,240.0,285.93,787227
TEAMGTY,2025-07-30,283.99,302.7,257.33,257.33,329392
TEAMGTY,2025-07-31,254.96,264.66,235.3,251.09,77533
TEAMGTY,2025-08-01,259.85,263.65,239.0,263.65,23055
TEAMGTY,2025-08-04,264.0,276.8,264.0,276.8,27938
TEAMGTY,2025-08-05,290.15,290.6,284.0,290.6,35520
TEAMGTY,2025-08-06,305.1,305.1,290.0,301.65,19773
TEAMGTY,2025-08-07,306.45,315.0,298.0,301.7,14818
TEAMGTY,2025-08-08,315.0,315.0,290.0,297.95,16959
TEAMGTY,2025-08-11,292.0,300.0,292.0,292.0,7298
TEAMGTY,2025-08-12,286.2,286.2,286.2,286.2,1709
TEAMGTY,2025-08-13,291.9,291.9,280.5,291.9,6802
TEAMGTY,2025-08-14,286.1,290.0,286.1,286.1,922
TEAMGTY,2025-08-18,280.4,280.4,280.4,280.4,105
TEAMGTY,2025-08-19,274.8,274.8,274.8,274.8,255
TEAMGTY,2025-08-20,269.3,269.3,269.3,269.3,2755
TEAMGTY,2025-08-21,270.0,273.0,269.3,270.0,9011
TEAMGTY,2025-08-22,274.05,275.4,272.0,274.05,3178
TEAMGTY,2025-08-25,274.0,275.0,274.0,274.0,1286
TEAMGTY,2025-08-26,276.0,276.0,275.0,276.0,2302
TEAMGTY,2025-08-28,276.0,276.0,276.0,276.0,4271
TEAMGTY,2025-08-29,276.0,276.0,276.0,276.0,3001
TEAMGTY,2025-09-01,276.0,276.0,276.0,276.0,2400
TEAMGTY,2025-09-02,275.0,276.0,275.0,275.0,52
TEAMGTY,2025-09-03,269.5,272.0,269.5,269.5,374
TEAMGTY,2025-09-04,269.0,270.0,264.15,269.0,9256
TEAMGTY,2025-09-05,264.95,264.95,264.95,264.95,770
TEAMGTY,2025-09-08,264.95,264.95,259.65,260.0,4750
TEAMGTY,2025-09-09,260.0,265.2,255.0,265.2,1778
TEAMGTY,2025-09-10,264.9,265.0,260.0,260.0,2554
TEAMGTY,2025-09-11,254.8,258.7,254.8,254.8,530
TEAMGTY,2025-09-12,252.0,252.0,249.8,252.0,807
TEAMGTY,2025-09-15,247.0,252.0,242.0,247.25,5664
TEAMGTY,2025-09-16,235.05,242.8,234.9,234.9,6365
TEAMGTY,2025-09-17,225.0,233.8,223.15,230.0,10140
TEAMGTY,2025-09-18,224.0,238.9,221.3,235.0,21063
TEAMGTY,2025-09-19,235.0,235.0,226.5,232.6,3745
TEAMGTY,2025-09-22,233.8,244.0,229.0,241.4,3386
TEAMGTY,2025-09-23,241.0,253.45,241.0,253.45,1405
TEAMGTY,2025-09-24,255.95,266.1,251.0,265.3,5629
TEAMGTY,2025-09-25,265.3,274.95,253.0,269.9,1477
TEAMGTY,2025-09-26,264.5,264.5,264.5,264.5,805
TEAMGTY,2025-09-29,259.25,259.25,259.25,259.25,153
TEAMGTY,2025-09-30,257.25,257.25,257.25,257.25,1001
TEAMGTY,2025-10-01,256.0,256.0,254.0,256.0,1324
TEAMGTY,2025-10-03,256.0,256.0,256.0,256.0,906
TEAMGTY,2025-10-06,256.0,256.0,256.0,256.0,20
TEAMGTY,2025-10-07,250.9,250.9,250.9,250.9,88
TEAMGTY,2025-10-08,246.0,246.0,245.9,246.0,197
TEAMGTY,2025-10-09,246.0,250.9,246.0,246.0,133
TEAMGTY,2025-10-10,245.5,245.5,245.5,245.5,16
TEAMGTY,2025-10-13,247.95,250.0,245.5,247.95,356
TEAMGTY,2025-10-14,252.0,252.0,247.95,252.0,4
TEAMGTY,2025-10-15,252.0,252.0,252.0,252.0,11
TEAMGTY,2025-10-16,252.0,252.0,247.0,252.0,526
TEAMGTY,2025-10-17,252.0,252.0,252.0,252.0,0
TEAMGTY,2025-10-20,249.5,249.5,249.5,249.5,2
TEAMGTY,2025-10-21,249.5,249.5,249.5,249.5,12
TEAMGTY,2025-10-23,249.0,249.5,249.0,249.0,130
TEAMGTY,2025-10-24,245.4,245.4,245.4,245.4,10
TEAMGTY,2025-10-27,240.5,240.5,240.5,240.5,301
TEAMGTY,2025-10-28,245.3,245.3,238.1,245.3,2508
TEAMGTY,2025-10-29,250.2,250.2,240.45,250.2,563
TEAMGTY,2025-10-30,255.2,255.2,250.2,255.2,1820
TEAMGTY,2025-10-31,260.0,260.0,255.2,260.0,43
TEAMGTY,2025-11-03,260.0,260.0,248.25,257.9,10249
TEAMGTY,2025-11-04,259.95,270.75,259.95,268.0,3633
TEAMGTY,2025-11-06,278.8,281.4,270.0,277.0,1448
TEAMGTY,2025-11-07,277.0,277.0,263.15,263.15,584
TEAMGTY,2025-11-10,250.05,270.95,250.0,261.4,16800
TEAMGTY,2025-11-11,264.75,264.75,248.35,248.4,710
TEAMGTY,2025-11-12,258.0,258.0,251.4,251.4,70
TEAMGTY,2025-11-13,245.15,254.95,240.2,241.5,357
TEAMGTY,2025-11-14,250.45,250.45,241.5,249.55,333
TEAMGTY,2025-11-17,245.0,249.0,241.6,241.75,281
TEAMGTY,2025-11-18,241.75,263.0,241.75,250.2,2819
TEAMGTY,2025-11-19,269.2,275.0,255.0,264.8,8785
TEAMGTY,2025-11-20,275.0,275.0,259.0,259.2,3623
TEAMGTY,2025-11-21,260.0,263.0,258.0,258.05,1854
TEAMGTY,2025-11-24,254.2,269.15,254.2,259.1,2799
TEAMGTY,2025-11-25,260.05,265.0,260.05,262.6,897
TEAMGTY,2025-11-26,257.0,267.3,257.0,259.0,2170
TEAMGTY,2025-11-27,257.5,269.0,257.5,267.6,653
TEAMGTY,2025-11-28,266.25,266.25,260.4,265.0,280
TEAMGTY,2025-12-01,242.55,272.75,242.55,267.3,707
TEAMGTY,2025-12-02,267.3,267.3,260.0,260.15,574
TEAMGTY,2025-12-03,265.35,274.0,261.55,265.7,1763
TEAMGTY,2025-12-04,265.0,288.95,260.0,269.35,1741
TEAMGTY,2025-12-05,268.0,299.0,265.0,277.15,1443
TEAMGTY,2025-12-08,286.4,332.55,282.0,312.0,123168
TEAMGTY,2025-12-09,304.85,304.85,288.05,291.55,20825
TEAMGTY,2025-12-10,300.0,300.0,282.95,296.15,18293
TEAMGTY,2025-12-11,305.0,308.85,271.05,283.35,13169
TEAMGTY,2025-12-12,292.15,296.6,275.0,279.9,13818
TEAMGTY,2025-12-15,291.05,291.05,273.2,283.65,1505
TEAMGTY,2025-12-16,285.1,285.1,271.0,276.65,8864
TEAMGTY,2025-12-17,271.0,276.95,271.0,273.15,2593
TEAMGTY,2025-12-18,272.95,276.0,268.7,270.2,1897
TEAMGTY,2025-12-19,270.05,274.35,263.0,267.7,4138
TEAMGTY,2025-12-22,271.7,274.0,263.95,271.55,1311
TEAMGTY,2025-12-23,283.45,315.25,276.0,284.25,9794
TEAMGTY,2025-12-24,291.0,300.0,281.95,298.55,6206
TEAMGTY,2025-12-26,309.0,309.0,282.5,288.2,17720
TEAMGTY,2025-12-29,281.05,306.95,281.05,300.3,4436
TEAMGTY,2025-12-30,304.0,304.15,287.0,300.0,2339
TEAMGTY,2025-12-31,303.95,303.95,287.0,290.35,3288
TEAMGTY,2026-01-01,292.5,300.9,285.0,292.65,907
TEAMGTY,2026-01-02,300.9,303.0,285.0,293.65,935
TEAMGTY,2026-01-05,297.95,297.95,288.7,293.9,818
TEAMGTY,2026-01-06,289.5,297.85,285.2,295.05,672
TEAMGTY,2026-01-07,277.4,297.85,277.4,296.2,963
TEAMGTY,2026-01-08,292.25,292.25,279.15,290.2,920
TEAMGTY,2026-01-09,290.05,298.0,284.45,291.8,3052
TEAMGTY,2026-01-12,291.8,297.85,265.6,290.0,5700
TEAMGTY,2026-01-13,287.0,289.95,285.0,286.0,506
TEAMGTY,2026-01-14,305.0,305.0,272.05,281.8,375
TEAMGTY,2026-01-16,290.05,295.0,276.15,283.25,2581
TEAMGTY,2026-01-19,281.25,283.25,272.0,278.5,784
TEAMGTY,2026-01-20,280.05,281.9,264.0,269.35,320
TEAMGTY,2026-01-21,269.4,273.0,260.1,269.2,1149
TEAMGTY,2026-01-22,269.15,284.0,256.4,258.15,1060
TEAMGTY,2026-01-23,264.0,271.05,235.0,261.05,3963
TEAMGTY,2026-01-27,261.1,261.1,251.5,257.0,2647
TEAMGTY,2026-01-28,259.0,280.0,250.0,258.65,7237
TEAMGTY,2026-01-29,260.0,260.0,240.2,253.2,3648
TEAMGTY,2026-01-30,253.25,260.0,251.5,252.1,2265
TEAMGTY,2026-02-02,274.95,274.95,255.2,263.25,981
TEAMGTY,2026-02-03,281.95,281.95,254.55,265.4,389
TEAMGTY,2026-02-04,266.05,270.0,260.75,264.9,988
TEAMGTY,2026-02-05,275.5,275.5,264.9,265.8,1182
TEAMGTY,2026-02-06,270.55,274.3,251.25,257.9,2254
TEAMGTY,2026-02-09,281.8,281.8,265.2,267.0,632
TEAMGTY,2026-02-10,275.95,275.95,261.15,267.15,602
TEAMGTY,2026-02-11,273.95,273.95,260.0,268.1,1250
TEAMGTY,2026-02-12,277.9,277.9,265.0,266.0,317
TEAMGTY,2026-02-13,260.05,273.0,260.0,269.8,492
TEAMGTY,2026-02-16,278.0,278.0,252.25,259.9,963
TEAMGTY,2026-02-17,259.9,268.05,255.0,265.9,1087
TEAMGTY,2026-02-18,254.9,265.0,252.65,259.95,1618
TEAMGTY,2026-02-19,258.05,258.05,252.25,252.35,836
TEAMGTY,2026-02-20,252.4,254.6,248.0,251.1,394
TEAMGTY,2026-02-23,251.0,270.2,250.2,254.65,1359
TEAMGTY,2026-02-24,264.95,273.95,250.2,269.75,1822
TEAMGTY,2026-02-25,277.8,277.8,258.0,263.5,1806
TEAMGTY,2026-02-26,273.95,283.0,260.0,261.0,518
TEAMGTY,2026-02-27,261.05,269.6,252.0,263.9,406
TEAMGTY,2026-03-02,238.1,268.0,238.0,261.55,833
TEAMGTY,2026-03-04,258.0,259.9,243.3,253.4,923
TEAMGTY,2026-03-05,252.85,280.0,244.95,269.55,3712
TEAMGTY,2026-03-06,270.15,270.15,255.0,258.35,604
TEAMGTY,2026-03-09,269.95,271.0,249.95,255.65,985
TEAMGTY,2026-03-10,262.05,266.95,255.0,255.2,662
TEAMGTY,2026-03-11,266.95,266.95,244.0,248.1,1898
TEAMGTY,2026-03-12,262.0,269.55,251.0,251.75,2021
TEAMGTY,2026-03-13,266.95,266.95,249.0,257.65,262
TEAMGTY,2026-03-16,257.0,257.0,243.4,253.55,1482
TEAMGTY,2026-03-17,272.0,272.0,248.0,252.3,240
TEAMGTY,2026-03-18,258.0,258.0,245.75,250.65,231
