symbol,date,open,high,low,close,volume
TECHNOE,2007-04-02,103.65,103.65,97.0,97.0,2650
TECHNOE,2007-04-03,101.0,101.0,100.0,100.0,2
TECHNOE,2007-04-04,96.0,99.0,95.0,98.95,192
TECHNOE,2007-04-05,95.7,102.0,95.7,99.0,559
TECHNOE,2007-04-09,102.0,102.0,102.0,102.0,0
TECHNOE,2007-04-10,103.0,103.0,100.0,100.0,516
TECHNOE,2007-04-11,104.5,105.0,104.45,104.9,734
TECHNOE,2007-04-12,109.0,110.0,101.1,102.05,898
TECHNOE,2007-04-13,101.0,101.0,101.0,101.0,15
TECHNOE,2007-04-16,101.0,101.0,101.0,101.0,0
TECHNOE,2007-04-17,101.0,101.0,101.0,101.0,0
TECHNOE,2007-04-18,101.0,101.0,101.0,101.0,0
TECHNOE,2007-04-19,101.0,101.0,101.0,101.0,0
TECHNOE,2007-04-20,101.0,101.0,101.0,101.0,0
TECHNOE,2007-04-23,98.0,98.0,98.0,98.0,328
TECHNOE,2007-04-24,98.0,98.0,96.0,96.0,550
TECHNOE,2007-04-25,98.0,98.0,92.7,95.5,1025
TECHNOE,2007-04-26,95.5,95.5,95.5,95.5,0
TECHNOE,2007-04-27,96.05,99.4,96.0,96.75,955
TECHNOE,2007-04-30,101.6,101.6,101.6,101.6,325
TECHNOE,2007-05-03,106.7,106.7,106.7,106.7,500
TECHNOE,2007-05-04,111.95,112.05,101.4,110.0,3381
TECHNOE,2007-05-07,111.0,111.0,107.0,110.0,900
TECHNOE,2007-05-08,104.6,109.7,104.55,106.0,500
TECHNOE,2007-05-09,108.9,111.3,104.5,105.9,511
TECHNOE,2007-05-10,106.0,106.0,106.0,106.0,100
TECHNOE,2007-05-11,102.1,104.75,101.7,104.75,251
TECHNOE,2007-05-14,107.5,107.5,103.35,107.15,561
TECHNOE,2007-05-15,102.3,108.0,102.3,107.95,500
TECHNOE,2007-05-16,107.8,107.8,100.3,106.65,992
TECHNOE,2007-05-17,103.3,107.6,103.05,105.0,1150
TECHNOE,2007-05-18,103.05,107.9,103.0,107.9,1600
TECHNOE,2007-05-21,109.5,109.95,108.0,108.0,583
TECHNOE,2007-05-22,105.5,107.0,105.5,106.95,955
TECHNOE,2007-05-23,107.0,108.0,104.0,106.65,200
TECHNOE,2007-05-24,103.35,107.9,103.35,106.4,791
TECHNOE,2007-05-25,103.4,107.0,103.4,106.75,155
TECHNOE,2007-05-28,104.2,108.0,104.2,108.0,818
TECHNOE,2007-05-29,106.0,107.0,106.0,106.45,230
TECHNOE,2007-05-30,107.0,107.0,107.0,107.0,0
TECHNOE,2007-05-31,106.0,107.6,106.0,107.05,2400
TECHNOE,2007-06-01,107.05,107.05,107.05,107.05,0
TECHNOE,2007-06-04,102.4,105.8,102.4,104.85,150
TECHNOE,2007-06-05,100.45,105.75,100.4,104.55,345
TECHNOE,2007-06-06,98.55,102.95,98.5,100.9,148
TECHNOE,2007-06-07,96.7,105.0,96.7,102.7,509
TECHNOE,2007-06-08,98.5,103.95,98.5,103.05,518
TECHNOE,2007-06-11,100.4,100.4,100.4,100.4,26
TECHNOE,2007-06-12,104.95,104.95,96.1,100.25,409
TECHNOE,2007-06-13,99.0,99.0,99.0,99.0,200
TECHNOE,2007-06-14,97.2,98.0,92.5,95.4,1780
TECHNOE,2007-06-15,97.0,99.85,97.0,97.85,275
TECHNOE,2007-06-18,95.25,97.0,95.25,97.0,100
TECHNOE,2007-06-19,95.0,99.0,95.0,95.1,19
TECHNOE,2007-06-20,95.0,97.0,94.25,96.25,484
TECHNOE,2007-06-21,97.0,101.0,93.3,101.0,6630
TECHNOE,2007-06-22,98.0,98.0,98.0,98.0,500
TECHNOE,2007-06-25,96.05,96.05,96.0,96.0,25
TECHNOE,2007-06-26,95.0,98.9,95.0,98.9,350
TECHNOE,2007-06-27,102.5,102.5,93.55,98.45,186
TECHNOE,2007-06-28,99.0,99.0,96.0,98.0,325
TECHNOE,2007-06-29,98.0,100.9,98.0,98.95,611
TECHNOE,2007-07-02,100.0,100.0,100.0,100.0,50
TECHNOE,2007-07-03,93.5,100.5,93.5,100.5,224
TECHNOE,2007-07-04,98.2,98.2,94.05,97.75,266
TECHNOE,2007-07-05,95.25,100.0,95.0,99.95,354
TECHNOE,2007-07-06,95.25,96.1,95.25,96.0,212
TECHNOE,2007-07-09,105.0,105.0,92.5,93.3,2388
TECHNOE,2007-07-10,99.0,100.0,94.0,96.9,1490
TECHNOE,2007-07-11,98.7,99.0,93.6,94.5,2130
TECHNOE,2007-07-12,99.0,113.4,98.95,113.4,8485
TECHNOE,2007-07-13,135.9,136.1,116.9,130.75,48172
TECHNOE,2007-07-16,135.9,135.9,126.0,127.65,11861
TECHNOE,2007-07-17,130.9,130.9,115.5,117.1,5592
TECHNOE,2007-07-18,122.0,123.9,109.0,113.7,4311
TECHNOE,2007-07-19,106.0,117.5,106.0,111.2,4988
TECHNOE,2007-07-20,115.0,115.0,109.0,109.5,3280
TECHNOE,2007-07-23,113.0,120.15,110.0,112.65,4667
TECHNOE,2007-07-24,114.8,120.0,107.25,111.85,7412
TECHNOE,2007-07-25,110.0,112.0,102.0,109.0,4133
TECHNOE,2007-07-26,114.0,114.85,108.2,109.65,3174
TECHNOE,2007-07-27,104.0,110.0,104.0,109.1,10683
TECHNOE,2007-07-30,103.0,110.8,103.0,108.25,14584
TECHNOE,2007-07-31,105.1,111.0,105.0,105.15,5003
TECHNOE,2007-08-01,108.0,108.0,101.0,101.5,1273
TECHNOE,2007-08-02,109.95,109.95,101.0,102.25,721
TECHNOE,2007-08-03,101.0,104.0,101.0,104.0,369
TECHNOE,2007-08-06,104.85,104.85,100.1,101.5,1127
TECHNOE,2007-08-07,101.1,115.0,100.5,110.6,15153
TECHNOE,2007-08-08,109.0,110.9,107.0,109.1,3437
TECHNOE,2007-08-09,114.0,114.0,108.0,109.0,4015
TECHNOE,2007-08-10,101.05,109.0,100.0,108.7,4208
TECHNOE,2007-08-13,108.9,109.0,106.05,106.05,120
TECHNOE,2007-08-14,108.5,108.5,105.1,105.1,20
TECHNOE,2007-08-16,105.0,105.0,102.05,102.05,1720
TECHNOE,2007-08-17,102.55,102.55,100.0,102.0,855
TECHNOE,2007-08-20,106.9,107.0,102.6,103.0,1776
TECHNOE,2007-08-21,102.0,102.0,93.8,95.0,2481
TECHNOE,2007-08-22,99.0,99.0,95.0,96.0,1972
TECHNOE,2007-08-23,100.0,102.0,91.0,93.95,2628
TECHNOE,2007-08-24,96.0,98.8,92.0,92.0,1533
TECHNOE,2007-08-27,96.95,96.95,96.95,96.95,18
TECHNOE,2007-08-28,93.15,99.0,93.15,95.1,815
TECHNOE,2007-08-29,97.5,104.0,97.5,100.55,1705
TECHNOE,2007-08-30,102.0,116.0,102.0,110.35,11405
TECHNOE,2007-08-31,113.2,119.5,109.2,109.2,9087
TECHNOE,2007-09-03,111.0,113.0,110.15,110.15,575
TECHNOE,2007-09-04,110.0,114.2,110.0,110.1,4075
TECHNOE,2007-09-05,111.2,114.7,110.0,114.0,3223
TECHNOE,2007-09-06,113.95,122.0,113.95,115.65,8507
TECHNOE,2007-09-07,116.0,119.95,112.5,112.5,2758
TECHNOE,2007-09-10,112.1,114.75,112.1,114.75,4032
TECHNOE,2007-09-11,115.0,116.9,112.1,113.4,1290
TECHNOE,2007-09-12,110.0,112.8,108.1,110.15,3643
TECHNOE,2007-09-13,108.15,114.0,108.15,114.0,521
TECHNOE,2007-09-14,108.2,110.5,108.0,110.0,939
TECHNOE,2007-09-17,111.5,111.5,109.85,109.85,125
TECHNOE,2007-09-18,108.0,110.75,105.4,110.75,152
TECHNOE,2007-09-19,120.0,120.0,107.3,108.05,597
TECHNOE,2007-09-20,113.0,114.0,105.0,105.0,982
TECHNOE,2007-09-21,119.95,119.95,106.0,112.0,6431
TECHNOE,2007-09-24,115.0,119.45,111.2,111.2,4308
TECHNOE,2007-09-25,111.1,112.0,107.7,107.7,1470
TECHNOE,2007-09-26,111.95,111.95,108.8,108.8,2480
TECHNOE,2007-09-27,112.7,112.9,107.25,111.5,2490
TECHNOE,2007-09-28,110.0,110.0,105.0,110.0,1110
TECHNOE,2007-10-01,109.0,113.0,105.0,111.8,15400
TECHNOE,2007-10-03,110.0,112.0,107.0,107.0,3840
TECHNOE,2007-10-04,107.0,111.5,105.0,111.5,4579
TECHNOE,2007-10-05,115.0,130.4,111.0,123.5,22651
TECHNOE,2007-10-08,127.0,147.5,125.1,135.0,97315
TECHNOE,2007-10-09,139.6,143.95,128.05,141.0,35497
TECHNOE,2007-10-10,140.9,140.9,132.0,134.0,7042
TECHNOE,2007-10-11,128.5,133.0,127.0,130.0,10777
TECHNOE,2007-10-12,132.9,134.75,128.25,132.0,6189
TECHNOE,2007-10-15,135.0,140.0,135.0,139.8,13839
TECHNOE,2007-10-16,139.5,141.0,135.0,140.0,9942
TECHNOE,2007-10-17,120.25,138.9,120.25,134.4,6805
TECHNOE,2007-10-18,148.0,148.0,135.0,135.0,8099
TECHNOE,2007-10-19,135.0,135.0,123.15,125.1,4278
TECHNOE,2007-10-22,125.0,140.0,125.0,129.75,4144
TECHNOE,2007-10-23,135.95,136.0,131.0,131.0,3830
TECHNOE,2007-10-24,135.0,135.0,130.0,130.0,2457
TECHNOE,2007-10-25,133.9,134.0,130.5,133.9,4819
TECHNOE,2007-10-26,134.7,136.95,132.6,134.05,5400
TECHNOE,2007-10-29,139.0,162.0,139.0,159.8,56244
TECHNOE,2007-10-30,187.2,187.2,162.0,165.5,40736
TECHNOE,2007-10-31,172.5,175.0,165.05,173.0,19997
TECHNOE,2007-11-01,173.0,200.0,168.0,173.0,37716
TECHNOE,2007-11-02,165.3,175.9,165.2,166.25,9946
TECHNOE,2007-11-05,170.0,175.0,166.0,166.0,18761
TECHNOE,2007-11-06,172.0,172.0,160.0,160.0,11561
TECHNOE,2007-11-07,156.2,162.75,154.1,155.15,8711
TECHNOE,2007-11-08,155.05,161.9,153.25,156.0,9602
TECHNOE,2007-11-12,175.0,180.0,167.0,168.0,9611
TECHNOE,2007-11-13,162.6,171.7,162.6,167.0,16235
TECHNOE,2007-11-14,173.65,174.0,167.5,171.5,8283
TECHNOE,2007-11-15,176.95,188.0,173.05,182.95,22777
TECHNOE,2007-11-16,178.0,190.0,178.0,189.45,7902
TECHNOE,2007-11-19,190.0,210.0,183.0,190.25,13982
TECHNOE,2007-11-20,198.0,215.0,196.0,203.25,25418
TECHNOE,2007-11-21,207.4,220.0,185.5,197.0,10636
TECHNOE,2007-11-22,199.0,199.5,171.2,185.0,9315
TECHNOE,2007-11-23,194.0,194.0,179.0,181.0,4803
TECHNOE,2007-11-26,182.5,189.0,170.0,176.3,7635
TECHNOE,2007-11-27,182.0,194.0,179.05,190.0,19849
TECHNOE,2007-11-28,209.9,215.0,191.2,205.1,30862
TECHNOE,2007-11-29,211.4,213.9,195.0,195.0,7435
TECHNOE,2007-11-30,201.0,203.9,193.0,194.0,8954
TECHNOE,2007-12-03,199.4,202.0,195.65,199.0,10002
TECHNOE,2007-12-04,209.6,240.1,202.0,226.0,38979
TECHNOE,2007-12-05,234.5,238.5,227.0,231.0,20190
TECHNOE,2007-12-06,234.0,236.0,216.25,223.0,9092
TECHNOE,2007-12-07,224.0,227.7,205.0,206.25,8234
TECHNOE,2007-12-10,210.0,220.0,210.0,215.0,7879
TECHNOE,2007-12-11,206.1,238.0,206.1,221.05,9570
TECHNOE,2007-12-12,227.0,267.2,226.25,267.2,27097
TECHNOE,2007-12-13,288.0,320.65,276.0,284.0,49662
TECHNOE,2007-12-14,299.0,307.9,243.0,291.0,14692
TECHNOE,2007-12-17,308.0,308.0,264.6,266.3,15216
TECHNOE,2007-12-18,278.7,278.7,239.7,250.15,18928
TECHNOE,2007-12-19,275.0,275.8,259.05,260.55,22262
TECHNOE,2007-12-20,274.0,274.0,240.0,249.0,10827
TECHNOE,2007-12-24,264.0,265.0,253.0,257.0,3553
TECHNOE,2007-12-26,266.45,280.0,260.0,262.0,8013
TECHNOE,2007-12-27,265.0,274.0,265.0,272.0,6300
TECHNOE,2007-12-28,274.0,277.85,264.0,274.0,12139
TECHNOE,2007-12-31,284.0,298.0,275.0,290.0,11397
TECHNOE,2008-01-01,296.0,316.0,293.0,308.0,15163
TECHNOE,2008-01-02,319.95,330.0,305.0,322.0,19434
TECHNOE,2008-01-03,318.9,318.9,302.0,309.9,11129
TECHNOE,2008-01-04,311.0,336.25,311.0,336.25,26866
TECHNOE,2008-01-07,345.0,369.9,312.2,312.2,106666
TECHNOE,2008-01-08,325.0,346.0,300.0,314.8,2065286
TECHNOE,2008-01-09,312.0,334.2,312.0,324.0,114882
TECHNOE,2008-01-10,347.4,347.4,318.0,320.2,113380
TECHNOE,2008-01-11,340.0,340.0,312.0,325.0,41351
TECHNOE,2008-01-14,326.0,342.4,320.1,327.9,28168
TECHNOE,2008-01-15,332.05,341.0,319.6,322.7,15284
TECHNOE,2008-01-16,315.0,325.0,293.05,305.15,13533
TECHNOE,2008-01-17,314.7,335.9,305.0,328.0,25952
TECHNOE,2008-01-18,316.0,317.0,303.0,305.05,8830
TECHNOE,2008-01-21,301.0,302.9,275.5,275.5,24428
TECHNOE,2008-01-22,264.45,264.45,247.95,247.95,719
TECHNOE,2008-01-23,269.4,272.75,226.5,270.0,21484
TECHNOE,2008-01-24,275.0,275.0,256.55,265.2,24773
TECHNOE,2008-01-25,260.0,279.0,240.0,279.0,7961
TECHNOE,2008-01-28,250.0,265.05,241.0,265.0,6777
TECHNOE,2008-01-29,258.05,270.0,255.0,269.5,9666
TECHNOE,2008-01-30,284.6,284.6,260.05,265.0,12808
TECHNOE,2008-01-31,262.25,273.7,242.0,264.4,5008
TECHNOE,2008-02-01,264.4,264.4,254.3,259.5,3842
TECHNOE,2008-02-04,259.0,268.0,240.55,261.5,3732
TECHNOE,2008-02-05,258.0,258.0,248.0,255.0,3630
TECHNOE,2008-02-06,243.1,266.5,243.1,265.0,29460
TECHNOE,2008-02-07,261.0,270.0,252.6,262.7,19007
TECHNOE,2008-02-08,250.15,264.7,241.0,262.0,10664
TECHNOE,2008-02-11,252.5,264.0,245.0,264.0,28040
TECHNOE,2008-02-12,251.0,251.0,234.1,241.0,7898
TECHNOE,2008-02-13,237.25,241.0,230.35,240.0,24273
TECHNOE,2008-02-14,240.0,250.0,240.0,240.1,1973
TECHNOE,2008-02-15,233.5,249.7,233.2,242.0,2354
TECHNOE,2008-02-18,238.0,251.0,236.05,250.0,4221
TECHNOE,2008-02-19,250.0,262.0,236.1,260.0,29916
TECHNOE,2008-02-20,250.0,262.0,248.0,260.0,11409
TECHNOE,2008-02-21,255.0,265.0,250.0,255.0,1034
TECHNOE,2008-02-22,247.0,262.4,243.2,262.4,25576
TECHNOE,2008-02-25,260.0,261.0,246.95,260.0,7343
TECHNOE,2008-02-26,261.85,261.85,254.1,260.0,2237
TECHNOE,2008-02-27,264.05,266.85,257.5,265.0,8732
TECHNOE,2008-02-28,258.1,271.0,258.0,271.0,7505
TECHNOE,2008-02-29,265.0,277.0,263.45,277.0,10938
TECHNOE,2008-03-03,263.0,264.5,249.0,255.0,65438
TECHNOE,2008-03-04,258.0,258.0,227.55,250.0,13758
TECHNOE,2008-03-05,254.5,254.5,231.0,234.5,4212
TECHNOE,2008-03-07,227.0,233.95,218.0,231.8,12186
TECHNOE,2008-03-10,202.25,242.0,202.25,239.0,9652
TECHNOE,2008-03-11,230.0,236.0,206.05,223.0,12011
TECHNOE,2008-03-12,239.0,239.0,220.0,220.0,4659
TECHNOE,2008-03-13,210.0,224.0,197.0,220.0,14304
TECHNOE,2008-03-14,211.0,223.0,205.3,220.0,9871
TECHNOE,2008-03-17,210.0,218.0,193.05,193.05,365926
TECHNOE,2008-03-18,191.0,202.9,170.0,200.0,22488
TECHNOE,2008-03-19,196.25,215.5,172.65,210.0,21821
TECHNOE,2008-03-24,213.5,213.5,184.0,200.0,122320
TECHNOE,2008-03-25,190.25,211.0,190.25,200.0,8787
TECHNOE,2008-03-26,195.0,212.0,193.25,200.15,99820
TECHNOE,2008-03-27,195.0,206.95,193.0,197.0,2818
TECHNOE,2008-03-28,200.0,219.95,195.0,215.0,5048
TECHNOE,2008-03-31,197.5,238.0,197.5,225.0,53723
TECHNOE,2008-04-01,220.0,239.95,217.0,218.15,2668
TECHNOE,2008-04-02,215.0,227.95,213.5,218.9,291
TECHNOE,2008-04-03,223.95,223.95,210.15,215.95,229
TECHNOE,2008-04-04,211.0,218.0,208.0,213.0,641
TECHNOE,2008-04-07,205.0,212.0,204.95,208.0,3325
TECHNOE,2008-04-08,200.1,209.0,200.0,201.05,2808
TECHNOE,2008-04-09,192.05,208.0,192.05,207.7,2225
TECHNOE,2008-04-10,203.95,207.7,202.5,205.0,2410
TECHNOE,2008-04-11,210.0,210.0,202.0,202.0,1602
TECHNOE,2008-04-15,207.0,207.0,194.0,196.1,3283
TECHNOE,2008-04-16,199.9,200.9,196.1,200.9,2728
TECHNOE,2008-04-17,235.0,235.0,198.1,200.5,3620
