symbol,date,open,high,low,close,volume
TERASOFT,2021-07-26,75.0,75.95,70.6,71.35,179111
TERASOFT,2021-07-27,72.0,73.85,68.55,70.1,154835
TERASOFT,2021-07-28,70.2,72.7,67.1,68.65,108002
TERASOFT,2021-07-29,70.0,70.0,65.25,65.9,53753
TERASOFT,2021-07-30,66.6,67.0,62.75,63.8,37508
TERASOFT,2021-08-02,64.05,66.95,62.65,66.95,28973
TERASOFT,2021-08-03,67.95,70.25,67.2,70.25,48267
TERASOFT,2021-08-04,73.1,73.75,68.5,68.95,90332
TERASOFT,2021-08-05,67.3,71.0,66.05,67.9,27889
TERASOFT,2021-08-06,67.9,69.8,65.0,66.1,19365
TERASOFT,2021-08-09,67.0,68.0,63.1,63.65,30328
TERASOFT,2021-08-10,63.55,64.4,60.5,60.5,37614
TERASOFT,2021-08-11,60.5,60.5,57.5,57.5,26986
TERASOFT,2021-08-12,57.5,60.35,54.85,60.35,30404
TERASOFT,2021-08-13,62.0,63.35,61.0,62.85,34721
TERASOFT,2021-08-16,62.85,63.1,59.75,59.75,25541
TERASOFT,2021-08-17,56.8,59.0,56.8,57.15,31116
TERASOFT,2021-08-18,54.35,57.35,54.3,54.3,22935
TERASOFT,2021-08-20,53.7,53.7,51.6,51.6,20873
TERASOFT,2021-08-23,51.55,53.5,49.05,49.05,19396
TERASOFT,2021-08-24,48.5,51.5,46.6,51.5,35126
TERASOFT,2021-08-25,51.7,54.05,51.7,53.95,23675
TERASOFT,2021-08-26,56.5,56.5,52.8,53.6,20567
TERASOFT,2021-08-27,53.1,55.9,51.2,53.95,15198
TERASOFT,2021-08-30,56.45,56.45,51.5,53.4,21318
TERASOFT,2021-08-31,55.0,55.0,50.75,53.15,31529
TERASOFT,2021-09-01,53.45,53.45,50.8,52.25,14949
TERASOFT,2021-09-02,51.3,52.75,51.0,52.3,18138
TERASOFT,2021-09-03,53.6,53.6,50.35,51.65,11753
TERASOFT,2021-09-06,52.7,52.7,50.1,51.05,17510
TERASOFT,2021-09-07,51.0,52.0,49.5,50.7,13071
TERASOFT,2021-09-08,50.7,52.0,49.1,50.65,14095
TERASOFT,2021-09-09,50.0,51.5,49.3,51.1,15968
TERASOFT,2021-09-13,49.8,51.0,48.65,49.6,22730
TERASOFT,2021-09-14,49.5,50.7,48.75,49.7,16925
TERASOFT,2021-09-15,50.0,50.45,47.25,50.15,35549
TERASOFT,2021-09-16,50.15,52.65,48.5,51.3,31706
TERASOFT,2021-09-17,51.3,52.15,49.6,50.2,14057
TERASOFT,2021-09-20,48.1,50.0,48.1,48.7,19792
TERASOFT,2021-09-21,48.7,49.5,47.0,48.65,14786
TERASOFT,2021-09-22,47.55,49.95,46.6,48.25,15621
TERASOFT,2021-09-23,49.7,50.65,48.0,50.65,23342
TERASOFT,2021-09-24,52.85,52.9,50.5,50.85,36382
TERASOFT,2021-09-27,52.2,52.25,49.1,50.85,20879
TERASOFT,2021-09-28,50.85,51.45,49.4,50.25,14183
TERASOFT,2021-09-29,50.0,51.0,49.0,50.0,17090
TERASOFT,2021-09-30,48.05,52.5,48.05,52.5,34830
TERASOFT,2021-10-01,55.1,55.1,55.1,55.1,17879
TERASOFT,2021-10-04,57.85,57.85,57.85,57.85,20229
TERASOFT,2021-10-05,60.7,60.7,60.7,60.7,23398
TERASOFT,2021-10-06,63.7,63.7,63.7,63.7,30064
TERASOFT,2021-10-07,65.0,66.85,60.55,64.4,234219
TERASOFT,2021-10-08,65.3,65.3,61.2,62.05,47564
TERASOFT,2021-10-11,62.05,62.05,58.95,58.95,26569
TERASOFT,2021-10-12,56.45,58.0,56.05,56.05,45127
TERASOFT,2021-10-13,55.85,56.95,53.25,53.25,97114
TERASOFT,2021-10-14,53.25,55.9,53.2,55.9,33640
TERASOFT,2021-10-18,58.65,58.65,56.1,57.05,79590
TERASOFT,2021-10-19,58.0,58.0,54.2,54.25,55651
TERASOFT,2021-10-20,55.0,55.35,51.55,52.2,90015
TERASOFT,2021-10-21,53.5,53.5,51.1,52.3,28175
TERASOFT,2021-10-22,53.45,54.1,51.5,51.85,15103
TERASOFT,2021-10-25,54.0,54.0,50.0,50.7,21598
TERASOFT,2021-10-26,50.0,53.2,50.0,52.4,25807
TERASOFT,2021-10-27,51.35,52.75,50.15,50.65,33457
TERASOFT,2021-10-28,50.5,51.55,48.15,48.4,49504
TERASOFT,2021-10-29,48.9,49.5,47.65,49.15,19030
TERASOFT,2021-11-01,50.3,51.25,49.05,50.65,26934
TERASOFT,2021-11-02,51.0,51.0,49.1,50.15,12899
TERASOFT,2021-11-03,49.7,50.65,49.35,49.6,10156
TERASOFT,2021-11-04,50.5,51.5,49.85,51.05,10718
TERASOFT,2021-11-08,49.25,52.9,49.25,52.3,28999
TERASOFT,2021-11-09,52.55,53.5,51.1,51.65,14810
TERASOFT,2021-11-10,52.4,54.2,51.05,53.6,57166
TERASOFT,2021-11-11,54.0,54.4,52.2,53.3,28331
TERASOFT,2021-11-12,51.25,52.95,50.65,50.8,59450
TERASOFT,2021-11-15,50.65,51.75,48.65,49.35,22494
TERASOFT,2021-11-16,49.0,50.95,49.0,49.6,23453
TERASOFT,2021-11-17,49.9,50.25,48.65,49.0,19573
TERASOFT,2021-11-18,50.25,50.25,47.5,47.95,35064
TERASOFT,2021-11-22,47.5,49.35,45.6,45.85,39656
TERASOFT,2021-11-23,46.25,46.8,43.7,45.95,36573
TERASOFT,2021-11-24,45.5,48.2,45.5,48.2,39169
TERASOFT,2021-11-25,49.95,49.95,46.5,46.8,43072
TERASOFT,2021-11-26,47.5,47.5,45.9,46.45,16113
TERASOFT,2021-11-29,45.15,45.9,44.15,44.2,26730
TERASOFT,2021-11-30,42.2,46.0,42.2,44.8,23225
TERASOFT,2021-12-01,45.65,45.65,44.7,45.45,7766
TERASOFT,2021-12-02,44.55,47.1,44.55,45.8,11737
TERASOFT,2021-12-03,46.05,47.4,45.35,45.6,26489
TERASOFT,2021-12-06,44.75,45.7,44.3,44.65,19420
TERASOFT,2021-12-07,44.75,47.75,44.75,46.35,32092
TERASOFT,2021-12-08,46.05,48.0,45.9,46.75,25431
TERASOFT,2021-12-09,48.8,48.8,46.35,47.4,31473
TERASOFT,2021-12-10,48.25,52.1,47.75,52.1,81961
TERASOFT,2021-12-13,55.85,55.85,50.25,51.2,98555
TERASOFT,2021-12-14,50.5,55.85,50.5,54.4,104552
TERASOFT,2021-12-15,55.3,55.9,54.0,55.45,66100
TERASOFT,2021-12-16,55.5,57.5,52.4,53.4,59389
TERASOFT,2021-12-17,54.95,54.95,48.55,49.35,84235
TERASOFT,2021-12-20,48.05,49.35,46.65,47.4,27744
TERASOFT,2021-12-21,47.55,49.4,47.55,48.45,17907
TERASOFT,2021-12-22,49.4,50.55,48.4,48.75,27266
TERASOFT,2021-12-23,51.8,51.8,48.2,49.0,20414
TERASOFT,2021-12-24,49.5,49.5,47.0,47.9,39909
TERASOFT,2021-12-27,48.45,49.8,46.65,48.6,40924
TERASOFT,2021-12-28,48.6,50.45,48.6,49.65,45463
TERASOFT,2021-12-29,50.65,52.0,48.55,50.7,84623
TERASOFT,2021-12-30,51.75,52.0,48.85,49.5,42322
TERASOFT,2021-12-31,49.9,52.95,49.6,50.3,84740
TERASOFT,2022-01-03,52.0,55.3,50.6,55.3,121516
TERASOFT,2022-01-04,58.9,58.9,52.0,52.55,186719
TERASOFT,2022-01-05,53.0,53.45,51.2,52.15,42011
TERASOFT,2022-01-06,52.1,54.1,51.0,53.1,54330
TERASOFT,2022-01-07,53.1,54.7,52.7,53.25,43320
TERASOFT,2022-01-10,55.75,58.55,53.9,58.55,178043
TERASOFT,2022-01-11,59.0,59.0,55.5,56.05,163779
TERASOFT,2022-01-12,56.05,57.4,54.65,55.1,43471
TERASOFT,2022-01-13,56.2,56.2,53.3,53.95,44525
TERASOFT,2022-01-14,54.85,58.45,53.5,56.2,110847
TERASOFT,2022-01-17,56.9,57.4,55.1,55.85,77631
TERASOFT,2022-01-18,55.1,56.85,54.5,54.85,64021
TERASOFT,2022-01-19,55.3,55.65,54.3,54.85,31508
TERASOFT,2022-01-20,55.35,56.45,54.15,55.35,43362
TERASOFT,2022-01-21,54.0,56.0,52.75,53.55,61336
TERASOFT,2022-01-24,53.0,57.0,49.0,51.75,152786
TERASOFT,2022-01-25,50.5,53.4,49.4,53.25,29508
TERASOFT,2022-01-27,54.3,54.35,51.0,53.15,38679
TERASOFT,2022-01-28,53.45,55.0,52.1,53.1,39839
TERASOFT,2022-01-31,56.5,56.5,52.5,53.1,26372
TERASOFT,2022-02-01,54.0,54.9,51.8,53.5,36238
TERASOFT,2022-02-02,53.2,56.5,53.2,54.95,52432
TERASOFT,2022-02-03,53.05,56.8,53.05,55.6,50666
TERASOFT,2022-02-04,57.6,57.6,55.05,55.9,31730
TERASOFT,2022-02-07,56.2,57.0,55.5,55.95,40125
TERASOFT,2022-02-08,56.8,58.65,55.25,57.9,187040
TERASOFT,2022-02-09,59.45,60.0,53.3,54.5,84942
