symbol,date,open,high,low,close,volume
TGBHOTELS,2021-07-26,8.5,8.5,8.0,8.35,54806
TGBHOTELS,2021-07-27,8.35,8.45,8.05,8.2,24171
TGBHOTELS,2021-07-28,8.4,8.5,7.85,8.2,30211
TGBHOTELS,2021-07-29,8.1,8.35,7.9,8.0,43449
TGBHOTELS,2021-07-30,8.0,8.35,8.0,8.2,16744
TGBHOTELS,2021-08-02,8.5,8.6,8.1,8.6,51003
TGBHOTELS,2021-08-03,9.0,9.0,8.25,8.65,47994
TGBHOTELS,2021-08-04,8.6,8.8,8.25,8.3,27940
TGBHOTELS,2021-08-05,8.15,8.4,7.9,8.15,102629
TGBHOTELS,2021-08-06,8.45,8.8,7.4,8.4,45337
TGBHOTELS,2021-08-09,8.5,8.85,7.7,8.0,30892
TGBHOTELS,2021-08-10,8.0,8.35,7.4,7.55,31685
TGBHOTELS,2021-08-11,7.95,8.2,7.0,7.35,47857
TGBHOTELS,2021-08-12,7.5,8.05,7.25,8.05,28757
TGBHOTELS,2021-08-13,8.05,8.7,7.7,8.0,26572
TGBHOTELS,2021-08-16,8.35,8.35,7.3,7.85,45986
TGBHOTELS,2021-08-17,8.2,8.25,7.4,7.4,18101
TGBHOTELS,2021-08-18,7.85,7.85,7.1,7.25,14997
TGBHOTELS,2021-08-20,7.25,7.8,6.55,6.9,57975
TGBHOTELS,2021-08-23,6.9,7.35,6.6,7.05,13872
TGBHOTELS,2021-08-24,6.6,7.4,6.6,7.0,12676
TGBHOTELS,2021-08-25,7.0,7.25,6.7,7.1,12142
TGBHOTELS,2021-08-26,7.35,7.35,6.9,6.95,3529
TGBHOTELS,2021-08-27,7.2,7.4,6.7,6.85,27076
TGBHOTELS,2021-08-30,7.0,7.5,6.7,7.3,34631
TGBHOTELS,2021-08-31,7.3,7.45,6.85,7.35,39412
TGBHOTELS,2021-09-01,7.9,7.95,7.15,7.5,54391
TGBHOTELS,2021-09-02,7.4,7.85,7.2,7.6,26302
TGBHOTELS,2021-09-03,7.6,8.0,7.4,7.7,10924
TGBHOTELS,2021-09-06,8.0,8.0,7.35,7.75,32419
TGBHOTELS,2021-09-07,7.95,7.95,7.3,7.5,24424
TGBHOTELS,2021-09-08,7.5,7.6,7.1,7.25,31201
TGBHOTELS,2021-09-09,7.0,7.4,6.65,7.25,37573
TGBHOTELS,2021-09-13,7.6,7.95,7.2,7.95,58436
TGBHOTELS,2021-09-14,8.7,8.7,8.25,8.7,163371
TGBHOTELS,2021-09-15,9.5,9.55,8.95,9.55,78831
TGBHOTELS,2021-09-16,10.0,10.0,9.1,9.7,235766
TGBHOTELS,2021-09-17,9.9,9.95,9.3,9.4,44115
TGBHOTELS,2021-09-20,9.4,9.5,8.95,9.0,86198
TGBHOTELS,2021-09-21,9.1,9.1,8.55,8.65,48933
TGBHOTELS,2021-09-22,8.8,8.95,8.55,8.65,17475
TGBHOTELS,2021-09-23,8.85,9.05,8.25,8.6,70495
TGBHOTELS,2021-09-24,8.85,8.95,8.4,8.65,33396
TGBHOTELS,2021-09-27,8.95,9.05,8.25,8.65,69777
TGBHOTELS,2021-09-28,8.65,8.95,8.35,8.55,44701
TGBHOTELS,2021-09-29,8.4,8.9,8.35,8.75,29892
TGBHOTELS,2021-09-30,8.85,9.15,8.7,9.05,72500
TGBHOTELS,2021-10-01,8.75,9.45,8.75,9.2,43275
TGBHOTELS,2021-10-04,9.45,9.65,9.3,9.65,58022
TGBHOTELS,2021-10-05,9.95,10.1,9.5,10.1,57442
TGBHOTELS,2021-10-06,10.5,10.6,10.25,10.6,87386
TGBHOTELS,2021-10-07,11.1,11.1,11.0,11.1,45856
TGBHOTELS,2021-10-08,11.65,11.65,11.0,11.65,89811
TGBHOTELS,2021-10-11,12.2,12.2,12.0,12.2,63031
TGBHOTELS,2021-10-12,12.8,12.8,11.6,11.6,147766
TGBHOTELS,2021-10-13,11.1,11.1,11.05,11.05,65034
TGBHOTELS,2021-10-14,11.05,11.6,10.55,11.6,126698
TGBHOTELS,2021-10-18,12.1,12.15,11.65,11.75,130792
TGBHOTELS,2021-10-19,12.05,12.1,11.2,11.2,67655
TGBHOTELS,2021-10-20,11.45,11.75,10.65,10.65,59778
TGBHOTELS,2021-10-21,10.9,10.9,10.15,10.15,114372
TGBHOTELS,2021-10-22,9.9,10.65,9.9,10.1,29145
TGBHOTELS,2021-10-25,9.8,10.35,9.8,10.05,29497
TGBHOTELS,2021-10-26,9.6,10.35,9.6,10.0,19417
TGBHOTELS,2021-10-27,10.0,10.5,9.75,10.2,26133
TGBHOTELS,2021-10-28,10.45,10.5,9.7,9.7,49660
TGBHOTELS,2021-10-29,9.7,10.15,9.7,10.15,26214
TGBHOTELS,2021-11-01,10.55,10.55,9.8,10.0,33387
TGBHOTELS,2021-11-02,10.2,10.2,9.5,9.75,28543
TGBHOTELS,2021-11-03,10.1,10.2,9.75,10.0,25489
TGBHOTELS,2021-11-04,10.5,10.5,9.8,10.1,8167
TGBHOTELS,2021-11-08,10.0,10.35,9.8,10.0,36977
TGBHOTELS,2021-11-09,10.2,10.2,9.8,9.95,15124
TGBHOTELS,2021-11-10,10.15,10.2,9.65,9.85,25443
TGBHOTELS,2021-11-11,10.05,10.1,9.7,10.0,10053
TGBHOTELS,2021-11-12,10.0,10.1,9.7,9.9,23199
TGBHOTELS,2021-11-15,9.65,10.0,9.65,9.75,30063
TGBHOTELS,2021-11-16,10.1,10.2,9.3,9.5,39459
TGBHOTELS,2021-11-17,9.75,9.95,9.1,9.35,57160
TGBHOTELS,2021-11-18,9.7,9.7,9.2,9.65,16641
TGBHOTELS,2021-11-22,9.95,9.95,9.2,9.2,43952
TGBHOTELS,2021-11-23,8.8,9.25,8.75,9.05,55000
TGBHOTELS,2021-11-24,8.9,9.25,8.8,8.95,31542
TGBHOTELS,2021-11-25,9.0,9.2,8.65,8.9,21127
TGBHOTELS,2021-11-26,8.9,9.05,8.7,8.9,33252
TGBHOTELS,2021-11-29,8.55,9.2,8.5,8.55,39155
TGBHOTELS,2021-11-30,8.4,8.8,8.35,8.6,8977
TGBHOTELS,2021-12-01,8.75,8.75,8.3,8.5,18561
TGBHOTELS,2021-12-02,8.75,8.8,8.1,8.45,43265
TGBHOTELS,2021-12-03,8.7,8.7,8.45,8.55,8268
TGBHOTELS,2021-12-06,8.55,8.7,8.15,8.25,63499
TGBHOTELS,2021-12-07,8.1,8.55,8.1,8.5,11120
TGBHOTELS,2021-12-08,8.5,8.6,8.25,8.4,18512
