symbol,date,open,high,low,close,volume
TIRUMALCHM,2002-07-01,4.98,5.0,4.86,4.915,35160
TIRUMALCHM,2002-07-02,5.0,5.1,4.875,4.995,72500
TIRUMALCHM,2002-07-03,5.095,5.19,5.04,5.1,207610
TIRUMALCHM,2002-07-04,5.79,6.12,5.135,6.12,717440
TIRUMALCHM,2002-07-05,6.5,7.18,6.3,6.8,2064200
TIRUMALCHM,2002-07-08,7.2,7.45,6.8,6.935,1154690
TIRUMALCHM,2002-07-09,8.0,8.0,6.85,6.915,450530
TIRUMALCHM,2002-07-10,6.975,6.975,6.6,6.635,127170
TIRUMALCHM,2002-07-11,6.51,6.7,6.255,6.31,176240
TIRUMALCHM,2002-07-12,6.65,6.65,6.4,6.53,133570
TIRUMALCHM,2002-07-15,6.53,6.62,6.23,6.295,75030
TIRUMALCHM,2002-07-16,6.3,6.42,6.015,6.115,61320
TIRUMALCHM,2002-07-17,6.09,6.3,5.76,5.88,188210
TIRUMALCHM,2002-07-18,5.795,5.91,5.685,5.73,85960
TIRUMALCHM,2002-07-19,5.95,6.19,5.95,6.13,61290
TIRUMALCHM,2002-07-22,6.01,6.075,5.71,5.71,35950
TIRUMALCHM,2002-07-23,5.85,6.21,5.55,5.725,40020
TIRUMALCHM,2002-07-24,6.1,6.1,5.27,5.39,32340
TIRUMALCHM,2002-07-25,5.5,5.7,5.31,5.415,56950
TIRUMALCHM,2002-07-26,5.3,5.3,5.005,5.2,24780
TIRUMALCHM,2002-07-29,5.4,5.4,4.8,5.05,55740
TIRUMALCHM,2002-07-30,5.585,5.585,4.81,4.965,29740
TIRUMALCHM,2002-07-31,4.855,4.895,4.2,4.775,61340
TIRUMALCHM,2002-08-01,4.835,4.95,4.78,4.9,20010
TIRUMALCHM,2002-08-02,4.7,4.9,4.7,4.88,25440
TIRUMALCHM,2002-08-05,4.8,5.08,4.8,5.02,19580
TIRUMALCHM,2002-08-06,5.07,5.2,5.0,5.125,26040
TIRUMALCHM,2002-08-07,5.4,5.505,5.205,5.45,72960
TIRUMALCHM,2002-08-08,5.35,5.35,5.215,5.22,46960
TIRUMALCHM,2002-08-09,5.15,5.275,5.15,5.225,23470
TIRUMALCHM,2002-08-12,5.4,5.4,5.11,5.19,19000
TIRUMALCHM,2002-08-13,5.2,5.215,5.2,5.21,6000
TIRUMALCHM,2002-08-14,5.115,5.2,5.0,5.055,28000
TIRUMALCHM,2002-08-15,5.055,5.055,5.055,5.055,0
TIRUMALCHM,2002-08-16,5.1,5.14,5.005,5.095,11000
TIRUMALCHM,2002-08-19,5.2,5.29,5.07,5.08,18000
TIRUMALCHM,2002-08-20,6.0,6.0,4.9,5.245,128000
TIRUMALCHM,2002-08-21,5.1,5.24,5.1,5.135,33000
TIRUMALCHM,2002-08-22,5.105,5.19,5.1,5.105,9490
TIRUMALCHM,2002-08-23,5.005,5.05,4.86,4.93,22000
TIRUMALCHM,2002-08-26,4.885,5.02,4.885,5.02,1500
TIRUMALCHM,2002-08-27,4.83,5.0,4.83,4.855,6490
TIRUMALCHM,2002-08-28,4.96,5.195,4.89,5.105,30000
TIRUMALCHM,2002-08-29,5.005,5.02,4.85,4.975,16000
TIRUMALCHM,2002-08-30,4.985,5.0,4.97,5.0,11000
TIRUMALCHM,2002-09-02,5.235,5.235,5.1,5.14,21000
TIRUMALCHM,2002-09-03,5.1,5.13,4.8,4.895,31000
TIRUMALCHM,2002-09-04,4.975,5.0,4.925,5.0,5520
TIRUMALCHM,2002-09-05,5.0,5.15,4.8,5.15,36000
TIRUMALCHM,2002-09-06,5.025,5.06,5.025,5.05,17000
TIRUMALCHM,2002-09-09,4.9,5.5,4.9,5.395,57000
TIRUMALCHM,2002-09-10,5.395,5.395,5.395,5.395,0
TIRUMALCHM,2002-09-11,5.38,5.55,5.305,5.5,28000
TIRUMALCHM,2002-09-12,5.4,5.45,5.36,5.395,25000
TIRUMALCHM,2002-09-13,5.25,5.555,5.25,5.305,20000
TIRUMALCHM,2002-09-16,5.305,5.45,5.29,5.31,8530
TIRUMALCHM,2002-09-17,5.23,5.35,5.205,5.305,11000
TIRUMALCHM,2002-09-18,5.15,5.25,5.0,5.04,16000
TIRUMALCHM,2002-09-19,5.05,5.1,4.825,4.92,40000
TIRUMALCHM,2002-09-20,4.86,5.07,4.855,4.98,7920
TIRUMALCHM,2002-09-23,4.91,4.91,4.825,4.845,4500
TIRUMALCHM,2002-09-24,4.745,5.0,4.725,4.785,3980
TIRUMALCHM,2002-09-25,4.765,4.765,4.765,4.765,500
TIRUMALCHM,2002-09-26,4.77,5.025,4.77,4.9,2500
TIRUMALCHM,2002-09-27,4.92,4.92,4.9,4.9,3500
TIRUMALCHM,2002-09-30,4.8,4.9,4.75,4.79,10000
TIRUMALCHM,2002-10-01,4.7,4.7,4.7,4.7,200
TIRUMALCHM,2002-10-02,4.7,4.7,4.7,4.7,0
TIRUMALCHM,2002-10-03,4.72,4.72,4.475,4.495,24000
TIRUMALCHM,2002-10-04,4.51,4.6,4.51,4.595,4430
TIRUMALCHM,2002-10-07,4.53,4.615,4.5,4.5,9960
TIRUMALCHM,2002-10-08,4.5,4.625,4.5,4.525,3530
TIRUMALCHM,2002-10-09,4.57,4.625,4.5,4.53,12000
TIRUMALCHM,2002-10-10,4.5,4.5,4.46,4.5,3500
TIRUMALCHM,2002-10-11,4.51,4.795,4.51,4.64,9000
TIRUMALCHM,2002-10-14,4.405,4.405,4.35,4.37,5000
TIRUMALCHM,2002-10-15,4.37,4.37,4.37,4.37,0
TIRUMALCHM,2002-10-16,4.5,4.53,4.45,4.505,4360
TIRUMALCHM,2002-10-17,4.505,4.505,4.505,4.505,0
TIRUMALCHM,2002-10-18,4.505,4.505,4.505,4.505,0
TIRUMALCHM,2002-10-21,4.135,4.59,4.135,4.45,4340
TIRUMALCHM,2002-10-22,4.415,4.645,4.41,4.575,10930
TIRUMALCHM,2002-10-23,4.6,4.6,4.51,4.585,1200
TIRUMALCHM,2002-10-24,4.455,4.5,4.235,4.49,20000
TIRUMALCHM,2002-10-25,4.5,4.5,4.36,4.48,9840
TIRUMALCHM,2002-10-28,4.51,4.51,4.2,4.215,18000
TIRUMALCHM,2002-10-29,4.445,4.61,4.4,4.405,12000
TIRUMALCHM,2002-10-30,4.45,4.51,4.45,4.51,1000
TIRUMALCHM,2002-10-31,4.425,4.5,4.365,4.49,10000
TIRUMALCHM,2002-11-01,4.555,4.665,4.555,4.66,4930
TIRUMALCHM,2002-11-04,4.695,4.785,4.695,4.755,11000
TIRUMALCHM,2002-11-05,4.6,4.8,4.6,4.8,2400
TIRUMALCHM,2002-11-06,4.8,4.8,4.8,4.8,0
TIRUMALCHM,2002-11-07,4.81,4.995,4.72,4.87,10830
TIRUMALCHM,2002-11-08,4.89,4.9,4.755,4.79,15000
TIRUMALCHM,2002-11-11,4.85,4.97,4.7,4.765,13000
TIRUMALCHM,2002-11-12,4.75,4.775,4.595,4.775,5000
TIRUMALCHM,2002-11-13,4.64,4.77,4.635,4.77,3600
TIRUMALCHM,2002-11-14,4.665,4.77,4.665,4.745,1450
TIRUMALCHM,2002-11-15,5.0,5.0,4.65,4.745,28000
TIRUMALCHM,2002-11-18,4.87,4.87,4.725,4.8,3420
TIRUMALCHM,2002-11-19,4.8,4.8,4.8,4.8,0
TIRUMALCHM,2002-11-20,4.75,4.82,4.715,4.81,7950
TIRUMALCHM,2002-11-21,4.605,4.78,4.52,4.53,53000
TIRUMALCHM,2002-11-22,4.635,4.635,4.625,4.63,1100
TIRUMALCHM,2002-11-25,4.625,4.75,4.605,4.65,11660
TIRUMALCHM,2002-11-26,4.655,4.795,4.65,4.675,7000
TIRUMALCHM,2002-11-27,4.8,4.8,4.7,4.795,27000
TIRUMALCHM,2002-11-28,4.75,4.75,4.715,4.715,3250
TIRUMALCHM,2002-11-29,4.73,4.8,4.7,4.76,17830
TIRUMALCHM,2002-12-02,4.75,5.09,4.75,4.93,47000
TIRUMALCHM,2002-12-03,5.05,5.2,4.9,4.98,39000
TIRUMALCHM,2002-12-04,4.85,5.145,4.85,5.09,22000
TIRUMALCHM,2002-12-05,5.2,5.2,5.005,5.19,30000
TIRUMALCHM,2002-12-06,5.2,5.325,5.1,5.2,16000
TIRUMALCHM,2002-12-09,5.35,5.35,5.025,5.06,5000
TIRUMALCHM,2002-12-10,5.025,5.075,4.97,5.01,19000
TIRUMALCHM,2002-12-11,5.005,5.05,4.95,5.005,11000
TIRUMALCHM,2002-12-12,5.09,5.09,4.925,5.045,15770
TIRUMALCHM,2002-12-13,5.0,5.065,4.97,4.985,85000
TIRUMALCHM,2002-12-16,4.91,4.99,4.875,4.875,38000
TIRUMALCHM,2002-12-17,4.875,4.875,4.875,4.875,0
TIRUMALCHM,2002-12-18,4.91,4.995,4.86,4.945,16000
TIRUMALCHM,2002-12-19,4.855,4.995,4.855,4.945,24000
