symbol,date,open,high,low,close,volume
TPLPLASTEH,2025-07-24,79.16,79.76,78.03,78.21,32232
TPLPLASTEH,2025-07-25,78.08,78.29,76.25,77.08,30757
TPLPLASTEH,2025-07-28,77.08,79.0,76.61,77.68,48075
TPLPLASTEH,2025-07-29,77.68,78.02,76.61,77.64,20956
TPLPLASTEH,2025-07-30,76.85,77.89,76.76,77.39,16242
TPLPLASTEH,2025-07-31,75.0,80.0,74.42,78.68,53812
TPLPLASTEH,2025-08-01,78.0,79.99,76.1,76.96,34186
TPLPLASTEH,2025-08-04,76.2,78.47,74.69,75.27,49368
TPLPLASTEH,2025-08-05,75.0,76.63,75.0,75.95,21829
TPLPLASTEH,2025-08-06,75.0,75.64,74.07,74.9,25585
TPLPLASTEH,2025-08-07,74.0,75.89,73.8,75.19,26778
TPLPLASTEH,2025-08-08,74.2,75.8,74.2,75.05,22911
TPLPLASTEH,2025-08-11,74.0,74.4,71.95,72.27,37692
TPLPLASTEH,2025-08-12,71.6,76.85,71.6,75.84,53287
TPLPLASTEH,2025-08-13,76.6,76.6,73.8,74.54,25450
TPLPLASTEH,2025-08-14,75.1,76.44,74.65,75.32,16235
TPLPLASTEH,2025-08-18,75.32,79.5,75.26,76.27,28499
TPLPLASTEH,2025-08-19,75.6,78.55,75.6,77.48,16445
TPLPLASTEH,2025-08-20,76.7,78.63,76.7,77.69,26625
TPLPLASTEH,2025-08-21,76.51,81.59,76.51,78.57,68817
TPLPLASTEH,2025-08-22,78.57,81.9,78.57,80.35,56021
TPLPLASTEH,2025-08-25,81.15,81.15,77.1,78.49,29277
TPLPLASTEH,2025-08-26,78.49,80.0,76.25,76.81,30759
TPLPLASTEH,2025-08-28,76.85,77.27,75.7,76.04,15877
TPLPLASTEH,2025-08-29,75.3,77.38,75.3,76.7,16501
TPLPLASTEH,2025-09-01,77.9,80.0,75.72,76.98,26821
TPLPLASTEH,2025-09-02,77.5,78.29,76.1,76.59,11481
TPLPLASTEH,2025-09-03,76.59,79.0,76.59,77.32,20605
TPLPLASTEH,2025-09-04,77.95,77.95,76.01,76.36,19275
TPLPLASTEH,2025-09-05,76.36,77.0,74.0,75.09,21595
TPLPLASTEH,2025-09-08,75.25,76.72,74.0,74.46,31508
TPLPLASTEH,2025-09-09,74.99,75.59,74.2,74.4,13902
TPLPLASTEH,2025-09-10,74.0,76.23,74.0,75.16,27365
TPLPLASTEH,2025-09-11,75.8,76.2,74.0,74.2,22897
TPLPLASTEH,2025-09-12,74.2,76.29,74.15,74.84,29816
TPLPLASTEH,2025-09-15,74.25,75.63,74.25,75.11,21945
TPLPLASTEH,2025-09-16,75.11,76.34,74.4,75.0,42350
TPLPLASTEH,2025-09-17,74.02,76.2,74.02,74.79,19130
TPLPLASTEH,2025-09-18,75.0,77.5,75.0,76.14,32791
TPLPLASTEH,2025-09-19,76.14,76.58,75.0,75.4,25443
TPLPLASTEH,2025-09-22,75.11,76.49,74.9,75.76,23226
TPLPLASTEH,2025-09-23,76.0,76.27,74.8,75.04,12927
TPLPLASTEH,2025-09-24,76.49,76.49,74.0,74.01,16389
TPLPLASTEH,2025-09-25,74.34,74.35,73.05,73.51,13737
TPLPLASTEH,2025-09-26,73.53,75.9,71.52,72.72,26594
TPLPLASTEH,2025-09-29,73.0,73.0,71.51,71.86,14962
TPLPLASTEH,2025-09-30,72.02,73.47,71.38,71.74,14306
TPLPLASTEH,2025-10-01,71.49,73.49,71.29,72.22,27246
TPLPLASTEH,2025-10-03,72.25,73.08,71.55,72.34,23850
TPLPLASTEH,2025-10-06,72.51,73.79,72.02,72.54,20747
TPLPLASTEH,2025-10-07,72.45,74.44,71.5,71.73,46260
TPLPLASTEH,2025-10-08,72.52,73.49,70.65,70.8,18670
TPLPLASTEH,2025-10-09,70.9,72.4,70.55,70.96,10552
TPLPLASTEH,2025-10-10,71.0,72.08,70.56,71.42,9698
TPLPLASTEH,2025-10-13,70.05,71.5,70.05,71.03,10670
TPLPLASTEH,2025-10-14,71.05,71.06,69.15,69.6,18594
TPLPLASTEH,2025-10-15,69.99,71.99,68.5,69.52,26048
TPLPLASTEH,2025-10-16,70.39,71.3,69.04,69.7,19858
TPLPLASTEH,2025-10-17,70.8,70.8,67.5,67.79,45273
TPLPLASTEH,2025-10-20,67.79,68.49,65.26,67.35,24136
TPLPLASTEH,2025-10-21,68.44,70.1,67.36,69.6,11912
TPLPLASTEH,2025-10-23,68.8,71.6,68.8,69.9,69669
TPLPLASTEH,2025-10-24,71.15,71.15,69.0,69.31,14146
TPLPLASTEH,2025-10-27,68.5,69.79,67.63,68.15,32684
TPLPLASTEH,2025-10-28,68.99,73.56,68.1,70.99,515627
TPLPLASTEH,2025-10-29,71.01,73.0,70.02,72.46,152243
TPLPLASTEH,2025-10-30,72.65,73.45,70.01,71.35,164994
TPLPLASTEH,2025-10-31,70.26,71.99,70.26,70.71,153246
TPLPLASTEH,2025-11-03,71.73,72.1,70.5,70.8,337373
TPLPLASTEH,2025-11-04,70.55,71.55,69.55,70.14,144278
TPLPLASTEH,2025-11-06,69.51,71.15,68.0,68.05,141909
TPLPLASTEH,2025-11-07,68.05,68.79,66.61,67.32,130481
TPLPLASTEH,2025-11-10,66.8,70.68,66.8,68.16,148780
TPLPLASTEH,2025-11-11,68.5,74.6,67.08,73.89,876270
TPLPLASTEH,2025-11-12,74.25,74.55,71.5,71.78,162903
TPLPLASTEH,2025-11-13,73.9,75.48,72.51,73.94,199644
TPLPLASTEH,2025-11-14,73.92,74.28,71.11,71.79,87516
TPLPLASTEH,2025-11-17,71.11,72.88,67.22,68.82,156664
TPLPLASTEH,2025-11-18,69.39,71.89,68.5,69.06,77921
TPLPLASTEH,2025-11-19,68.57,71.07,68.38,70.47,76601
TPLPLASTEH,2025-11-20,71.0,71.0,68.84,69.97,58669
TPLPLASTEH,2025-11-21,71.0,74.0,69.93,70.86,93446
TPLPLASTEH,2025-11-24,70.8,70.8,68.0,68.2,78980
TPLPLASTEH,2025-11-25,68.2,69.13,66.81,68.65,70329
TPLPLASTEH,2025-11-26,67.1,68.83,66.63,67.51,62601
TPLPLASTEH,2025-11-27,67.01,68.0,67.01,67.3,54529
TPLPLASTEH,2025-11-28,67.31,68.92,67.31,68.56,59232
TPLPLASTEH,2025-12-01,69.46,70.56,68.32,69.3,66491
TPLPLASTEH,2025-12-02,68.2,68.94,67.48,67.69,62257
TPLPLASTEH,2025-12-03,68.5,69.1,66.0,66.43,56913
TPLPLASTEH,2025-12-04,66.51,67.49,66.5,67.2,58523
TPLPLASTEH,2025-12-05,67.72,68.19,66.01,67.11,77970
TPLPLASTEH,2025-12-08,67.8,67.8,64.26,64.82,56567
TPLPLASTEH,2025-12-09,65.8,72.1,64.75,68.51,70663
TPLPLASTEH,2025-12-10,69.66,69.66,67.25,67.61,54017
TPLPLASTEH,2025-12-11,68.75,70.85,66.0,67.14,89104
TPLPLASTEH,2025-12-12,66.75,68.7,66.5,66.67,54876
TPLPLASTEH,2025-12-15,66.8,67.21,65.1,66.39,49780
TPLPLASTEH,2025-12-16,65.66,72.4,65.66,68.07,146687
TPLPLASTEH,2025-12-17,69.7,70.0,67.42,68.62,96016
TPLPLASTEH,2025-12-18,70.17,70.17,66.01,66.28,141558
TPLPLASTEH,2025-12-19,66.51,68.07,66.51,67.49,61011
TPLPLASTEH,2025-12-22,67.5,68.0,66.78,67.51,60198
TPLPLASTEH,2025-12-23,67.51,68.15,66.01,66.77,83254
TPLPLASTEH,2025-12-24,66.51,68.75,66.11,66.45,83745
TPLPLASTEH,2025-12-26,66.1,67.31,66.1,66.39,60248
TPLPLASTEH,2025-12-29,66.98,66.99,65.25,65.97,88303
TPLPLASTEH,2025-12-30,67.0,67.0,65.1,65.63,69685
TPLPLASTEH,2025-12-31,65.51,68.5,65.51,67.56,100618
TPLPLASTEH,2026-01-01,68.5,68.5,65.88,66.27,74463
TPLPLASTEH,2026-01-02,66.31,68.0,65.55,66.0,112583
TPLPLASTEH,2026-01-05,66.5,66.77,65.51,66.21,91065
TPLPLASTEH,2026-01-06,66.54,70.4,65.41,68.73,152129
TPLPLASTEH,2026-01-07,69.0,71.45,68.0,68.21,218566
TPLPLASTEH,2026-01-08,68.54,68.99,66.52,67.31,163429
TPLPLASTEH,2026-01-09,67.99,68.68,66.0,66.11,88615
TPLPLASTEH,2026-01-12,66.11,66.11,64.14,65.77,99851
TPLPLASTEH,2026-01-13,66.13,67.99,65.75,66.83,72876
TPLPLASTEH,2026-01-14,66.83,68.99,66.56,68.08,76707
TPLPLASTEH,2026-01-15,68.08,68.08,68.08,68.08,0
TPLPLASTEH,2026-01-16,68.29,68.29,65.51,65.96,80488
TPLPLASTEH,2026-01-19,66.49,67.0,65.33,65.64,58076
TPLPLASTEH,2026-01-20,65.64,67.0,65.0,65.95,83999
TPLPLASTEH,2026-01-21,66.0,66.15,64.05,64.45,107238
TPLPLASTEH,2026-01-22,64.4,65.66,64.1,64.57,86035
